Species,log2fc,qval,groupings,sample_type,method
Phocaeicola dorei,4.56,0,Y,Stool,Maaslin2
Alistipes finegoldii,2.9,0,Y,Stool,Maaslin2
Alistipes putredinis,2.32,0,Y,Stool,Maaslin2
Alistipes communis,2.99,0,Y,Stool,Maaslin2
Haemophilus parainfluenzae,3.4,0,Y,Stool,Maaslin2
Bilophila wadsworthia,-2.56,0,N,Stool,Maaslin2
Lactococcus lactis,4.03,0,Y,Stool,Maaslin2
Streptococcus anginosus,-2.43,0,N,Stool,Maaslin2
Streptococcus sp A12,-2.11,0,N,Stool,Maaslin2
Massilimicrobiota sp An134,-3.46,0,N,Stool,Maaslin2
Candidatus Avimicrobium caecorum,2.53,0,Y,Stool,Maaslin2
Eubacterium siraeum,2.4,0,Y,Stool,Maaslin2
Lawsonibacter sp NSJ 51,10.71,0,Y,Stool,Maaslin2
Ruminococcaceae unclassified SGB15234,3.47,0,Y,Stool,Maaslin2
Ruminococcaceae unclassified SGB15265,-2.01,0,N,Stool,Maaslin2
Clostridia bacterium UC5 1 1D1,2.55,0,Y,Stool,Maaslin2
Lactonifactor sp BIOML A6,2.52,0,Y,Stool,Maaslin2
Massilistercora timonensis,-3.74,0,N,Stool,Maaslin2
Enterocloster clostridioformis,3.57,0,Y,Stool,Maaslin2
Cuneatibacter caecimuris,2.61,0,Y,Stool,Maaslin2
Anaerostipes caccae,-2.97,0,N,Stool,Maaslin2
Lachnospira pectinoschiza,3.37,0,Y,Stool,Maaslin2
Lachnospira eligens,2.36,0,Y,Stool,Maaslin2
Roseburia faecis,2.29,0,Y,Stool,Maaslin2
Roseburia sp AF02 12,4.1,0,Y,Stool,Maaslin2
Eisenbergiella tayi,2.25,0,Y,Stool,Maaslin2
Intestinibacter bartlettii,-2.85,0,N,Stool,Maaslin2
Veillonella dispar,-2.39,0,N,Stool,Maaslin2
Bifidobacterium dentium,-2.73,0,N,Stool,Maaslin2
Enterocloster citroniae,-6.29,1.84205417569339e-5,N,Stool,Maaslin2
Streptococcus thermophilus,4.09,0.0073794011708644,Y,Stool,Maaslin2
Clostridium phoceensis,2.32,0.0256811565723118,Y,Stool,Maaslin2
Intestinimonas butyriciproducens,3.2,0.0635685905742964,Y,Stool,Maaslin2
Streptococcus salivarius,-2.47,0.0644673010664273,N,Stool,Maaslin2
Eisenbergiella massiliensis,3.83,0.0644673010664273,Y,Stool,Maaslin2
Massilimaliae timonensis,5.17,0.0747233575684171,Y,Stool,Maaslin2
Enterocloster lavalensis,-3.46,0.084863802748982,N,Stool,Maaslin2
Escherichia coli,-2.66,0.107090872083679,N,Stool,Maaslin2
Enterocloster aldensis,-2.47,0.160354179496592,N,Stool,Maaslin2
Clostridiales bacterium 1 7 47FAA,-3.64,0.195868998385532,N,Stool,Maaslin2
Rothia mucilaginosa,-3.79,0.203791815168923,N,Stool,Maaslin2
Bacteroides fragilis,2.26,0,Y,Stool,AncomBC
Limosilactobacillus fermentum,-4.99,0,N,Stool,AncomBC
Streptococcus thermophilus,6.01,0.09535167424873388,Y,Stool,AncomBC
Streptococcus parasanguinis,-3.99,0.00685547781235591,N,Stool,AncomBC
Clostridium spiroforme,2.88,0,Y,Stool,AncomBC
Clostridia unclassified SGB14844,3.2,0,Y,Stool,AncomBC
Candidatus Avimonas narfia,2.44,0,Y,Stool,AncomBC
Lawsonibacter sp NSJ 51,2.96,0,Y,Stool,AncomBC
Dorea sp AF36 15AT,2.09,0,Y,Stool,AncomBC
Sellimonas intestinalis,3.58,0,Y,Stool,AncomBC
Enterocloster asparagiformis,6.12,0,Y,Stool,AncomBC
Enterocloster clostridioformis,2.39,0,Y,Stool,AncomBC
Clostridium sp AM22 11AC,2.12,0,Y,Stool,AncomBC
Lachnospira pectinoschiza,2.05,0,Y,Stool,AncomBC
Gordonibacter pamelaeae,2.01,0,Y,Stool,AncomBC
Phocaeicola dorei,2.49,0.02695928503186168,Y,Stool,AncomBC2
Klebsiella pneumoniae,-3.2,0.05135411434192098,N,Stool,AncomBC2
Parasutterella excrementihominis,-2.4,0.05150076845243136,N,Stool,AncomBC2
Anaerotruncus colihominis,-2.05,0.17164276960495975,N,Stool,AncomBC2
Lacrimispora amygdalina,-2.1,0.13324926824323294,N,Stool,AncomBC2
Coprococcus catus,-2.31,0.17300490418080772,N,Stool,AncomBC2
