feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
02-2020-56-OR	2913218	589577	103500	0	1509138	54539	5536	221468	43330	2667	7670	7232	2057	1277	0	0	8134	17184	2313	25687	152053	3021	135066	248	0	1231	0	21	540	218358	161	94527	611	17468	0	0	31070	0	0	14	0	0	6277	795	10949	0	0	0	328
01.2020.090.Or	1102519	2924880	49194	1275922	2300520	483813	12962	194062	1492	17894	1350938	1386	11852	324534	0	1484	90825	233900	65293	189802	721902	56673	664085	29530	31906	27272	57700	521528	0	86395	164766	42894	59035	6385	266667	0	53535	5869	0	1055	61391	777	52839	256	18885	5932	71249	0	3113
01.2020.64.Or	72148	2828	0	4529	29347	2283669	0	0	0	8446	423910	0	0	696699	0	0	0	201795	0	3103	1496	9396	0	99908	0	39865	49201	56246	0	28659	157295	12387	318258	854	11632	8548	0	0	0	472	18224	0	2744	0	0	0	0	0	0
01-2020-21-OR	221847	248863	15797	24536	23570	29435	1972462	6714	351327	394331	4146	262028	30503	0	116878	1020062	25204	198	1090	505	3710	43648	113972	12340	1015	20557	0	7587	0	102801	0	8065	1509	40906	0	0	56686	0	42809	1116	759	12236	0	72446	13045	0	0	0	0
02-2020-16-OR	280536	582984	57430	194533	976240	6479	10875	1572286	116154	37060	42473	13119	0	15729	0	439	537195	38904	830407	128713	175562	207	0	0	22891	0	0	0	0	3431	4186	27532	56768	2386	11592	0	32625	0	0	0	0	0	1872	4372	17416	0	0	0	1184
02.2020.043.Or	1419099	704200	0	207130	0	0	805456	56842	15347	10159	7311	0	266	0	3016	1303	15793	2337	7487	540919	660250	197704	275477	0	0	0	0	288	1652	45566	794	72493	0	1373	0	0	52771	1312	2285	0	0	0	222	33644	28877	0	0	0	0
01-2020-43-OR	66664	1390337	0	7849	51781	110	187854	921	0	1032000	14664	49286	143	47344	28769	130259	596	18057	164	308	12680	1770	0	9162	14031	35082	2297	1209	0	19856	0	0	4298	0	5592	0	120591	0	1976	4576	0	0	0	0	4363	0	0	0	1138
01-2020-14-OR	160766	193146	108384	1148374	392385	18324	246355	0	12748	42161	75657	13864	5466	0	105357	0	16640	906	7714	17806	113568	91019	2447	0	0	2512	1353	5867	221	38263	1070	50684	325	5127	3012	0	39425	0	0	0	3503	0	8425	38167	3477	10866	0	0	0
01.2020.030.Or	206944	232086	0	4080	314971	83358	46173	5183	68017	27427	135437	6419	1793	764725	0	0	32	792365	121	0	21288	62687	21266	27672	0	8653	296681	36100	5300	116212	21000	8536	53082	82	4141	0	6163	0	0	2523	471	0	0	0	2962	0	12588	0	0
02-2020-20-OR	29611	0	0	6970	0	34533	52999	0	0	0	750022	2328	31081	0	0	93459	0	37275	0	0	804	0	0	0	603249	0	0	17037	0	35848	356514	0	35197	4867	4196	0	0	8977	0	259	490	121264	0	0	0	56108	1556	442	271
01-2020-16-OR	1452	8743	0	16997	3954	0	0	0	0	0	15816	0	541922	0	0	0	0	131979	0	8603	584	4480	0	0	0	0	359	0	0	271	39190	0	0	0	607	411	0	34894	0	0	1362	38420	0	0	0	5808	210	4288	0
01-2020-27-OR	251062	160028	21702	167588	38040	843	386296	13950	29061	537792	0	70762	16877	148	32480	332011	106191	0	1649	9513	301703	79411	49788	20850	0	25550	0	0	13085	85896	0	9968	0	20195	0	0	15148	861	38795	6766	0	0	0	17910	15747	0	0	634	2423
01-2020-12-OR	43	0	0	0	0	0	0	0	0	292	0	0	474835	0	0	0	0	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0
02-2020-52-OR	88229	218929	0	11986	69198	19463	364633	0	35579	49057	4706	1530	63226	7592	14496	70875	16807	0	13753	69254	38869	80517	80369	16423	0	12634	300	8401	0	26021	0	376	2339	0	0	0	12060	12046	92435	230	18	0	0	107940	6557	405	0	0	4844
01-2020-22-OR	79461	366999	64818	110462	358073	7675	198449	50218	26996	8385	33574	11040	24375	2416	1497	10168	18742	118911	23462	69868	39953	29479	9822	20952	0	8353	12774	9720	1529	245475	19173	18420	3999	25561	1372	0	18962	5272	0	393	4325	0	110686	4415	8707	485	11134	0	6458
01-2020-58-OR	357053	160125	0	934	0	12273	235480	0	33131	92874	3222	13772	914	8706	106858	43759	80645	6545	0	12931	288811	0	64493	3470	1219	4200	3271	9305	17268	13334	2384	19637	0	5230	0	0	13276	2045	17366	0	357	685	261	23303	6161	2522	0	0	2209
02-2020-37-OR	27644	10899	14692	536	25403	128539	12526	4350	3752	22	333125	934	28280	61377	257	3214	187	21115	0	11722	8918	961	0	15674	5600	5913	12547	715	884	9635	62603	487	13152	0	17866	0	0	16829	0	130	2498	0	278	0	151	7967	9533	5228	0
GBM.BM.308.Or	335	8849	0	0	0	0	15725	19	0	0	2994	9345	276545	0	585	10403	0	61330	317	0	0	1522	0	844	16254	0	521	10162	0	3244	9851	0	2059	0	1348	0	1392	415	0	0	0	0	4097	0	0	0	0	0	0
01-2020-42-OR	9743	7872	7696	0	0	0	0	0	551	8088	11658	0	267573	62624	0	0	0	1624	0	0	0	0	0	7907	5352	263	0	0	0	7034	0	0	0	710	0	0	478	0	0	0	0	0	576	0	0	0	0	9849	0
GBM.BM.284.Or	44343	9282	0	332	6746	0	6269	0	4031	4707	78305	235	15461	251085	945	2312	0	75168	0	0	528	2319	0	32293	12318	7731	19376	0	7052	195	262323	274	9221	874	1495	0	639	43520	2385	575	895	0	1026	0	0	26569	0	0	6830
GBM.BM.295.Or	15324	77724	10539	33978	50621	120686	6356	0	0	1927	112555	1019	563	213813	0	0	2844	31088	0	0	2000	744	3837	880	0	110	28027	5874	0	26147	33928	0	1322	0	48891	0	4371	0	0	0	1758	0	0	0	0	0	19695	1637	0
01-2020-24-OR	170067	4034	0	0	0	46480	147150	0	0	199351	22461	25974	6278	8099	0	9623	0	8712	0	0	0	26261	4251	80179	0	21955	2165	0	975	34324	0	0	9193	2515	0	0	7021	0	0	914	1089	0	0	0	1712	0	0	0	0
GBM.BM.257.Or	2288	1161	0	0	0	194816	15177	0	0	13833	43312	626	6237	1616	0	17460	0	4326	0	0	0	0	0	0	0	1260	9916	404	0	12104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
02-2020-53-OR	178910	1485	0	1326	15437	14882	23849	0	547	34028	54766	0	0	32108	0	4629	0	13942	0	0	1770	0	0	24601	1688	3127	0	0	547	14025	0	3090	17830	1337	1021	0	2529	4127	0	0	1950	0	1961	0	0	579	0	1848	437
02-2020-41-OR	0	0	0	0	0	177226	0	0	0	158	4027	0	0	4676	634	182	0	0	0	0	0	0	0	0	0	0	464	27926	0	3910	21705	0	599	0	7314	0	0	0	0	0	234	0	0	0	0	0	0	0	0
02-2020-22-OR	28880	157599	0	0	8522	0	0	0	0	14758	8993	0	0	2801	0	0	0	3590	0	0	2064	0	0	251	0	0	0	1561	0	0	3919	0	0	0	0	0	1484	0	0	0	2952	0	1488	0	0	0	0	0	0
02-2020-10-OR	29406	21568	0	0	30708	0	0	0	0	0	30238	0	6500	0	0	0	0	133996	0	6972	188	0	0	0	0	0	320	0	0	0	60596	0	0	722	0	0	0	0	0	0	0	0	2236	0	0	0	0	6674	0
01-2020-10-OR	0	0	0	0	0	832	14079	0	1658	539	2610	7982	34492	7663	304	2256	0	0	0	0	0	0	0	20736	133675	1919	0	0	0	14562	0	0	3705	33401	0	72808	78	3332	0	452	0	0	1168	0	0	0	0	21022	0
01-2020-44-OR	42964	25302	13587	43564	47071	125328	0	1101	684	0	15546	905	44229	41740	0	2406	3753	976	0	10684	12540	4612	86877	935	0	289	29905	0	751	7867	27871	156	34538	3668	1179	79	3831	13083	187	1072	5783	703	3382	220	0	0	247	2575	1549
01-2020-28-OR	0	129400	0	8300	0	0	0	0	0	0	24099	0	0	0	0	0	0	123498	0	22861	0	0	0	0	0	3749	3826	15071	0	0	10570	0	0	0	0	0	679	21763	0	0	900	0	15505	0	0	39	0	0	1213
01-2020-50-OR	65566	13528	46586	3070	63869	3427	4272	33964	17876	0	23121	2915	13611	11297	376	4008	3231	19084	0	0	4562	69	10893	4211	0	9187	0	0	932	5578	16297	1711	1375	432	0	0	1473	0	0	0	0	0	0	0	534	0	542	0	0
