feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
02-2020-56-OR	4118537.63464499	833509.563314894	146322.26121964	0	2133531.25268101	77104.0560836515	7826.47379818286	313098.536693635	61257.4258806472	3770.44899200753	10843.3984884506	10224.1796438689	2908.06658288695	1805.34809253604	0	0	11499.374616044	24293.7365874231	3269.98444638673	36314.7818739023	214963.659760675	4270.91353762833	190948.430279148	350.607930265417	0	1740.31597643842	0	29.6885747402168	763.42049331986	308701.800148774	227.612406341662	133636.757355641	863.796150774878	24695.2392172432	0	0	43924.9531989778	0	0	19.7923831601445	0	0	8874.05636401622	1123.92461516535	15479.0573728873	0	0	0	463.7072626091
01.2020.090.Or	207957.109904708	551690.802261079	9278.97121469309	240664.380009628	433924.032581733	91256.7975829229	2444.89215930503	36603.9702375446	281.421007690411	3375.16589250149	254813.89630514	261.427289985865	2235.52398334233	61213.5960521447	0	279.912047863653	17131.4095331646	44118.212934844	12315.5642460657	35800.4491297959	136165.139607053	10689.6600327337	125259.698319093	5569.94796052135	6018.10902906854	5144.04404941883	10883.3727504938	98370.6000661963	0	16295.8230290972	31078.159351956	8090.66535112098	11135.1804215841	1204.33856173142	50298.7237652674	0	10097.7705406878	1107.01065290551	0	198.994077153743	11579.5690905644	146.557723173894	9966.49103575982	48.2867144562636	3562.08829104117	1118.89371154123	13438.9848370872	0	587.173992587299
01.2020.64.Or	9000.17933080151	352.781880960063	0	564.974943022676	3660.92286440417	284878.728893277	0	0	0	1053.60529228737	52881.1057842222	0	0	86910.4609911582	0	0	0	25173.1328388741	0	387.08704972386	186.620118075055	1172.11405710776	0	12463.1301849215	0	4973.00201006822	6137.63130308207	7016.46735377642	0	3575.09756946056	19621.9328025506	1545.22954718964	39701.4341833762	106.533142270118	1451.04626567449	1066.32939124704	0	0	0	58.8801442054986	2273.37234745976	0	342.303211228576	0	0	0	0	0	0
01-2020-21-OR	62530.7743094731	70145.6232763049	4452.61212352093	6915.82522394819	6643.54420151853	8296.67898055571	555966.84271598	1892.43766520982	99026.5784338948	111147.875627026	1168.60985403037	73856.3682662494	8597.71017305557	0	32943.7487986883	287519.176295689	7104.11065146683	55.8091536657051	307.232209573831	142.341528288793	1045.71697020084	12302.817874751	32124.6508160997	3478.20684967071	286.092378639852	5794.28672679748	0	2138.50529728134	0	28975.9434645866	0	2273.2364864339	425.333398391662	11529.9456558047	0	0	15977.7660843139	0	12066.3336327029	314.560684297611	213.93508905187	3448.8929507756	0	20419.9492245741	3676.92126045012	0	0	0	0
02-2020-16-OR	91391.584264536	189921.547897155	18709.2518760954	63373.9664846329	318034.477651391	2110.69550592412	3542.8019180313	512211.297148852	37840.0564585754	12073.2173868726	13836.6368611074	4273.84076897955	0	5124.11322930707	0	143.01517627731	175004.641504076	12673.9462822151	270525.748261758	41931.4632897069	57193.6910651413	67.4354020259751	0	0	7457.312984428	0	0	0	0	1117.73364420831	1363.69368541416	8969.2342443437	18493.5888995679	777.298885188293	3776.38251345461	0	10628.4057540939	0	0	0	0	0	609.850592234905	1424.28781477084	5673.69546707431	0	0	0	385.717468593017
02.2020.043.Or	504708.019944155	250451.439712574	0	73666.5815218197	0	0	286463.525738612	20216.0760240587	5458.21960418755	3613.08744112474	2600.18528221901	0	94.6039235494812	0	1072.65200535803	463.416963853286	5616.8412203645	831.163042613299	2662.78035945476	192379.923768653	234820.453096034	70314.1883512279	97974.4550663174	0	0	0	0	102.42830820395	587.540156780988	16205.7232347957	282.389155256722	25782.4143980171	0	488.312733208412	0	0	18768.2092091341	466.617848484659	812.669042520919	0	0	0	78.9551542405445	11965.6180597697	10270.2161666856	0	0	0	0
01-2020-43-OR	28061.1551056325	585240.342705204	0	3303.91225285175	21796.3919435491	46.302758034615	79074.1664348596	387.680364998913	0	434404.057197479	6172.57858017812	20746.1612044912	60.1935854449994	19928.7070580983	12109.8549627076	54830.4632620992	250.876761714823	7600.80819846402	69.0332028879714	129.647722496922	5337.44519889925	745.05347019335	0	3856.59881011947	5906.12725439711	14767.2123397306	966.88577459555	508.909404216814	0	8358.06875941195	0	0	1809.17503666159	0	2353.86384481424	0	50760.8717650205	0	831.765907967265	1926.19473423998	0	0	0	0	1836.53575731841	0	0	0	479.023078576289
01-2020-14-OR	44228.6767268727	53136.807503381	29817.7531217133	315931.61742872	107949.87321619	5041.15467414263	67775.2488402318	0	3507.12943603854	11599.0025221855	20814.1584360188	3814.15457336354	1503.76290377994	0	28984.9887035388	0	4577.86584685295	249.251589978892	2122.21497251344	4898.64659068892	31243.9344047714	25040.4309804512	673.199382647185	0	0	691.081671111455	372.226712187022	1614.08286799797	60.7997807785157	10526.6154385898	294.369979334895	13943.7832080466	89.4114423213466	1410.49989163552	828.637736221219	0	10846.2957339049	0	0	0	963.717792159007	0	2317.81969709952	10500.2046740887	956.564876773299	2989.36840696539	0	0	0
01.2020.030.Or	34413.3400234321	38594.2788033393	0	678.475468221368	52377.4746816551	13861.8524705875	7678.24700837874	861.896654850822	11310.7514514737	4560.91830071261	22522.225977818	1067.43481140024	298.163361402185	127168.419714604	0	0	5.32137622134407	131764.75842579	20.1214538369573	0	3540.04553124914	10424.4097246061	3536.38708509697	4601.66008740728	0	1438.93338885282	49335.9755851431	6003.17754970377	881.352936660111	19325.2429198386	3492.15314525704	1419.47710704353	8827.1653931683	13.6360265671942	688.619341643305	0	1024.86380162948	0	0	419.557256451596	78.324006257908	0	0	0	492.55988648816	0	2093.29637107122	0	0
02-2020-20-OR	43186.5464515132	0	0	10165.4867706949	0	50365.1010979064	77297.077956967	0	0	0	1093879.29967434	3395.30175067113	45330.4869899525	0	0	136306.488967342	0	54364.2065104237	0	0	1172.60421286065	0	0	0	879816.316920364	0	0	24847.8333016254	0	52282.9798788912	519962.460626618	0	51333.5204975824	7098.33918407061	6119.71054373542	0	0	13092.6219139926	0	377.741904391676	714.646846146415	176859.051328773	0	0	0	81831.4392726184	2269.3683522527	644.640624483092	395.243459807507
