feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1564	cohort	MDACC	1.00740629465646	0.00263611613913831	184	64	0	0
X2492	cohort	MDACC	2.24452919992893	0.0036447392022773	184	72	0	0
X2479	cohort	MDACC	0.984436802302254	0.00335951962409473	184	73	0	0
X1468	cohort	MDACC	-0.413460378118434	0.00506949526718706	184	52	0	0
X2502	cohort	MDACC	1.68958733110699	0.00332947486068012	184	64	0	0
X15888	cohort	MDACC	1.13119216509187	0.00405441642954643	184	49	0	0
X5989	cohort	MDACC	-1.89884210068626	0.00384487645677593	184	76	0	0
X7298	cohort	MDACC	0.39561006701096	0.00412851019291474	184	58	0	0
X19351	cohort	MDACC	-0.436125839207406	0.00506072921581147	184	58	0	0
X8249	cohort	MDACC	0.0454634493301415	0.00548627227411313	184	64	1.16370193973824e-16	5.70213950471736e-16
X2524	cohort	MDACC	-3.79419173934295	0.530142356166632	184	88	8.25037910436486e-13	3.67516887376253e-12
X9649	cohort	MDACC	-3.56155631022397	0.562696010331706	184	95	2.46036466759909e-10	1.0046489059363e-09
X1552	cohort	MDACC	2.73684951865814	0.439538559608525	184	122	4.76536500109675e-10	1.79617603887493e-09
X9712	cohort	MDACC	-1.66332463108521	0.272193538865169	184	163	9.91230006366636e-10	3.46930502228323e-09
X8163	cohort	MDACC	-1.81499257595299	0.313558035130716	184	154	7.1069144144058e-09	2.32159204203923e-08
X6952	cohort	MDACC	2.31583326015785	0.503242887125293	184	107	4.18814771955989e-06	1.28262023911522e-05
X6001	cohort	MDACC	-2.54226246619166	0.582844065874842	184	81	1.28983388317089e-05	3.71775648678668e-05
X7285	cohort	MDACC	-1.59497848349775	0.494113604994786	184	111	0.00124676820117744	0.00339398010320525
X6936	cohort	MDACC	1.81097659498792	0.594901854289029	184	86	0.00233330792249099	0.00601747832642414
X13165	cohort	MDACC	1.43250573112022	0.477245444597703	184	113	0.00268554084799783	0.00657957507759467
X6939	cohort	MDACC	0.924211867763079	0.318143414946744	184	152	0.00367233747803726	0.0085687874487536
X8235	cohort	MDACC	2.16349330621858	0.802376648268206	184	60	0.00701026437890926	0.0156137706621161
X8130	cohort	MDACC	-1.18330952145428	0.456518643155894	184	115	0.00954117531420625	0.0203268517563525
X1525	cohort	MDACC	1.8056826119777	0.749901658449664	184	56	0.0160449028179623	0.0327583432533397
X1522	cohort	MDACC	1.89411104211755	0.806535769916019	184	52	0.0188515974384115	0.0369491309792865
X17153	cohort	MDACC	1.92798949788454	0.867283403643176	184	48	0.0262143623000002	0.049403990488462
X6956	cohort	MDACC	1.06553541027248	0.48508001361563	184	110	0.0280477512457793	0.0509014744830809
X1545	cohort	MDACC	1.80429381080051	0.881388753678309	184	49	0.0406479447632903	0.0686810101172835
X1543	cohort	MDACC	1.55997081197893	0.757906621448858	184	64	0.0395649375021727	0.0686810101172835
X17167	cohort	MDACC	1.30150116121131	0.686444824069866	184	73	0.0579597026472123	0.09466751432378
X17130	cohort	MDACC	1.42954268550525	0.801380382763788	184	55	0.0744479836356423	0.117675845101499
X8059	cohort	MDACC	-1.02334794008146	0.698574107766225	184	72	0.142945574179806	0.218885410462829
