feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X8007	cohort	MDACC	0.693041047693928	0.00198413506485188	80	65	0	0
X6956	cohort	MDACC	0.392421808688363	0.00150022083513692	80	60	0	0
X1564	cohort	MDACC	-0.750267629167741	0.00102799314603402	80	61	0	0
X9467	cohort	MDACC	0.876963009111627	0.00212341298813749	80	55	0	0
X1469	cohort	MDACC	-1.38653503310735	0.00192622510248452	80	25	0	0
X17168	cohort	MDACC	0.211804957160951	0.00295748024298967	80	32	0	0
X8071	cohort	MDACC	0.359608496192996	0.00244303029330176	80	58	0	0
X5265	cohort	MDACC	1.16957863884527	0.0061707983501463	80	40	0	0
X1466	cohort	MDACC	-1.33754363527427	0.00186093632709753	80	22	0	0
X17154	cohort	MDACC	0.96679064127929	0.00507102769686448	80	26	0	0
X9463	cohort	MDACC	0.94777460730686	0.00459084988910168	80	30	0	0
X16987	cohort	MDACC	0.984341630181914	0.00363969932153835	80	61	0	0
X1468	cohort	MDACC	-0.694282939717174	0.00227655184348183	80	48	0	0
X8236	cohort	MDACC	2.51585643584596	0.00800283843017562	80	38	0	0
X749	cohort	MDACC	-0.187325253071795	0.00344603906790008	80	43	0	0
X17137	cohort	MDACC	1.78979235716575	0.00902335823429947	80	56	0	0
X7285	cohort	MDACC	-0.8891043908717	0.00537918868012604	80	22	0	0
X17169	cohort	MDACC	0.293218264606284	0.00560297610558877	80	27	0	0
X2036	cohort	MDACC	-2.04684094597914	0.00349901301868758	80	32	0	0
X2483	cohort	MDACC	3.58766851227659	0.0211573929377828	80	44	0	0
X5286	cohort	MDACC	-1.24089760074978	0.00369965486305458	80	28	0	0
X9418	cohort	MDACC	2.02318157419734	0.0120099907604402	80	43	0	0
X3922	cohort	MDACC	-0.5993249850298	0.00480704124939268	80	43	0	0
X19850	cohort	MDACC	-2.49953710533781	0.00219189153370307	80	52	0	0
X1561	cohort	MDACC	-0.45453448270464	0.00266618607720381	80	62	0	0
X9649	cohort	MDACC	-1.03021419192605	0.00374651749358127	80	28	0	0
X15877	cohort	MDACC	4.43016690932849	0.0497111652244724	80	37	0	0
X1528	cohort	MDACC	2.40185168016116	0.0252507649100644	80	27	0	0
X15892	cohort	MDACC	-0.968511339458463	0.00469949655056211	80	34	0	0
X5285	cohort	MDACC	-1.02565061563745	0.00551459877441149	80	31	0	0
X5880	cohort	MDACC	-1.78073865740433	0.00249970455032561	80	47	0	0
X6067	cohort	MDACC	-0.718998187890396	0.00622947478967416	80	28	0	0
X6833	cohort	MDACC	-1.57523894586663	0.00491802945983546	80	41	0	0
X6001	cohort	MDACC	-1.80349164795295	0.00345890122837072	80	43	0	0
X19831	cohort	MDACC	-0.34843390519924	0.00944600903841097	80	38	7.49784010818581e-298	2.65637763832869e-297
X7298	cohort	MDACC	0.166074455387308	0.00534726931449166	80	42	8.95035765883358e-212	3.08290097137601e-211
X2480	cohort	MDACC	-0.271457685493148	0.00941053715774839	80	25	5.66422133282218e-183	1.89827958181068e-182
X1542	cohort	MDACC	-0.0720999611716658	0.00262201216233502	80	32	1.85754944724907e-166	6.06147714365485e-166
X19300	cohort	MDACC	6.16040128055641	0.379680337191056	80	36	3.34455468125105e-59	1.06339687301316e-58
X16971	cohort	MDACC	2.87235847610448	0.62775446562424	80	76	4.74838489658375e-06	1.47199931794096e-05
