feature	X1552	X6602	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X1469	X8059	X5089	X2043	X17130	X16988	X17168	X17153	X8071	X6936	X969	X8095	X17167	X5266	X5265	X2492	X8235	X2479	X17300	X1466	X8047	X17154	X9463	X16987	X17234	X1468	X9712	X4494	X5273	X1542	X8236	X5868	X15878	X749	X1522	X2502	X9434	X4482	X1395	X3934	X5825	X15888	X8255	X8130	X2048	X1540	X5989	X2524	X748	X17007	X9447	X15872	X17137	X17008	X14348	X1457	X8249	X7285	X1464	X17169	X17132	X2036	X1525	X7298	X2483	X5286	X19351	X2497	X1458	X8053	X5884	X9418	X1411	X3922	X9422	X19850	X1520	X1561	X9649	X15877	X15897	X1526	X8028	X2480	X7282	X1528	X15892	X5285	X5880	X16955	X2016	X17151	X6067	X1524	X6055	X4481	X985	X15494	X6833	X8026	X6001	X19831	X2053	X1341	X19882	X6653	X3931	X19300	X5898	X3920	X19800
01.2020.108.SL	31126	28744	47927	0	24652	0	21528	40343	4494	3041	15677	765	71	1855	1935	2214	1627	2906	997	15252	0	11881	0	0	2999	0	2167	7862	283	0	653	0	2244	0	695	593	0	85	16817	0	0	6146	1963	11560	0	1383	0	0	0	0	0	0	0	122	1293	0	0	0	324	2823	0	0	0	0	0	0	0	128	0	1400	0	0	0	161	0	0	14	0	0	8268	0	629	0	0	0	0	0	1117	0	0	1543	0	0	0	0	0	0	0	0	0	0	0	0	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-49-SL	389369	94423	849724	0	0	605260	17891	1213866	1067	110566	327575	10772	7804	409	3034	0	1040106	92258	26930	741700	40359	334981	81885	68892	395787	39050	363948	2898	0	90892	3933	0	29266	21871	0	9345	19217	21021	332	0	0	113020	5936	31001	424799	34738	397118	384	188094	115418	873	6861	5607	60311	0	0	0	89084	13382	353	0	0	959	168168	0	0	0	28582	0	0	0	11943	0	0	47759	63375	0	0	109966	27396	19172	20105	0	0	0	0	781	776	73141	3710	0	0	0	0	0	0	0	1405	0	0	0	0	0	40398	0	0	0	16567	0	0	0	379	0	17158	0	0	0	0	0	0	0	0	0	267	0	0
GBM.BM.298.SL	8987217	14871	509835	0	474536	2121044	0	0	99338	0	6231	230030	58030	203214	744759	18378	0	23238	37638	37173	33928	8864	30602	205123	611134	55071	5893	0	659118	3598	510808	70687	26015	3814	0	10240	105181	0	0	0	190622	83139	468650	93261	183276	0	21369	2995	118857	6413	0	59388	53887	180458	7386	424	0	38600	0	28760	21940	61	5159	499	4296	0	0	64331	0	3896	3196	2418	9618	0	0	78794	23060	16131	25518	7209	101117	99757	40337	541	2713	2465	89	2582	1801	535	13508	0	5765	9390	1685	0	0	0	0	0	647	0	10904	1959	0	0	995	0	0	1902	7881	0	0	499	358	0	92	0	0	877	28	0	0	0	394	0
02-2020-53-SL	4300291	17294	150733	4197	107762	445736	67016	442593	26412	11562	1602675	189869	0	0	127514	0	0	31617	123634	0	14434	0	639	36447	126881	33644	3388	412	0	11592	244673	5871	32024	20684	0	1882	13942	173270	2740	5447	42741	399334	40742	186882	78663	0	11503	950	100417	93427	239918	9299	75504	19813	31757	3855	7885	237751	46585	20579	20356	5736	5043	0	3764	61879	3461	6966	2187	24744	0	31687	0	0	0	2742	0	6719	11192	28280	0	24581	10361	94416	3989	9113	17366	0	388	2378	0	5515	10559	14057	14180	0	0	1125	0	493	0	5822	36374	19616	12037	0	379	1564	8689	0	7310	538	0	3455	0	2733	535	0	0	1568	0	0	595	3718	0	56
02-2020-56-SL	6352210	5954	2096106	252892	223	1907256	39913	4797	617136	93852	10540	9379	27316	1909	1457	0	105	2485	0	24393	7653	80304	11572	44645	215287	53194	5879	198192	33362	31862	1298	380	988	9677	0	0	66480	0	843	0	6891	478038	2342	15856	0	0	167660	871	14041	297520	866	898	112614	46487	18381	116	0	69802	0	4476	897	62	296	0	0	682	0	36680	110	16929	0	0	0	0	2543	19041	0	12070	4900	1253	4307	13364	15969	0	0	0	0	888	4082	0	4198	1960	6105	0	2998	0	1558	0	0	43	0	1746	1482	7136	0	543	0	0	3559	0	0	77	0	80	0	0	401	1265	0	185	0	567	475	0	787	0
02-2020-18-SL	402121	35970	4658746	0	436077	316497	108508	436338	7183	33729	27088	24799	39912	0	287290	13286	13885	35910	5253	972037	35649	869495	0	804116	401794	48451	695414	537459	80582	0	70597	36128	22171	0	0	543616	0	381088	29304	1709	0	469680	8921	45445	0	281238	132628	10394	58712	59552	14828	6970	6874	871	100887	3522	14477	143234	27421	0	3303	801	1758	78719	0	0	0	41231	87	13878	213	120848	0	0	41494	111072	5754	5416	13169	0	4264	61573	9227	0	22086	0	549	23951	41867	2164	32021	29845	0	0	3229	3615	0	8988	38137	0	0	162	0	919	0	0	3181	0	0	0	0	0	0	1523	2528	1139	65	2395	4890	480	9212	0	644	63	0	1248
02-2020-55-SL	864175	0	2244106	4347134	233761	1326715	101539	557	0	0	75962	141127	1830	770	74682	0	0	0	0	0	32981	0	841	146784	467117	143378	93215	1593	64365	0	11563	0	962	0	0	3510	10981	11995	14355	3969	0	360566	0	76797	0	0	96961	4872	0	109563	1602	0	309096	5935	0	4672	1739	34166	2835	0	21705	6487	760	0	0	7800	4404	87308	0	31144	0	0	0	1707	0	232	0	49105	0	5983	0	49360	623	0	0	0	0	3998	12143	1432	0	1536	14481	0	12203	0	0	2261	0	146	4363	871	41383	29144	422	0	0	0	0	0	0	6468	5104	0	4665	1392	6082	3248	0	2469	1489	3652	478	898	2288	1342
01-2020-20-SL	3556934	0	495462	194245	54821	1279284	13384	7016	0	845711	771622	9506	256461	5067	0	0	19651	54899	98386	0	24700	0	31844	6228	72101	232899	166521	23435	20940	15153	8389	1218	20342	0	0	4244	0	0	10289	0	480623	178125	272098	42	0	0	95069	7543	0	79716	3804	1979	2248	145610	275841	0	0	114670	15221	462	292	0	1799	12603	0	0	0	42267	0	1504	1046	2790	0	1027	111241	57548	0	6486	62668	7455	46575	12365	500	0	0	0	3545	0	7681	0	21655	2193	3584	2436	0	261	0	497	0	0	0	0	3178	10441	0	0	0	7506	0	30586	0	0	1114	22881	0	112	100	0	1370	0	0	0	117	0	0	0
02-2020-44-SL	534000	1020	387456	2998269	0	652737	26878	67274	1904	1363	13797	104640	8231	300	53092	0	0	4625	9268	37126	5088	188518	18855	0	64099	86210	44541	175736	75757	0	7526	7768	4887	10457	3936	27411	3615	5189	3725	15516	11188	59465	15927	22377	35969	1896	302789	7398	0	145722	8270	2172	149952	74568	59794	750	2660	27133	0	2925	62763	0	545	0	0	0	2141	2379	0	5620	3494	0	0	2215	0	47146	0	27749	0	611	0	30669	5273	0	0	0	0	1544	1959	0	11772	35317	10273	0	0	0	0	0	0	312	1697	0	0	17488	1560	172	1053	0	2835	0	1037	1946	24478	0	0	0	0	0	0	729	0	106	125	378	0	4220
01-2020-50-SL	403170	44775	562047	2972636	80433	679201	0	6684	1778203	653964	0	29172	2524	2048	21606	0	1709	121534	12116	224281	5136	35991	318	1773	386593	52131	2272	27489	291411	123581	24814	0	27111	0	0	0	58307	11152	0	1419	91845	12951	0	436327	166084	0	262203	0	11581	193335	7608	356	193966	61546	42484	248	0	6659	0	990	7620	0	0	0	0	0	0	32052	0	3000	0	0	0	0	2609	15716	508	1328	0	0	0	25983	1796	0	0	327	0	383	19827	509	54865	4230	28830	0	1075	0	7911	0	112	742	0	0	7888	40483	0	14592	0	2116	0	17301	358	2268	0	12347	0	1087	1864	9880	1639	655	0	3140	0	268	1544	2728
