feature	X1552	X6602	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X1469	X8059	X5089	X2043	X17130	X16988	X17168	X17153	X8071	X6936	X969	X8095	X17167	X5266	X5265	X2492	X8235	X2479	X17300	X1466	X8047	X17154	X9463	X16987	X17234	X1468	X9712	X4494	X5273	X1542	X8236	X5868	X15878	X749	X1522	X2502	X9434	X4482	X1395	X3934	X5825	X15888	X8255	X8130	X2048	X1540	X5989	X2524	X748	X17007	X9447	X15872	X17137	X17008	X14348	X1457	X8249	X7285	X1464	X17169	X17132	X2036	X1525	X7298	X2483	X5286	X19351	X2497	X1458	X8053	X5884	X9418	X1411	X3922	X9422	X19850	X1520	X1561	X9649	X15877	X15897	X1526	X8028	X2480	X7282	X1528	X15892	X5285	X5880	X16955	X2016	X17151	X6067	X1524	X6055	X4481	X985	X15494	X6833	X8026	X6001	X19831	X2053	X1341	X19882	X6653	X3931	X19300	X5898	X3920	X19800
01.2020.108.SL	231268.284139591	213569.863114708	356100.849899061	0	183166.026492617	0	159954.49530801	299751.217215303	33390.7237975751	22594.8355737485	116481.169776276	5684.00171454048	527.534799650162	13782.7753993106	14377.1808073671	16450.1696679642	12088.7199863495	21591.7764476531	7407.77739790439	113323.391045976	0	88276.633163994	0	0	22282.7727345188	0	16100.956490731	58415.1914767546	2102.70913099994	0	4851.83414326135	0	16673.0716959854	0	5163.89698249102	4406.03008721896	0	631.555746060053	124951.446841081	0	0	45665.1954739422	14585.2227001869	85891.5814641672	0	10275.7834917771	0	0	0	0	0	0	0	906.468247286194	9607.07740771352	0	0	0	2407.34190262891	20975.0808367945	0	0	0	0	0	0	0	951.048652890433	0	10402.0946409891	0	0	0	1196.24088371375	0	0	104.020946409891	0	0	61431.7989226414	0	4673.5125208444	0	0	0	0	0	8299.38550998917	0	0	11464.5943078901	0	0	0	0	0	0	0	0	0	0	0	0	9911.71017934248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-49-SL	178166.365842675	43205.8093016211	388814.304809323	0	0	276953.159059755	8186.51318233167	555437.371336662	488.234842409474	50592.4775874844	149890.84208274	4929.02129562779	3570.93224945036	187.1490633041	1388.28913952235	0	475928.761948592	42215.1547244735	12322.5532390695	339384.98839279	18467.3570804161	153279.658617777	37468.7067204309	31523.4065260295	181103.096131882	17868.3885624086	166534.296555992	1326.05864414494	0	41590.1043076681	1799.65101705385	0	13391.4535126107	10007.6703264645	0	4276.05867133696	8793.26051226135	9618.72973035572	151.915621068365	0	0	51715.371967309	2716.17809235486	14185.3499058445	194378.325042832	15895.3157972074	181712.131347671	175.709634006783	86067.520569979	52812.6420255076	399.464871062297	3139.43697635558	2565.63520280217	27596.9368140185	0	0	0	40762.8047808862	6123.29771426765	161.524741678111	0	0	438.816507845066	76949.8378428457	0	0	0	13078.4707270362	0	0	0	5464.8441639141	0	0	21853.4281524218	28998.9532686977	0	0	50317.9312843488	12535.7842011715	8772.66953952618	9199.58904090204	0	0	0	0	357.367771248172	355.079885388708	33467.6519294014	1697.61130772179	0	0	0	0	0	0	0	642.895926509195	0	0	0	0	0	18485.2025901199	0	0	0	7580.68100674579	0	0	0	173.42174814732	0	7851.10911533435	0	0	0	0	0	0	0	0	0	122.173104895342	0	0
GBM.BM.298.SL	4762117.54950658	7879.79750335531	270149.72497634	0	251445.604737557	1123891.95183288	0	0	52636.8989569168	0	3301.66217762134	121887.554279929	30748.7491842989	107678.378713392	394630.496187304	9738.0753491133	0	12313.2764698387	19943.5020127286	19697.1093129061	17977.6591818868	4696.82772306781	16215.2890321888	108689.913474598	323825.712286702	29180.8438105897	3122.56382807295	0	349251.319401287	1906.49663217486	270665.295077259	37455.3995104348	13784.744270714	2020.95001531821	0	5425.93816383285	55732.9689462991	0	0	0	101006.170377553	44053.4250979394	248326.750046901	49416.8378024625	97113.6955971318	0	11322.9367795844	1586.98093756635	62979.5637049493	3398.09975045509	0	31468.3218431353	28553.4697103966	95620.5028485301	3913.66985137397	224.667752096204	0	20453.2434691356	0	15239.2560148274	11625.4964174309	32.3224832025199	2733.63427609509	264.408510132089	2276.3506202955	0	0	34087.502736087	0	2064.39991077078	1693.48616910252	1281.24203907694	5096.35481052191	0	0	41751.1105157271	12218.9584041002	8547.44223835818	13521.3955141296	3819.88166240928	53579.549737528	52858.9173251439	21373.6394252467	286.663334632185	1437.55568735142	1306.14624744609	47.1590328692504	1368.14182998207	954.308069635055	283.484073989314	7157.57546064982	0	3054.73960102504	4975.54290609282	892.842363872886	0	0	0	0	0	342.830272656236	0	5777.77634164389	1038.02859989732	0	0	527.227389942743	0	0	1007.82562379005	4175.95885441081	0	0	264.408510132089	189.695885024625	0	48.7486631906858	0	0	464.70193063295	14.8365496667305	0	0	0	208.77144888185	0
02-2020-53-SL	2891868.79179865	11629.9057169308	101365.246815666	2822.40744153801	72468.0178020061	299749.488530233	45067.06149681	297635.877239131	17761.5976521091	7775.23822708185	1077770.27552226	127683.506913839	0	0	85750.8845604666	0	0	21261.8670667399	83141.6539497524	0	9706.60686470329	0	429.716072228447	24509.9556878094	85325.2033809351	22624.9883162032	2278.36940956178	277.062631859343	0	7795.41269056675	164538.216808061	3948.14250399564	21535.5672880184	13909.6200907249	0	1265.61134261962	9375.74566355087	116520.976267642	1842.60099828786	3663.01008674233	28742.5581269422	268544.973376017	27398.2663767314	125674.802832859	52899.4607037657	0	7735.56178222821	638.858010355281	67528.6366587855	62827.986666803	161340.564345703	6253.41119820395	50775.0896988054	13323.8881675465	21356.0145630028	2592.41855781011	5302.52148594883	159883.295599977	31327.5793814745	13839.0094685277	13689.0459566233	3857.35741831357	3391.3273118123	0	2531.22268523924	41612.5208660783	2327.46060404171	4684.51042119462	1470.71838804947	16639.8974823485	0	21308.9408148714	0	0	0	1843.94596252019	0	4518.40733850224	7526.41984410137	19017.7942451025	0	16530.2828974139	6967.58720556954	63493.0714796886	2682.53116137602	6128.32952459755	11678.3244292945	0	260.92306107142	1599.16247223669	0	3708.73887064145	7100.7386645699	9453.08110690967	9535.79640719777	0	0	756.542380683885	0	331.533683268583	0	3915.19088030363	24460.8644933295	13191.4091906623	8094.66723225949	0	254.870722025949	1051.76202967964	5843.19710734425	0	4915.84426915485	361.795378495938	0	2323.42571134473	0	1837.89362347472	359.777932147448	0	0	1054.4519581443	0	0	400.126859117255	2500.28850789572	0	37.6589985051534
02-2020-56-SL	17859351.4255176	16739.776926067	5893239.31027722	711010.357135864	626.968467335059	5362284.17549594	112216.109581813	13486.8508421806	1735088.84330623	263866.567696547	29633.3975144014	26369.2253593521	76799.4199718586	5367.18746252299	4096.38142110843	0	295.209368027718	6986.62170998933	0	68581.3534695251	21516.5456525346	225776.124667599	32534.8838744453	125520.211767595	605283.23061508	149555.877360633	16528.9130917615	557220.333982377	93797.8565346737	89580.5798485634	3649.35009238075	1068.37676048127	2777.77957725129	27207.0576609927	0	0	186909.702728407	0	2370.10949759397	0	19374.1690959905	1344012.34164985	6584.57466591349	44579.4260899762	0	0	471379.072795498	2448.83199573469	39476.5212997828	836482.773101017	2434.77440678099	2524.74297608468	316616.264486414	130699.027538138	51678.5085115951	326.13606372586	0	196249.564829246	0	12584.353631353	2521.93145829394	174.314103025891	832.209266059092	0	0	1917.4551332848	0	103126.47256435	309.266956981419	47596.1846794404	0	0	0	0	7149.68974185226	53534.1102534837	0	33935.0197342339	13776.4371746269	3522.83179179744	12109.2071247179	37573.1237554517	44897.1276003298	0	0	0	0	2496.62779817728	11476.6156218014	0	11802.7516855273	5510.57486985074	17164.3161124688	0	8428.93033663904	0	4380.34471797319	0	0	120.895265001827	0	4908.91006263234	4166.66936587694	20062.9909547219	0	1526.65416037191	0	0	10006.1918172443	0	0	216.486869886993	0	224.921423259214	0	0	1127.41863408681	3556.57000528632	0	520.130791286932	0	1594.13058734968	1335.47095060158	0	2212.66450131252	0
02-2020-18-SL	111935.145678812	10012.6757619395	1296817.15749882	0	121387.200673875	88100.6905928988	30204.4876724085	121459.853116852	1999.47317203257	9388.86685500299	7540.2658059332	6903.09553017342	11109.9781765507	0	79970.5760257882	3698.31554554151	3865.05429398193	9995.97405091042	1462.23480059684	270578.018059727	9923.32160793387	242034.237187311	0	223835.217764463	111844.121353704	13486.9100178407	193576.727893061	149608.081799729	22430.954635769	0	19651.5115586779	10056.6569343161	6171.56058709927	0	0	151321.955713164	0	106080.360877565	8157.1156666076	475.720402478583	0	130740.993935717	2483.26606817521	12650.1542952833	0	78285.930106654	36918.5755061027	2893.29307393937	16343.1809656656	16577.0049200729	4127.54951898913	1940.1820978793	1913.45936023275	242.453171772291	28083.0920098635	980.390437407588	4029.84450946895	39870.8812923448	7632.96030214465	0	919.429192151409	222.967842238353	489.36013315234	21912.3665083157	0	0	0	11477.1374573402	24.2174809921806	3863.10576102854	59.2910741532698	33639.4729073913	0	0	11550.3466240177	30918.2074570516	1601.69408768974	1507.60778222587	3665.74720903479	0	1186.93493046734	17139.5742199027	2568.44479442357	0	6147.89982980806	0	152.820655916174	6667.04468096228	11654.1755942486	602.375044449182	8913.4248143749	8307.70942771989	0	0	898.830415215531	1006.27808950268	0	2501.9163121577	10615.8858919401	0	0	45.0946197785432	0	255.814540595563	0	0	885.469046392259	0	0	0	0	0	0	423.945098288403	703.698758025662	317.054147702227	18.0935202815143	666.676631911179	1361.18944887084	133.613688232721	2564.2693666663	0	179.265031712234	17.5367965805446	0	347.395589405074
02-2020-55-SL	398381.921776193	0	1034525.7163763	2004014.92422094	107763.076247664	611611.388143954	46809.1555011807	256.775225422327	0	0	35018.2399883856	65059.0973755417	843.624169699925	354.96754681363	34428.1640664097	0	0	0	0	0	15204.1359239744	0	387.698320610731	67666.9563525868	215339.448785639	66096.801203954	42971.8180210812	734.367924771574	29672.0599359211	0	5330.50616078701	0	443.478935110015	0	0	1618.0988172933	5062.2060150136	5529.65678445388	6617.60926559696	1829.69635493935	0	166219.777252472	0	35403.1723281121	0	0	44698.7120864888	2245.97647802079	0	50508.1939370672	738.516896097967	0	142492.271233644	2736.01609134921	0	2153.77711521205	801.673459621951	15750.4171486162	1306.92596781382	0	10005.935848818	2990.48633270132	350.357578673193	0	0	3595.77514954067	2030.22996904834	40248.7098405252	0	14357.2847765762	0	0	0	786.921561572553	0	106.951260858133	0	22637.2485536147	0	2758.14393842331	0	22754.8027411958	287.20101514921	0	0	0	0	1843.06526254661	5597.88431293235	660.147437710543	0	708.091106371085	6675.69486416646	0	5625.54412177497	0	0	1042.31379655275	0	67.3055348503766	2011.32909967255	401.528225032041	19077.4311555694	13435.2911484889	194.540655526431	0	0	0	0	0	0	2981.72739323449	2352.92773887892	0	2150.55013751374	641.707565148796	2803.78262301363	1497.31765201386	0	1138.20113387383	686.424256111032	1683.5603648875	220.356477112877	413.97513901122	1054.76071053193	618.657724446612
01-2020-20-SL	1682313.09401302	0	234337.271983646	91871.5126416624	25928.5345544471	605059.364093163	6330.19292746794	3318.33783466191	0	399993.558792725	364951.892340008	4496.02614827482	121297.639597382	2396.52477312314	0	0	9294.27833365754	25965.4259955964	46533.3503707308	0	11682.2896972847	0	15061.167332807	2945.63968561494	34101.4076706041	110153.586567122	78758.9701490503	11083.9861965938	9903.93304700976	7166.87189404675	3967.72179232879	576.074042562459	9621.09866486497	0	0	2007.27277227839	0	0	4866.35946135069	0	227318.911788585	84247.281470803	128693.427613432	19.8646221573262	0	0	44964.5181874962	3567.59154601694	0	37703.0528546051	1799.16720682068	936.00207736544	1063.23025261117	68868.7531506729	130463.743821405	0	0	54235.1481614427	7199.03366325385	218.510843730588	138.106420712839	0	850.867982405471	5960.80554878052	0	0	0	19990.9043981835	0	711.342660109966	494.723685156266	1319.57847187952	0	485.737308466047	52613.3436524552	27218.3160930906	0	3067.66522172423	29639.9081275075	3525.9704329254	22028.4470708921	5848.23935655567	236.483597111026	0	0	0	1676.66870351717	0	3632.86101881958	0	10242.1045908785	1037.21705692896	1695.11442409183	1152.14808512492	0	123.444437691955	0	235.06469552836	0	0	0	0	1503.08974323768	4938.25047487244	0	0	0	3550.09175983072	0	14466.1746024757	0	0	526.885454363366	10821.9623709948	0	52.9723257528698	47.2967194222052	0	647.965056084211	0	0	0	55.33716172398	0	0	0
02-2020-44-SL	1137315.61282617	2172.40060876909	825205.539481605	6385726.86358186	0	1390202.21192756	57244.885845584	143280.469170914	4055.14780303564	2902.92355858066	29384.9129403796	222862.744805488	17530.4209909592	638.941355520321	113075.58149095	0	0	9850.34589760495	19739.0282765411	79071.1225501582	10836.4453896247	401506.488199933	40157.4641944522	0	136518.33982499	183610.447531356	94863.6230541021	374283.326845731	161347.60090051	0	16028.9088054865	16544.3214989395	10408.354681426	22271.36584892	8382.91058442662	58380.0716538918	7699.24333401987	11051.5556459832	7933.52183104399	33046.046907511	23828.2529518712	126648.82568672	33921.3965645739	47658.6357082608	76606.9387223681	4038.10936688843	644881.380322142	15756.2938271311	0	310359.374030441	17613.4833671769	4625.93541396713	319368.447143277	158815.263328131	127349.531373274	1597.3533888008	5665.28001894685	57787.9859977763	0	6229.67821632313	133672.920988406	0	1160.74346252858	0	0	0	4559.91147389669	5066.80494927615	0	11969.501393414	7441.53698729334	0	0	4717.51700825837	0	100411.763824537	0	59099.9455811113	0	1301.31056074305	0	65318.9747748424	11230.4592255288	0	0	0	0	3288.41817641125	4172.2870515477	0	25072.0587906174	75218.3061763706	21879.4818175342	0	0	0	0	0	0	664.499009741134	3614.27826772662	0	0	37246.0214177979	3322.49504870567	366.326377164984	2242.68415787633	0	6037.99580966704	0	2208.60728558191	4144.59959280848	52133.3550014214	0	0	0	0	0	0	1552.62749391438	0	225.759278950514	266.225564800134	805.066107955605	0	8987.77506765252
01-2020-50-SL	277990.600546108	30872.9050759034	387538.217290816	2049668.54390203	55459.5281735375	468317.319943243	0	4608.69899558545	1226092.51646425	450916.10262553	0	20114.4475013792	1740.32858540659	1412.12081731882	14897.5988178664	0	1178.37620937396	83799.1657285282	8354.12881964592	154644.467299357	3541.33423718236	24816.2306328719	219.264853470403	1222.50498491517	266560.558168816	35944.9562146716	1566.57153171307	18953.9986070689	200931.415769382	85210.5970337292	17109.5536918697	0	18693.3630265286	0	0	0	40203.3830543987	7689.4391380564	0	978.417695202836	63328.2404622301	8929.87143803518	0	300852.753837046	114516.93057792	0	180792.145831761	0	7985.23983660609	133306.825300945	5245.80819246172	245.466313947998	133741.907447296	42436.7128040548	29293.2328139516	170.999005222201	0	4591.46119263966	0	682.616996653141	5254.08233787569	0	0	0	0	0	0	22100.2424007338	0	2068.53635349437	0	0	0	0	1798.93711542227	10836.3724438392	350.27215585838	915.672092480173	0	0	0	17915.5933576147	1238.36376362529	0	0	225.470462530886	0	264.083141129448	13670.9567602443	350.961667976211	37830.0823448228	2916.63625842706	19878.6343570809	0	741.225526668815	0	5454.73036416465	0	77.225357197123	511.61799143094	0	0	5438.87158545452	27913.5190661708	0	10061.3608233966	0	1459.00764133136	0	11929.249150602	246.845338183661	1563.81348324174	0	8513.40611886498	0	749.499672082792	1285.25058763783	6812.37972417478	1130.11036112576	451.630437179604	0	2165.06804999077	0	184.78924757883	1064.60670993177	1880.98905744421
