feature	X1814	X1934	X1830	X1867	X1861	X4837	X6602	X9226	X1815	X17244	X1871	X4584	X4725	X2303	X8002	X1949	X4758	X4742	X1836	X4761	X1812	X15342	X15106	X4749	X1855	X14874	X10068	X17248	X4811	X4987	X4862	X1844	X8007	X2318	X4868	X4933	X4608	X4540	X2301	X2295	X4925	X1877	X15286	X1790	X4037	X4198	X14809	X13976	X4826	X15078	X4938	X4581	X15271	X4285	X4532	X15234	X4820	X15300	X4874	X14027	X5075	X9286	X4699	X5089	X14993	X1965	X5082	X5090	X4041	X15254	X4951	X15249	X15132	X8071	X2290	X15346	X4577	X4910	X4575	X4914	X5087	X4262	X4557	X4753	X5117	X15236	X15452	X5792	X4716	X4714	X9712	X15120	X2328	X14546	X9262	X4964	X6754	X15126	X14853	X4705	X4959	X15265	X4871	X2325	X15154	X14987	X5825	X4936	X4721	X4644	X4768	X14963	X4652	X4940	X15143	X5045	X4815	X5190	X4993	X5043	X4552	X25431	X15124	X14797	X4121	X6747	X4046	X3813	X49188	X15350	X14837
01-2020-09	34755214	0	0	0	0	2091741	7877	0	0	0	0	94094	0	0	25218	0	2688159	546920	0	0	0	329305	168	0	0	66283	36576	0	21004	0	678503	0	7796	0	410074	22186	187519	0	0	0	2019244	0	0	0	25701	0	128424	0	0	156139	0	0	116179	0	0	0	4388	66426	88635	0	0	0	5776	0	0	0	0	0	137749	0	202561	0	96639	22043	0	0	0	64271	0	0	0	0	0	119494	0	0	0	0	0	209263	50665	0	0	0	0	74330	0	0	0	0	0	0	0	0	98250	0	0	0	3729	0	0	0	0	15232	10897	0	12567	0	0	0	0	0	0	0	1231	8163	0	0	0	0	0
01-2020-58	1896754	373737	195486	0	0	218095	20258	3436	1247	436255	1733	0	0	2255	67126	105118	0	0	11920	0	489992	54775	36745	455200	0	22718	78996	16451	30522	0	0	0	0	103731	45554	22662	158661	328	556	9148	0	58978	53889	9551	0	0	0	2559	130194	20688	4729	117515	2089	0	23900	5070	36380	8078	42457	0	0	305294	0	0	6008	139492	0	839	0	39052	2993	1422	122566	0	1340	0	137265	18923	71867	4914	0	0	0	0	0	693	0	0	2593	0	0	6836	1856	93253	39351	21863	1179	24	16879	206040	28830	0	0	5401	554	0	0	0	13110	0	2516	0	0	2101	0	12225	206	0	172	0	5869	0	817	0	0	0	0	0	0	5660	579
01.2020.108	0	17425031	0	0	0	0	2632	0	0	0	0	40389	261276	0	33123	0	2487596	1240630	0	611992	0	1146781	0	0	0	39178	2191	614086	0	0	0	0	166060	0	0	0	4318	0	0	0	0	0	0	0	277867	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	1145386	462795	0	0	0	0	1324	0	0	0	6103	0	0	0	0	0	0	0	0	0	0	5942	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26296	0	0	17	0	0	0	0	0	0
02-2020-13	0	2123741	15222321	633762	553011	546321	25576	0	7052515	0	1759778	0	115593	2963817	29446	322986	744837	47942	3538418	4100	0	767630	734231	2861	0	684910	51515	0	115959	158239	955744	0	4287	613270	0	15204	482358	16794	832590	0	0	287610	755343	169157	69842	209316	55680	51823	187210	931791	0	85463	88918	691582	65835	0	327620	166161	0	0	0	0	0	114448	20490	586464	5285	0	37603	0	0	657464	111156	5536	0	0	16261	128743	457	26593	0	0	0	18247	0	0	0	160707	5396	0	0	0	0	7773	307680	143755	0	108046	29496	23883	4340	1837	0	0	252042	0	0	98766	142132	0	0	61835	0	0	162004	0	26195	5419	5957	0	52884	6605	79578	57115	11633	0	0	5757	0	19333	4220
01-2020-14	12886028	0	1673883	133355	298664	1068225	6521	0	0	0	1076162	9029	12288	64297	1248	1783686	2185606	847614	4651627	12632	0	1895853	20004	12069	160434	36505	0	1514471	55335	8050	35962	49987	21797	100447	212124	827256	114089	45255	0	42108	0	998183	0	0	283677	44752	48618	0	155287	92660	0	0	29161	0	21327	0	38726	765504	47182	11118	0	1188059	160498	229813	0	82822	0	5405	53613	0	0	1504	180951	0	3524	0	0	0	0	23760	138172	0	0	36684	0	0	118283	6508	34236	0	57	81112	10035	6022	0	39578	0	1285	0	0	23667	0	0	0	107822	8323	0	844	161110	3513	0	5934	0	0	237	0	4098	0	9094	5056	0	45004	3103	360	14562	0	0	0	0	0	3276
GBM.BM.291	17506	965858	51887	12425106	105182	0	0	0	0	0	2898	0	0	0	6021	51341	0	0	2107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-19	5823309	1665487	10271209	0	891992	375716	3745	0	0	0	669200	4814	0	89353	301	363053	240183	278474	1647181	7691	1222503	415784	29777	757208	0	241087	0	0	222000	246680	6552	46670	0	366641	0	1330	61284	32598	21593	80574	94185	123351	51797	122016	61713	5257	2764	16490	8568	274308	41969	108483	13020	211277	3755	0	0	0	105309	5299	6824	234440	4541	158784	7951	17968	7084	2959	0	0	22349	9329	82334	0	111661	2876	0	0	6974	3215	0	1740	0	440215	0	0	49032	125078	0	0	0	20193	63828	4789	16106	23583	0	19954	2134	27818	0	0	214	20358	53239	13428	0	0	54941	315	507	1421	0	0	25876	0	5169	0	293	0	0	7069	5959	13238	0	0	0	0	0	0	0
02-2020-30	0	8104215	0	0	10224725	0	42303	78344	0	768119	6775712	368939	232872	0	36384	0	1400534	466967	0	76004	0	2105	91201	0	0	181756	88925	0	0	128777	18134	0	88	0	0	0	92589	0	0	254781	9052	0	0	561109	75279	0	46946	3454	0	120143	0	0	126090	0	0	0	0	0	0	0	0	0	256854	23072	0	0	11463	0	916531	0	0	0	137087	0	0	0	0	0	0	0	0	762	0	163811	0	0	151692	0	0	0	57075	33225	0	0	0	511486	0	325473	286976	0	0	0	0	0	12564	65891	0	8415	2789	2263	0	2546	119905	0	5987	0	0	0	0	23473	0	35277	33446	0	0	0	4908	0	0	0	7756
02-2020-47	0	886198	9479161	323119	124202	637805	63124	0	4539536	0	175436	0	16649	385105	10369	418121	90968	3743	465533	2708	0	1713705	48458	127967	0	130246	0	0	2929	6237	213419	0	52971	418745	0	4086	120844	102500	136069	0	1053027	398449	55983	180228	1879	96778	618	529	67184	94022	0	179198	13192	0	40421	0	49994	23048	118927	0	238805	0	0	18368	29020	403101	45389	89829	50742	0	0	7118	44074	3834	0	0	89987	17161	3917	207804	0	101106	0	26403	0	0	0	63639	40973	0	19528	0	0	1234	150281	63715	0	0	2494	74444	60736	0	0	0	106333	0	0	8005	90071	2474	0	14151	5540	854	60306	0	3144	41560	9680	0	7646	1441	19451	9310	2091	0	0	952	0	8734	2006
GBM.BM.308	0	0	0	0	37024	9047864	2242	7350030	0	6920586	0	1004225	0	0	343214	27434	120942	78288	8136	14514	0	0	0	0	0	264579	814436	177257	0	17017	142114	0	45347	0	323614	2109	439035	0	0	0	0	0	130333	0	56767	0	1653032	2273	0	1269	0	0	90286	0	0	0	463849	0	178453	0	0	0	58186	190311	0	0	0	0	556485	0	646	243916	2127	11175	0	0	0	0	0	0	0	0	0	7967	0	0	0	0	0	0	0	81828	0	0	0	304883	0	0	1071	0	0	0	0	0	0	0	104320	0	39789	0	0	698	0	0	0	0	0	0	36201	0	0	0	0	0	2957	13077	0	0	0	0	0
02-2020-41	8956120	0	4496793	0	0	2425	0	0	0	0	5910605	521888	724489	0	243206	0	0	0	0	0	0	0	0	0	2464872	0	375462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19788	0	0	0	0	0	0	0	0	0	54343	0	0	0	0	0	55542	0	0	0	0	0	0	0	0	0	0	0	0	9071	776	0	0	0	0	0
GBM.BM.298	8317097	0	632508	2159370	1297664	1086122	189543	0	0	47823	64332	17332	0	0	5168932	0	59246	200222	2483051	28644	3756525	2384677	696830	0	591504	1000939	57336	48302	747627	192270	5559	0	206768	2432873	537208	1348583	518879	101416	0	0	113928	0	517472	0	82547	0	13508	319252	170566	188117	0	540693	66643	603890	314779	0	716332	190470	77254	0	0	0	7934	145400	9543	0	7286	20582	3741	191434	188511	16782	296117	48946	0	22651	115147	0	2035	18330	1375	36483	0	29747	0	105719	0	0	3994	0	0	0	0	49005	197654	377418	0	7201	237657	0	16083	8052	0	0	86701	0	0	0	53814	425	0	35459	1635	23045	86186	0	22877	0	0	37284	4665	10193	26483	27673	15600	51687	355	1609	0	0	1428
