feature	X1814	X1934	X1830	X1867	X1861	X4837	X6602	X9226	X1815	X17244	X1871	X4584	X4725	X2303	X8002	X1949	X4758	X4742	X1836	X4761	X1812	X15342	X15106	X4749	X1855	X14874	X10068	X17248	X4811	X4987	X4862	X1844	X8007	X2318	X4868	X4933	X4608	X4540	X2301	X2295	X4925	X1877	X15286	X1790	X4037	X4198	X14809	X13976	X4826	X15078	X4938	X4581	X15271	X4285	X4532	X15234	X4820	X15300	X4874	X14027	X5075	X9286	X4699	X5089	X14993	X1965	X5082	X5090	X4041	X15254	X4951	X15249	X15132	X8071	X2290	X15346	X4577	X4910	X4575	X4914	X5087	X4262	X4557	X4753	X5117	X15236	X15452	X5792	X4716	X4714	X9712	X15120	X2328	X14546	X9262	X4964	X6754	X15126	X14853	X4705	X4959	X15265	X4871	X2325	X15154	X14987	X5825	X4936	X4721	X4644	X4768	X14963	X4652	X4940	X15143	X5045	X4815	X5190	X4993	X5043	X4552	X25431	X15124	X14797	X4121	X6747	X4046	X3813	X49188	X15350	X14837
01-2020-09	16792570.9763383	0	0	0	0	1010660.1330844	3805.90611758617	0	0	0	0	45463.1116196716	0	0	12184.504312973	0	1298829.60303978	264253.671934776	0	0	0	159109.294661891	81.1720487183543	0	0	32025.7553880874	17672.3146066817	0	10148.4387576209	0	327830.229592557	0	3766.76959409696	0	198134.20658411	10719.5421003893	90602.9845453397	0	0	0	975631.978227646	0	0	0	12417.8739530382	0	62050.233241702	0	0	75441.2054454471	0	0	56133.8538574386	0	0	0	2120.13660581035	32094.8482628893	42825.5032032817	0	0	0	2790.77234165008	0	0	0	0	0	66555.7651125273	0	97870.7819073724	0	46692.7715243633	10650.4492255874	0	0	0	31053.6234712937	0	0	0	0	0	57735.5523187561	0	0	0	0	0	101108.966850887	24479.6538590203	0	0	0	0	35913.7998883052	0	0	0	0	0	0	0	0	47471.1534915375	0	0	0	1801.72958137347	0	0	0	0	7359.59908379745	5265.07032668992	0	6071.95914430689	0	0	0	0	0	0	0	594.778523644608	3944.09186719004	0	0	0	0	0
01-2020-58	1991460.2758077	392397.954136141	205246.754970093	0	0	228984.63841504	21269.4963433911	3607.56192298804	1309.26359661411	458037.522326295	1819.52992215899	0	0	2367.59375329978	70477.6489064305	110366.616478655	0	0	12515.1740750924	0	514457.648943177	57509.9546948981	38579.7039756099	477928.459646146	0	23852.3258924454	82940.3264459731	17272.4101266229	32045.9851610713	0	0	0	0	108910.362582501	47828.5436087885	23793.5297726295	166583.056537604	344.37727320724	583.761475314712	9604.76614420681	0	61922.8134732214	56579.7160849542	10027.8882207389	0	0	0	2686.77268944307	136694.678987633	21720.9665491201	4965.12233230805	123382.607502893	2193.30525527416	0	25093.3439928446	5323.14870475826	38196.4792660957	8481.34028343929	44576.9081968287	0	0	320537.546483327	0	0	6307.98371167409	146456.934738489	0	880.891866527057	0	41001.8941258816	3142.44261801607	1493.00147103871	128685.807524142	0	1406.9071527369	0	144118.739045097	19867.8388442092	75455.3704072706	5159.35951384262	0	0	0	0	0	727.601982721395	0	0	2722.470333617	0	0	7177.32634038017	1948.6713996117	97909.188592667	41315.8234084699	22954.6351345424	1237.86830826627	25.1983370639444	17721.7804709299	216327.723693963	30269.5023980632	0	0	5670.67577009849	581.661613892717	0	0	0	13764.5916211796	0	2641.62566887017	0	0	2205.90442380613	0	12835.4029419467	216.285726465523	0	180.588082291602	0	6162.04334284541	0	857.793390885108	0	0	0	0	0	0	5942.60782424689	607.909881667659
01.2020.108	0	11001303.1929541	0	0	0	0	1661.71469100142	0	0	0	0	25499.6180299607	164956.750610216	0	20912.2248138451	0	1570545.14379802	783272.453304368	0	386381.495887289	0	724020.833989857	0	0	0	24735.0524939414	1383.28909117938	387703.543973519	0	0	0	0	104842.075071313	0	0	0	2726.1717461034	0	0	0	0	0	0	0	175431.48785885	0	0	0	0	0	0	0	116.168504234142	0	0	0	0	0	0	0	0	0	723140.099949604	292185.885418695	0	0	0	0	835.908150032632	0	0	0	3853.13250728788	0	0	0	0	0	0	0	0	0	0	3751.485066083	0	0	0	0	0	0	24.6226720931062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16601.9944964185	0	0	10.7329596303284	0	0	0	0	0	0
02-2020-13	0	745082.966785075	5340525.08852763	222345.978721343	194015.6904937	191668.603420563	8972.95948917268	0	2474270.07318512	0	617391.957457668	0	40554.0861054089	1039811.14616521	10330.691473185	113314.837878086	261314.991673323	16819.7381854049	1241401.36728806	1438.42406574945	0	269311.576973476	257594.034199826	1003.73932978273	0	240290.494359136	18073.2721334349	0	40682.4917659124	55515.8014000311	335308.578120889	0	1504.03023655315	215156.665073699	0	5334.09743796455	169228.135489457	5891.92530736495	292101.827537155	0	0	100903.694036634	265000.865633022	59346.2194365805	24503.0277073349	73435.4077430274	19534.5004831535	18181.3293559351	65679.8461826719	326905.02406067	0	29983.4233978403	31195.5587995878	242631.26639979	23097.2313094183	0	114940.607907521	58295.1173631694	0	0	0	0	0	40152.379872413	7188.61197736738	205752.178364802	1854.16370426484	0	13192.4536937504	0	0	230661.473161926	38997.4305981576	1942.22332389975	0	0	5704.93017881752	45167.5681699468	160.331658060366	9329.75882450614	0	0	0	6401.68876286104	0	0	0	56381.6625205847	1893.10640458147	0	0	0	0	2727.04152757817	107944.955256047	50434.3052614177	0	37906.3333190159	10348.2332300844	8378.99560055955	1522.62449886649	644.484148483352	0	0	88425.1898486886	0	0	34650.5832384903	49864.8998324637	0	0	21693.8907574677	0	0	56836.6956945547	0	9190.12643958705	1901.17561275519	2089.92491699256	0	18553.56543734	2317.26608640857	27918.7586107829	20037.9489061658	4081.26516021058	0	0	2019.75788939502	0	6782.69572271565	1480.52428230797
01-2020-14	3982104.45737037	0	517271.649217004	41210.0253012508	92294.6345961738	330108.20199789	2015.15185024526	0	0	0	332560.933210188	2790.18648303396	3797.29887069678	19869.3787019198	385.663166555142	551203.518349419	675406.835578459	261933.893634992	1437468.90901714	3903.60346147801	0	585865.922518482	6181.73556391751	3729.62240156571	49578.112550567	11280.9566467111	0	468009.360189048	17099.8968920904	2487.65103426995	11113.1560862628	15447.2313354102	6735.81734086733	31040.6314831445	65551.6134153389	255642.763230561	35256.3501675558	13984.9251622219	0	13012.4235715576	0	308463.474824929	0	0	87663.2773228069	13829.4856007017	15024.1761470977	0	47987.5610135003	28634.2540168265	0	0	9011.47724352123	0	6590.57560346275	0	11967.301112191	236559.853085439	14580.4162855807	3435.73965205134	0	367139.900636487	49597.8901488519	71017.9561662955	0	25594.0663304727	0	1670.27998015268	16567.7558882378	0	0	464.773559694658	55918.3779257368	0	1089.00400556115	0	0	0	0	7342.43336326136	42698.5985971611	0	0	11336.2721169141	0	0	36552.4009051617	2011.13452559364	10579.7789825175	0	17.6144234724704	25065.6336262986	3101.0656060744	1860.94838861784	0	12230.5903893585	0	397.097090563588	0	0	7313.69404075364	0	0	0	33319.6906605036	2572.01485195388	0	260.817077381843	49787.013432451	1085.60473085594	0	1833.75419097613	0	0	73.2389186486928	0	1266.38434017866	0	2810.27310629204	1562.43026450545	0	13907.3598939484	958.904491843434	111.248990352445	4500.02165975639	0	0	0	0	0	1012.36581220725
GBM.BM.291	45976.1992294251	2536643.42712979	136271.395488243	32632191.7572675	276240.636773071	0	0	0	0	0	7611.0490898477	0	0	0	15813.0181400873	134837.429717692	0	0	5533.63714020328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-19	6731528.69598847	1925241.04994184	11873135.7250654	0	1031109.58813832	434313.727047973	4329.08076258306	0	0	0	773570.319444749	5564.80501764349	0	103288.745895617	347.944808955274	419675.769852622	277642.618104002	321905.590461831	1904079.99455069	8890.51005207645	1413168.01588787	480630.84533774	34421.1049045222	875304.295346861	0	278687.608493688	0	0	256623.74613977	285152.908548462	7573.86839958457	53948.7848303742	0	423823.364452394	0	1537.43055119772	70842.025488422	37682.07602101	24960.7051819642	93140.5482948912	108874.358244028	142589.169865256	59875.4062108184	141045.959499956	71337.9335383948	6076.89654710258	3195.08123572218	19061.8269092109	9904.28944561059	317089.849351838	48514.6036114415	125402.314650814	15050.6359222514	244228.356816091	4340.64039078756	0	0	0	121733.288658708	6125.44698556145	7888.29028674681	271003.923626161	5249.2271676608	183548.40048224	9191.0603853933	20770.3399578351	8188.84062006366	3420.49398570982	0	0	25834.613074224	10783.9771519726	95175.0428588822	0	129075.964494202	3324.54907161252	0	0	8061.68470981422	3716.42046774487	0	2011.37530758198	0	508872.173004139	0	0	56679.1690122757	144585.517656172	0	0	0	23342.357233335	73782.7949036453	5535.90594713225	18617.9371861583	27261.0711946586	0	23066.0821192476	2466.82465883905	32156.5737392618	0	0	247.376043576175	23533.0910987092	61542.3045979064	15522.2687529948	0	0	63509.7533183113	364.128288441566	586.073149967854	1642.62316785862	0	0	29911.6939419491	0	5975.17181890303	0	338.697106391679	0	0	8171.50117775692	6888.38244705807	15302.6358171094	0	0	0	0	0	0	0
02-2020-30	0	3289183.91543843	0	0	4149815.99202158	0	17169.1332442182	31796.7655931029	0	311749.46123007	2749996.50503388	149737.91102259	94513.6372561658	0	14766.8426342726	0	568421.97619691	189523.642381222	0	30847.0511096981	0	854.337174173919	37014.9190602544	0	0	73767.6519853467	36091.1796738317	0	0	52265.547875817	7359.88138549637	0	35.7157583502636	0	0	0	37578.2539760518	0	0	103405.64350271	3673.85277939303	0	0	227732.198319978	30552.8019641988	0	19053.545358085	1401.84351524785	0	48761.3449485877	0	0	51174.999663463	0	0	0	0	0	0	0	0	0	104246.993128393	9364.02246201457	0	0	4652.38338601218	0	371984.087687789	0	0	0	55638.2518745749	0	0	0	0	0	0	0	0	309.265998442055	0	66484.4783081254	0	0	61565.8501780476	0	0	0	23164.5103163784	13484.7280816762	0	0	0	207592.163358442	0	132096.761562902	116472.334867332	0	0	0	0	0	5099.23622628082	26742.5799256502	0	3415.31939224396	1131.94602316915	918.463194848256	0	1033.32182681558	48664.7500566859	0	2429.88915048896	0	0	0	0	9526.77267904248	0	14317.5546286619	13574.4233384422	0	0	0	1991.96524980788	0	0	0	3147.85706550732
02-2020-47	0	886528.429699517	9482695.42043528	323239.478847931	124248.310225863	638042.813349275	63147.5365509201	0	4541228.62119349	0	175501.413445714	0	16655.207782084	385248.591081714	10372.8662077259	418276.901498753	91001.9185248733	3744.39562306087	465706.579639432	2709.00971072638	0	1714343.97574606	48476.0681544973	128014.714051891	0	130294.563804752	0	0	2930.0921132635	6239.32554128523	213498.575869096	0	52990.7508814206	418901.13416474	0	4087.52351478138	120889.058154733	102538.21837129	136119.734981103	0	1053419.63392063	398597.566554362	56003.8739422432	180295.200201179	1879.70060799662	96814.0848540167	618.230428814217	529.197244082073	67209.0503712854	94057.0572459067	0	179264.816153155	13196.9187976006	0	40436.071461326	0	50012.6408707734	23056.593727039	118971.343377975	0	238894.041347863	0	0	18374.8487321352	29030.8204598521	403251.301109126	45405.9238405316	89862.4938348743	50760.9197716683	0	0	7120.65403284725	44090.4335267926	3835.42955351733	0	0	90020.5527470954	17167.3986875094	3918.46050107652	207881.482248074	0	101143.698601441	0	26412.8446795822	0	0	0	63662.728574932	40988.2772812377	0	19535.2812522395	0	0	1234.46011190412	150337.034098106	63738.7569124561	0	0	2494.92991822437	74471.7573505592	60758.6461560846	0	0	0	106372.647551945	0	0	8007.98476158221	90104.5840675168	2474.92246098119	0	14156.276372411	5542.06565636046	854.318424283724	60328.4858253563	0	3145.17227862767	41575.496151325	9683.60930569842	0	7648.85090406716	1441.53729437101	19458.2525418533	9313.47134669961	2091.77965477432	0	0	952.354964775299	0	8737.25657809607	2006.74796149081
GBM.BM.308	0	0	0	0	41349.4671946854	10104914.5324648	2503.93003053383	8208724.72895834	0	7729109.32840857	0	1121547.3393902	0	0	383311.258474415	30639.0795975313	135071.501227843	87434.2882383733	9086.51861214241	16209.6523029296	0	0	0	0	0	295489.430663966	909585.530039185	197965.711606751	0	19005.0746340742	158716.999268191	0	50644.8327808286	0	361421.415210159	2355.39180838352	490326.904975657	0	0	0	0	0	145559.63990614	0	63399.016968472	0	1846153.64238778	2538.55172141097	0	1417.25566848681	0	0	100833.999436565	0	0	0	518039.8932797	0	199301.438777366	0	0	0	64983.7969476546	212544.793952241	0	0	0	0	621498.4402505	0	721.471364730088	272412.398451245	2375.49472566702	12480.5611468401	0	0	0	0	0	0	0	0	0	8897.77455542509	0	0	0	0	0	0	0	91387.8619707951	0	0	0	340502.0961192	0	0	1196.1235783683	0	0	0	0	0	0	0	116507.573945267	0	44437.4986551787	0	0	779.546459104646	0	0	0	0	0	0	40430.3171433342	0	0	0	0	0	3302.46257818401	14604.7694064634	0	0	0	0	0
