feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1812	cohort	MDACC	-0.733814051096783	0.000253554617171171	252	84	0	0
X1844	cohort	MDACC	-1.25485369178098	0.000384549787492044	252	108	0	0
X2318	cohort	MDACC	-1.61071333165295	0.000267998676094116	252	181	0	0
X4868	cohort	MDACC	2.58566005580977	0.00115882674110929	252	105	0	0
X2295	cohort	MDACC	-2.02130570501556	0.000510316996815454	252	163	0	0
X1877	cohort	MDACC	-1.26172479778567	0.000270697068843355	252	145	0	0
X1790	cohort	MDACC	-1.08780166881734	0.000464869922437651	252	175	0	0
X4826	cohort	MDACC	2.57900727051613	0.00104454865349684	252	131	0	0
X4581	cohort	MDACC	1.54790510972328	0.000809737589288887	252	147	0	0
X4285	cohort	MDACC	0.186095923399589	0.000464741136480772	252	108	0	0
X4532	cohort	MDACC	2.96319065500679	0.00128623867605931	252	137	0	0
X15234	cohort	MDACC	0.140179680501644	0.00084107849006092	252	78	0	0
X15300	cohort	MDACC	-0.669252595268371	0.000599920478268697	252	164	0	0
X5075	cohort	MDACC	0.231408971532083	0.000872234884805527	252	99	0	0
X9286	cohort	MDACC	-1.37168708247222	0.000707206431185165	252	78	0	0
X1965	cohort	MDACC	-1.67239699924114	0.000506177230874111	252	99	0	0
X5090	cohort	MDACC	0.515560556407854	0.000974350706146427	252	133	0	0
X15254	cohort	MDACC	-2.38124579189257	0.000782517081679566	252	131	0	0
X4951	cohort	MDACC	-0.589028735715464	0.000746710257192688	252	143	0	0
X2290	cohort	MDACC	-1.87419937412991	0.000788246611508392	252	121	0	0
X4577	cohort	MDACC	1.30240374604	0.000972328691896539	252	139	0	0
X4575	cohort	MDACC	0.513366472000035	0.00117092690784746	252	156	0	0
X4557	cohort	MDACC	0.255812626648997	0.00112239154194596	252	81	0	0
X5117	cohort	MDACC	-1.19483675992637	0.00116403666567939	252	73	0	0
X15452	cohort	MDACC	0.569949602287369	0.00091698760513488	252	130	0	0
X5792	cohort	MDACC	-0.799224489137615	0.000657867803124555	252	129	0	0
X4714	cohort	MDACC	0.340761330754159	0.00194714141382572	252	64	0	0
X15120	cohort	MDACC	1.53036189222676	0.00143375098119958	252	113	0	0
X2328	cohort	MDACC	-1.10556099099251	0.00114178552438405	252	87	0	0
X14546	cohort	MDACC	0.745624269285888	0.00140756040809784	252	141	0	0
X4705	cohort	MDACC	0.913729110603837	0.00127840082363503	252	124	0	0
X4959	cohort	MDACC	0.883201390203478	0.00157751698872557	252	104	0	0
X4871	cohort	MDACC	-0.720958227747574	0.00142989213720605	252	97	0	0
X5190	cohort	MDACC	-0.441728926298097	0.00217819559585319	252	84	0	0
X4552	cohort	MDACC	2.1272516756062	0.00318638133907758	252	66	0	0
X14797	cohort	MDACC	2.20118484087315	0.00323467496711499	252	86	0	0
X4121	cohort	MDACC	-0.544031966019626	0.00285230598443145	252	118	0	0
X6747	cohort	MDACC	-0.822417172847848	0.00364914003523885	252	77	0	0
X4046	cohort	MDACC	-0.52531522761576	0.00437122407523363	252	78	0	0
X49188	cohort	MDACC	-1.27279887639567	0.00470513181001654	252	68	0	0
X15350	cohort	MDACC	-0.356411427073903	0.00310113269593539	252	88	0	0
X4761	cohort	MDACC	7.70723432561688	0.708966341267088	252	80	1.583045399681e-27	4.9375939847193e-27
X4758	cohort	MDACC	6.55877492405622	0.655484267200933	252	95	1.43436587670116e-23	4.36981232204306e-23
X8002	cohort	MDACC	6.03779356219437	0.62714966775879	252	83	6.1285665039684e-22	1.82464139095423e-21
X4725	cohort	MDACC	7.40973725560295	0.817260492685562	252	68	1.22839338786147e-19	3.57598964021895e-19
X4837	cohort	MDACC	2.24797198486012	0.249313850843395	252	226	1.93955409403705e-19	5.52351274606202e-19
X8007	cohort	MDACC	5.8467988876294	0.663017783955659	252	80	1.16039830868785e-18	3.23430166889592e-18
X4742	cohort	MDACC	5.76706708301003	0.719187310494131	252	80	1.06725359238279e-15	2.91271292921137e-15
X4037	cohort	MDACC	4.73079735656223	0.693476149626216	252	80	8.98690919981182e-12	2.40262266362316e-11
X4993	cohort	MDACC	-2.6471708894581	0.419199944518642	252	162	2.7048154420573e-10	7.08661645819013e-10
X4820	cohort	MDACC	2.42174581443833	0.390999686147669	252	166	5.87574850450857e-10	1.50926089037377e-09
X1871	cohort	MDACC	-2.00854300054044	0.326443447988267	252	212	7.61242036283135e-10	1.91774436063636e-09
X4699	cohort	MDACC	4.02094123836173	0.716213091566926	252	75	1.97509264930159e-08	4.88183277468884e-08
