feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1466	X1468	X2016	X2043	X2532	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X19351	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X5273	X6936	X6956	X6952	X6939	X5868	X14348	X969	X17008	X17130	X15888	X15878	X17167	X17151	X15892	X16971	X16988	X16987
01-2020-08-OR	549	1351	0	9640	280	26019	2295	0	0	0	0	98	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	9516	0	0	0	9003	22619	0	607	1221	0	0	0	0	0	10046	92009	102	0	0	0	0	0	0	216	900	0	4001	819	0
01-2020-09-OR	0	0	0	2442	0	3189	0	0	0	0	0	0	0	327	0	0	0	0	0	22	2626	0	2560	0	0	0	0	269	0	8697	300	1422	1090	0	0	0	0	0	0	477	0	14206	5394	0	0	0	0	0	0	0	0	0	0	24993	35054	966
01-2020-10-OR	1168	0	33401	0	0	0	0	1658	412	7982	82594	0	0	2256	452	20736	3705	308	0	1919	14562	0	832	7663	539	0	0	0	0	34492	3332	0	0	0	78	133675	4915	0	0	0	14079	0	2610	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-12-OR	378	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	474835	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14-OR	8425	50684	5127	160766	108384	0	10503	12748	4691	13864	0	221	1788	0	0	0	325	3399	1445	2512	38263	3975	18324	0	42161	769	3477	1148374	91019	5466	0	1353	17806	3503	39425	0	10965	20560	0	113568	246355	392385	75657	14638	91	15486	0	16640	3012	1070	2447	748	0	193146	906	5867
01-2020-16-OR	0	0	0	1452	0	0	0	0	0	0	0	0	212	0	0	0	0	22	0	0	271	0	0	0	0	0	0	16997	4480	541922	34894	359	8603	1362	0	0	0	0	0	584	0	3954	15816	0	159	0	1723	0	607	39190	0	175	0	8743	131979	0
01-2020-19-OR	3906	0	1104	12859	0	518	15902	1366	13737	0	0	697	3813	0	0	4687	2144	3061	0	3044	425	0	0	0	0	0	266	0	652	22109	0	3856	889	0	589	0	0	167	0	0	0	14169	7208	0	268	476	0	16	2438	26411	459	472	0	3594	62720	1328
01-2020-20-OR	3806	207	290	43494	0	0	352	6234	3230	2109	0	1567	0	0	0	0	66	0	0	0	2571	0	1600	0	2009	0	0	1149	3893	287	0	0	0	0	462	0	0	0	0	400	0	10369	1662	0	0	0	0	0	0	155	0	0	0	597	4828	0
01-2020-21-OR	0	8065	40906	221847	15797	6714	0	351327	0	262028	3076	0	0	1020062	1116	12340	1509	0	0	20557	102801	0	29435	0	394331	3975	13045	24536	43648	30503	0	0	505	759	56686	1015	11339	0	56582	3710	1972462	23570	4146	2544	0	4187	183	25204	0	0	113972	0	0	248863	198	7587
01-2020-22-OR	110686	18420	25561	79461	64818	50218	0	26996	54573	11040	0	1529	1201	10168	393	20952	3999	3078	10871	8353	245475	11297	7675	2416	8385	1257	8707	110462	29479	24375	5272	12774	69868	4325	18962	0	341	7035	5324	39953	198449	358073	33574	22652	46050	1288	2077	18742	1372	19173	9822	1520	1137	366999	118911	9720
01-2020-24-OR	0	0	2515	170067	0	0	0	0	0	25974	0	975	0	9623	914	80179	9193	698	0	21955	34324	0	46480	8099	199351	12104	1712	0	26261	6278	0	2165	0	1089	7021	0	43727	0	616	0	147150	0	22461	0	0	0	0	0	0	0	4251	0	0	4034	8712	0
01-2020-27-OR	0	9968	20195	251062	21702	13950	0	29061	0	70762	1808	13085	0	332011	6766	20850	0	0	0	25550	85896	0	843	148	537792	0	15747	167588	79411	16877	861	0	9513	0	15148	0	0	0	17741	301703	386296	38040	0	2663	0	19665	0	106191	0	0	49788	0	0	160028	0	0
01-2020-28-OR	15505	0	0	0	0	0	4311	0	2418	0	0	0	0	0	0	0	0	0	0	3749	0	0	0	0	0	0	0	8300	0	0	21763	3826	22861	900	679	0	0	0	0	0	0	0	24099	0	0	0	0	0	0	10570	0	0	0	129400	123498	15071
01-2020-29-OR	1749	0	71	8210	0	0	2012	0	0	0	0	0	0	0	0	432	153	4489	525	0	1797	0	31760	0	0	0	0	1144	0	3263	0	0	0	0	0	0	24874	0	0	0	0	293	11336	0	594	0	504	0	38655	15470	0	0	4543	0	45486	847
01-2020-41-OR	5168	18368	4853	43464	0	67691	45902	4547	13553	0	0	0	0	0	0	0	457	10833	126	193	0	0	0	0	0	0	0	15427	0	0	0	0	6723	0	836	0	0	4202	2191	13236	0	71673	76875	3975	2070	155	0	2340	0	33071	46939	0	846	67422	29470	0
01-2020-42-OR	576	0	710	9743	7696	0	0	551	670	0	0	0	0	0	0	7907	0	5781	11024	263	7034	0	0	62624	8088	0	0	0	0	267573	0	0	0	0	478	5352	3099	0	0	0	0	0	11658	0	0	0	0	0	0	0	0	0	2752	7872	1624	0
01-2020-44-OR	3382	156	3668	42964	13587	1101	2737	684	3195	905	4948	751	2062	2406	1072	935	34538	630	0	289	7867	7645	125328	41740	0	183	0	43564	4612	44229	13083	29905	10684	5783	3831	0	0	156	0	12540	0	47071	15546	570	830	197	69	3753	1179	27871	86877	13484	0	25302	976	0
