feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1466	X1468	X2016	X2043	X2532	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X19351	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X5273	X6936	X6956	X6952	X6939	X5868	X14348	X969	X17008	X17130	X15888	X15878	X17167	X17151	X15892	X16971	X16988	X16987
01-2020-08-OR	9988.21269818648	24579.3722317849	0	175385.009855223	5094.17041073263	473375.78541733	41754.003902255	0	0	0	0	1782.95964375642	0	0	0	0	0	0	0	0	745.932095857278	0	0	0	0	0	0	173129.020101899	0	0	0	163795.772170807	411518.001858434	0	11043.4337118382	22214.2216839448	0	0	0	0	0	182771.556950786	1673962.5904325	1855.73350676689	0	0	0	0	0	0	3929.78860256517	16374.1191773549	0	72792.0564762188	14900.4484513929	0
01-2020-09-OR	0	0	0	21701.4544335773	0	28339.8600281236	0	0	0	0	0	0	0	2905.96871407853	0	0	0	0	0	195.508598500696	23336.6172574013	0	22750.0914618992	0	0	0	0	2390.53695439488	0	77288.1036891161	2666.02634319131	12636.9648667268	9686.56238026176	0	0	0	0	0	0	4238.98188567418	0	126245.234104586	47935.1536505798	0	0	0	0	0	0	0	0	0	0	222106.654651268	311516.291447427	8584.60482507602
01-2020-10-OR	4685.77154262874	0	133997.821314506	0	0	0	0	6651.5489877384	1652.85777017384	32022.113401766	331349.841431403	0	0	9050.59982891305	1813.32939834606	83188.4920444774	14863.6845594516	1235.63153692607	0	7698.62636156212	58419.6962360957	0	3337.80986598212	30742.3521670925	2162.35518962063	0	0	0	0	138374.684972903	13367.2866267457	0	0	0	312.919674935824	536276.122398028	19717.9513116612	0	0	0	56482.0013259162	0	10470.7737382372	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-12-OR	14020.8699284587	0	0	1594.9666849834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10830.9365584919	0	0	0	0	17612697.8107928	0	0	0	0	0	31825.149202692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14-OR	6106.14180901554	36733.9693113523	3715.86813707094	116517.506714325	78552.8871012867	0	7612.2026611383	9239.29920253176	3399.8707686756	10048.1365032868	0	160.172978016906	1295.87911626348	0	0	0	235.548497083685	2463.47489719214	1047.28485626439	1820.60869130529	27731.6681351171	2880.93931048508	13280.5866478814	0	30556.8005709085	557.34398233032	2520.00653649223	832300.830123016	65967.3497109537	3961.56333864438	0	980.606512474543	12905.1585817603	2538.85041625892	28573.8446077671	0	7947.04390930034	14901.1603078171	0	82310.066820923	178549.384612466	284386.760086714	54833.5158272627	10609.1043086492	65.9535791834319	11223.704694886	0	12060.0830506847	2182.99099451096	775.498128860134	1773.49899188855	542.123925595682	0	139985.384669925	656.636733408674	4252.19394581533
01-2020-16-OR	0	0	0	20665.8123563697	0	0	0	0	0	0	0	0	3017.32246525507	0	0	0	0	313.118369035904	0	0	3857.04900039682	0	0	0	0	0	0	241912.405386512	63762.2860582204	7712987.85384887	496634.19859722	5109.52247654043	122443.514946176	19384.8735739501	0	0	0	0	0	8311.86943258945	0	56275.9105076347	225103.642030539	0	2262.99184894131	0	24522.8613567665	0	8639.22045476335	557777.676478049	0	2490.71429914924	0	124436.086385496	1878411.32849953	0
01-2020-19-OR	12315.6096779805	0	3480.90964784702	40544.3996029572	0	1633.252896363	50138.9721196225	4306.9950896368	43312.7317323138	0	0	2197.63951499037	12022.3808761238	0	0	14778.1010140027	6760.02743205073	9651.32647831496	0	9597.72551453471	1340.02409450632	0	0	0	0	0	838.697433267488	0	2055.75461086617	69709.6298951537	0	12157.9597845091	2803.01510592029	0	1857.11574509229	0	0	526.55064419425	0	0	0	44674.8268119061	22726.8086428273	0	845.003429006341	1500.82698584708	0	50.4479659108263	7687.00880566216	83273.8267294271	1447.22602206683	1488.21499436938	0	11331.8743427194	197756.026370439	4187.18117059858
01-2020-20-OR	65859.4137435477	3581.94919729753	5018.18969669702	752624.629890138	0	0	6091.04404564603	107873.774376583	55892.2507597633	36494.351966669	0	27115.5284645663	0	0	0	0	1142.07075855863	0	0	0	44488.8472765794	0	27686.5638438456	0	34763.9417264286	0	0	19882.4136603616	67364.8706525569	4966.27738948981	0	0	0	0	7994.49530991042	0	0	0	0	6921.6409609614	0	179426.237810522	28759.4181927946	0	0	0	0	0	0	2682.13587237254	0	0	0	10330.5491342349	83544.2063988041	0
01-2020-21-OR	0	4515.68685401739	22903.7428952803	124214.703224203	8844.92315349196	3759.24631591727	0	196712.053981571	0	146712.51022746	1722.28800532641	0	0	571144.521225379	624.861317927267	6909.30883801297	844.906566982299	0	0	11510.1022514613	57559.4698425098	0	16480.9972161193	0	220790.491361628	2225.64851143448	7304.04649853154	13737.9904091966	24439.0204344887	17078.9827784368	0	0	282.75534547784	424.972885579566	31739.1475519938	568.310248831699	6348.83735123412	0	31680.9167481726	2077.27194400552	1104404.30544933	13197.1158275499	2321.39339079431	1424.41504731807	0	2344.34976537766	102.463818262267	14112.0113414326	0	0	63814.2420491097	0	0	139341.274339904	110.862491890322	4248.04912107005
01-2020-22-OR	64066.4382576631	10661.7258976398	14795.025823538	45993.018542473	37517.4673850822	29066.8051643688	0	15625.6217335876	31587.533518561	6390.0897888134	0	885.004283251421	695.153789525806	5885.36530549408	227.473304982216	12127.2790992046	2314.67111100225	1781.58481612026	6292.27047954624	4834.82065271362	142083.993741755	6538.84459639719	4442.38579068323	1398.4109537838	4853.34265210148	727.56728845457	5039.72027094188	63936.784261948	17062.8131235897	14108.5542212252	3051.49939915075	7393.75063064334	40440.4704134796	2503.36397976612	10975.4422622717	0	197.375055976936	4071.94580292593	3081.59764815603	23125.2950482302	114864.758016325	207257.121462843	19433.0502327555	13111.2603166849	26654.3147440994	745.510475361564	1202.19352276861	10848.1035164801	794.130723754709	11097.5716957355	5685.09618711279	879.794970923585	658.109790750076	212423.601667095	68827.1709128252	5626.05731406397
01-2020-24-OR	0	0	1463.40316092161	98956.8927906383	0	0	0	0	0	15113.4925255578	0	567.323293001419	0	5599.33543441298	531.829220311074	46653.7582662162	5349.13131544825	406.145290784606	0	12774.9568183038	19972.1073938264	0	27045.3196499548	4712.56548719846	115996.37516218	7042.95501383506	996.161515506082	0	15280.4892282157	3652.98013688504	0	1259.7486454852	0	633.656478029278	4085.30957965432	0	25443.4314185365	0	358.431947168076	0	85622.1769899065	0	13069.3830606204	0	0	0	0	0	0	0	2473.52955748619	0	0	2347.26375791562	5069.25182423422	0
01-2020-27-OR	0	4847.53730952694	9821.02888903456	122093.941814251	10553.8979425515	6784.02342173964	0	14132.6526637402	0	34412.262750476	879.248340251274	6363.36533859951	0	161460.243747326	3290.3729370244	10139.5618884066	0	0	0	12425.2185251217	41772.0771206988	0	409.959264840611	71.9738685603919	261533.585951556	0	7657.92235284116	81499.7073263443	38618.3572719546	8207.4525654982	418.712843449307	0	4626.266294696	0	7366.62270914065	0	0	0	8627.62433871563	146721.162609972	187859.577901386	18499.2294597115	0	1295.04332416435	0	9563.28463000072	0	51641.7370020039	0	0	24212.398431654	0	0	77823.2043106919	0	0
