feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1560	X1526	X1536	X1457	X1458	X1456	X1528	X1411	X1485	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2048	X2053	X1341	X2532	X2489	X2492	X2502	X2497	X2483	X2480	X2479	X2476	X9712	X9649	X9738	X9418	X13165	X9247	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X3607	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7285	X7298	X4482	X4481	X4494	X4479	X5266	X5265	X4799	X7281	X5286	X5285	X5273	X7282	X3936	X3934	X3920	X3922	X3931	X6653	X6649	X749	X748	X6936	X6956	X6952	X6939	X5868	X5825	X5884	X5880	X5898	X19880	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15878	X15873	X15872	X15877	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X17300	X15494	X16971	X16988	X16987
01-2020-08-SL	0	2984.59982224774	99019.4815143466	0	4622.54145029884	63295.7494599367	224928.504755865	695024.787838265	11956.6924515036	187848.264342829	0	0	375.713414681823	0	0	0	0	0	0	0	0	0	0	0	0	42542.8601725676	0	0	0	0	0	0	0	0	0	1394.50184999883	10140.0406973679	0	0	0	5787.67518571662	0	10272.3143339974	0	0	4978.55453612094	11997.5002755701	0	0	81.6156481331301	28296.7080742951	727.505001462556	0	0	6643.23232476737	0	0	0	0	0	0	240282.096769324	0	0	0	110138.909989312	0	1287.55720761748	0	80306.9834303058	0	726.097835115434	17232.1590868674	26786.8185838322	0	0	0	0	0	6823.3496171991	0	381.342080070315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6513.77302083206	0	213123.786269851	468261.338165751	35635.0805745412	0	0	0	0	0	0	0	0	0	0	12699.6762827845	0	0	0	0	796.45615247158	28841.2814506316	817.563647678424	1792.72992623462	0	0	0	45986.1962239775	0	21342.4919868135	0	33155.6534709105	5873.51233289112	1926.4107292113	13577.7480833892	50.6579884964256	183778.739266949	1000.49527280441	227281.286888255	42559.7461687331	28087.0402885737
01-2020-09-SL	0	7472.02837522235	8984.9312200854	11482.0491455938	557.675866172147	112864.484766914	0	97985.306149415	18839.5054988056	0	4067.99697428049	4061.0950452437	1021.48549744403	0	0	4356.49760801806	183.591312378454	0	0	0	0	0	0	0	0	7902.70874711767	334.053365380345	0	0	22659.0330277618	6098.54449690234	0	0	95.2466207076191	0	27872.7502221485	4926.59694645641	2978.87257227597	4807.88376702373	0	40856.6591261465	0	72605.5326953529	0	0	8692.28942892576	127497.954710703	0	3326.72979572988	13496.0320385274	0	23541.0995586628	0	3442.68220354786	1584.6829068456	506.601591299945	0	710.898690788751	4995.61623682425	0	0	24982.2223415433	1441.1227828805	37436.0630955164	59497.3890686927	89832.7475711657	0	36386.9698819252	0	111354.342693666	2030.54752262185	2715.21888307082	10437.0970894248	4965.2477490624	0	923.478105121698	256.751760168365	1031.14819809553	11689.1070166974	2214.1388350003	0	198.775556259379	0	0	5917.7139561386	4069.37736008784	2062.29639619106	0	0	8327.86757578356	0	0	2911.23366771549	0	2992.67643034954	0	0	0	0	0	70671.612179246	0	440043.528826622	261278.045230687	22998.6079363716	5800.38116251327	4305.42333314585	752.310265009455	5979.83131746965	0	209.818642718233	5815.56540639419	0	0	0	3333.63172476667	14663.8384315513	426.539214473251	8693.66981473312	0	0	8140.13510598304	846.176499909718	26863.6881969707	0	38258.773036701	29041.9370009797	0	0	0	1639.89833913988	0	0	4288.85870345757	10020.220575603	0	0	8497.65503008845	803165.058538287	130788.794475442	38518.2855684841
01-2020-10-SL	0	15706.3398783922	3318.84720376483	735.961698973607	154062.459579841	146051.427572107	3740.33268715327	7643.2071484334	1918.36731114401	0	0	509546.623261606	19848.8152658325	11212.8865717721	2500.52268642368	405460.923529997	1873.13015711638	1718.07591193203	180289.089602824	210.274771135316	7580.49909353993	661.398389921173	37042.9895411747	171235.731170219	340390.86523554	0	1668.47103268794	7711.84283040636	34563.9935004608	287544.821900466	60968.1403554554	0	1961.73258293601	5793.78749963495	16482.2350650592	82684.4701316974	15641.7599412631	4902.771555477	23006.3686169609	13776.4292934619	51184.1238902111	17891.7623884855	82973.0519763563	19622.6294956943	12764.9889254786	13205.1932312233	4815.10507077518	352.537821042889	7314.69181608105	2411.29629985884	54940.6795567398	162674.053804839	0	7855.04182143174	2071.23769372013	112.624914510162	41.1814091837711	2340.16477490506	0	0	10257.2906904851	47.1090362632534	20031.323783806	61130.3701492096	39493.9073483543	3901.31455941711	322.587705272874	0	0	226.185770138137	82927.1908615835	3358.78069145818	21029.0370153947	36919.1333332508	7413.27761382402	3391.85061095424	53482.1713148145	284.83808018775	3020.9059479277	0	0	39652.7053580099	0	10840.3820068825	0	10125.3229928734	0	9528.50454008135	955.907861659657	7856.91370366737	0	0	9914.1122806203	2353.57993092704	872.297121801698	363.457134084041	0	5118.66197331919	109171.915746177	2626.56275695583	3858.26126799771	490341.111524084	71703.6969571429	10828.8387330962	0	1092.86724523296	0	104.513424822449	0	0	30.2620961426197	250.20825882867	12236.1821939143	243.032710258771	496.672753186088	7674.40518569384	125.728090159544	114.184816373184	0	7621.3685223511	14715.8021953735	18483.9011356886	0	3248.65161992886	1532.75957060506	0	1226.082864335	5437.50591412081	55097.2937037871	7662.86191190748	2101.49978986275	267.367179321908	0	16007.0889575828	31685.9745631858	4133.73993700733	0	0	100464.231566418	14276.221850374	10383.6427413898
01-2020-12-SL	9466.07653324796	135810.926098527	0	12567.1843194653	0	219474.855309669	389384.770853242	24650.5078495918	699.398777317112	0	0	0	0	0	0	0	0	7706.58275383384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.924066912118	1178.86083220746	121752.570801009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159748.838967456	0	0	835.759545221707	0	0	0	0	0	0	0	0	1790038.59142475	0	0	0	11828.1969321114	0	0	6822.43712967825	0	0	56233.4211900753	0	0	0	0	0	0	20854.4000205059	60984.0543944934	0	0	4416.32938632944	21980.4760393309	0	9426.48792321114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9945.53858813831	0	0	0	0	0	0	0	0	0	0	0	0	0	8819.46256931327	0	0	0	0	0	0	0	0	3677.34199897551	4843.00662783736	7244.71563673764	0
01-2020-14-SL	0	80756.2204748853	147148.491886623	2087.91040415609	47677.5980509255	3410514.19344429	383180.750769023	0	243050.261392704	3465.27538281403	122618.277504811	108587.738218243	132095.860334147	119289.645473054	219946.60359593	39151.0529449478	38413.1788492382	0	0	60691.5108056262	80778.0834110545	2574.3607339202	0	2973.35931900762	0	66397.7371457805	43933.5702319545	3115.46840410725	7657.49339325308	8488.28496768168	0	8515.61363789315	5334.55642527838	0	9756.33526549376	1442.95378716546	9084.04997829167	19212.0551586614	8149.40945705949	0	29673.470115611	0	70016.0530817787	579.367808483103	45453.0442957121	63659.4043905915	133593.471461736	0	15145.5490311951	541.107670187049	4214.08094660823	76498.4136559387	0	22994.3431159284	1667.04888289949	0	0	0	0	0	0	799817.259610923	26432.289828531	48716.0875189613	0	12041.0120951724	48470.1294870581	15391.5070630983	58122.6158057482	6154.41653162239	58428.6969121167	12855.4064674741	20556.6257330656	8422.69615917416	74170.0109539217	142.109085099629	2262.81389350948	0	3399.68657430651	15243.9322439564	0	22179.9487436267	14861.3308609958	0	0	5039.40678699453	15238.4665099141	890.914648893828	0	0	3257.57748920688	1902.07544671811	55198.4480931213	15495.3560099019	7974.5059677061	7908.91715919858	4432.71030829996	0	77974.161847358	37801.0166365013	119032.755973066	492380.651200003	281403.317167477	406585.023938123	37801.0166365013	16194.9699673154	0	0	480.984595721821	0	0	0	284.218170199258	2344.79990414388	11969.9575526226	18556.1670735862	15085.4259567298	0	6159.88226566469	0	21961.319381935	2951.49638283845	14795.7420524883	28323.4338071645	0	0	6859.49622307824	568.436340398516	0	1158.73561696621	1202.46148930455	0	7307.6864145463	3082.67399985349	44890.0736893559	0	54149.0271570009	442.724457425767	191595.841118554	34587.1650196328	107390.742462981
01-2020-16-SL	1359.55515491469	13427.4536843579	31806.1535679554	6733.08356600312	6446.80780839276	256748.603578969	87760.3294940545	144297.244684756	54436.2012683075	0	3763.35462139741	9697.71863591824	11626.7689812393	1850.09528761714	9810.80265404903	23465.9525370756	0	2718.09153489126	0	5436.69245725157	1179.2319908683	0	278.12555810544	0	68.7673083227735	37265.7684613146	15500.1512959532	0	0	24231.5619030692	1726.8235201052	3297.26508720973	1126.76508155537	296.463506991513	0	3002.32974262539	694.295120325484	11552.3984107569	7625.02102432294	0	4769.39487278614	0	93411.4740757793	6540.53510269935	182.360713922614	0	1373.8180040483	0	923.010093932338	4007.351219076	0	0	0	0	11690.9518023406	329.573692480255	0	0	3889.17332625464	0	0	83439.7049815081	191573.49568799	629137.840995922	33544.6929998489	3454.15642767946	4471.91259085651	1873.01772372473	2872.94532548476	138735.752297585	0	4522.85133776227	15820.5560139904	0	0	1704.41047146667	0	30666.1444122045	15581.1439035333	1871.48956131756	1461.4326487262	0	0	0	13894.5619934837	3666.57100227647	1231.18951271218	0	36.6758977721459	11109.2313126768	330.083079949313	979.042715528672	0	114.102793068898	1871.99894878661	0	494.615232454912	0	0	139.06277905272	166340.987408222	370.83407747392	239606.696470243	34862.4783823009	5959.32400050465	4973.14986040917	7465.07335903886	6725.44275396725	3863.70395280176	1203.17320191401	6360.72132612202	8741.59835649716	0	883.277871345847	70488.5285807191	8183.30969041005	3532.60209791433	73301.3661848551	78003.5219117256	0	0	4201.93723225599	10312.0399236017	43261.7683595914	2529.61817133995	655.07228520805	31062.4478631313	3113.37621087994	1557.19749290903	93.2179068375375	1266.84663554621	12087.7646407364	8381.46141587345	6900.67204332306	13532.3875029837	0	2735.41070883921	5000.14739626922	1685752.11786256	448630.278685739	5510.04425279586
01-2020-19-SL	0	5788.47663552743	27356.850484403	1985.31020389734	4758.10667408223	328748.361476214	56428.9727787083	92384.8112283202	37882.3134726947	0	0	137128.211940624	14328.6294199217	0	7998.5674020241	0	63.3609639541705	0	61914.2219438836	0	4041.52434364816	912.699599816028	0	0	0	36910.778692064	2917.62153065157	0	3103.17863937449	0	0	0	0	0	0	17486.1174569712	15589.8143214857	6698.15904658374	0	1739.40931997997	10656.7106993395	0	22746.5860595472	0	0	0	0	0	1108.81686919798	0	0	3407.91470410646	0	0	19290.3963352852	0	1181.22939943132	2243.27984285361	276.0727715146	0	1075.62779284104	0	23523.5121651757	37621.3266449787	0	13580.3666075105	0	0	0	32971.8387662464	695.462009116014	933.819921134084	37585.120379862	0	0	1668.50538412649	14274.3200222467	0	40526.8794205913	59414.4810564536	0	4767.1582403614	0	77531.1909642068	39389.399258176	27643.4834165767	0	2701.89253433141	12080.8237939285	57658.4771982952	500.853334113919	0	15555.1166507489	1974.75004323831	1876.69140854734	72.4125302333377	381.674378104884	0	16802.7242028941	220.254779459736	61710.5617026024	5758.30474793021	564866.01084019	9389.49142025612	19697.7168178477	0	113.14457848959	26263.1195590037	348.485301747938	0	0	568.740081207673	8706.098166179	620.032290122954	15177.9680557836	21664.9238891867	710.547952914626	0	0	10766.8380890694	12008.4112636952	26952.5471906002	6689.10748030457	23460.1512012216	0	2783.35663084392	0	70790.7912749869	1291.35678916119	4251.21896244887	10800.0271654263	17237.1993842941	627.57526202226	4352.29478589957	67716.2759288298	0	0	0	456088.813080298	187052.12575337	20290.5944091332
01-2020-20-SL	0	4631.87072715896	56927.8764856928	1566.09505159722	103984.997931177	2540126.19072408	138716.887048565	0	208.527020094113	0	0	603950.666749357	2559.4549315661	0	0	183147.42500122	746.983777460417	0	0	0	0	0	733.415238481691	0	0	343229.047872235	0	0	0	70260.7513663677	329.929737272192	0	978.363073729227	1284.72640119626	0	5990.86702592298	2716.56433026714	357.066815229645	5323.86621507401	0	14526.9063108029	0	127205.052925561	1739.62952379883	0	2531.60371997818	9557.96451006714	0	1413.27045467894	0	0	551041.220202258	0	0	8830.26234062912	83.553634763737	0	0	79.9829666114405	21842.4912212278	5360.28703022743	39149.5197554087	118918.246277711	3618.51510553722	10869.8279892209	3030.78312766923	0	354.924414338267	0	4447.62425050046	14033.4399721555	1992.43282898142	81889.7034047668	869.814761899415	0	16340.091598539	0	0	44753.3263536228	1605.37240127248	0	194314.332580712	67.1285612631733	14953.9582218175	10821.2669023496	39205.2221785846	0	33260.7738386414	2269.51667759962	29.9936124792902	0	0	196987.334759521	0	5485.26041555781	0	0	834.82221400691	0	9000.22614467843	51489.7488897453	5010.36155130238	913579.727308483	6788.55429114601	67891.9701141343	0	0	7456.26923562545	0	0	0	71.413363045929	15464.5637675959	0	1074.05698021077	166321.008400338	0	0	0	0	186.388877549875	0	0	5386.70997455443	0	0	0	16735.7216298135	0	79440.9391859219	22740.8713283456	0	0	41096.9621656712	30184.2861586228	0	0	795.544864331649	353826.076814621	17639.1006723445	7347.72092379564
01-2020-21-SL	1932.59929439137	15579.8780533005	19097.8687510345	1050.232133255	15678.87534455	75154.7262351956	11671.6371639746	1246.79197240245	14964.3731555323	0	1872.34007363083	100096.30465665	87137.702706433	0	0	61428.5365919572	23920.0411552285	12500.9188211076	102004.513314067	0	3606.9447855233	0	0	13793.6225807562	66800.2156997532	1812.0808528703	0	20602.9145266964	7992.95521087921	231921.958530424	23044.8477108494	0	0	2149.24554045899	21410.6750335578	30218.5644680556	24822.4947232851	901.018824705106	2319.9799992805	3888.15448240579	29232.8957856155	23687.6127322951	62065.5626399971	0	3038.78641835257	3110.52358592463	138424.038547052	17344.6123755733	8680.19727621957	0	3499.33903416521	143224.689800974	49794.2027551201	31339.0990255312	1101.88289390688	0	11081.9576465322	21694.7542171432	13251.2895939114	1991.42377180046	11312.9513261143	3644.24811266078	10696.0116849945	7347.32070273065	3157.87011652219	3361.60367242685	0	0	3328.6045753437	0	29524.1486859581	7915.47906990138	9027.40516726835	2599.75495281155	60910.5942420869	235.297909636365	14558.3407870744	12490.8756176475	23707.6991392152	0	0	23874.1293679824	127.692158278271	18021.8112374536	0	4658.61166212974	183.64714898448	9622.82365811647	2176.50566413638	7209.58534099229	0	859.41126751331	8707.45739989695	0	2738.92505790135	1350.09349370622	502.160173004438	13588.4542815001	13727.6243865899	836.45537389025	830.716400484484	403144.230091423	2398.89088360977	23199.799992805	3259.73689447452	364.424811266078	480.639022732819	0	0	2895.31208320845	5275.55130324948	5094.77364096788	4103.36598512198	0	0	35.8685837860313	589.679517442354	8245.47004073287	6440.56290461978	0	4368.79350513861	2736.05557119847	4020.15087073839	7741.87512437699	2165.02771732485	0	9632.86686157656	7239.71495137255	22513.9926708161	0	0	0	0	1995.72800185478	1142.05570774724	6400.39009077942	0	0	161506.189585039	12094.8864526497	55792.8647074959
01-2020-22-SL	0	25698.642237546	90463.4120489436	6075.18758156163	6526.5661888346	74528.1351457534	628047.272978772	345563.716672584	0	60139.2905628887	0	170353.971108141	22462.9945680638	0	0	3685.87480071622	4085.43698623591	2328.28455078044	0	1888.4207038971	821.002415779652	0	850.940792792655	0	0	6594.50327513334	1294.25906779289	1308.07678026043	0	5499.44956208081	0	0	430.652038571655	203.811258896211	458.287463506734	20239.4943368288	2484.88529207923	4739.47537636613	11216.5280955254	3327.76575259915	9846.27160916102	0	106248.997067069	0	0	12610.9655787079	17524.3138369573	0	398.410709480729	23597.198466441	8216.93301403029	6013.0078754577	0	1420.92143207867	18179.5037031264	370.775284545649	0	0	2533.24728571562	0	0	148251.388540273	17492.0725078663	45570.815717946	19413.8860168933	32553.3790974846	2396.22163707918	0	1260.866262663	41460.046258853	422.591706298923	12637.449527604	10664.9710728627	0	1515.34246727352	431.803514610617	8828.36679071892	0	1131.9009462993	41524.5289170348	0	0	0	0	952.27068422128	20386.8832698159	0	0	2732.45264045598	8926.24225403067	1154.93046707853	0	590.707207987323	0	664.401674480869	11.5147603896164	0	0	0	0	157209.872123394	63782.5607501634	447187.234491144	61038.5933493178	111023.016724604	763.42861383157	2444.58363071557	13848.8023205917	0	0	0	52.9678977922356	7904.88300747169	81.7547987662767	12904.5919686431	6070.58167740579	5092.97852032735	3920.7759126644	6599.10917928918	162.358121493592	9343.07658013478	33263.839813524	8458.74298221224	45676.7515135305	0	886.636550000466	2738.21002065079	26897.328794105	0	0	14718.1667300077	128174.252324937	3416.4294075992	0	3911.5641043527	2924.74913896258	0	9743.79024169343	505941.299379162	259325.070210591	15109.6685832547
