feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1524	sex	M	0.92224088988667	0.0175303028106921	37	14	0	0
X1524	glioma_idh_mutation	Mutant	1.97619058562969	0.0265387570124965	37	14	0	0
X1520	glioma_progression_overall	Y	1.81567148038657	0.00845835940330389	37	27	0	0
X1520	glioma_fu_time	glioma_fu_time	-0.112204225391479	0.00246206463277266	37	27	0	0
X1520	sex	M	1.35706062193416	0.00553301332497632	37	27	0	0
X1520	glioma_idh_mutation	Mutant	1.82547795080067	0.00732658040811515	37	27	0	0
X1520	steroids_at_surgery	Y	1.23576286784254	0.0086823874793781	37	27	0	0
X1542	glioma_progression_overall	Y	-0.314093701317568	0.00284822406182059	37	18	0	0
X1542	glioma_fu_time	glioma_fu_time	0.391890622473477	0.00133248479365263	37	18	0	0
X1542	sex	M	1.06861651104262	0.00278409096322893	37	18	0	0
X1542	grade_category	High	-2.34561710497688	0.0146985342002788	37	18	0	0
X1542	glioma_idh_mutation	Mutant	-1.85911413732549	0.0147618314784383	37	18	0	0
X1542	steroids_at_surgery	Y	0.79735694273642	0.00368525665367346	37	18	0	0
X1561	glioma_progression_overall	Y	-0.362753173166174	0.00378870026705057	37	30	0	0
X1561	sex	M	-0.454531512596874	0.0034825112401404	37	30	0	0
X1561	grade_category	High	1.97506180053865	0.00465423368083626	37	30	0	0
X1561	glioma_idh_mutation	Mutant	1.24027740300368	0.00426933894813516	37	30	0	0
X1560	glioma_progression_overall	Y	-3.11495445501903	0.00848435119341663	37	10	0	0
X1560	glioma_fu_time	glioma_fu_time	-0.953304125809713	0.00394197224096115	37	10	0	0
X1560	grade_category	High	5.60895708574535	0.0121293084648835	37	10	0	0
X1560	glioma_idh_mutation	Mutant	3.47938217109921	0.0100393245387626	37	10	0	0
X1560	steroids_at_surgery	Y	0.577010962859937	0.00734994802212763	37	10	0	0
X1528	grade_category	High	5.16335593097868	0.0230035837833928	37	12	0	0
X1528	glioma_idh_mutation	Mutant	2.04695728138623	0.0101232968050691	37	12	0	0
X1528	steroids_at_surgery	Y	-0.98749377145227	0.00957927800041151	37	12	0	0
X1464	glioma_progression_overall	Y	0.725467412368332	0.00600882642884901	37	14	0	0
X1464	sex	M	0.875786867498574	0.00498535141327295	37	14	0	0
X1464	grade_category	High	-2.29851221955097	0.0125031141460379	37	14	0	0
X1464	glioma_idh_mutation	Mutant	0.536393880528683	0.0115145124940452	37	14	0	0
X1464	steroids_at_surgery	Y	1.76585049736935	0.00611620194351873	37	14	0	0
X1468	glioma_progression_overall	Y	-1.2252031463725	0.0027283424271952	37	26	0	0
X1468	glioma_fu_time	glioma_fu_time	0.347152011812562	0.00131317789236911	37	26	0	0
X1468	grade_category	High	0.64282676851483	0.0048869979121391	37	26	0	0
X1468	glioma_idh_mutation	Mutant	-0.327705148441311	0.00492522442728144	37	26	0	0
X1468	steroids_at_surgery	Y	0.618989870381636	0.0034273157512417	37	26	0	0
X1341	glioma_progression_overall	Y	-1.06516104627639	0.009870700075753	37	16	0	0
X1341	sex	M	-1.97614460889263	0.0127796724812752	37	16	0	0
X1341	grade_category	High	1.84474229362184	0.0228560491280366	37	16	0	0
X1341	glioma_idh_mutation	Mutant	-0.723515328883958	0.0189609031894346	37	16	0	0
X2489	glioma_progression_overall	Y	-1.40054128282093	0.00551305469273324	37	11	0	0
X2489	glioma_fu_time	glioma_fu_time	-0.347021628561759	0.00246526495879556	37	11	0	0
X2489	grade_category	High	-0.649205391884115	0.0112127345038567	37	11	0	0
X2489	steroids_at_surgery	Y	0.879927733301672	0.00546499494302863	37	11	0	0
X2483	glioma_progression_overall	Y	1.0829033031368	0.00626074144666588	37	23	0	0
X2483	glioma_fu_time	glioma_fu_time	-0.777577772326869	0.00275336593243419	37	23	0	0
X2483	sex	M	-0.855090382248581	0.00396132006327586	37	23	0	0
X2483	grade_category	High	-0.850045651533805	0.0129756844590396	37	23	0	0
X2483	glioma_idh_mutation	Mutant	-0.49750142798568	0.0118218264790167	37	23	0	0
X2483	steroids_at_surgery	Y	-0.679319159880109	0.00610181744414939	37	23	0	0
X9712	glioma_fu_time	glioma_fu_time	0.10378313629436	0.00098327458203657	37	33	0	0
X9712	sex	M	-0.13538573222715	0.00196613131018187	37	33	0	0
X9712	glioma_idh_mutation	Mutant	0.680506210217617	0.0030692534837462	37	33	0	0
X9712	steroids_at_surgery	Y	0.601524842207107	0.00259351543468346	37	33	0	0
X9649	sex	M	-0.93937361194525	0.00539258887610629	37	12	0	0
X9649	grade_category	High	-3.70339902373824	0.0417608919554625	37	12	0	0
X9649	glioma_idh_mutation	Mutant	-3.49073862693641	0.0420552938258567	37	12	0	0
X9649	steroids_at_surgery	Y	-0.511545984420929	0.00742003831671528	37	12	0	0
X9738	glioma_progression_overall	Y	-2.29915648440179	0.0103119528607217	37	11	0	0
X9738	glioma_fu_time	glioma_fu_time	-0.921501733373727	0.00534386219063658	37	11	0	0
X9738	sex	M	0.463124829579672	0.00796873564651878	37	11	0	0
X9738	grade_category	High	4.39907723662537	0.0143348432181577	37	11	0	0
X9738	glioma_idh_mutation	Mutant	3.46978734967177	0.0121017463645462	37	11	0	0
X9738	steroids_at_surgery	Y	1.0302901359204	0.00926526291374613	37	11	0	0
X13165	glioma_progression_overall	Y	-0.536766464065186	0.00223657046822187	37	29	0	0
X13165	glioma_fu_time	glioma_fu_time	-0.471332974287871	0.00108449983778535	37	29	0	0
X13165	sex	M	-0.295383452676531	0.00174295171785022	37	29	0	0
X13165	grade_category	High	2.43270746173044	0.00291352526661023	37	29	0	0
X13165	glioma_idh_mutation	Mutant	1.93251139189476	0.0022461966381963	37	29	0	0
X13165	steroids_at_surgery	Y	0.416015582427617	0.00234181516850418	37	29	0	0
X9434	glioma_progression_overall	Y	-0.463920590379907	0.0111286984749978	37	22	0	0
X9434	glioma_fu_time	glioma_fu_time	0.288241546693444	0.00524725394277383	37	22	0	0
X9434	sex	M	0.968757266582074	0.010891223037225	37	22	0	0
X9434	grade_category	High	2.44974390571915	0.0123604612535004	37	22	0	0
X9434	glioma_idh_mutation	Mutant	3.35528082342129	0.0113223545998547	37	22	0	0
X9434	steroids_at_surgery	Y	1.72550222583676	0.0116497998141371	37	22	0	0
X9450	glioma_progression_overall	Y	-0.299395412230363	0.00140992107326142	37	29	0	0
X9450	glioma_fu_time	glioma_fu_time	0.414922588113248	0.00069305802003617	37	29	0	0
X9450	sex	M	0.426652722140077	0.00141177617842064	37	29	0	0
X9450	steroids_at_surgery	Y	0.129685685221896	0.00177948412630593	37	29	0	0
X9447	glioma_progression_overall	Y	0.663114858096108	0.0058581039142144	37	16	0	0
X9447	glioma_fu_time	glioma_fu_time	1.14389715935456	0.00272190524374283	37	16	0	0
X9447	sex	M	1.8780464867134	0.00635150755407444	37	16	0	0
X9447	grade_category	High	1.20433915998022	0.00904345455414396	37	16	0	0
X9447	glioma_idh_mutation	Mutant	0.903922422176706	0.0100046303760141	37	16	0	0
X19300	glioma_progression_overall	Y	1.76327435212832	0.0421361044212987	37	18	0	0
X3607	glioma_progression_overall	Y	-1.58687458409207	0.0241652268254694	37	12	0	0
X3607	sex	M	-1.65174351160362	0.0265811252652574	37	12	0	0
X6001	glioma_fu_time	glioma_fu_time	-0.425434434971233	0.00396282090813001	37	20	0	0
X6001	sex	M	-0.957460374109803	0.00662505354338019	37	20	0	0
X6001	steroids_at_surgery	Y	0.659806562861331	0.0122312531585018	37	20	0	0
X6055	glioma_progression_overall	Y	-1.70993332996102	3.45523286791041e-14	37	13	0	0
X6055	sex	M	-52.4514064550669	0.00450561314988418	37	13	0	0
X6067	sex	M	-0.423015316881945	0.00857904042530846	37	15	0	0
X6067	steroids_at_surgery	Y	0.56486230298382	0.0126841606940171	37	15	0	0
X8053	glioma_progression_overall	Y	0.634015526562049	0.00687271740997115	37	14	0	0
X8053	glioma_fu_time	glioma_fu_time	-0.463425097291184	0.00326816813195959	37	14	0	0
X8053	sex	M	-0.771168900453382	0.00496387073892774	37	14	0	0
X8053	grade_category	High	3.36580378702601	0.0128202995377135	37	14	0	0
X8053	glioma_idh_mutation	Mutant	1.02524652595866	0.0066080581545779	37	14	0	0
X8053	steroids_at_surgery	Y	-0.749530870564098	0.0064494092780842	37	14	0	0
X8249	glioma_fu_time	glioma_fu_time	0.310378539412561	0.00372855051288348	37	28	0	0
X8249	sex	M	-0.408370799991627	0.00815344104242909	37	28	0	0
X8249	grade_category	High	1.10433212117114	0.0096816933754478	37	28	0	0
X8249	glioma_idh_mutation	Mutant	0.771875022759848	0.0101679594954913	37	28	0	0
X8235	glioma_progression_overall	Y	-1.7527845197763	0.00891331868507109	37	18	0	0
X8235	glioma_fu_time	glioma_fu_time	0.314073703217351	0.0037139748649005	37	18	0	0
X8235	sex	M	0.782300455703092	0.00681237191149315	37	18	0	0
X8235	grade_category	High	-0.485935023499351	0.0126185629890738	37	18	0	0
X8235	glioma_idh_mutation	Mutant	1.31580172889722	0.0137363669243925	37	18	0	0
X8235	steroids_at_surgery	Y	1.73943374075524	0.00739267140190338	37	18	0	0
X6833	glioma_progression_overall	Y	-0.49121890588704	0.00856445762764254	37	23	0	0
X6833	sex	M	0.563626165159974	0.00752414391852206	37	23	0	0
X6833	grade_category	High	-3.33169342871419	0.0843132121139903	37	23	0	0
X6833	glioma_idh_mutation	Mutant	-3.59261986900619	0.0843286428864624	37	23	0	0
X7298	sex	M	-0.32712385496049	0.00457573320667544	37	18	0	0
X7298	grade_category	High	-1.58820829858753	0.0179867546039738	37	18	0	0
X7298	glioma_idh_mutation	Mutant	-1.77241577792842	0.017736220270942	37	18	0	0
X7298	steroids_at_surgery	Y	0.400439043580322	0.00691288118581867	37	18	0	0
X4482	glioma_fu_time	glioma_fu_time	-0.459410333723949	0.00186950894583244	37	26	0	0
X4482	sex	M	0.601222737830147	0.00313416750696262	37	26	0	0
X4482	grade_category	High	0.812699562390441	0.00658409399233814	37	26	0	0
X4482	glioma_idh_mutation	Mutant	0.585329464323386	0.00647694650615509	37	26	0	0
X4482	steroids_at_surgery	Y	-0.71419717735927	0.00350659090685825	37	26	0	0
X4481	glioma_progression_overall	Y	0.967581183185112	0.0154417377481768	37	11	0	0
X4481	glioma_fu_time	glioma_fu_time	-0.241633276552288	0.00545783146179275	37	11	0	0
X4481	sex	M	1.47517790334408	0.0116251762211235	37	11	0	0
X4481	steroids_at_surgery	Y	0.77639935750759	0.0155628662112143	37	11	0	0
X4494	glioma_progression_overall	Y	-2.13363232763326	0.0051677648243449	37	22	0	0
X4494	glioma_fu_time	glioma_fu_time	0.607509802781262	0.0021420230038702	37	22	0	0
X4494	steroids_at_surgery	Y	0.699790550725259	0.00468129669709283	37	22	0	0
X5265	glioma_progression_overall	Y	-0.545913446116737	0.00621757100906217	37	21	0	0
X5265	glioma_fu_time	glioma_fu_time	-0.673232955335616	0.00283113089027185	37	21	0	0
X5265	sex	M	0.952014435699785	0.00436230866198547	37	21	0	0
X5265	grade_category	High	-0.846394162349698	0.015260788850597	37	21	0	0
X5265	steroids_at_surgery	Y	0.909329157625115	0.00628569877246219	37	21	0	0
X7281	sex	M	-0.737454244530272	0.0193554008216703	37	11	0	0
X7281	glioma_idh_mutation	Mutant	1.40070616823439	0.0184828270846219	37	11	0	0
X7281	steroids_at_surgery	Y	-1.46627115907679	0.0196102341506995	37	11	0	0
X5286	glioma_progression_overall	Y	-0.798293930993893	0.00620337633196119	37	16	0	0
X5286	sex	M	-0.9918102986441	0.00610715725002784	37	16	0	0
X5286	grade_category	High	-2.39419557162905	0.0340345502007365	37	16	0	0
X5286	glioma_idh_mutation	Mutant	-3.16682821944393	0.0342601862688295	37	16	0	0
X5273	glioma_fu_time	glioma_fu_time	-0.757340690174091	0.00201254814521813	37	27	0	0
X5273	sex	M	0.588174017548316	0.00289722257869662	37	27	0	0
X5273	grade_category	High	-0.338975335106972	0.00869489286966961	37	27	0	0
X5273	glioma_idh_mutation	Mutant	0.528747320604603	0.00812512916917884	37	27	0	0
X5273	steroids_at_surgery	Y	0.231488811373333	0.00420061382443132	37	27	0	0
X7282	glioma_progression_overall	Y	1.23302323829394	0.0254222839361682	37	17	0	0
X7282	grade_category	High	2.62439741089852	0.0300375522961688	37	17	0	0
X7282	glioma_idh_mutation	Mutant	2.13916782726669	0.0241958210202219	37	17	0	0
X3936	grade_category	High	3.5275394619489	0.0592690647919065	37	11	0	0
X3936	glioma_idh_mutation	Mutant	2.01324092472824	0.0413969739935592	37	11	0	0
X3920	glioma_progression_overall	Y	-2.33994962721385	0.0173604265086293	37	12	0	0
X3920	glioma_fu_time	glioma_fu_time	-0.884006976701767	0.00884165433814981	37	12	0	0
X3920	grade_category	High	4.36968245992152	0.0239003880411562	37	12	0	0
X3920	glioma_idh_mutation	Mutant	2.85736629591641	0.0210041822102247	37	12	0	0
X3922	glioma_progression_overall	Y	-0.28486928335591	0.00756357742457969	37	24	0	0
X3922	glioma_fu_time	glioma_fu_time	-0.276457915032644	0.00364269510498966	37	24	0	0
X3922	sex	M	1.01539760024933	0.00673950966938502	37	24	0	0
X3922	grade_category	High	1.31430471577523	0.0145811237099024	37	24	0	0
X6653	glioma_progression_overall	Y	-3.76657917341208	0.0204909649491454	37	12	0	0
X6653	glioma_fu_time	glioma_fu_time	-1.7483639952619	0.0126565709579391	37	12	0	0
X6653	sex	M	-1.1933994011412	0.019811648498781	37	12	0	0
X6653	grade_category	High	6.5389264987296	0.0528619878302432	37	12	0	0
X6653	glioma_idh_mutation	Mutant	2.89584723185366	0.0315217354327236	37	12	0	0
X6653	steroids_at_surgery	Y	1.08616085643461	0.0243713979869406	37	12	0	0
X749	glioma_progression_overall	Y	-0.847824381100889	0.00409354153910747	37	22	0	0
X749	glioma_fu_time	glioma_fu_time	0.215327402457075	0.00191313667177658	37	22	0	0
X749	sex	M	1.04182779985017	0.00381561230700709	37	22	0	0
X749	grade_category	High	1.06197560522635	0.00530645954503721	37	22	0	0
X749	glioma_idh_mutation	Mutant	1.92405901197308	0.00542848018804672	37	22	0	0
X749	steroids_at_surgery	Y	1.35965933516705	0.00448151214104326	37	22	0	0
X748	glioma_fu_time	glioma_fu_time	0.551130318912413	0.00314257582228454	37	16	0	0
X748	sex	M	2.28880689310161	0.00987063462655601	37	16	0	0
X748	grade_category	High	3.53156879555994	0.0131184070844013	37	16	0	0
X748	glioma_idh_mutation	Mutant	2.54444295347623	0.0111124530650023	37	16	0	0
X6936	glioma_progression_overall	Y	-0.0844019947315713	0.00158309497971655	37	32	0	0
X6936	sex	M	0.87980525729608	0.00145271502483798	37	32	0	0
X6936	grade_category	High	0.424917498203568	0.00268915188862067	37	32	0	0
X6936	glioma_idh_mutation	Mutant	0.463387189573975	0.00277557141286288	37	32	0	0
X6936	steroids_at_surgery	Y	-0.432659209806429	0.00164648408704398	37	32	0	0
X6952	glioma_progression_overall	Y	-0.537241048891913	0.000922651301578043	37	30	0	0
X6952	glioma_fu_time	glioma_fu_time	-0.150470964227507	0.000439598056067763	37	30	0	0
X6952	grade_category	High	0.9085176691761	0.00141799697776305	37	30	0	0
X6952	glioma_idh_mutation	Mutant	0.354163336559583	0.00140887412999353	37	30	0	0
X6952	steroids_at_surgery	Y	-0.180101225527663	0.00100643401539862	37	30	0	0
X5868	glioma_progression_overall	Y	0.419459464730869	0.00246550435434406	37	32	0	0
X5868	sex	M	0.778956876998378	0.002104400925098	37	32	0	0
X5868	grade_category	High	-0.586923213702009	0.00483482875571622	37	32	0	0
X5868	glioma_idh_mutation	Mutant	0.325768494824778	0.0045966005729349	37	32	0	0
X5868	steroids_at_surgery	Y	0.496064082717559	0.00286655869483418	37	32	0	0
X5825	glioma_fu_time	glioma_fu_time	-0.366586716890632	0.0051442157982927	37	20	0	0
X5825	sex	M	-1.38141171396075	0.00940939573081424	37	20	0	0
X5825	grade_category	High	3.57180781066107	0.023823240548199	37	20	0	0
X5825	glioma_idh_mutation	Mutant	0.578189991274226	0.0117958213908324	37	20	0	0
X5825	steroids_at_surgery	Y	-0.546429572783201	0.0123225893204874	37	20	0	0
X5880	glioma_fu_time	glioma_fu_time	-0.162583358627308	0.00249311223789879	37	25	0	0
X5880	sex	M	0.182988877009446	0.00455402625791646	37	25	0	0
X5880	grade_category	High	-2.3958392083744	0.0233223074073901	37	25	0	0
X5880	glioma_idh_mutation	Mutant	-1.63199548580406	0.0233003602951586	37	25	0	0
X5898	glioma_fu_time	glioma_fu_time	-0.616815140272304	0.00678513146691315	37	17	0	0
X5898	sex	M	-0.556760861194161	0.00952801690476791	37	17	0	0
