feature	X1965	X1798	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1891	X1814	X1812	X1949	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8000	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14851	X14890	X14894	X15316	X15346	X15300	X15286	X15271	X63326	X79883	X7263	X25416	X14963	X63327	X14837	X15350	X14838	X4198	X4181	X4262	X29305	X7253	X15091	X15254	X15078	X15124	X15132	X15127	X15126	X15158	X15154	X15120	X15234	X14987	X14995	X14993	X14027	X3813	X14143	X5090	X4799	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4630	X4552	X4581	X4575	X4577	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4705	X4699	X4716	X4721	X4652	X4644	X4670	X59869	X4532	X4540	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X3922	X3958	X6140	X6148	X4080	X5792	X6952	X6939	X5825	X4053	X14546	X72479	X14341	X14809	X14807	X63101	X14797	X17130	X17167	X17168	X17248	X17244	X17237	X17234	X16971
01-2020-08	139002.776345608	0	785686.877946904	0	242463.35372792	13046.2701585316	0	114086.853715863	0	0	7458430.98235674	35538.8610407792	0	1113112.04246673	651948.005410943	550319.947490582	712811.684589826	249359.501648484	175820.06171048	472127.443563581	275530.483144702	4399086.47154549	913429.17268069	0	50432.6713125888	0	2206747.30704552	2997.45442045832	0	0	0	0	0	0	0	0	43987.1429318482	0	0	1956.0225950875	677.598270994475	0	0	4262.52705448248	0	2618.60021475451	0	0	77479.8574695751	0	726303.567404405	1506566.32126084	1229495.38687444	51989.8121668692	0	47331.7412940968	15639.835954407	29770.9309310331	500614.943286746	129309.449355618	80629.1873645667	464204.884468973	67164.0079301248	0	200.27535103285	0	3316.22602085227	936.287266078573	919.597653492502	0	0	118.496249361103	112124.155275741	240529.027629194	0	2777.15153432218	0	4281621.64024221	0	29874.4065290668	6811.0308963755	0	1286.76913038606	0	335.461212980023	4991.86312449378	0	1389550.44053612	0	0	13219.8421294267	0	3124.29547611246	0	21542.9519261002	141401.073674226	0	0	72985.3448001463	212166.700000425	33173.942937333	518723.172942632	326382.063733201	58999.4494530189	181432.778423176	0	128661.892387278	22742.9350710387	73392.5713472464	2211.37366765438	7460.25682597365	28749.5266407656	59209.7385716034	0	26159.2987674074	0	37221.1739894551	0	0	199402.484294598	3596.61151229826	153.544435791851	1755.74724405465	4334.29238860259	10940.0410501694	18104.8917333696	6108.39820650192	237583.311007752	0	0	0	0	10375.9321447602	3892.01765507171	0	20297.9068271793	0	0	65344.840158243	1704.00944503783	217033.391030523	44985.1817644953	18672.338561296	24159.8831795961	2601.91060216844	0	0	5155.42132783727	0	0	722329.770647662	2111.23599213796	0	5238.86939076763	0	34469.056874012	13091.3321125139	2905.66155123493	4834.98076618471	0	0	34524.1325955461	338438.639865378	0	0	0	219698.722160519	139932.387766652	0	0	71403.1695269867	630.867355753477	21387.7385290497	83337.911487286	0	23876.1597656329	0	10093.8776920556	589612.302401968	0	26633.2837648518	0
01-2020-09	0	0	0	0	0	2800513.45989048	0	0	0	0	0	0	0	13835221.6605224	0	0	0	0	0	0	0	0	0	0	0	0	0	14560.033135036	20168.5279633256	0	0	0	0	13247.1780038202	5339.7934293901	0	3103.40163825296	10038.6842628865	0	21.8941880584804	8774.79249769241	0	0	10230.9550416546	54834.5911066839	12987.234280144	3249.495584025	0	3135.64580612091	26886.4610119604	0	26385.681219641	0	0	490.031736363442	0	0	0	131088.465429052	0	26442.606108593	0	46248.0886262944	0	0	0	0	0	0	0	0	0	0	0	0	0	2098.65744444197	66.8767926149946	0	62155.2114411467	0	38469.6807233361	0	0	4337.83576860474	39110.9813953763	0	0	0	0	0	0	0	0	0	0	346928.536680189	270095.859640784	5002.62293328951	8361.19138146039	0	832672.196793341	0	1746.75813092022	0	2767.82344673844	163240.67770715	0	35283.4792466074	0	61917.958057822	0	0	0	0	0	464.554862986302	37456.5769304482	0	74646.840918876	0	32729.422690549	0	0	0	399290.278764704	0	1070091.97594721	32020.4490736008	47567.711052001	0	217715.806053529	0	2299.28782228696	0	1484.42595036497	0	0	0	0	0	0	0	0	0	6063.49586375951	80634.7023147971	803812.870399239	8831.71738664446	0	29588.9999706699	0	25584.7520128471	0	0	0	0	0	0	14826.7441532029	823.221470998862	0	0	25484.8349000711	69016.8499786744	0	0	0	0	0	51122.5310404051	0	0	0	0	0	0	0	0	0	0	4594.19680696222
01-2020-10	0	0	129973.942324298	0	53905.9587583431	0	148921.022789715	0	0	0	39372.8721922495	0	0	398105.42759458	30028.6754977735	0	0	0	0	0	0	0	0	0	0	0	0	579410.110483582	0	0	6892.49575356346	693964.205587778	0	202.754735607784	0	0	0	623292.527657453	0	95.5510822979212	925.214138348164	3987.50980028642	0	95718.8793204932	0	234119.961000627	0	0	0	2487.82391104953	0	95956.5917691368	0	0	0	0	0	0	0	0	0	0	76430.3785244263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114332.696254969	0	243.53873414958	0	32697.1142595082	0	0	0	1188.56224321804	1302.75743913507	0	0	0	0	0	0	0	0	52015.9117402062	158688.207811925	91685.9244932602	0	0	0	18232.777862385	1060351.33488785	0	0	0	2994732.88995392	0	0	0	0	0	0	0	242423.583103737	0	0	76365.1241267594	0	1988118.55154473	0	298950.205082666	0	0	0	72018.7151393051	943.858251967271	989761.224954612	1116.31630294401	202071.894946484	0	192344.328665715	0	66064.251352203	0	0	0	0	0	0	0	928763.511478402	0	0	0	0	0	0	0	0	766.739172585758	0	0	0	0	0	155029.300514175	3592.4876429816	0	0	0	8399.17318540752	0	0	0	126555.077989394	0	129722.24679044	0	0	529651.30174839	0	0	0	0	784.218029103671	28645.5153186561	335512.477146835	0	257729.235127922	0	0
01-2020-12	605551.446941762	0	0	0	0	0	1123243.29049275	0	0	0	34954.5604872625	5089620.4346976	0	102882.47236544	7896215.45398187	1008470.09686664	1479060.12415854	0	0	0	0	0	437391.341533066	0	0	0	0	0	0	0	389414.187921694	263199.208429454	0	518.269046201105	6522.56328045069	0	0	39209.9133582448	0	0	0	0	0	0	0	8510.70574196463	0	0	365750.61260819	0	22611.4371494763	656925.949484754	0	19744.4906530996	0	38466.3099441302	0	0	8344.30497796695	0	3627.88332340773	18354.3509372023	1540647.47359189	0	0	16265.6746807731	0	5255.49079626003	4383.62012656386	1222.00561060796	0	36056.9655487471	0	115887.732076634	0	0	62.4002864991297	619726.712024815	72120.8644626608	196391.035025677	31423.7442761867	89095.4757317157	152540.967029706	39.8668497077773	187322.193387804	28073.1955594418	0	269565.770993657	0	0	0	0	0	20013.1585533042	4057.75196373507	15818.4726275294	0	0	0	39093.7794917047	866.670645821245	2471.74468188219	0	22975.4388207212	97212.7130004775	0	1300361.30369665	26443.8547452978	183734.176914104	0	0	882.270717446028	0	21463.965214409	10458.9813537708	419050.857326197	4137.48566315063	36717.3685808629	0	134989.153110534	0	0	73656.604847056	287422.652980158	948532.888342937	5798.02662054413	0	4121.88559152584	0	0	0	263674.143943364	4808.28874301627	197821.041591283	0	61072.5470697315	0	0	0	1443.87329593819	0	0	0	0	0	0	6640.43048828238	0	231745.997351309	0	380563.747286567	6654.29721861552	25712.3847202247	0	0	234450.009766272	31635.2119137671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14	72353.4043014147	0	872013.935497803	116499.097227973	940136.488853434	289509.713345249	260913.249405686	4145.238021422	140155.345991321	43668.7066336821	4063667.25013133	1462306.31296352	786797.62611158	11257250.4132157	0	1558230.35310392	0	0	0	36785.6022352029	0	56169.9407931234	87750.6266676029	3078.57087196863	0	8766.58873445096	0	0	49.7952723332042	1037889.85005113	0	103332.178901551	0	0	0	0	19041.8868604711	1090.25438371647	0	0	0	0	0	247820.587187129	46836.3848350891	0	0	0	5696.75387517236	0	0	31890.8143249758	0	0	12721.3816792302	0	4956.81360032633	0	1656219.58664425	0	668745.265827319	0	25475.0866054135	0	1304.28669462235	290.909222578193	0	5183.94993026726	0	2861.91775725574	0	0	39095.4039904483	1313.89630858139	0	691.892205050838	6428.83173859737	17475.5197851477	0	80947.893585872	2710.78473771812	158079.023227467	0	1122.5776306696	207.043500753849	94193.4360265043	70859.5461314186	0	7270.98336191682	1859.89710170863	0	9712.69890878183	0	11824.1931759635	4721.81485896437	200764.92843352	279442.332321252	31416.4488359068	3580.01800037668	48340.7262203133	0	933202.715581352	135658.920259759	33831.0827434328	0	6124.81849698412	185311.795586116	39315.5515102372	41218.2550741271	0	2856.67614964172	0	0	0	0	28741.4817502179	1064.91994691537	7887.74585783335	0	99668.2951793498	0	5199.67475310933	34502.0085180275	10734.812393516	44897.8636191701	27314.017276666	11035.3312300533	1909348.17514184	0	32047.1889521274	10543.4937156042	740476.666025203	0	140211.256472537	29908.6130456067	140745.900449167	0	3068.96125800959	870.980465196572	0	18631.2942640394	39534.8254287571	0	0	737.319471039024	0	0	0	722691.891390828	0	34575.3910246238	20675.5212335078	0	20756.7661515251	7944.52994031858	104507.172608361	7032.49021547884	0	4416.92801608212	0	2769.31602274136	0	5685.39705867532	0	0	0	0	5260.82684193958	0	0	42472.7464964162	0	3296.97118921952	314.49645684129	0	0	0	1323043.78746913	0	461633.624174487	481.354299220974	0
01-2020-16	0	32884.3437106344	1623735.04346265	54690.9746905756	52578.6753109447	14599.1418153618	172139.842838587	213699.402891721	0	302.288550585664	1170793.32021403	259730.973256289	89888.5234021532	1255253.67136628	66211.4238830496	275936.429923532	217626.363693483	23159.0234493306	86059.2250551957	279829.906455075	26346.5399504293	545721.985431609	136336.786907221	95152.0646568125	80149.2513615917	0	0	33474.0389139307	10395.0056656781	90935.8369651054	0	58052.4233730882	0	0	356.235430382491	0	2532205.14983429	5695.11629303392	1075.21712146778	1982.08277322477	57891.5128523149	0	9849.95615600673	138794.160293828	160616.603290261	4125.07606722284	0	0	27397.5739878502	0	106428.822771584	300640.38039601	0	316896.063468581	7595.34862794626	916911.862941226	7089.36410019672	0	0	0	0	226392.731660467	771912.881352147	2035.09953440441	917.096956546047	2156.94507325586	0	76568.294685423	512.49535806985	19.5324909609199	217.647756421678	0	0	59903.3594212896	0	519.006188390156	10.2313047890533	0	0	235109.803340741	17926.1761090385	123518.822243771	0	0	3495.38576338747	726.422640022781	45480.0100245761	0	0	275.315110687251	751.535842686821	0	4345.51417949608	24948.5716687978	0	15705.9829698139	52722.8436966086	70315.1072220771	55682.4811364966	497102.825074028	0	80707.3225319037	294593.679265679	317200.212256401	139329.908617327	3605.13976021549	0	37385.1876992006	508297.732750486	0	82778.6966923783	0	0	8425.01443447677	167612.025410122	119921.123432493	41.8553377733997	0	10701.0146907325	882030.554559492	0	29787.97883402	0	2999.63254042698	0	1850.00592958427	13523.924693894	45284.6851149669	572574.509909787	4546.41980080839	14215.0028264637	87207.9215474212	25167.1495438366	13003.9883868867	0	18641.437325655	0	0	0	0	0	556294.643753169	0	0	0	0	0	56880.473915433	143175.018980777	0	32380.2194201192	0	0	0	0	0	127706.216258346	568.302475101049	0	3231.23207610646	0	0	133816.165454645	545.049509671383	0	0	0	106020.500698639	0	4980.78519503456	11628.3429520676	0	0	3771.63099269191	0	0	394.370293687144	401977.733857113	750883.829536173	0	128574.947046798	37245.6699066226
01-2020-19	43285.7754035531	1160893.75687015	297158.486298068	0	1612134.95659271	411371.454457154	2148851.59025858	0	0	112430.272600391	3968138.17981968	24743836.0361172	0	14028631.2043349	2945068.47106912	874612.122528171	4012238.21346491	11693.5192458174	293942.40714826	194106.637765243	52018.5745931057	215255.6706163	883255.786939788	268996.714566793	49043.4002485271	153764.719081589	0	0	0	564777.225378951	38800.1279301885	118120.444099901	0	0	1031.07256638027	0	0	725.123463739397	0	0	0	0	0	148669.582450995	0	26603.1176414424	0	0	9021.88495582738	0	39725.202382268	580790.167782525	508976.44534375	5140.90854358762	0	0	0	0	1001643.63537349	6928.42219838706	0	124781.461964484	31365.8056408204	0	0	1221.38736251121	1382.79358201466	3423.2572823046	0	0	0	0	12664.3656108904	22474.0092798167	4191.74361098522	0	399.901976680199	71734.2238530499	0	660821.153127663	14355.5173435982	198346.562337274	0	48070.1448354018	62336.5274010653	128255.309255886	48645.9073198992	0	32348.6972461549	1134.66163262876	19154.3410637606	12765.5456290866	0	0	7128.37318672716	382518.285934872	2700.54286661749	15784.0828386064	12452.3693822889	534808.667608459	0	905117.898014323	20640.7237120238	0	53329.0967335516	0	0	17029.5606816405	253694.441338645	1221.38736251121	414.356264993941	0	261340.759856615	16800.7011166729	0	33367.7245722737	1471.92835994941	11597.1573237258	0	147636.100836562	0	0	7523.45706730278	0	66094.6423626382	0	18527.9885701651	578612.388343255	0	1060499.088339	1824150.45757868	670857.247313505	67014.8987186131	10939.4872054505	0	132355.509040884	0	758.850136471462	10491.4042677245	0	9045.97543635029	78530.148408561	16439.3439088294	17065.6964024249	0	0	53839.8149206372	226896.190804967	3204.03390954617	101105.337706574	56812.5802171635	0	0	7745.0894881135	705.851079321074	0	594263.973538985	0	0	0	0	0	301318.912284373	0	0	0	0	11536.9311224185	93.9528740393239	0	6658.60881653054	0	0	31890.9781162197	0	0	0	0	0	0	0	0
01-2020-20	0	5358.24173875762	1087024.50721366	128754.813749055	151437.265822685	0	71243.7903734997	0	0	0	174148.916622632	420445.131376481	0	1095770.35212449	2182862.07150062	220344.607171501	112035.512876361	0	0	271336.050788013	0	0	0	0	0	0	4512.02959494396	1148902.6683913	0	0	0	92000.2283489709	145666.385479945	0	0	0	19000.1070415662	16978.783893355	9.91654856031639	314.574957107814	3182.11024913264	6063.41852526901	21818.6105101539	60303.0827146484	214142.907885752	48496.3298148629	0	0	157440.634137228	9416.86469674934	253317.131134553	295069.106089672	0	13373.5675723156	30713.7545687577	0	56649.3854895363	1734.84507869091	303198.472231674	0	0	30117.1088970453	794454.371361187	3598.60528866593	0	1614.74465723819	24.791371400791	2090.73898813337	4897.12223070291	0	0	0	229758.717271428	73375.2973946033	0	2271.99145904138	1572.87478553907	1230221.12118272	8358.5485976178	196823.104905795	2284.11168505954	68647.8583281547	15919.3659554946	13206.0880855191	1993.22626062359	4870.67810120873	0	0	68215.9375464165	0	0	0	448.999282036548	0	0	68065.5365599183	40035.3102154551	23758.3975924247	0	0	0	1721038.48849812	581154.370103062	129165.248675579	0	0	0	2742.47659629194	32713.5918617549	0	33371.940502287	0	0	44092.2804153535	0	132242.133326099	24509.3006861864	21127.2067077541	0	361263.169568513	112.938469714714	829.684562879805	0	3723.11306503434	18781.3920538748	34155.8987579164	0	54104.1380257218	20299.1749029677	0	0	201645.302102931	2606.39951326983	21530.4796825403	0	88347.6329625877	0	10437.7182790975	0	0	0	9678.00047550434	0	39494.3073995534	0	0	0	0	291235.809151745	0	209576.888193091	0	0	68192.2480137446	6522.33435586588	16101.169345767	249741.11353983	0	0	7789.44889412853	1385.01128225752	13694.2026424325	0	0	1025.81185662828	23666.3940585595	0	0	0	0	198148.065977326	27849.5247929197	0	38591.3505612002	0	0	0	0	0	0	0	0
01-2020-21	0	0	260245.396817526	1980624.55126413	2654634.46847525	0	267548.081030913	0	0	0	1432217.45615683	1545775.64069686	0	1711439.03229202	1209812.61891408	554391.006728938	1706838.53897742	0	0	0	0	0	0	0	0	0	0	3456.64442302039	0	0	0	220173.419258776	0	0	0	0	6599.18672355291	63724.7039736976	0	0	0	413.732577804861	0	3910.68550564815	19109.273437362	6732.28084325116	0	0	5294.10381268316	0	2400.25738152967	211275.126684664	0	16133.288920909	6272.91599583547	9604.07167742608	1314.20936479191	0	1247160.34997707	0	0	0	210966.348326964	0	1093.65339500623	0	0	23629.1497423148	45.6322696108303	14410.6707431002	0	552.911000117894	0	28230.4035947402	0	0	2794.21597583651	223166.896145246	0	137156.912769273	0	141751.321781256	0	0	75586.0519212061	5165.57291994599	54366.2860143432	0	0	3950.99401047106	7330.06357515304	0	158.191867984212	0	0	211071.302547069	484791.908580673	377001.64291945	0	0	0	150118.758952229	0	3811.81558815802	0	0	0	466.209687857316	0	0	34404.4496730855	0	0	0	415342.636384297	5989.23538642147	1577.35545288103	468778.024098579	0	350762.327355396	0	99924.7834559693	0	33484.9594404273	166.557784079531	19881.9798694388	4480.32833795669	81519.7680462678	1390.26314747663	199292.853222686	0	15149.1529729688	0	4879.61069705145	0	167833.206015153	0	0	0	0	64212.9692585335	113396.189982913	32208.7769669777	0	0	61875.8365166322	0	0	101385.776621343	0	185865.5578897	0	0	0	0	0	55015.7853184707	0	0	0	10227.7126954408	0	217815.751995549	0	0	0	0	40312.3075120343	0	4401.99294179143	29837.4200228682	128.530892737172	0	8453.37794540631	0	0	164.276170598989	86963.6978108398	0	277615.320244889	0	0
01-2020-22	643508.870951414	0	0	355672.40461045	948181.217520049	0	543653.820751587	0	0	0	1902105.85166753	2285971.32890719	0	673952.683101166	597145.379898661	995966.400283498	1169188.36868784	0	0	0	173296.048891945	2806980.48766756	1078134.73406711	0	0	315143.8413757	37065.3004391135	3410.97068673733	154.697488826797	319026.530461465	40047.0400653032	57784.9591714857	661318.691707333	0	0	1517.56057701217	10391.9672247804	0	0	0	0	0	3767.21067861313	55913.3374404685	77939.2094763853	0	0	0	10753.6543113332	0	81566.9745312672	502035.838581437	0	29163.7449006574	0	0	0	1426.04938643857	4693068.6127279	296725.035434892	34421.2806828977	139463.054434164	431636.497556955	0	2007.79909794216	0	0	14558.9946526853	0	4668.16013818891	16485.0873304725	0	41177.8569202484	4723.72050389431	0	0	0	26342.1498579715	0	403554.54565915	0	293952.464244299	18288.0756685594	0	198525.902016874	53100.4577492658	45607.4343115847	0	1870.53231208176	0	5246.6415928863	0	54063.5040881594	0	24663.3552785201	2709.38489233975	185.201219017996	21796.0046405474	0	105900.235872361	0	498820.963303072	79309.6984971185	231676.920221095	0	0	0	0	25535.9798457755	0	39906.5050226366	0	113927.074588388	39549.1756118254	2723.54733849995	10049.8896790648	6779.45403499407	158583.446169369	0	3072.16139782794	2522.00483545095	0	260766.584634145	0	321752.256637836	18000.4690696139	36219.9113452431	476429.046504861	0	99742.8400494805	43745.6173509862	79396.8520119505	34245.8842342983	1526.27592849537	25702.6609428917	17124.5762455523	0	0	0	0	79998.2112642913	3736.70694842193	5176.9187810207	14272.4774726751	25498.9396019719	0	966882.182965125	195227.141480482	34625.0020238175	0	92712.8196593444	0	72933.3294682224	18486.3499148022	13466.3074604791	0	9270.95514025382	0	11634.9942300718	4630.03047544991	9792.78681031041	39732.1979929726	112713.461894353	0	153.608069891397	21439.7646486716	0	5712.91289723749	0	0	12673.210475508	1296.40853312598	1106.84963836638	29456.79859428	0	0	0	979309.184761232	296129.123277229	1331507.43238669	0	724.463592040986
