feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1965	glioma_progression_overall	Y	0.805540346323229	0.00114396671699911	37	17	0	0
X1965	glioma_fu_time	glioma_fu_time	0.819822004223692	0.000585477564714482	37	17	0	0
X1965	sex	M	1.26251551825985	0.0012668931318859	37	17	0	0
X1965	grade_category	High	-1.58920351226091	0.00384411403267005	37	17	0	0
X1965	glioma_idh_mutation	Mutant	-1.38085150944047	0.00405104357037569	37	17	0	0
X1965	steroids_at_surgery	Y	-0.990154641297282	0.00148514585958666	37	17	0	0
X1877	glioma_progression_overall	Y	-0.340735650756889	0.000713835569622025	37	24	0	0
X1877	glioma_fu_time	glioma_fu_time	-0.0213633634111882	0.000334031065407217	37	24	0	0
X1877	sex	M	-0.1039476083822	0.00063215274857742	37	24	0	0
X1877	grade_category	High	0.863881946148767	0.00105902601402067	37	24	0	0
X1877	glioma_idh_mutation	Mutant	0.649173577893745	0.000994017163387249	37	24	0	0
X1877	steroids_at_surgery	Y	0.397512361653311	0.000846177494289385	37	24	0	0
X1871	glioma_progression_overall	Y	-0.35903137369647	0.000528493734404932	37	33	0	0
X1871	glioma_fu_time	glioma_fu_time	-0.0854656997863608	0.000238100625324108	37	33	0	0
X1871	sex	M	0.0827031236058766	0.000443837678591455	37	33	0	0
X1871	grade_category	High	-0.218459763083841	0.000882991992234155	37	33	0	0
X1871	glioma_idh_mutation	Mutant	0.117642797613953	0.000963875621291165	37	33	0	0
X1871	steroids_at_surgery	Y	-0.688060040061967	0.000590794714958177	37	33	0	0
X1862	glioma_progression_overall	Y	1.29236429456695	0.00147863542741632	37	13	0	0
X1862	glioma_fu_time	glioma_fu_time	-0.791281384711536	0.000632334005634583	37	13	0	0
X1862	sex	M	-3.43652650591415	0.00162257814091909	37	13	0	0
X1862	grade_category	High	1.33148648452933	0.00279554916859434	37	13	0	0
X1862	glioma_idh_mutation	Mutant	-0.939115840239699	0.00215213162736342	37	13	0	0
X1862	steroids_at_surgery	Y	-1.79879371979477	0.00213480958739239	37	13	0	0
X1861	glioma_progression_overall	Y	0.253891659053297	0.000875393039758974	37	29	0	0
X1861	glioma_fu_time	glioma_fu_time	-0.437100814183794	0.000381178915210118	37	29	0	0
X1861	sex	M	0.0447925314659183	0.000627598955750187	37	29	0	0
X1861	grade_category	High	-0.306739941205217	0.00141279817676938	37	29	0	0
X1861	glioma_idh_mutation	Mutant	0.763536496619839	0.00126104583551752	37	29	0	0
X1861	steroids_at_surgery	Y	0.364878828190355	0.000937649065912043	37	29	0	0
X1891	glioma_progression_overall	Y	0.755844772045499	0.000503483376431052	37	10	0	0
X1891	glioma_fu_time	glioma_fu_time	0.72293631364765	0.000236475124298051	37	10	0	0
X1891	sex	M	0.945688042726467	0.00052580964190108	37	10	0	0
X1891	grade_category	High	-0.283151724916557	0.00123744065805441	37	10	0	0
X1891	glioma_idh_mutation	Mutant	-0.959346534498858	0.00127200117692555	37	10	0	0
X1891	steroids_at_surgery	Y	-0.552734722096564	0.00062995426126586	37	10	0	0
X1814	glioma_progression_overall	Y	-0.288083750105607	0.000235680125925252	37	33	0	0
X1814	glioma_fu_time	glioma_fu_time	-0.00476682360712936	0.000110822374646275	37	33	0	0
X1814	sex	M	-0.399437320092996	0.000219484227683736	37	33	0	0
X1814	grade_category	High	0.755954028541918	0.000317590758947443	37	33	0	0
X1814	glioma_idh_mutation	Mutant	0.749404729183098	0.000320833343439027	37	33	0	0
X1814	steroids_at_surgery	Y	0.0749754167045557	0.000279094888423816	37	33	0	0
X1812	glioma_progression_overall	Y	-0.674048554059403	0.000566109494145574	37	19	0	0
X1812	glioma_fu_time	glioma_fu_time	0.155774830236352	0.000251627462723353	37	19	0	0
X1812	sex	M	0.319116582620982	0.000476222098988363	37	19	0	0
X1812	steroids_at_surgery	Y	0.190393304807534	0.000635861302331527	37	19	0	0
X1786	glioma_progression_overall	Y	-0.31805936113203	0.00248480770865788	37	10	0	0
X1786	glioma_fu_time	glioma_fu_time	0.644164544148109	0.00126566187167934	37	10	0	0
X1786	sex	M	0.524642131438818	0.00260161643105546	37	10	0	0
X1786	steroids_at_surgery	Y	-0.318696915359359	0.00311292368529517	37	10	0	0
X1790	glioma_progression_overall	Y	-0.578590280070111	0.00122884485607352	37	24	0	0
X1790	glioma_fu_time	glioma_fu_time	-0.257496610270796	0.000586858151893118	37	24	0	0
X1790	sex	M	0.445221556991755	0.000993412897583867	37	24	0	0
X1790	grade_category	High	-0.201830958920218	0.00334885138242256	37	24	0	0
X1790	glioma_idh_mutation	Mutant	-0.591606973813849	0.00313069744933504	37	24	0	0
X1790	steroids_at_surgery	Y	1.10153527713035	0.00155193110587021	37	24	0	0
X2295	glioma_progression_overall	Y	-0.450631886843738	0.0014368421725938	37	23	0	0
X2295	glioma_fu_time	glioma_fu_time	0.325020101765078	0.000688638788304328	37	23	0	0
X2295	sex	M	0.138819576583243	0.0013851132764916	37	23	0	0
X2295	grade_category	High	0.934197721566235	0.00287630452784254	37	23	0	0
X2295	glioma_idh_mutation	Mutant	-0.235446375115169	0.00260731361846059	37	23	0	0
X2295	steroids_at_surgery	Y	0.555947159911357	0.00194004876633728	37	23	0	0
X2301	glioma_progression_overall	Y	0.495176488708657	0.00132594990301964	37	22	0	0
X2301	glioma_fu_time	glioma_fu_time	0.126130083126246	0.000572020002936894	37	22	0	0
X2301	sex	M	0.267454645056838	0.00113468975686289	37	22	0	0
X2301	grade_category	High	-0.482947945165777	0.00252492022581964	37	22	0	0
X2301	glioma_idh_mutation	Mutant	0.184820663530483	0.00222020891444967	37	22	0	0
X2301	steroids_at_surgery	Y	0.978614272105057	0.00173758074405773	37	22	0	0
X2303	glioma_progression_overall	Y	-0.304744374037964	0.000505391757981303	37	23	0	0
X2303	glioma_fu_time	glioma_fu_time	0.553869073536057	0.000265172118698455	37	23	0	0
X2303	sex	M	-0.054279376099482	0.000553043001801369	37	23	0	0
X2303	grade_category	High	-1.63923777266217	0.00188551551365689	37	23	0	0
X2303	glioma_idh_mutation	Mutant	-2.69705269363684	0.0019341625399596	37	23	0	0
X2303	steroids_at_surgery	Y	-0.684270934159832	0.000670734176362899	37	23	0	0
X2318	glioma_progression_overall	Y	0.51505666900887	0.000638665109769089	37	25	0	0
X2318	glioma_fu_time	glioma_fu_time	0.0305692003963643	0.000285468701068583	37	25	0	0
X2318	sex	M	-0.0769500301596851	0.000555402040602419	37	25	0	0
X2318	grade_category	High	-0.393049611915882	0.00130400298351764	37	25	0	0
X2318	glioma_idh_mutation	Mutant	-0.357771947770131	0.00123208442727163	37	25	0	0
X2318	steroids_at_surgery	Y	0.0902036472590037	0.000804795657498234	37	25	0	0
X2290	glioma_progression_overall	Y	-1.05771924171063	0.00226686982841061	37	17	0	0
X2290	glioma_fu_time	glioma_fu_time	-0.931636291826757	0.00136362235228224	37	17	0	0
X2290	sex	M	0.831783393991309	0.00195219860790856	37	17	0	0
X2290	grade_category	High	2.26847705960478	0.00480564611476208	37	17	0	0
X2290	glioma_idh_mutation	Mutant	0.836592797250621	0.00442538230971999	37	17	0	0
X2290	steroids_at_surgery	Y	-0.313475047831127	0.00197930085885355	37	17	0	0
X2328	glioma_progression_overall	Y	1.62574467650967	0.00241220306073709	37	11	0	0
X2328	glioma_fu_time	glioma_fu_time	0.185415611045398	0.00121397466229141	37	11	0	0
