feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1525	glioma_idh_mutation	Mutant	-1.66873988396788	0.0130260270221558	44	22	0	0
X1525	sex	M	-1.24481783591636	0.00588591428467191	44	22	0	0
X1525	age_at_surgery	age_at_surgery	-0.375806310580247	0.00287932384545278	44	22	0	0
X1525	steroids_at_surgery	Y	-1.06117734897213	0.00701209594586375	44	22	0	0
X1525	grade_category	Low	1.36291956849142	0.0117080107533671	44	22	0	0
X1552	glioma_idh_mutation	Mutant	0.211872123012437	0.00331645415965686	44	35	0	0
X1552	sex	M	0.822404148098459	0.00186460179666918	44	35	0	0
X1552	age_at_surgery	age_at_surgery	-0.0683820121100233	0.000762805518206918	44	35	0	0
X1552	steroids_at_surgery	Y	-0.920034360199829	0.00188478941045128	44	35	0	0
X1552	grade_category	Low	-0.531205793360009	0.003035948544443	44	35	0	0
X1545	glioma_idh_mutation	Mutant	1.71905566537118	0.00702721508701429	44	13	0	0
X1545	sex	M	0.588112303066718	0.00352350866568107	44	13	0	0
X1545	age_at_surgery	age_at_surgery	0.759165323010951	0.00207246213493829	44	13	0	0
X1545	grade_category	Low	-0.333939581674027	0.00542998274749109	44	13	0	0
X1564	sex	M	-0.196009316069336	0.00488993546153982	44	17	0	0
X1564	age_at_surgery	age_at_surgery	0.84022294098142	0.00366014365910602	44	17	0	0
X1564	steroids_at_surgery	Y	0.911089362370353	0.0109303260769457	44	17	0	0
X1564	grade_category	Low	1.27106043306967	0.0119353988691793	44	17	0	0
X1561	glioma_idh_mutation	Mutant	-1.17429852596978	0.019827462272977	44	14	0	0
X1561	sex	M	-0.381327469092642	0.00569877163658293	44	14	0	0
X1561	age_at_surgery	age_at_surgery	0.810277731595128	0.00439288656969867	44	14	0	0
X1561	steroids_at_surgery	Y	-0.540437442564034	0.0111431324788313	44	14	0	0
X1561	grade_category	Low	2.73771083915512	0.0179066346186186	44	14	0	0
X1468	sex	M	0.63705904105446	0.0124004200837731	44	13	0	0
X1468	grade_category	Low	2.87251490432767	0.0765042563434184	44	13	0	0
X2043	sex	M	-1.1478627972892	0.00470880444613903	44	18	0	0
X2043	age_at_surgery	age_at_surgery	0.459335219207807	0.00312204929861825	44	18	0	0
X2492	glioma_idh_mutation	Mutant	1.90935601481441	0.00754004092605101	44	23	0	0
X2492	sex	M	1.15207189855444	0.00441777533147177	44	23	0	0
X2492	age_at_surgery	age_at_surgery	0.0842417399728786	0.00192294820861801	44	23	0	0
X2492	steroids_at_surgery	Y	1.17899978302541	0.0059521734609581	44	23	0	0
X2492	grade_category	Low	-0.947065979248986	0.0068509789783642	44	23	0	0
X2483	glioma_idh_mutation	Mutant	-2.72502417266828	0.0306550171190571	44	13	0	0
X2483	sex	M	0.917916027341891	0.00730040936062754	44	13	0	0
X2483	age_at_surgery	age_at_surgery	0.387981011850755	0.00285229462286168	44	13	0	0
X2483	steroids_at_surgery	Y	-1.38117101250343	0.00607831638919862	44	13	0	0
X9712	glioma_idh_mutation	Mutant	0.507296063114121	0.00592258585257749	44	33	0	0
X9712	sex	M	0.484414467496446	0.00251794411840028	44	33	0	0
X9712	age_at_surgery	age_at_surgery	-0.342999407182796	0.00148482409176153	44	33	0	0
X9712	steroids_at_surgery	Y	-0.171900601545974	0.0033951540564077	44	33	0	0
X9712	grade_category	Low	0.918935290168755	0.00520477173322858	44	33	0	0
X9418	sex	M	1.03818550414544	0.00774941705739767	44	12	0	0
X9418	steroids_at_surgery	Y	-1.1138208792295	0.00855312864068434	44	12	0	0
X13165	glioma_idh_mutation	Mutant	2.46856052895007	0.00186638364146095	44	28	0	0
X13165	sex	M	-0.342041521741391	0.00177240802523377	44	28	0	0
X13165	age_at_surgery	age_at_surgery	-0.786510773338128	0.000513400869837542	44	28	0	0
X13165	steroids_at_surgery	Y	-1.34966721834783	0.00100937482886073	44	28	0	0
X13165	grade_category	Low	-3.10766231247534	0.00130666531763427	44	28	0	0
X9467	glioma_idh_mutation	Mutant	2.4484966449901	0.00359678711848782	44	22	0	0
X9467	sex	M	2.32525396143663	0.00296648387973397	44	22	0	0
X9467	age_at_surgery	age_at_surgery	-0.153385111490973	0.000648887801790912	44	22	0	0
X9467	steroids_at_surgery	Y	0.6673011102726	0.00192646099916762	44	22	0	0
X9467	grade_category	Low	-3.52329438279822	0.004344746882478	44	22	0	0
X9447	glioma_idh_mutation	Mutant	-2.91360957006435	0.0439246087615126	44	13	0	0
X9447	sex	M	-0.823773124937784	0.0111010520617321	44	13	0	0
