feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-06-OR	7259.27892976227	0	0	0	0	0	0	0	0	0	0	64080.4205526039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145920.148486948	0	0	0	0	29814.8956043808	0	0	0	15296.3377448562	0
01-2020-08-OR	1087.51047993161	2676.18699159856	0	19095.8124345005	554.650153699183	51540.8655324966	4546.15036692724	0	0	0	194.127553794714	0	0	0	0	0	0	0	81.216629648809	0	0	0	0	0	18850.181652148	0	0	0	17833.9833348348	44805.8279518637	0	1202.40229748359	2418.67084880965	0	0	0	0	19900.0551573643	182260.021398958	202.051127418988	0	0	0	0	427.872975710799	0	7925.55451768012	1622.35169957011	0
01-2020-09-OR	0	0	0	11600.4842412269	0	15149.0353174744	0	0	0	0	0	0	1553.38179642964	0	0	0	0	104.50886703808	12474.558401909	0	12161.0318007947	0	0	0	1277.85841969288	0	41314.2553013718	1425.12091415563	6755.0731330977	5177.93932143213	0	0	0	0	0	2265.94225350746	0	67484.2256883164	25623.6740365183	0	0	0	0	0	0	0	118726.823358306	166520.628416039	4588.88934358114
01-2020-10-OR	2164.21526721679	0	61889.5155310855	0	0	0	0	3072.14804199095	763.40470042236	14790.0396086681	0	0	4180.19661202146	38422.2326892186	6865.08353171078	570.700601286618	0	3555.76121386046	26982.2797270641	0	1541.63279308593	14198.9568430499	998.726052251582	0	0	0	63911.0556479807	6173.94286846433	0	0	0	144.528074351806	247689.619730483	9107.12160819393	0	0	26087.317420501	0	4836.13171869505	0	0	0	0	0	0	0	0	0	0
01-2020-12-OR	6777.34994115185	0	0	770.96837954902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5235.41318205381	0	0	0	8513552.80239904	0	0	0	0	0	15383.5085965828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14-OR	6705.6510488114	40340.5599712709	4080.69708335383	127957.352701865	86265.315522181	0	8359.57898702269	10146.4260617505	3733.67466705926	11034.6760997889	175.898977066744	1423.11027599701	0	0	258.674966274624	2705.34218574599	1150.10869620564	1999.35850855955	30454.4007217413	3163.79381828194	14584.4925600499	0	33556.9084710905	612.064766354418	914017.248371246	72444.1130933846	4350.5149712526	0	1076.88378267559	14172.2044599568	2788.11817495387	31379.2632165448	0	8727.29540061923	16364.1763280193	90391.3802150046	196079.604051031	312308.235820518	60217.144379813	11650.7204810091	12325.6631622425	13244.1582732607	2397.3199951359	851.637581273377	1947.62351530463	0	153729.338572549	721.106213676336	4669.68008348683
01-2020-16-OR	0	0	0	3136.10328101044	0	0	0	0	0	0	0	457.88835783348	0	0	0	47.516716378946	0	0	585.319551758835	0	0	0	0	0	36710.9831042248	9676.13133534901	1170470.6351596	75365.8318784974	775.386417274619	18581.1959549124	2941.71671400566	0	0	0	0	1261.35283478657	0	8540.0498437433	34160.1993749732	0	0	0	1311.02940191001	84644.5506768588	0	0	18883.575059142	285054.941408042	0
01-2020-19-OR	9275.68298890787	0	2621.69841775584	30536.6122771035	0	1230.10849673689	37762.9060137258	3243.87684660731	32621.6224318043	0	1655.18459889114	9054.83339393388	0	11130.3446413239	5091.41431854032	7269.03881952048	0	7228.66846344997	1009.25890176289	0	0	0	0	0	0	1548.32189164566	52502.8354331193	0	9156.946647524	2111.1321498052	0	1398.71410150198	0	0	396.579380222124	0	0	33647.5044213609	17117.0309738986	0	1130.36996997444	37.9956292428382	5789.58400587747	62718.9102457875	1089.99961390392	0	8534.76821867253	148942.866631926	3153.63722715557
01-2020-20-OR	8112.06279814237	441.19731981489	618.102525344532	92702.5904735692	0	0	750.248582487155	13287.072906889	6884.38329952702	4495.09733086764	3339.8850248789	0	0	0	140.671609216342	0	0	0	5479.79859538204	0	3410.22082948707	0	4281.9585290247	0	2448.9648331754	8297.49355574573	611.708361289243	0	0	0	0	984.701264514392	0	0	0	852.555207371768	0	22100.3623630946	3542.3668866297	0	0	0	0	330.36514285656	0	0	1272.43864700236	10290.3413529772	0
01-2020-21-OR	0	2154.08680503855	10925.6137441918	59253.2790374939	4219.23239419641	1793.24721748653	0	93836.1878429982	0	69985.2519963599	0	0	272449.112773867	3295.8997116151	403.039924216141	0	0	5490.58430888749	27457.1949962515	0	7861.81588422937	0	105322.157956312	1061.6856850624	6553.33835690341	11657.9765488311	8147.06879281972	0	0	134.880822882141	202.721870430783	15140.3055958358	271.097099456185	3028.54188249624	0	990.906639391573	526826.332007434	6295.32870362787	1107.35820132546	679.478838439936	1118.30892159906	6731.75497014157	0	0	30440.8656346998	0	66469.0024255809	52.8839661993346	2026.41743209269
01-2020-22-OR	85243.4240633445	14185.9302102055	19685.481113087	61195.8849312236	49918.7635377362	38674.7580508197	0	20790.6282277257	42028.7062628417	8502.31647777789	1177.54002667775	924.934971903193	7830.75669801138	16135.9180110872	3079.77931110813	2370.48280059786	8372.16326358002	6432.957385768	189049.468965809	8700.2417798421	5910.80425425229	1860.65186687603	6457.60178135576	968.062664181776	85070.9132942302	22702.8792978636	18772.0982016156	4060.16417308379	9837.73466368974	53807.9572164299	3330.84409115846	14603.3446604732	0	262.616840482089	5417.91634249705	30769.298028683	152832.989374868	275765.395665522	25856.591795735	17445.151526687	991.93692240742	14433.9144408074	1056.6284608253	14765.84364388	7564.2891707187	875.646180727669	282639.641759783	91577.8038667615	7485.73515978271
01-2020-24-OR	0	0	2048.03766073365	138490.505307352	0	0	0	0	0	21151.3837772946	793.970862511058	0	7836.2888307117	65292.0920874606	7486.12732211708	568.401704648942	0	17878.5951655695	27951.0316767483	0	37850.0160918092	6595.25129792519	162337.318371735	9856.63930239369	0	21385.0962260542	5112.35802548146	0	1763.02247931943	0	886.80437874312	5717.40453916937	0	35608.1681077139	0	0	119828.525557438	0	18290.6456849855	0	0	0	0	0	3461.71296054821	0	3285.00354807139	7094.43502994496	0
01-2020-27-OR	0	971.200936383685	1967.63672855824	24461.4415620346	2114.46656514835	1359.17466518383	0	2831.46773798618	0	6894.47438406724	1274.89609275487	0	32348.4544632508	2031.45460710271	0	0	0	2489.38442261267	8369.00839000933	0	82.1350711648722	14.4199175947818	52398.0832644116	0	16328.4131748263	7737.16267648122	1644.35776518333	83.8888449263997	0	926.869432967295	0	1475.89805220105	0	0	0	29395.489176341	37637.5438323908	3706.30854936149	0	259.461084830433	1915.99783446882	10346.3883061316	0	0	4850.93822438512	0	15591.8281949848	0	0
01-2020-28-OR	21368.7469231743	0	0	0	0	0	5941.35233703995	0	3332.44953629381	0	0	0	0	0	0	0	0	5166.81278393941	0	0	0	0	0	0	11438.929342944	0	0	29993.4240109025	5272.93297181973	31506.6703263907	1240.36583236742	935.787111308311	0	0	0	0	0	0	33212.862438025	0	0	0	0	14567.4076090263	0	0	178337.043009272	170202.999517458	20770.6149551216
01-2020-29-OR	7600.89190058965	0	308.555360172593	35679.4296762956	0	0	8743.85048827122	0	0	0	0	0	0	1877.40726189521	664.915071921221	19508.5212931658	2281.57132521988	0	7809.49270746689	0	138024.200550444	0	0	0	4971.65256390769	0	14180.5090175094	0	0	0	0	0	0	108098.676463846	0	0	0	1273.33409197985	49264.5572241762	0	0	0	167988.837288332	67230.301716479	0	19743.1972009027	0	197675.33961705	3680.93507135473
