feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1524	glioma_idh_mutation	Mutant	1.73524577849742	0.0342486717443038	44	14	0	0
X1524	sex	M	1.16564435442217	0.0174459333869884	44	14	0	0
X1525	glioma_idh_mutation	Mutant	0.25336988614306	0.00590550789906756	44	37	0	0
X1525	sex	M	0.626706197348695	0.00294540862671165	44	37	0	0
X1525	age_at_surgery	age_at_surgery	-0.351511838499441	0.00136149436902875	44	37	0	0
X1525	grade_category	Low	0.223690505560506	0.00544327676411249	44	37	0	0
X1520	glioma_idh_mutation	Mutant	1.34175088306417	0.00756586787580737	44	31	0	0
X1520	sex	M	0.973302289496045	0.00520772924850046	44	31	0	0
X1520	age_at_surgery	age_at_surgery	-0.338846116920376	0.00193019916269549	44	31	0	0
X1520	steroids_at_surgery	Y	0.798304690215992	0.0054530713007191	44	31	0	0
X1520	grade_category	Low	-1.52024817855409	0.00774786347959845	44	31	0	0
X1545	sex	M	0.993805787891792	0.000832518171997263	44	30	0	0
X1545	age_at_surgery	age_at_surgery	-0.153052102919079	0.000362452443925391	44	30	0	0
X1545	steroids_at_surgery	Y	0.675501325236227	0.00107976708503736	44	30	0	0
X1545	grade_category	Low	0.459877297265017	0.00202126297707554	44	30	0	0
X1543	glioma_idh_mutation	Mutant	-0.445544826158407	0.00399649981687426	44	33	0	0
X1543	sex	M	1.01359581069804	0.00116726104840352	44	33	0	0
X1543	age_at_surgery	age_at_surgery	0.0392690045394508	0.000599647852282867	44	33	0	0
X1543	steroids_at_surgery	Y	0.214781697359145	0.00164163832556486	44	33	0	0
X1543	grade_category	Low	1.51483409941952	0.00381774082109421	44	33	0	0
X1542	glioma_idh_mutation	Mutant	-1.60244905489178	0.0228084095013532	44	18	0	0
X1542	sex	M	1.52470976703914	0.0031609266982497	44	18	0	0
X1542	age_at_surgery	age_at_surgery	0.36343267480042	0.00156999174230739	44	18	0	0
X1542	steroids_at_surgery	Y	0.617220997740023	0.00477907213888403	44	18	0	0
X1542	grade_category	Low	3.02351796656071	0.0225499914127953	44	18	0	0
