feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1526	X1536	X1457	X1458	X1456	X1528	X1411	X1464	X1466	X1469	X1468	X2016	X2036	X2043	X2048	X2053	X1341	X2532	X2489	X2492	X2502	X2497	X2483	X2480	X2479	X2476	X9712	X9649	X9418	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7285	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X7281	X5286	X5285	X5273	X7282	X3934	X3920	X3922	X3931	X749	X748	X6936	X6956	X6952	X6939	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15878	X15873	X15872	X15877	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X15494	X16971	X16988	X16987
01-2020-06-SL	0	19375.1384433231	73661.5701927609	0	2354.30960266572	192790.208216347	10859.0027359891	267435.839774013	932.569781857866	7680.82780456556	0	0	8456.06219377869	169410.16886934	0	0	0	0	0	5420.91943748668	1038.41359145523	26563.935565436	0	0	43066.9879321171	0	0	0	32519.7953379148	37686.1175036673	0	0	0	0	1338.78115923154	0	0	0	0	3006.5363212657	941.151712365761	0	4351.0387675025	0	0	0	0	0	0	0	0	0	0	0	0	20971.3775177915	0	0	0	12337.9554268496	22948.0821781098	852.471763784185	0	4033.5073387104	5303.63305387879	0	583.571274536824	0	3504.28829072358	0	0	0	0	12023.2846415602	0	0	0	19689.8092286126	3921.94224210778	0	0	0	2216.99871453941	0	0	14935.419727239	0	5892.92561542087	0	0	115206.695781478	2488.7598472894	159621.046803335	98792.3233633786	13227.615556168	0	0	0	0	0	0	0	0	0	28180.1991444228	0	0	0	0	0	22827.9351509993	0	40449.4991272093	0	0	0	22793.6074289677	1942.37693828678	0	0	494.891325955248	45.7702960421039	0	3206.7813664499	0	0	4030.64669520777	0	10933.3794670576	19206.3604766678	246.015341226308
01-2020-08-SL	0	1009.95170590849	33506.9691849923	0	1564.21091650608	21418.4996150259	76113.027077295	235187.801357336	4045.99700382105	63565.5318380708	0	0	127.136777688622	0	0	0	0	0	0	0	0	0	0	14395.9782766296	0	0	0	0	0	0	0	0	471.882197338668	3431.2644944727	0	0	0	1958.47777765282	0	3476.0242589024	0	1684.68134630092	4059.80586731532	0	27.6177269885396	9575.25641400936	246.178704363362	0	0	2247.98774332578	0	0	0	0	0	81308.4929250874	0	0	0	37269.6464033275	0	435.693451629547	0	27174.8910213096	0	245.702536656663	5831.14973623544	9064.32846472137	0	0	0	0	0	2308.93720978325	0	129.041448515418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2204.18031430948	0	72118.4561857975	158453.851590506	12058.4710044444	0	0	0	0	0	0	0	0	0	4297.4135529581	0	0	0	0	269.51092199161	9759.53331650185	276.653437592095	606.637658334473	0	0	0	15561.160654922	0	7222.0356075031	0	11219.4635052409	1987.52400776145	651.873590470874	4594.54220193825	17.1420374411625	1397.55221916144	62188.4548302974	338.55523946296	76909.1794828957	14401.69228911	9504.30742571121
01-2020-09-SL	0	5765.15150325369	6932.45356265994	8859.14099465438	430.282875912524	87082.2247109794	0	75601.9793657787	14535.8927981538	0	3138.72186958962	3133.39658647189	788.141901423929	0	3361.3187039107	141.652530931598	0	0	0	0	0	0	0	6097.44916979999	257.743702898096	0	17482.9044755051	4705.42016282557	0	0	73.4889070246637	0	21505.6233426378	3801.18708943514	2298.39219361195	3709.5922198102	0	31523.5459437101	0	56019.8482852646	0	6706.66155846822	98372.8899771889	2566.7864627455	10413.0586084078	0	18163.4756579509	0	2656.25121912335	1222.68500383064	390.875780841327	548.504161126113	3854.43992061243	0	0	19275.3947729328	1111.91911498187	28884.3356305635	45906.0705880732	69311.7549471169	0	28074.8925966686	0	85917.0527648202	1566.69829323595	2094.96637851469	8052.89313063017	3831.00867489442	0	712.522881152174	198.100531979528	795.59729778875	9018.89948818626	1708.35082416754	0	153.368153790602	0	4565.89774514106	3139.78692621317	1591.1945955775	0	0	6425.48660985212	0	2246.2044190582	0	2309.0427598474	0	0	0	54527.7039556769	0	339521.945623817	201592.852648135	17744.9084048974	4475.36793213966	3321.91160883951	580.455859832488	4613.82529320062	161.888606778969	4487.08355499867	0	0	0	2572.11174586323	11314.0965119276	329.102496675668	6707.72661509177	0	0	6280.63890904988	652.879710233606	20727.0669508258	0	29519.1093781968	22407.7263027811	0	0	0	1265.28726877247	0	0	3309.13092935696	7731.24603031933	0	0	0	6556.48857454826	619693.610900541	100911.984967722	29719.3400234234
01-2020-10-SL	0	21360.2394781477	4513.5513183008	1000.88997554724	209521.190595471	198626.382290214	5086.7613042967	10394.5754603357	2608.93279340399	0	0	692970.990212874	26993.9050547973	3400.64991691868	551416.975099754	2547.41136633559	2336.54137148736	245188.768295504	285.96856444207	10309.2940338478	50377.5630549394	232876.42145345	462923.281547458	0	2269.07994456408	47006.1888515912	391053.950446156	82915.1851171552	0	2667.90850624887	7879.40980749804	22415.4380237967	112448.864395618	21272.4123374363	6667.64983710256	31288.1006641715	18735.6081136987	69609.1611565206	24332.3608341072	112841.328671744	26686.2979194553	17958.7409898212	6548.42555430105	9947.80261410797	3279.30420559756	74717.9853174211	221232.748880774	0	10682.6654532974	2816.83278832478	153.167139115115	3182.56706510381	0	0	13949.6653734813	64.0671412919177	27242.1121915905	83135.8136831936	53710.7515449348	5305.69272751941	438.711417853264	0	0	307.607135341989	112778.958673267	4567.85988840256	28598.9778727266	50209.1216304832	10081.8768965467	4612.83417301808	72734.4496515952	387.372847678946	4108.35847105721	0	0	53926.7129682301	14742.6553541077	0	13770.1925207231	0	12958.5339691242	1300.01139681083	10685.2111675209	0	13482.9510991693	3200.81135037237	1186.30282816028	494.292845066782	148471.144944128	3572.06134130235	5247.14130037845	666851.96227956	97515.2804747458	14726.9567830627	0	1486.27282083171	0	142.135710813195	0	41.1557132802385	340.277134543828	16640.9095934457	330.518563353668	675.462840640616	10437.0040307277	170.987138679754	155.288567634714	0	10364.8754610613	20013.1323682018	25137.6551001473	0	4418.0870349188	2084.51566335889	0	1667.44281640554	7394.87553362142	74930.976740789	10421.3054596827	2857.98850160502	363.612848259427	0	21769.2508967266	43092.1532329294	5621.7855769398	0	0	0	136628.906662017	19415.3138113785	14121.5010835689
01-2020-12-SL	9159.4792992076	131412.139109217	0	12160.1451476934	0	212366.273064109	376772.967715825	23852.1012977507	676.745914764874	0	0	0	0	0	0	0	7456.97385325823	0	0	0	0	0	0	0	0	0	0	0	0	255.375816892405	1140.67864878608	117809.120596081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154574.725701358	0	0	808.69008682595	0	0	0	0	0	0	0	1732060.94049105	0	0	0	11445.0928603946	0	0	6601.46486666868	0	0	54412.0740525418	0	0	0	0	0	0	20178.9457981149	59008.8387566051	0	4273.28866933291	21268.5492835225	0	9121.17292667374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9623.41203322881	0	0	0	0	0	0	0	0	0	0	0	0	0	8533.80854782121	0	0	0	0	0	0	0	0	0	3558.23638203418	4686.14623997564	7010.06617369652	0
01-2020-14-SL	0	24434.8345997388	44523.4935427524	631.750038382417	14426.0617403399	1031937.22696309	115941.016206382	0	73540.9966146317	1048.50660820537	37101.257489715	32855.9633836217	39968.9396011159	66550.4012946253	11846.1401176263	11622.8776695069	0	0	18363.749806802	24441.4497833868	0	899.664976125746	0	20090.3127389257	13293.2115406227	2316.9680727062	2568.34505132957	0	2576.61403088954	1614.10481010796	0	2952.0257029126	436.602120766906	2748.60880573711	5813.09263066544	2465.80970478582	0	8978.4580062255	0	21185.1256326669	175.302366671561	19261.7609870157	40422.0796810027	4582.66847214052	163.72579528759	1275.07664814881	23146.527584294	0	6957.51940176657	504.407753158736	0	0	0	0	0	242004.91719009	7997.75703041196	14740.2829636191	0	3643.31239412687	14665.8621475793	4657.08928818033	17586.4657281639	1862.17419690733	17679.0782992357	3889.72798501425	6219.92642501642	2548.49950038561	22442.0105257838	42.9986937118923	684.671507566285	0	1028.66105726142	4612.43679855644	0	6711.10381087919	0	0	1524.79983086018	4610.78300264445	269.568733655325	0	0	985.66236354953	16701.6849152462	4688.51141050825	2412.88823560195	2393.042684658	23593.0524805329	11437.6525273633	36016.3673714458	148982.204732147	85145.6825291067	123022.570301548	11437.6525273633	4900.19728724372	0	0	145.534040255635	0	0	85.9973874237845	709.478446246222	3621.81304727093	5614.63712122593	4564.47671710856	0	1863.82799281933	0	6644.95197439935	893.049792477762	4476.82553377278	8569.97041596253	0	0	2075.5138695548	171.994774847569	0	350.604733343122	363.835100639088	0	2211.12513433846	932.740894365663	13582.625825222	0	4564.47671710856	16384.156100143	133.957468871664	57972.1618991027	10465.2205311098	32493.7820788946
01-2020-16-SL	1654.25065883802	16337.9720370814	38700.416312419	8192.5384820236	7844.20994314501	312401.115240451	106783.150621419	175574.938041589	66235.7253306048	0	4579.09474241114	11799.78420493	14146.9731315016	11937.3801758038	28552.4035596445	0	3307.26171433484	0	6615.14323034029	1434.84086744475	338.411712148955	0	83.673225531335	45343.4506179364	18859.9450347629	0	29483.9654705601	2101.12766334241	4011.97621380987	1371.00129537269	360.724572290644	0	3653.11104653103	844.789677031183	14056.4820875937	9277.81120724855	0	5803.20304185104	0	113659.230355083	7958.25345053587	0	1671.60510561489	1123.0806271317	4875.97974262972	0	0	0	0	14225.0681419976	401.011680879806	0	4732.18575504995	0	0	101525.992851369	233098.731090205	765508.985939407	40815.7994141852	4202.87512835543	5441.23886621919	2279.01074280533	3495.681422198	168807.943401951	0	5503.21903327944	19249.8002855719	0	0	2073.8563898359	0	37313.3001736106	18958.4935003887	2277.15133779352	1778.21099295852	0	0	16906.3301690239	4461.33242499666	1498.0606378462	0	44.6257202833787	13517.2546341695	401.631482550408	0	138.835574214956	2277.77113946412	0	0	169.205856074478	202396.855336911	451.215616198607	291543.549421337	42419.2263360339	7251.05974437844	6051.12371009203	9083.19348267937	8183.24145696457	4701.19567151983	7739.46346081319	10636.4164692092	0	1074.7360968247	85767.5353763008	9957.11383822887	4298.32458562821	89190.0802013677	94911.4694226993	0	0	5112.74398079987	12547.2650196766	52639.1360825982	3077.93509621192	797.064948394792	37795.5058733393	3788.22781072237	1894.73370703179	113.423705720254	1541.44675478837	14707.8936433969	10198.2166880932	8396.45323165182	16465.6511812255	0	24171.6453518262	3328.33497113533	6083.97319863396	2051153.67444341	545874.826341371	6704.39467090705
01-2020-19-SL	0	3657.37426208878	17285.0729394626	1254.39263198041	3006.34829883451	207715.409713735	35653.9182364949	58372.1507521644	23935.450897918	0	0	86642.6910803613	9053.35958856379	5053.79159176302	0	40.0338074036301	0	39119.7021345806	0	2553.58500081727	0	0	0	23321.5991843957	1843.46151234811	1960.70337688731	0	0	0	0	0	0	11048.3776575114	9850.22299307414	4232.14535409804	0	1099.0233318187	6733.30513093437	0	14372.1368579032	0	0	0	700.591629563527	0	0	2153.24692678096	0	0	12188.3879826243	0	1417.38741926662	174.43301797296	0	679.62153997115	0	14863.027591543	23770.5497388507	0	8580.57938684473	0	0	0	20832.8308241367	439.418695549369	590.022066258263	23747.6732774772	0	0	1054.22359496226	9019.04489650353	0	25606.3857640743	37540.2731139183	0	3012.06741417789	48987.0824736849	24887.6836025901	17466.1782586695	0	1707.15592999766	7633.11261162548	36430.7647373034	316.457715666791	9828.2997175912	1247.72033074647	1185.7632478599	45.7529227470059	10616.5844490865	139.165140022143	38991.0220393546	3638.31054427753	356903.299375144	5932.62898286176	12445.7481730762	0	71.4889417921967	16594.0131688047	220.185940719966	0	359.351080742109	5500.83577443689	391.759401021238	9590.00324495055	13688.7025743698	448.950554454995	0	0	6802.88770094544	7587.35968887848	17029.6191207918	4226.42623875467	14822.9937841393	0	1758.62796808804	0	44728.2479146511	815.927122321605	2686.07783960547	6823.85779053781	10891.1019855685	396.525330474051	2749.94129427317	42785.6550696844	0	0	0	0	288173.830736126	118186.47175675	12820.3502280673
01-2020-20-SL	0	5490.37244999371	67479.2676878968	1856.36552310148	123258.268955224	3010930.07092907	164427.597371111	0	247.176804717571	0	0	715890.899638703	3033.84132913621	0	217093.186694085	885.434718269106	0	0	0	0	869.351296044332	0	0	406845.402101962	0	0	83283.3462635031	391.081108833965	0	1159.69939199682	1522.84613591407	0	7101.25416019075	3220.07042858095	423.247953283511	6310.62698345715	0	17219.4197313864	0	150782.083357251	2062.06402839727	3000.8279887801	11329.501213493	1675.21539909614	0	0	653174.864417059	0	0	10466.9218847012	99.0400210683417	0	94.8075415355065	25890.923798259	6353.79827469207	46405.7520939108	140959.344857447	4289.1947585751	12884.5141938567	3592.52862747044	0	420.70846556381	0	5271.97650609942	16634.4910599486	2361.72357932199	97067.6856060405	1031.03201419863	0	19368.67283816	0	0	53048.2054727422	1902.92279796267	0	230329.843185074	17725.6242835135	12826.9524722101	46471.778774623	0	39425.5468483591	2690.16399107	35.552828075815	0	233498.277363354	0	6501.9350583413	0	0	10668.3879104642	61033.2013593889	5939.01528047423	1082908.66933669	8046.79008782612	80475.5193414203	0	0	8838.26376046629	0	0	84.6495906567023	18330.8688567089	0	1273.1298434768	197148.050143553	0	0	0	0	220.935431613993	0	0	6385.11862323505	0	0	0	19837.6315703982	0	94165.0511424222	26955.8156487203	0	0	48714.146431119	35778.8424828683	0	0	0	942.996439915663	419406.55485951	20908.4488922055	8709.5963826681
01-2020-21-SL	1621.30642106268	13070.3536943724	16021.6850562474	881.06629563317	13153.4050255181	63049.2004069081	9791.63157783584	1045.9653154443	12553.9910702923	0	1570.753436887	83973.3212857155	73102.0224029849	0	51533.9527971778	20067.1274327817	10487.3369314915	85574.1657846118	0	3025.95719565818	0	11571.8188063078	56040.390243695	1520.20045271133	0	6705.492258159	194565.196024884	19332.9055197541	0	0	1803.05643559903	17961.956734609	25351.11792162	20824.2185529364	755.887477674359	1946.28989076344	3261.87112181132	24524.2155376036	19872.1373509612	52068.3700584635	0	2609.49689744906	116127.426506405	7282.03700625776	0	2935.68400963019	120154.814245733	41773.6159238317	26291.1626987914	924.397424926604	0	18200.2779457229	11116.8419487267	1670.65576275798	9490.72095774255	3057.25190014788	8973.15469118208	6163.85314199107	2649.21709930138	2820.13433151437	0	0	2792.45055446578	0	24768.5549611194	6640.49556421885	7573.31848650807	2181.00017443621	51099.4378617631	197.397366781202	12213.3602483467	10478.9114341289	19888.9883456865	0	0	20028.6108734098	15118.9531959675	0	3908.22713377172	154.066237487767	8072.83011586294	1825.92564272612	6048.30346387524	0	7304.90621338485	0	2297.75349503241	1132.62757403116	11516.4512522106	701.723566057566	696.908996136073	338207.88963262	2012.49022718396	19462.8989076344	2734.67571540787	305.725190014788	403.220230925016	0	0	4425.79340033219	4274.13444780517	3442.4174938673	0	0	30.0910620093296	494.697059433378	6917.33333470468	5403.15109439522	0	3665.09135273634	2295.34621007166	3372.60623000566	6494.85482409369	1816.29650288313	0	8081.25561322555	6073.57995596308	18887.557802016	0	0	0	0	1674.2666901991	958.099414377054	5369.44910494477	0	0	0	135491.626730648	10146.7061095459	46806.045134272
