feature	X1965	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1814	X1812	X1949	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8000	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14851	X14890	X14894	X15316	X15346	X15300	X15286	X15271	X25416	X14963	X63327	X14837	X15350	X4198	X4181	X4262	X29305	X7253	X15091	X15254	X15078	X15124	X15132	X15127	X15126	X15158	X15154	X15120	X15234	X14987	X14995	X14993	X14027	X3813	X5090	X4799	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4630	X4552	X4581	X4575	X4577	X4617	X4613	X4584	X4557	X4608	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4711	X4705	X4699	X4716	X4721	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X3922	X3958	X6140	X6148	X4080	X5792	X6952	X6939	X5825	X4053	X14546	X14341	X14809	X14807	X63101	X14797	X17130	X17167	X17168	X17248	X17244	X17237	X17234	X16971
01-2020-06	11332.5319605573	692643.504550463	27606.387407437	44187.5369793895	0	6148.42913785142	0	0	28948.4647879344	527949.98220862	82893.8635565828	917294.18531224	8121.22346566679	94045.5843330503	240928.78060265	2728.29645851919	12233.1923658121	225406.182892481	47327.5396552023	43044.9461165498	706471.740178739	17536.1382203141	96940.261036084	59197.4118952377	305912.999267559	138199.166160498	0	0	767.38643388343	308896.80824444	0	0	0	0	201154.564496888	18623.5519612484	235.988305995126	1241.90968226931	12256.1120933728	1634.09168719646	8034.63782821534	21749.9725762846	73873.6774432583	0	0	11183.9781708122	544857.101239214	11109.2768365403	49505.7626522652	236647.035942796	0	7818.17373458672	13179.6922261882	0	4786.82754498746	0	39136.7081280549	192.695487269401	97847.7124717272	145223.638218446	209319.929660079	0	7833.4535529605	158.740335327656	2212.17814900467	0	36350.6879112348	61899.393111002	32390.6683160288	0	696.92949360431	397334.699234311	0	585295.140565436	10200.1276433001	170722.2595691	9238.34796455019	2153.60551190516	25375.5339248644	10349.5303118438	65168.4253641935	0	0	44246.9584952875	21927.3882451802	0	11910.6184223655	20368.8467710541	42569.5739893653	2870.05921787597	122275.897657417	65999.4777079677	239350.714916157	3350.52461785166	1068308.87469435	644136.023365285	660368.283751037	73488.2864687195	2576.34715357988	25732.0630202527	15864.6958659817	657632.34738333	926.126769211087	0	0	386887.547860635	15512.4111645861	11799.4152997563	7732.43697593381	990.641557900402	48116.9969378479	589682.146196309	486553.558718842	130518.510791275	1814.05399248771	0	0	0	0	15221.2457366856	0	0	353.133580194145	10135.6128546108	108374.658452467	0	70303.2932165839	0	0	52492.1182655417	0	0	175515.029265677	237455.168559009	82722.390039277	6416.67483819121	0	3252.90355601914	222145.639427275	64209.1923218392	0	0	36714.85691581	0	89881.8338261939	73451.7846803821	0	24389.1367609567	587.424128592183	26019.832932959	20665.9543505444	789.457282645564	81968.5856661703	0	0	0	99186.3943370304	0	0	0	0	104907.837439214	2522.01891047309	935.464435995067	2752.91394367695	3662.91201571571	3589.90843904096	1871.77775078868	1507.60874621346	4342.86393334915	3697.716046456	0	0	1684.17553631054	0
01-2020-08	120358.72960306	680304.933337192	0	209942.434224708	11296.4110762438	0	98784.70875654	0	0	6458052.86389821	30772.1347649399	963813.492502203	564504.075108633	476507.099329471	617204.28223777	215913.621453446	152237.817276328	408802.333392014	238574.363692998	3809049.52439787	790913.517675903	0	43668.2806577888	0	1910762.57189711	2595.41439080643	0	0	0	0	0	0	0	0	38087.2726526137	0	0	1693.66685190709	586.713943578736	0	0	3690.80643325146	0	2267.37482136709	0	0	67087.7047209341	0	628886.53721287	1304494.86878496	1064586.67019067	45016.5666414315	0	40983.2695563866	13542.1092740796	25777.8407033436	433468.885862323	111965.540971766	69814.6239611633	401942.404598497	58155.4907178302	2871.43006377081	810.705720068155	796.254637713999	0	0	97085.2614716912	208267.553779862	0	2404.66010373157	0	3707339.91657285	0	25867.4374139393	5897.48670873109	0	1114.17844950543	0	290.466755318537	4322.31873212808	0	1203173.99507527	0	0	11446.702332727	0	2705.24261669801	18653.4571027446	122435.350137352	0	0	63196.0282429599	183709.384427209	28724.416395356	449148.310216583	282605.366517876	51086.0212301771	157097.71627203	0	111404.838976424	19692.4899240085	63548.6346524013	1914.76841192568	6459.63381230776	24893.4344632692	51268.1048678394	0	22650.6264819042	0	32228.8038662388	0	0	172657.19664275	132.949957658236	0	1520.25386365722	3752.94608737433	9472.6844831493	15676.5341377885	5289.09614162112	205716.937744353	0	0	0	0	0	8984.23789957882	3369.99240498919	0	17575.4063591246	0	0	56580.3227412272	187923.320041681	38951.4473773922	0	16167.8709378298	20919.3868158763	2252.92373901293	0	0	4463.93933919881	0	0	625445.734504345	1828.06191780074	0	4536.19475096959	0	29845.8203860385	11335.4289986	2515.93343785857	4186.47855799901	0	0	29893.5089578072	293044.828410518	0	0	0	190231.15789364	121163.654890186	0	61826.0656357859	546.250912987099	18519.062036851	72160.0346272429	0	20673.7184158557	0	8740.01460779358	510529.282515861	0	23061.0372207622	0
01-2020-09	0	0	0	0	17661799.6005552	0	0	0	0	0	0	87253611.1313538	0	0	0	0	0	0	0	0	0	0	0	0	0	91824.7282476925	127195.424777705	0	0	0	0	83545.0379108352	33676.0964762289	0	19572.0029915521	63310.2580093588	0	138.078522900894	55339.36146008	0	0	64522.8384922885	345821.426383185	81905.6692662119	20493.3633170908	0	19775.3549980062	169562.936640896	0	166404.704244362	0	0	3090.44839438182	0	0	0	826726.326979614	0	166763.708403905	0	291669.540220053	0	0	0	0	0	0	0	0	0	13235.4540497002	421.767124497275	0	391989.863404048	0	242614.006811263	0	0	27357.1211645643	246658.45227296	0	0	0	0	0	0	0	0	0	2187949.59507139	1703394.40043318	31549.6872235551	52730.9326365522	0	5251354.68311342	0	11016.1556088931	0	17455.6358132712	1029498.40363747	0	222519.815951286	0	390493.594319522	0	0	0	0	0	2929.77520409714	236224.736978849	0	470769.937015503	206412.328625247	0	0	0	0	2518175.67992257	0	6748673.16441352	201941.095001856	299991.90937308	0	1373052.83172649	0	0	14500.755423192	0	9361.72385268059	0	0	0	0	0	232855.621020067	0	0	0	38240.2192877529	508533.157769599	5069349.61629986	55698.3656196223	0	186606.847404062	0	161353.540824788	0	0	0	0	0	0	93506.7757084852	5191.7524610736	0	0	160723.40065664	435263.672481188	0	0	0	0	322410.840454988	0	0	0	0	0	0	0	0	0	0	28973.8951418039
01-2020-10	0	201196.485724653	0	83445.106517856	0	230526.103155758	0	0	0	60948.2437502828	0	616257.470902043	46483.6556703303	0	0	0	0	0	0	0	0	0	0	0	0	896912.688327655	0	0	10669.4149511061	1074239.6274677	0	313.859374723999	0	0	0	964841.597481282	0	147.91073981246	1432.20887086699	6172.56770290532	0	148170.485501886	0	362411.976962194	0	0	0	3851.09060365367	0	148538.458561907	0	0	0	0	0	0	0	0	0	0	118312.357744378	0	0	0	0	0	0	0	0	0	0	176984.219133157	0	376.992007570781	0	50614.3336480197	0	0	0	1839.8653001062	2016.63667207719	0	0	0	0	0	0	0	80519.3599327851	245645.466827807	141927.570008095	0	0	0	28223.8944615311	1641397.94791004	0	0	0	4635773.31246436	0	0	0	0	0	0	0	375265.781009799	0	0	118211.345531824	0	3077558.92159324	462767.610135438	0	0	0	0	111483.210659867	1461.06950302551	1532126.18318932	1728.0303504919	312802.354071193	0	297744.319242481	0	0	102265.846264236	0	0	0	0	0	0	1437703.21371417	26124.2834719982	0	0	0	0	0	0	0	0	1186.89349751949	0	0	0	0	0	239981.567766696	5561.0830590465	0	0	0	13001.7147874172	0	0	0	195904.167302583	0	200806.867190513	0	819887.268675562	0	0	0	0	1213.95034016811	44342.5575220694	519365.113587823	0	398958.556222441	0	0
01-2020-12	520711.526703645	0	0	0	0	965872.894212333	0	0	0	30057.3017346416	4376546.43594359	88468.2705771919	6789927.47022409	867179.834886771	1271838.51880242	0	0	0	0	0	376111.25258948	0	0	0	0	0	0	0	334855.86953319	226324.059401798	0	445.65770200624	5608.7288717374	0	0	33716.46447185	0	0	0	0	0	0	0	7318.32547441685	0	0	314507.645627541	0	19443.4940557572	564888.277973756	0	16978.2170018498	0	33077.0425515802	0	0	7175.23805169913	0	3119.60391404368	15782.8408245621	1324797.26064183	0	4519.1777675014	3769.45929222	1050.79826058327	0	0	99651.4469589739	0	0	53.657783519146	532900.786526411	62016.4737962396	168875.949674619	27021.1654838499	76612.8814074339	131169.432800526	34.2813616927877	161077.685136503	24140.0406076691	0	231798.643814737	0	0	0	0	0	3489.24642273113	13602.2481221035	0	0	0	33616.6013747449	745.246993321472	2125.44442495284	0	19756.4977929522	83592.8647468828	0	1118176.04124947	22738.9762602247	157992.362584152	0	0	758.661439201258	0	18456.7870365996	8993.64071540352	360340.335716811	3557.80914611671	31573.1341190575	0	116076.690691779	0	0	63337.0514684052	247153.712865133	815640.043322644	4985.70238532064	0	3544.39470023692	0	0	0	226732.454754138	0	4134.63031894752	170105.607213599	0	52516.0651253775	0	0	0	0	0	0	0	0	0	0	5710.08246282912	0	199277.555520175	0	327245.407237391	5722.00641472226	22109.9877978614	0	0	201602.726139338	27203.0057502204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14	69220.4635920614	834255.270456094	111454.624644652	899428.08118809	276973.789494119	249615.567581795	3965.74702065069	134086.545313187	41777.8285187073	3887708.30693958	1398987.67548321	10769805.510858	0	1490758.15390439	0	0	0	35192.7661845225	0	53737.7526210279	83950.9780786722	2945.26712345059	0	8386.99080131289	0	0	47.6391106801031	992948.670096362	0	98857.8408521866	0	0	0	0	18217.3630788457	1043.04579173278	0	0	0	0	0	237089.824568414	44808.3445770591	0	0	0	5450.08141657811	0	0	30509.9251820555	0	0	12170.539117959	0	4742.18094734921	0	1584504.40175799	0	639788.241790555	0	24372.0018691664	0	4959.48215396021	0	2737.99520329856	0	37402.552300982	1257.00390285746	0	661.932906291959	6150.45992096279	16718.8205271014	0	77442.8069406729	2593.40632351509	151234.117836409	0	1073.96942498127	198.078407564639	90114.8103815803	67791.2902716583	0	6956.14593316664	1779.36257259543	0	9292.13390423485	0	4517.35777589399	192071.700749588	267342.331398023	30056.0999697872	3425.00132573794	46247.5471839212	0	892794.543969353	129784.817196161	32366.1789508364	0	5859.61061365268	177287.696735196	37613.1673166204	39433.4828089232	0	2732.98056006907	0	0	0	0	27496.9603750069	1018.80834945694	7546.20228650265	0	95352.6052347769	4974.52608364866	0	33008.0532842104	10269.9893339843	42953.7623560214	26131.3058688439	10557.4955458081	1826672.38837013	0	30659.5287050685	10086.9548561081	708413.634386051	0	0	134140.034840968	28613.5542674388	134651.528450376	0	2936.0736108632	833.266549966014	17824.5493592028	37822.9465583871	646.888976603505	0	0	705.393147614158	0	0	0	691398.94990841	0	33078.2582894232	19780.2602187018	0	19857.9871887588	7600.5275881554	99981.9567094627	6727.97966622509	0	4225.6726947123	0	2649.403172911	0	5439.21635624756	0	0	0	0	5033.03025465931	0	40633.6540885132	0	3154.21059134577	300.878593769072	0	0	0	1265755.29106678	0	441644.643863933	460.511403240997	0
01-2020-16	0	2092425.30752997	70477.4956953585	67755.4822136551	18813.1764019447	221827.917701141	275383.62284842	0	389.543981309379	1508742.19471092	334702.181725347	1617581.98168563	85323.3164722753	355585.334914126	280444.098814845	29843.8633557607	110900.174986616	360602.661393391	33951.4548140599	703244.348756255	175690.328554858	122617.657944403	103284.290502802	0	0	43136.3025949023	13395.5185695804	117184.418352786	0	74809.2247675188	0	0	459.062599512284	0	3263124.83105122	7339.00860786871	1385.57797659582	2554.20992052396	74601.8675097756	0	12693.1408063579	178857.021473687	206978.501133627	5315.77709879107	0	0	35305.869272151	0	137149.446342541	387420.067663594	0	408367.945083114	9787.74200422274	1181577.98867313	9135.70530935412	0	0	0	0	291740.874272817	994725.127509244	0	98669.6925703674	660.426872927594	25.1705341769137	280.471666542753	0	77194.4325299977	0	668.817050986565	13.1845655212405	0	0	302974.124096914	23100.557390079	159172.465150475	0	0	4504.32702080199	936.104152008078	58607.7909356453	0	0	354.784672207927	968.466267378395	0	5599.84455593052	0	20239.5066719698	67941.264727818	90611.5258431583	71755.1999540532	640591.29339932	0	104003.448622142	379627.989440541	408759.886258155	179547.413268254	4645.76145093894	0	48176.4024146129	655017.605273289	0	106672.72384176	0	0	10856.8904083088	215993.148159559	154536.29247446	53.9368589505295	0	13789.856938352	1136628.20902063	38386.263216659	0	0	3865.47489145461	0	2384.0091656134	17427.5984253488	58356.0855938762	737847.840265184	5858.74147889307	18318.1558964654	112380.442115592	0	32431.6339885206	16757.5827774967	0	24022.2783797003	0	0	0	0	716868.799327159	32257.8374430133	0	0	0	0	0	73298.992716904	184502.412710509	0	41726.7526809952	0	0	0	0	0	164568.548239259	732.342684861633	0	4163.92551098087	0	0	172442.13104917	702.37776322245	0	0	0	136623.262318557	6418.486215113	14984.8580133226	0	0	4860.31028987549	0	0	508.205071000544	518008.394764019	967626.050975633	0	165688.037711699	47996.6128847778
01-2020-19	43275.2801608857	297086.436059963	0	1611744.07188695	411271.711684829	2148330.57108575	0	0	112403.012305684	3967176.04912555	24737836.5464164	14025229.7661625	2944354.39795877	874400.060566008	4011265.39009979	11690.6839882535	293871.136693601	194059.573891541	52005.9619609308	215203.478863291	883041.629200094	268931.492544783	49031.5089890534	153727.43667125	0	0	0	564640.287228297	38790.7202955936	118091.804143396	0	0	1030.82256839153	0	0	724.94764739685	0	0	0	0	0	148633.535427913	0	26596.6673428685	0	0	9019.69747342592	0	39715.5704504121	580649.347069649	508853.036873968	5139.66205828863	0	0	0	0	1001400.77284137	6926.74230535993	0	124751.206950879	31358.2005618172	1382.45830433818	3422.42726561769	0	0	0	12661.2949580241	22468.5601414127	4190.72726402166	0	399.805014843445	71716.8308855017	0	660660.92778118	14352.0366473018	198298.470434459	0	48058.489555338	62321.4130366807	128224.211959338	48634.1124381548	0	32340.853851312	1134.38651801966	19149.6968254231	12762.4504437073	0	7126.64481278166	382425.53901748	2699.88808216568	15780.2557665919	12449.3501308781	534678.995754487	0	904898.439499518	20635.7190793894	0	53316.1663469238	0	0	17025.4316260742	253632.929567159	1221.0912200339	414.255798512486	0	261277.394128081	16796.6275513144	0	33359.6340999793	1471.57147029726	11594.3454304599	0	147600.304395577	0	0	7521.63289973542	0	66078.6167906311	0	18523.4961997647	578472.095663514	0	1060241.95547776	1823708.16674443	670694.588575383	0	66998.65001756	10936.8347735186	0	132323.417593456	0	758.66614262461	10488.8604797783	9043.78211287432	78511.1076738954	0	16435.3579595884	17061.5585852468	0	0	53826.7607032299	226841.176644758	3203.25704663724	101080.823300991	56798.8052111625	0	0	7743.2115826607	705.67993583813	0	594119.885913139	0	0	0	0	0	301245.853292702	0	0	0	0	11534.1338318389	0	6656.99434353785	0	0	31883.2457017924	0	0	0	0	0	0	0	0
01-2020-20	0	1198725.39822739	141985.451441798	166998.715829398	0	78564.6877507943	0	0	0	192044.179357495	463649.397228334	1208369.95210267	2407169.4691063	242986.864809479	123548.10208702	0	0	299218.107205358	0	0	0	0	0	0	4975.67850321691	1266962.05978103	0	0	0	101454.023927498	160634.829099093	0	0	0	20952.5274992607	18723.4964335338	10.9355571499273	346.900174033804	3509.09878322111	6686.48566622776	24060.6558536511	66499.7305596606	236147.888874105	53479.7347107666	0	0	173618.980621773	10384.5265757615	279347.592332987	325389.933119897	0	14747.8138785825	33869.8506171359	0	62470.5852808652	1913.1149702845	334354.659859027	0	0	33211.8945952819	876091.225509275	27.3388928748182	2305.57996577634	5400.34263920576	0	0	253368.353730476	80915.2250070758	0	2505.4576492389	1734.50087016902	1356636.6660652	9217.45961548315	217048.330780804	2518.82333019992	75702.0019013244	17555.2144113499	14563.1244689393	2198.04698713538	5371.18115347262	0	0	75225.6976343498	0	0	0	495.137726510597	0	75059.8416842426	44149.2743380675	26199.7723383675	0	0	0	1897889.63707704	640872.858992914	142438.062001614	0	0	0	3024.28908290767	36075.1879757046	0	36801.1874642692	0	0	48623.1322742933	0	145831.122372855	27027.8370269981	23298.2045079201	0	398385.992157568	914.941614877249	0	0	4105.69417884492	20711.3377110095	37665.7040100662	0	59663.7922790505	22385.0854859012	0	0	222366.049210432	0	2874.22893757255	23742.9171653505	0	97426.0937106077	0	11510.2814312512	0	0	10672.4962473763	0	0	43552.6789424437	0	0	0	0	321162.732750498	0	231112.672337516	0	0	75199.5738033805	7192.55894988829	17755.6996257653	275404.108918533	0	0	8589.88014126788	1527.33281527318	15101.3968930968	0	0	1131.2226340647	26098.3146692542	0	0	0	218509.442722225	30711.2971936652	0	42556.9357108476	0	0	0	0	0	0	0	0
01-2020-21	0	358253.455072621	2726525.03125561	3654366.15562101	0	368306.320109786	0	0	0	1971588.57892601	2127912.61946905	2355964.61632964	1665426.38608253	763173.896832035	2349631.58356461	0	0	0	0	0	0	0	0	0	0	4758.41195520875	0	0	0	303090.425917947	0	0	0	0	9084.43136091228	87723.3397832753	0	0	0	569.5436971691	0	5383.44428463881	26305.7995129978	9267.64854290602	0	0	7287.85602204799	0	3304.19100784132	290841.048607508	0	22209.0633236179	8635.28752619621	13220.951852668	1809.13880277244	0	1716839.22126062	0	0	0	290415.984745283	0	32527.8550135051	62.8173195407096	19837.7095109561	0	0	38861.93473386	0	0	3846.51386654278	307211.242079817	0	188810.017343511	0	195134.674465935	0	0	104051.655042557	7110.92057200832	74840.5545008014	0	0	5438.93291689977	10090.5554288893	0	217.766707741127	0	290560.464580227	667363.874113219	518979.942760132	0	0	0	206653.276959049	0	5247.34009230061	0	0	0	641.783614640916	0	0	47361.118067718	0	0	0	571760.101593562	8244.77318971813	2171.38534545719	645319.182775733	0	482858.937068898	137556.31937492	0	0	46095.3490789727	229.28321632359	27369.5061238872	6167.613823572	112220.000493501	1913.83433534029	274346.267451444	0	20854.3031321899	0	0	6717.26536955321	0	231038.960404753	0	0	0	88395.4851023608	156101.039058663	0	44338.5580424842	0	0	85178.1913865508	0	0	139567.520555549	0	255862.27117659	0	0	0	0	0	75734.6543489308	0	0	0	14079.4552197244	0	299844.864408343	0	0	0	0	55493.8670375885	6059.77742502712	41074.1513370186	176.935450039665	0	11636.9084449165	0	0	226.142350346554	119714.106714707	0	382164.867755792	0	0
