feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1965	glioma_idh_mutation	Mutant	-0.735545832656026	0.00412461467077042	44	21	0	0
X1965	sex	M	0.988469325832547	0.00113772926464621	44	21	0	0
X1965	age_at_surgery	age_at_surgery	0.459507358286092	0.000664272563679057	44	21	0	0
X1965	steroids_at_surgery	Y	-0.294509876155928	0.00165811154904252	44	21	0	0
X1965	grade_category	Low	1.76891271488152	0.00393103742135241	44	21	0	0
X1877	glioma_idh_mutation	Mutant	0.352445507173287	0.00121536938670145	44	29	0	0
X1877	sex	M	-0.119843068345564	0.000525847220469364	44	29	0	0
X1877	age_at_surgery	age_at_surgery	0.33668510425942	0.000312607103368371	44	29	0	0
X1877	steroids_at_surgery	Y	0.470918816451383	0.000913618052598726	44	29	0	0
X1877	grade_category	Low	0.241703025140105	0.00105429779847966	44	29	0	0
X1867	glioma_idh_mutation	Mutant	-0.597966741374794	0.00298219902352298	44	23	0	0
X1867	sex	M	0.908078238571145	0.000859596659323391	44	23	0	0
X1867	steroids_at_surgery	Y	1.27665536256784	0.00145158335498387	44	23	0	0
X1867	grade_category	Low	0.851893395551204	0.00301296820904927	44	23	0	0
X1861	glioma_idh_mutation	Mutant	0.786655343818582	0.00145505191086469	44	34	0	0
X1861	sex	M	0.470534426957702	0.000603681830899692	44	34	0	0
X1861	age_at_surgery	age_at_surgery	0.296339262904838	0.000356628181139289	44	34	0	0
X1861	steroids_at_surgery	Y	0.655732844683989	0.00100218590783195	44	34	0	0
X1861	grade_category	Low	0.639859661846834	0.00124225589857576	44	34	0	0
X1836	glioma_idh_mutation	Mutant	0.981924782135808	0.000595400983284708	44	39	0	0
X1836	sex	M	-0.148188227421525	0.000301964683956115	44	39	0	0
X1836	age_at_surgery	age_at_surgery	0.363854031451817	0.000167183808725649	44	39	0	0
X1836	steroids_at_surgery	Y	0.553254353435309	0.000511425316175206	44	39	0	0
X1836	grade_category	Low	-0.91315703517085	0.000546273209895214	44	39	0	0
X1812	glioma_idh_mutation	Mutant	0.338917754370911	0.00122165915652848	44	22	0	0
X1812	sex	M	0.389473465753742	0.000449434736266865	44	22	0	0
X1812	age_at_surgery	age_at_surgery	0.282121515243066	0.000287142371830931	44	22	0	0
X1812	steroids_at_surgery	Y	0.069053440540089	0.000754019796571326	44	22	0	0
X1812	grade_category	Low	1.24879068265396	0.00105381608591802	44	22	0	0
X1786	glioma_idh_mutation	Mutant	-0.729448380258413	0.00540709160038774	44	12	0	0
X1786	age_at_surgery	age_at_surgery	0.0844014270238173	0.00121699831914018	44	12	0	0
X1786	steroids_at_surgery	Y	-0.447146657313552	0.0032105198102776	44	12	0	0
X1786	grade_category	Low	-0.717341869354607	0.00567926975723611	44	12	0	0
X1790	glioma_idh_mutation	Mutant	-1.22635531221457	0.00284290447333041	44	30	0	0
X1790	age_at_surgery	age_at_surgery	-0.319545757163475	0.00047889005340533	44	30	0	0
X1790	steroids_at_surgery	Y	0.675842774921093	0.00142159385056875	44	30	0	0
X1790	grade_category	Low	0.585025186523932	0.00289398286123836	44	30	0	0
X2295	glioma_idh_mutation	Mutant	-0.63115808270205	0.00274414391393479	44	27	0	0
X2295	sex	M	-0.490849181960824	0.00133373618647393	44	27	0	0
X2295	age_at_surgery	age_at_surgery	-0.158287022459111	0.00066940149325649	44	27	0	0
X2295	steroids_at_surgery	Y	0.188938414767302	0.00189826934922492	44	27	0	0
X2295	grade_category	Low	-0.577778147745966	0.00288198759242339	44	27	0	0
X2301	glioma_idh_mutation	Mutant	-0.382725575978956	0.00299985220733357	44	26	0	0
X2301	sex	M	0.0831722556924402	0.00115286947324346	44	26	0	0
X2301	age_at_surgery	age_at_surgery	-0.106795336653142	0.000612386168755678	44	26	0	0
X2301	steroids_at_surgery	Y	0.918260207641135	0.00178302923850193	44	26	0	0
X2301	grade_category	Low	0.776716591386611	0.00286600680973958	44	26	0	0
X2303	glioma_idh_mutation	Mutant	-2.7556890059881	0.00167862163577039	44	28	0	0
X2303	sex	M	-1.12326915619718	0.000552805727075572	44	28	0	0
X2303	age_at_surgery	age_at_surgery	-0.350403416941608	0.000264198230349094	44	28	0	0
X2303	steroids_at_surgery	Y	-0.834572115441031	0.000669462381318018	44	28	0	0
X2303	grade_category	Low	1.24353537725859	0.00164380100934237	44	28	0	0
X2318	glioma_idh_mutation	Mutant	-0.199547555530147	0.00152490424691834	44	30	0	0
X2318	sex	M	0.227722425242188	0.000542450282216867	44	30	0	0
X2318	age_at_surgery	age_at_surgery	0.340780984856859	0.000321444681857742	44	30	0	0
X2318	steroids_at_surgery	Y	0.386149109814133	0.000940204644829237	44	30	0	0
X2318	grade_category	Low	0.702981462307538	0.00140263070044767	44	30	0	0
X2290	glioma_idh_mutation	Mutant	-0.711920235436122	0.00417333942567241	44	21	0	0
X2290	sex	M	0.953176910026814	0.00188912616315905	44	21	0	0
X2290	age_at_surgery	age_at_surgery	0.252252518509435	0.000766909346746253	44	21	0	0
X2290	steroids_at_surgery	Y	-1.02108081120711	0.00177017177935998	44	21	0	0
X2290	grade_category	Low	-0.352886009524514	0.00418301531387626	44	21	0	0
X2325	sex	M	0.811526874432624	0.00274031010568511	44	14	0	0
X2325	age_at_surgery	age_at_surgery	0.196552083930684	0.00142221010960074	44	14	0	0
X2325	steroids_at_surgery	Y	1.34038502176837	0.00557231854558094	44	14	0	0
X2328	glioma_idh_mutation	Mutant	-0.738101071843496	0.00496174237607459	44	13	0	0
X2328	sex	M	-0.151942658767987	0.00238981212946839	44	13	0	0
X2328	age_at_surgery	age_at_surgery	-0.254113467882737	0.00116078296362179	44	13	0	0
X2328	steroids_at_surgery	Y	-1.05218876598124	0.00286767317656915	44	13	0	0
X2328	grade_category	Low	0.426858584194072	0.00446364810111473	44	13	0	0
X10068	glioma_idh_mutation	Mutant	-2.43377341457753	0.00993183220067977	44	33	0	0
X10068	sex	M	0.0582695140226315	0.000753598486252315	44	33	0	0
X10068	age_at_surgery	age_at_surgery	0.487984024760735	0.000528397057833142	44	33	0	0
X10068	steroids_at_surgery	Y	3.67912126009503	0.00205221846795946	44	33	0	0
X10068	grade_category	Low	4.64172760802474	0.00988280396540573	44	33	0	0
X9712	glioma_idh_mutation	Mutant	-1.76227596044851	0.00994279259981883	44	20	0	0
X9712	sex	M	-1.03343935937927	0.00433888678802227	44	20	0	0
X9712	age_at_surgery	age_at_surgery	-0.619771872140251	0.00223595851180182	44	20	0	0
X9712	steroids_at_surgery	Y	1.24807163545754	0.00847937095017921	44	20	0	0
X9712	grade_category	Low	-4.72058413892895	0.0692144362857808	44	20	0	0
X7962	glioma_idh_mutation	Mutant	-7.27607996897209	0.146197741775696	44	17	0	0
X7962	sex	M	2.08011581010656	0.00242661934404284	44	17	0	0
X7962	age_at_surgery	age_at_surgery	-0.721989036934134	0.000607813057488095	44	17	0	0
X7962	steroids_at_surgery	Y	1.21684344352465	0.00194394241371426	44	17	0	0
X7962	grade_category	Low	7.1971419507973	0.146200029887122	44	17	0	0
X7985	glioma_idh_mutation	Mutant	-2.25968668331195	0.0210028935270827	44	23	0	0
X7985	sex	M	0.186700076577007	0.00461567633008195	44	23	0	0
X8028	sex	M	0.818023071558963	0.00672093899067539	44	18	0	0
X8028	age_at_surgery	age_at_surgery	0.474692186066532	0.00392617484944735	44	18	0	0
X8028	steroids_at_surgery	Y	2.49147615912655	0.0292277312786565	44	18	0	0
X4046	glioma_idh_mutation	Mutant	-4.14791872538831	0.0580628031934932	44	17	0	0
X4046	sex	M	-1.00181051955604	0.00878632873154572	44	17	0	0
X4046	age_at_surgery	age_at_surgery	-0.259894488918901	0.0044929814601364	44	17	0	0
X4041	glioma_idh_mutation	Mutant	-2.06411752394395	0.00556990943101642	44	19	0	0
X4041	sex	M	-2.12457285744939	0.00236865748025028	44	19	0	0
X4041	age_at_surgery	age_at_surgery	-0.102631386553004	0.00115222379503048	44	19	0	0
