feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-06-OR	168	0	0	0	0	0	0	0	0	0	0	1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3377	0	0	0	0	690	0	0	0	354	0
01-2020-08-OR	549	1351	0	9640	280	26019	2295	0	0	0	98	0	0	0	0	0	0	0	41	0	0	0	0	0	9516	0	0	0	9003	22619	0	607	1221	0	0	0	0	10046	92009	102	0	0	0	0	216	0	4001	819	0
01-2020-09-OR	0	0	0	2442	0	3189	0	0	0	0	0	0	327	0	0	0	0	22	2626	0	2560	0	0	0	269	0	8697	300	1422	1090	0	0	0	0	0	477	0	14206	5394	0	0	0	0	0	0	0	24993	35054	966
01-2020-10-OR	1168	0	33401	0	0	0	0	1658	412	7982	0	0	2256	20736	3705	308	0	1919	14562	0	832	7663	539	0	0	0	34492	3332	0	0	0	78	133675	4915	0	0	14079	0	2610	0	0	0	0	0	0	0	0	0	0
01-2020-12-OR	378	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	474835	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14-OR	8425	50684	5127	160766	108384	0	10503	12748	4691	13864	221	1788	0	0	325	3399	1445	2512	38263	3975	18324	0	42161	769	1148374	91019	5466	0	1353	17806	3503	39425	0	10965	20560	113568	246355	392385	75657	14638	15486	16640	3012	1070	2447	0	193146	906	5867
01-2020-16-OR	0	0	0	1452	0	0	0	0	0	0	0	212	0	0	0	22	0	0	271	0	0	0	0	0	16997	4480	541922	34894	359	8603	1362	0	0	0	0	584	0	3954	15816	0	0	0	607	39190	0	0	8743	131979	0
01-2020-19-OR	3906	0	1104	12859	0	518	15902	1366	13737	0	697	3813	0	4687	2144	3061	0	3044	425	0	0	0	0	0	0	652	22109	0	3856	889	0	589	0	0	167	0	0	14169	7208	0	476	16	2438	26411	459	0	3594	62720	1328
01-2020-20-OR	3806	207	290	43494	0	0	352	6234	3230	2109	1567	0	0	0	66	0	0	0	2571	0	1600	0	2009	0	1149	3893	287	0	0	0	0	462	0	0	0	400	0	10369	1662	0	0	0	0	155	0	0	597	4828	0
01-2020-21-OR	0	8065	40906	221847	15797	6714	0	351327	0	262028	0	0	1020062	12340	1509	0	0	20557	102801	0	29435	0	394331	3975	24536	43648	30503	0	0	505	759	56686	1015	11339	0	3710	1972462	23570	4146	2544	4187	25204	0	0	113972	0	248863	198	7587
