feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-06-OR	4623.94059646861	0	0	0	0	0	0	0	0	0	0	40817.285146208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92946.7106802053	0	0	0	0	18991.1845926389	0	0	0	9743.30339970172	0
01-2020-08-OR	4671.22563587826	11495.1290238097	0	82022.9783786274	2382.41016037507	221385.464152853	19527.25470736	0	0	0	833.843556131275	0	0	0	0	0	0	0	348.852916340635	0	0	0	0	0	80967.9110218899	0	0	0	76602.9952637742	192456.197919728	0	5164.72488338453	10389.0100207784	0	0	0	0	85477.4731111713	782868.487306964	867.877986993776	0	0	0	0	1837.85926657506	0	34042.9394702166	6968.54971909708	0
01-2020-09-OR	0	0	0	19885.6527956608	0	25968.6104690263	0	0	0	0	0	0	2662.82082890298	0	0	0	0	179.150025186133	21383.9984608539	0	20846.5483852955	0	0	0	2190.51621704863	0	70821.2622292637	2442.95488890182	11579.6061733946	8876.06942967661	0	0	0	0	0	3884.29827335389	0	115682.057172464	43924.3289024547	0	0	0	0	0	0	0	203522.571794411	285451.135585214	7866.31474226386
01-2020-10-OR	2340.11529098017	0	66919.6839332438	0	0	0	0	3321.84174010713	825.451626612869	15992.1235039415	0	0	4519.94871271513	41545.0605083603	7423.05406941912	617.085196594086	0	3844.76133851965	29175.3072493607	0	1666.93144015026	15352.9995503262	1079.89909403965	0	0	0	69105.5279250754	6675.7398540633	0	0	0	156.274822514087	267820.98589193	9847.31734175303	0	0	28207.6054637927	0	5229.19598412521	0	0	0	0	0	0	0	0	0	0
01-2020-12-OR	74.1552391911518	0	0	8.43564890269716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.2839413857575	0	0	0	93152.1243421443	0	0	0	0	0	168.320622291027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14-OR	6221.25181193257	37426.4601585745	3785.91786822294	118714.037839425	80033.7277607715	0	7755.70418762348	9413.47395828088	3463.96347178347	10237.5590647636	163.192480764047	1320.30839640777	0	0	239.98894230007	2509.91512270134	1067.02775884185	1854.92991710085	28254.4519976233	2935.24937120854	13530.9457806353	0	31132.8424501946	567.850758857703	847990.958845846	67210.9339668001	4036.24479572979	0	999.092427483059	13148.4403279847	2586.71158423737	29112.5047697854	0	8096.85769944696	15182.0697036598	83861.7359973363	181915.310401027	289747.880382809	55867.2104849119	10809.1019611951	11435.2884937196	12287.4338457636	2224.14367448557	790.117440803306	1806.93212864083	0	142624.320767659	669.015328381117	4332.35422915233
01-2020-16-OR	0	0	0	7410.5534934066	0	0	0	0	0	0	0	1081.98163953319	0	0	0	112.281113536464	0	0	1383.09917129007	0	0	0	0	0	86747.367580876	22864.5176656071	2765800.25499579	178088.053442789	1832.22362543593	43907.0190797362	6951.22166530288	0	0	0	0	2980.55319569522	0	20179.9783146899	80719.9132587595	0	0	0	3097.93799621061	200013.492704273	0	0	44621.5352567864	673579.503792224	0
01-2020-19-OR	18255.6498403443	0	5159.81500863803	60099.6931123881	0	2421.0001580385	74321.9006044946	6384.3363240938	64203.2416428086	0	3257.60059875064	17820.9915108123	0	21905.8450593174	10020.5103066304	14306.3349107256	0	14226.8812375853	1986.34182850649	0	0	0	0	0	0	3047.2820522029	103331.838791647	0	18021.9625664024	4154.95973068769	0	2752.83608703605	0	0	780.515494966079	0	0	66222.2996896669	33688.35741147	0	2224.70284792727	74.7799276614208	11394.591477409	123438.291841611	2145.24917478701	0	16797.4412509466	293137.316432769	6206.73399589792
01-2020-20-OR	53089.1402587338	2887.40200566419	4045.15256832181	606689.192436513	0	0	4909.97828982509	86956.8314169591	45054.6303299291	29418.0233330714	21857.7726708975	0	0	0	920.620929342205	0	0	0	35862.3698384668	0	22318.0831355686	0	28023.1431370983	0	16027.1734517302	54302.6860292303	4003.30616244262	0	0	0	0	6444.34650539543	0	0	0	5579.52078389215	0	144635.127520444	23182.9088570719	0	0	0	0	2162.06430375821	0	0	8327.43476995903	67344.8158615782	0
01-2020-21-OR	0	6719.81810738639	34083.1840670487	184844.573796571	13162.1781329675	5594.15483856072	0	292728.274794016	0	218323.68246029	0	0	849923.260788193	10281.7799684003	1257.31004637893	0	0	17128.2456086227	85654.5593623594	0	24525.4613751914	0	328559.528097183	3311.99962515324	20443.5780635874	36367.8389028148	25415.3269348552	0	0	420.769763698714	632.404456727374	47231.1976733174	845.705564661771	9447.73930807865	0	3091.19965014303	1643470.03890038	19638.6996641162	3454.4780995938	2119.67976009808	3488.63960516142	21000.1606421037	0	0	94962.3198183561	0	207354.506343273	164.975075668011	6321.54494491513
