feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1525	grade_category	High	-0.513321229789894	0.00404014703280125	44	22	0	0
X1543	grade_category	High	0.987405437942858	0.00313586607162686	44	18	0	0
X1564	grade_category	High	-1.04922081270603	0.00235971871949451	44	17	0	0
X1561	grade_category	High	-0.872263274334954	0.00427080334896271	44	14	0	0
X1536	grade_category	High	-1.52630439261372	0.00292290532823899	44	19	0	0
X2016	grade_category	High	0.424501688235935	0.00787762158601445	44	12	0	0
X2492	grade_category	High	0.277414701827853	0.00348568958502192	44	22	0	0
X2502	grade_category	High	0.481427806669851	0.00465458430275102	44	25	0	0
X2497	grade_category	High	1.21208407287568	0.00811736670289664	44	20	0	0
X2483	grade_category	High	2.51022411049627	0.0118405464909434	44	13	0	0
X9712	grade_category	High	-1.21036558036136	0.00218143649001495	44	32	0	0
X9467	grade_category	High	2.49971168057904	0.00356388125978254	44	22	0	0
X8095	grade_category	High	-0.557677643462042	0.00333740737412852	44	21	0	0
X8130	grade_category	High	2.31130736371738	0.00859059448027338	44	13	0	0
X8047	grade_category	High	1.11656355179009	0.004243614091196	44	23	0	0
X8071	grade_category	High	0.55864945448486	0.00380020164679012	44	19	0	0
X8249	grade_category	High	1.60187158146448	0.0171190091735685	44	14	0	0
X8235	grade_category	High	-0.901126818201864	0.00252955919315374	44	13	0	0
X8236	grade_category	High	1.29369348693519	0.00561059428322927	44	13	0	0
X6936	grade_category	High	-1.50766264385528	0.00233708435911141	44	20	0	0
X6956	grade_category	High	-2.16147751654817	0.0013477748205594	44	21	0	0
X6952	grade_category	High	0.206387321885118	0.0014944500214162	44	27	0	0
X5868	grade_category	High	-1.07911976917838	0.00677974670352668	44	16	0	0
X17130	grade_category	High	-2.51121837939037	0.00555332211930227	44	15	0	0
X17167	grade_category	High	-0.44202096709129	0.00276452793732035	44	17	0	0
X15892	grade_category	High	3.10109874631243	0.0295419146451061	44	12	0	0
X16987	grade_category	High	0.458417764819434	0.0049466701755913	44	23	0	0
X1545	grade_category	High	0.113312714552111	0.00305486193711267	44	13	3.70020402832527e-301	6.47535704956922e-301
X9418	grade_category	High	0.254660741875494	0.00774161002592171	44	12	2.58591323497407e-237	4.36930167288721e-237
X1540	grade_category	High	0.136446921641653	0.00415555637827007	44	16	1.87641597491319e-236	3.06481275902488e-236
X1468	grade_category	High	-0.230694359726067	0.00733305924715217	44	13	3.11263821922613e-217	4.9199765400671e-217
X2479	grade_category	High	0.0757019403879765	0.00457460101685493	44	24	1.64645590943841e-61	2.52113561132756e-61
X4482	grade_category	High	0.114691812035315	0.0091291357323878	44	14	3.3614045300295e-36	4.99117642337713e-36
X1522	grade_category	High	-0.0150552720532258	0.00539458038557098	44	18	0.00525756279952408	0.00757707579931412
X6939	grade_category	High	1.6820864642325	0.647523578009669	44	38	0.00938443433758052	0.0131382080726127
X2043	grade_category	High	-2.36478967949857	1.63486238424719	44	17	0.14804365696441	0.20150386642378
