feature	X1965	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1814	X1812	X1949	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8000	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14851	X14890	X14894	X15316	X15346	X15300	X15286	X15271	X25416	X14963	X63327	X14837	X15350	X4198	X4181	X4262	X29305	X7253	X15091	X15254	X15078	X15124	X15132	X15127	X15126	X15158	X15154	X15120	X15234	X14987	X14995	X14993	X14027	X3813	X5090	X4799	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4820	X4677	X4868	X25431	X4874	X4768	X4630	X4552	X4581	X4575	X4577	X4617	X4613	X4584	X4557	X4608	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4711	X4705	X4699	X4716	X4721	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X3922	X3958	X6140	X6148	X5792	X6952	X6939	X14546	X14341	X14809	X14807	X63101	X14797	X17130	X17167	X17168	X17248	X17244	X17237	X17234	X16971
01-2020-06	9056.67820302487	553543.493366019	22062.3394637132	35313.5825603188	0	4913.67192692952	0	0	23134.8943879816	421924.518968755	66246.7178429649	733078.740284469	6490.28017740367	75158.8962364584	192544.300193447	2180.38679734247	9776.46363923531	180139.025465319	37822.9947455615	34400.4523085382	564594.675982294	14014.4463159616	77472.2499946842	47309.1019600107	244478.074461324	110445.342682311	0	0	613.276186931422	246862.660520024	0	0	0	0	160757.734110846	14883.480381735	188.595995538645	992.503386593662	9794.78051649986	1305.92550867587	6421.08308551539	17382.0381211913	59038.0090350741	0	0	8937.95770223616	435436.268764234	8878.25825041097	39563.7764885549	189122.436159285	0	6248.09035579469	10532.8828299748	0	3825.51373684324	0	31277.0855335025	153.997449594505	78197.4626537879	116059.126362463	167283.291237055	0	6260.30160730438	126.861335128513	1767.91785745939	0	29050.5673415679	49468.458268642	25885.8179919715	0	556.968749414488	317540.027452423	0	467753.345884646	8151.68878558403	136436.9915207	7383.05834333481	1721.10806000555	20279.4967432976	8271.0876892344	52080.9876888554	0	0	35361.0707606343	17523.8243192761	0	9518.67055180839	16278.276665287	34020.5467060143	2293.68007523798	97719.8618034842	52745.1440904105	191283.14927364	2677.65609493177	853765.930969107	514777.518642764	527749.938163231	58730.0141358851	20564.4259451905	12678.6710813732	525563.445740134	740.137522059935	0	0	309190.923434099	12397.1338937885	9429.79977693226	6179.57166676806	791.69613954532	38453.9094068958	471259.331873652	388841.525017541	104307.153590104	1449.74691534563	0	0	0	0	12164.4417122426	0	0	282.215590446318	8100.13016809865	86610.336541107	0	56184.646598975	0	0	41950.3977558389	0	0	140267.254077575	189768.275683576	66109.6804649117	5128.04723121086	0	2599.63976584205	177533.280073722	51314.3924551911	0	0	29341.6021692156	0	71831.3302000661	58700.8428128342	0	19491.1926180605	469.454780261664	20794.4045152898	16515.7176668645	630.914661334317	65507.2587237666	0	0	79267.3039666096	0	0	83839.7392541293	2015.53490196157	747.599953538083	2200.06048033031	2927.3083480189	2868.96570191702	1495.87830993782	1204.84348229005	3470.70904020039	2955.12286534654	0	0	1345.95127751321	0
01-2020-08	130531.279647938	737803.346646918	0	227686.472615092	12251.167805395	0	107133.852992349	0	0	7003878.3820566	33372.9521872944	1045273.64930797	612215.163232601	516780.80719142	669369.517528001	234162.336165289	165104.742841876	443353.729943043	258738.332373092	4130985.01705508	857760.412506574	0	47359.0621393661	0	2072257.52910218	2814.77515395796	0	0	0	0	0	0	0	0	41306.3552103095	0	0	1836.81318509951	636.302178455975	0	0	4002.74818664177	0	2459.0101428508	0	0	72757.8628882763	0	682039.140214302	1414748.93494008	1154564.03382139	48821.3033524189	0	44447.1176872203	14686.6692470713	27956.5474366938	470105.064632858	121428.710553179	75715.2574960261	435914.009644692	63070.7107576448	3114.11928224636	879.225423925621	863.552956475966	0	0	105290.770820269	225870.033637677	0	2607.89858362252	0	4020679.05665092	0	28053.7167348817	6395.93396620403	0	1208.34724036837	0	315.016595738057	4687.63501419168	0	1304864.56391032	0	0	12414.1614668714	0	2933.88590657533	20230.0209840141	132783.413220453	0	0	68537.2674040844	199236.242453734	31152.1635496784	487109.691815734	306490.773445445	55403.7396812738	170375.393645195	120820.618816132	21356.8713936443	68919.6756098559	2076.60193707923	7005.59294999559	26997.3924287749	55601.2127711395	0	24565.0254805886	0	34952.7369062196	0	0	187249.939348238	144.186700536822	0	1648.74357570366	4070.13979667529	10273.3024132486	17001.4926893853	5736.12308657357	223103.843132812	0	0	0	0	0	9743.57301345024	3654.81940925944	0	19060.8549122699	0	0	61362.4118056325	203806.333962053	42243.5687637989	0	17534.3565826735	22687.4638801199	2443.33767540115	0	0	4841.22519519829	0	0	678307.525714539	1982.5671323813	0	4919.58753244657	0	32368.3470237716	12293.483467509	2728.57658298486	4540.31382016493	0	0	317812.563931075	0	0	131404.236084884	0	67051.5174898571	592.419269596942	20084.2670367323	78258.8989631051	0	22421.0319334758	0	9478.70831355108	553678.497308141	0	25010.1235561587	0
01-2020-09	0	0	0	0	6022285.19152771	0	0	0	0	0	0	29751562.2477764	0	0	0	0	0	0	0	0	0	0	0	0	0	31310.2126424734	43370.8421787761	0	0	0	0	28487.0203498532	11482.8081907846	0	6673.62253282815	21587.4054685557	0	47.0817392644367	18869.5050655632	0	0	22000.8687424598	117917.500035216	27928.0317000409	6987.7861384654	0	6742.96109429032	57817.2318483512	0	56740.3440666301	0	0	1053.77492790039	0	0	0	281895.493608642	0	56862.7565887177	0	99452.8979273271	0	0	0	0	0	0	0	0	0	4512.998716402	143.813312662279	0	133659.921581998	0	82726.0400141072	0	0	9328.17659571939	84105.1069587437	0	0	0	0	0	0	0	0	0	746042.687846673	580820.02429342	10757.7494061123	17980.0882092769	0	1790596.44310422	0	3756.26676167906	0	351036.311765902	0	75874.3629036972	0	133149.726734696	0	0	0	0	0	998.988904029048	80547.4395335983	0	160522.193911416	70382.0640105949	0	0	0	0	858642.519439877	0	2301149.11162452	68857.4716900502	102290.642757538	0	468180.815245558	0	0	4944.43865438884	0	3192.14192212881	0	0	0	0	0	79398.645095546	0	0	0	13039.07368138	173398.621584428	1728536.71853233	18991.9175876508	0	63628.8305368287	0	55018.0084411747	0	0	0	0	0	0	31883.7538298765	1770.27339634282	0	54803.1445038043	148415.338667472	0	0	109935.005150837	0	0	0	0	0	0	0	0	0	0	9879.4609609248
01-2020-10	0	92466.5440458669	0	38349.9770856084	0	105945.94629424	0	0	0	28010.7947460198	0	283221.639640081	21363.1116814623	0	0	0	0	0	0	0	0	0	0	0	0	412206.089494256	0	0	4903.48488924524	493702.588647581	0	144.244525905101	0	0	0	443425.081454372	0	67.9773053115992	658.219273383046	2836.80900946698	0	68096.6800916586	0	166558.490869397	0	0	0	1769.89691268615	0	68265.7943634094	0	0	0	0	0	0	0	0	0	0	54374.3833255257	0	0	0	0	0	0	0	0	0	0	81338.9907629694	0	173.259229391759	0	23261.502281018	0	0	0	845.571358754039	926.812528516682	0	0	0	0	0	0	0	37005.3528268839	112894.553283531	65227.5404125922	0	0	0	12971.2304415926	754359.078890324	0	0	2130523.97828794	0	0	0	0	0	0	0	172465.884499281	0	0	54327.959799947	0	1414394.67271164	212680.263531789	0	0	0	0	51235.8213997974	671.48313783409	704139.601104088	794.173884006245	143758.736869581	0	136838.315592249	0	0	46999.6746907453	0	0	0	0	0	0	660744.381577914	12006.2843027792	0	0	0	0	0	0	0	0	545.476425549174	0	0	0	0	0	110291.519885013	2555.78088141049	0	0	0	0	0	0	92287.4818757779	0	376806.493257476	0	0	0	0	557.911298472028	20379.0987375005	238691.530711814	0	183354.68822206	0	0
01-2020-12	460034.198391805	0	0	0	0	853321.925577863	0	0	0	26554.7928175327	3866557.44713271	78159.2644889742	5998712.68584531	766129.343686911	1123634.07275616	0	0	0	0	0	332283.864900139	0	0	0	0	0	0	0	295835.877674289	199951.032201639	0	393.726224954988	4955.15646991846	0	0	29787.5616545377	0	0	0	0	0	0	0	6465.53767401	0	0	277858.785958284	0	17177.7879750429	499063.133446791	0	14999.7840416798	0	29222.6501143849	0	0	6339.12390278699	0	2756.08357468491	13943.702327921	1170421.65301996	0	3992.56827445994	3330.21278565607	928.351132418951	0	0	88039.2907961223	0	0	47.4051642086273	470803.071527865	54789.8353442379	149197.219865719	23872.4506093946	67685.3568191014	115884.557528223	30.2866326888452	142307.669334065	21327.0566534146	0	204787.675761036	0	0	0	0	0	3082.65248367768	12017.209126887	0	0	0	29699.335376705	658.405058453157	1877.7712267084	0	17454.3180995932	73851.9785965737	987877.533753701	20089.2551435227	139581.872392069	0	0	670.256349505314	0	16306.0596776509	7945.6322454127	318350.697053153	3143.22574905537	27893.9887064264	0	102550.53828443	0	0	55956.5291078169	218353.453585405	720595.366654408	4404.72984105162	0	3131.37445800321	0	0	0	200311.838173671	0	3652.83126429811	150283.588212167	0	46396.487659077	0	0	0	0	0	0	0	0	0	0	5044.69955786809	0	176056.195820257	0	289112.245217366	5055.23403880334	19533.5612741883	0	0	178110.419602631	24033.1014436571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14	126500.992278227	1524608.6785547	203684.284673915	1643712.55043492	506171.981345776	456174.595612089	7247.43677235743	245044.314254245	76349.3407670877	7104820.35217928	2556662.00354562	19681912.155285	0	2724373.34177853	0	0	0	64315.0827419234	0	98206.2048792973	153421.134135508	5382.50098752109	0	15327.2977893797	0	0	87.0608843043991	1814622.23062807	0	180663.554003109	0	0	0	0	33292.3876347892	1906.17515108579	0	0	0	0	0	433283.692575772	81887.6349159956	0	0	0	9960.07064121029	0	0	55757.1505531945	0	0	22241.7648638712	0	8666.37644812562	0	2895695.41563417	0	1169218.51190447	0	44540.0429333435	0	9063.49627126849	0	5003.7097716002	0	68353.4858664994	2297.185438488	0	1209.6880766506	11240.0183788785	30553.7882390386	0	141527.395432379	4739.47235081667	276381.650452023	0	1962.68835668689	361.98999263408	164685.590657349	123889.165749095	0	12712.4164923774	3251.80039796606	0	16981.4545911633	0	8255.51016956626	351012.68429205	488570.408876936	54927.7810764	6259.21936630574	84517.7900523495	0	1631589.70414152	237182.869139951	59149.4702731958	0	323994.789862918	68738.386618161	72065.0288289501	0	4994.54546798921	0	0	0	0	50250.9314669251	1861.88101696601	13790.7495506038	0	174257.705779028	9090.98918210146	0	60322.5011354024	18768.4937953062	78498.3699638647	47755.1861168656	19293.913869003	3338259.49300001	0	56030.552277589	18433.9967135051	1294632.00682086	0	0	245142.066826096	52291.5164043054	246076.825794416	0	5365.69976423428	1522.8017833594	32574.5171852617	69121.7599858874	1182.19516581763	0	0	1289.11204127917	0	0	0	1263537.52466877	0	60450.8013859563	36148.5955935476	0	36290.6422995179	13890.0295063896	182717.885395906	12295.4406780774	0	7722.45317619371	0	4841.80707447272	9940.21465005314	0	0	9197.906057563	0	74258.3521598469	0	5764.34697131232	549.858216659363	0	0	0	2313178.67567312	0	807109.383323445	841.588548275858	0
01-2020-16	0	1398080.76598982	47090.4413229095	45271.693155489	12570.2647449726	148217.164063858	184001.094322195	0	260.278799829007	1008085.4191888	223635.549102311	1080808.11671887	57009.8665988544	237588.895346682	187382.316146435	19940.5594982844	74099.3721667041	240941.28628848	22685.0993352506	469881.717760229	117389.74301211	81928.5584655607	69010.7214155856	0	0	28822.0730062958	8950.38728273532	78298.2698513302	0	49984.7415770081	0	0	306.728554875414	0	2180298.64526055	4903.65258877849	925.791669545636	1706.62806903266	49846.1931697145	0	8481.08458519748	119505.609440259	138295.336214376	3551.80454535891	0	0	23590.0687008099	0	91638.1589859511	258859.679726554	0	272856.27229459	6539.8051673959	789486.465077645	6104.13849937443	0	0	0	0	194930.401341477	664638.332949204	0	65927.418709919	441.27267294087	16.818014758182	187.400735876885	0	51578.4486898072	0	446.878677860264	8.80943630190484	0	0	202436.0410707	15434.9332587829	106353.121041515	0	0	3009.62378386895	625.469977435244	39159.5460776583	0	0	237.053922305803	647.093139267192	0	3741.60785477267	0	13523.2855812696	45395.8261215613	60543.2514137638	47944.1557863487	428019.276453577	0	69491.2361229623	253653.302872129	273118.15281011	119966.90355934	0	32189.6802471603	437658.401483552	0	71274.7465451752	0	0	7254.17036569582	144318.588071342	103255.402894627	36.0386030532471	0	9213.86951394684	759452.694150915	25648.2733640731	0	0	2582.76655214937	0	1592.90625495352	11644.4730754269	38991.3659300765	493002.483763501	3914.59314942826	12239.5104547283	75088.4316060544	0	21669.6115869947	11196.7935397211	0	16050.7929420706	0	0	0	0	478985.068891479	21553.4871993786	0	0	0	0	0	48975.6606915172	123277.649893165	0	27880.2641798376	0	0	0	0	0	109958.583062531	489.324143678533	0	2782.18015571068	0	115219.418250459	469.30269753784	0	91286.5823917205	4288.5937633364	10012.3247860377	0	0	3247.47856402038	0	0	339.56372654615	346113.942865539	646531.737917407	0	110706.584290347	32069.5515703161
01-2020-19	35874.7136356231	246281.266789166	0	1336117.45130003	340939.557832404	1780941.53858341	0	0	93180.8150809511	3288743.69329025	20507384.3258367	11626755.4979267	2440836.21124722	724867.676399926	3325293.2540546	9691.44367694314	243615.820289636	160873.173223324	43112.349261688	178401.2292678	732031.438227876	222941.139763319	40646.5616759803	127438.291514612	0	0	0	468080.35756542	32157.0646602485	97896.758625438	0	0	854.540151160211	0	0	600.973330605663	0	0	0	0	0	123215.505487267	0	22048.3338534164	0	0	7477.22632265185	0	32923.7548893268	481351.685567201	421833.36335672	4260.72122097171	0	0	0	0	830149.818247657	5742.1903615345	0	103417.32759263	25995.5905796868	1146.04216534103	2837.15316541743	0	0	0	10496.0690996477	18626.1800704991	3474.06510051114	0	331.433796945316	59452.4347689197	0	547680.373328166	11897.6746746815	164387.1701066	0	39839.9396641375	51663.7405407047	106296.40912995	40317.1244681732	0	26810.1989480825	940.393484103877	15874.8802380253	10579.9258434532	0	5907.90726000716	317026.409723885	2238.17642394999	13081.6520336488	10320.369255484	443242.788685904	0	750150.484657266	17106.77573631	0	44198.4937528822	0	14113.8886181111	210258.805557315	1012.27069307997	343.413331774664	0	216595.97948204	13924.2126499797	0	27654.7561535516	1219.91596345535	9611.58011141415	0	122358.968746968	0	0	6235.34787867603	0	54778.4195963354	0	15355.7670620869	479546.768986245	0	878928.487483627	1511833.26817692	555998.163678011	0	55541.1166471373	9066.51127667878	0	109694.603843208	0	628.92557854081	8695.14569696897	7497.1922140341	65084.8127278518	0	13624.724279246	14143.8374551844	0	0	44621.7706501859	188048.747983702	2655.46355383897	83794.8495421563	47085.5616467553	0	0	6419.03407939271	585.000617499864	0	492518.608617292	0	0	0	0	249729.376230881	0	0	9561.66538295853	0	5518.57237805333	0	0	26430.8470118198	0	0	0	0	0	0	0	0
01-2020-20	0	966381.254807943	114464.979996001	134630.023517626	0	63336.8089509726	0	0	0	154821.025149292	373782.091333873	974156.443428991	1940597.4508676	195889.693889583	99601.268230863	0	0	241221.859760345	0	0	0	0	0	0	4011.26266496904	1021391.87751905	0	0	0	81789.5967611525	129499.623466887	0	0	0	16891.3830023751	15094.3961015483	8.81596190103085	279.661902527145	2828.94421890857	5390.4709268192	19397.0752849125	53610.3540958298	190376.289271811	43113.9719013302	0	0	139967.108897377	8371.73537635113	225202.767210511	262320.905467818	0	11889.3041748624	27304.9931101372	0	50362.1619109611	1542.30355701923	269548.035124018	0	0	26774.5660690919	706281.971739186	22.0399047525771	1858.698634134	4353.61585212573	0	0	204258.980387628	65231.7509840331	0	2019.8348266584	1398.30951263573	1093685.21398581	7430.87633124667	174978.722035999	2030.60989120411	61028.9860355472	14152.5575051215	11740.4123738672	1772.0083421072	4330.10662038965	0	0	60645.0019171912	0	0	0	399.16716385223	0	60511.2931616922	35591.9972971062	21121.5753878864	0	0	0	1530029.28917469	516655.039228962	114829.862863571	0	0	2438.1032412962	29082.8787601784	0	29668.1606752747	0	0	39198.7052659502	0	117565.259931197	21789.1396140589	18782.4068301462	0	321168.430708521	737.602145719581	0	0	3309.90391817592	16696.9420648913	30365.1114411173	0	48099.3983563631	18046.2740114101	0	0	179265.728398206	0	2317.12865298761	19140.9226141215	0	78542.3841276062	0	9279.28967649614	0	0	8603.88903974494	0	0	35111.0375978389	0	0	0	0	258913.046417408	0	186317.028592047	0	0	60623.941563761	5798.45405257246	14314.1834733071	222023.633393867	0	0	6924.93807325973	1231.29601217731	0	0	911.962281095525	0	0	176156.632501109	24758.6494477228	0	34308.2952891839	0	0	0	0	0	0	0	0
01-2020-21	0	258266.115746452	1965561.02763927	2634444.80203608	0	265513.259824227	0	0	0	1421324.81046434	1534019.33490558	1698422.78331188	1200611.46014069	550174.618508394	1693857.27877881	0	0	0	0	0	0	0	0	0	0	3430.35511700545	0	0	0	218498.903258025	0	0	0	0	6548.99699675605	63240.0494826775	0	0	0	410.585958999112	0	3880.94301686293	18963.9389812715	6681.07887694878	0	0	5253.83981726621	0	2382.00236507573	209668.28612514	0	16010.588140162	6225.20770188359	9531.02847470732	1304.21422270306	0	1237675.14522997	0	0	0	209361.856163093	0	23449.4396326165	45.2852160660785	14301.0712336676	0	0	28015.6989192795	0	0	2772.96473044621	221469.61343196	0	136113.773929812	0	140673.240434065	0	0	75011.1866454535	5126.28645868009	53952.8064211259	0	0	3920.9449577213	7274.31520741441	0	156.988749029072	0	209466.012160045	481104.85221081	374134.379080323	0	0	0	148977.039553382	0	3782.82504871976	0	0	462.663957475102	0	0	34142.7886530199	0	0	0	412183.772372643	5943.6846086728	1565.35896868411	465212.760386021	0	348094.625088727	99164.8113878976	0	0	33230.2915492884	165.291038641187	19730.7686399904	4446.25346408781	80899.7742412459	1379.68958281319	197777.143139789	0	15033.936980337	0	0	4842.49910466599	0	166556.760430233	0	0	0	63724.6012945846	112533.761924205	0	31963.8150066404	0	0	61405.2434784002	0	0	100614.693055613	0	184451.968312345	0	0	0	0	0	54597.3659964664	0	0	0	10149.9264276104	216159.167094611	0	0	40005.7146263748	4368.51384317437	29610.4932784065	127.553358586121	0	8389.08627624104	0	0	163.026777837883	86302.3005179291	0	275503.933242005	0	0
