feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1536	X2043	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8071	X8059	X8255	X8235	X4482	X6936	X6956	X6952	X6939	X5868	X969	X15878	X16971	X16988	X16987
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	20437	3742	477	0	100452	0	0	0	2207	0	0	0	0	0	0	0	0	968	0	0	0	0	161	0	0	0	0	2658	12802
02-2020-10-OR	2236	0	722	29406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6500	0	320	6972	0	0	0	0	188	0	30708	30238	0	0	60596	21568	133996	0
02-2020-13-OR	0	0	0	1639	0	0	0	0	3463	0	2039	0	22	23819	0	0	209	0	0	0	3928	856	0	16934	0	13106	0	4815	0	0	2452	0	67588	0	0	71	0	380	0
02-2020-16-OR	1872	27532	2386	280536	57430	1572286	4014	116154	13119	439	0	56768	6311	3431	6479	0	15729	37060	0	194533	207	0	0	0	128713	0	32625	22891	36622	175562	10875	976240	42473	124056	31424	4186	582984	38904	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	59	0	44	4379	15674	0	1733	0	6895	10654	0	0	1466	42351	536	0	0	134	0	0	12934	0	14662	0	0	30730	557	4889	0
02-2020-20-OR	0	0	4867	29611	0	0	114607	0	2328	93459	0	35197	96456	35848	34533	4896	0	0	8941	6970	0	31081	8977	0	0	0	0	603249	9156	804	52999	0	750022	699	22496	356514	0	37275	17037
02-2020-22-OR	1488	0	0	28880	0	0	0	0	0	0	251	0	0	0	0	376	2801	14758	0	0	0	0	0	0	0	0	1484	0	4101	2064	0	8522	8993	0	0	3919	157599	3590	1561
02-2020-26-OR	43	485	0	5234	24886	920	0	1049	0	10484	55034	1486	0	78	0	22435	0	51535	0	0	0	0	0	0	0	0	0	1354	0	0	0	0	25019	0	0	0	0	0	0
02-2020-28-OR	0	1448	0	37527	9980	0	0	0	0	0	0	0	618	651	3519	398	0	0	0	0	831	0	0	0	0	0	0	13868	0	0	0	10566	40259	420	0	0	7769	0	0
02-2020-29-OR	0	2755	17612	56758	25939	9084	2989	290	0	0	6727	13399	13678	2205	28748	0	102	0	0	995	6261	1222	0	0	0	0	52	10144	0	10327	661	10162	3780	2360	1280	0	0	3017	23216
02-2020-30-OR	0	0	0	3888	0	0	0	0	0	0	0	893	0	1048	9066	0	0	5102	0	0	2227	3094	15068	792	0	2332	1191	0	0	0	4376	8531	5398	0	0	0	23666	18407	0
02-2020-34-OR	388	0	42	0	0	0	1500	0	0	0	0	0	0	1675	10733	0	5871	0	34243	0	0	19533	0	4278	0	0	0	0	0	239	0	0	5402	0	0	4767	34271	6478	4646
02-2020-35-OR	9634	0	0	1920	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	277	0	0	0	0	139	0	681	0	0	2454	0	11902	11523	0	0	0	13246	1128	0
02-2020-37-OR	278	487	0	27644	14692	4350	597	3752	934	3214	15674	13152	36731	9635	128539	724	61377	22	2012	536	961	28280	16829	12547	11722	257	0	5600	1151	8918	12526	25403	333125	566	260	62603	10899	21115	715
02-2020-40-OR	0	0	0	1024	0	0	0	0	0	0	0	0	0	1120	28	0	0	2296	0	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	0	0	508	7757	0
02-2020-41-OR	0	0	0	0	0	0	0	0	0	182	0	599	0	3910	177226	0	4676	158	0	0	0	0	0	464	0	634	0	0	0	0	0	0	4027	0	0	21705	0	0	27926
02-2020-44-OR	0	0	0	8313	5079	0	0	0	0	0	0	0	0	5255	1038	0	106	0	0	0	53	0	0	594	0	0	278	0	0	0	3972	4700	800	0	0	0	12300	0	0
02-2020-47-OR	0	0	0	5005	0	0	0	0	0	0	405	0	0	4196	0	0	0	0	0	497	120	29136	34991	370	0	923	0	2389	0	1401	5933	0	16132	0	0	4610	819	1245	0
02-2020-50-OR	0	5617	1048	112501	26776	2551	0	11423	21630	0	8799	1871	0	20127	0	0	108140	463	0	0	0	0	6039	20	29076	0	2909	20342	223	287	0	101614	15572	2089	1017	0	92733	12475	0
02-2020-51-OR	0	0	0	4056	28844	2327	538	0	1636	0	1373	0	1922	510	765	0	0	0	0	12320	0	0	0	0	0	0	0	4520	0	321	0	1455	60196	0	0	3872	2869	1941	0
02-2020-52-OR	0	376	0	88229	0	0	0	35579	1530	70875	16423	2339	0	26021	19463	4101	7592	49057	0	11986	80517	63226	12046	300	69254	14496	12060	0	0	38869	364633	69198	4706	14551	1566	0	218929	0	8401
02-2020-53-OR	1961	3090	1337	178910	0	0	10373	547	0	4629	24601	17830	2467	14025	14882	874	32108	34028	25122	1326	0	0	4127	0	0	0	2529	1688	2803	1770	23849	15437	54766	891	34	0	1485	13942	0
02-2020-55-OR	3511	0	0	33730	6384	0	584	0	0	0	315	0	0	18830	12374	0	5470	2049	849	2963	5677	279	0	0	5756	0	152	0	426	1362	0	48757	17512	553	94	0	52074	6339	0
02-2020-56-OR	6277	94527	17468	2913218	103500	221468	81	43330	7232	0	248	611	25233	218358	54539	453	1277	2667	0	0	3021	2057	0	0	25687	0	31070	0	65531	152053	5536	1509138	7670	55802	19426	161	589577	17184	21
02-2020-57-OR	0	0	0	325	0	250	0	0	0	0	0	0	0	0	10638	0	0	0	13095	208	0	1716	0	222	0	0	0	0	0	367	0	1058	3000	0	0	614	542	9311	12378
02.2020.043.Or	222	72493	1373	1419099	0	56842	0	15347	0	1303	0	0	0	45566	0	0	0	10159	0	207130	197704	266	1312	0	540919	3016	52771	0	2812	660250	805456	0	7311	41823	38309	794	704200	2337	288
02.2020.110.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	137	9450	0	12161	0	0	0	0	0	0	3599	0	0	0	0	0	0	2591	0	0	0	0	0	596	848	0
GBM.BM.277.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3717	0	0	0	0	298	0	0	0	0	0	0	3983	3607	0	0	0	0	0	0
GBM.BM.298.Or	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	15076	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	0
