feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1536	X2043	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8071	X8059	X8255	X8235	X4482	X6936	X6956	X6952	X6939	X5868	X969	X15878	X16971	X16988	X16987
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	12001.3240960724	2197.43380963463	280.111151041079	0	58988.9420217578	0	0	0	1296.02790429279	0	0	0	0	0	0	0	0	568.44359372697	0	0	0	0	94.5448539153328	0	0	0	0	1560.87094227922	7517.78397406268
02-2020-10-OR	2392.21904431265	0	772.442822000775	31460.4620827629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6954.12512881584	0	342.356929418626	7459.10159970832	0	0	0	0	201.134696033443	0	32853.4268393349	32350.5900992513	0	0	64829.5640470346	23074.8570428154	143357.684732432	0
02-2020-13-OR	0	0	0	4125.4332218437	0	0	0	0	8716.51936988697	0	5132.25035957249	0	55.3749425750832	59953.4435089049	0	0	526.061954463291	0	0	0	9886.94429249668	2154.5886747396	0	42623.6035257482	0	32988.3635176837	0	12119.5612954103	0	0	6171.78905427746	0	170121.891762033	0	0	178.71004194686	0	956.476280842347	0
02-2020-16-OR	1120.91770415082	16485.6336702352	1428.6910481324	167979.577484857	34387.9827721054	941454.708006661	2403.50623101569	69550.7879315886	7855.40564142871	262.864782116564	0	33991.5898660435	3778.90578573493	2054.4170101183	3879.50096431257	0	9418.22359433129	22190.8173695669	0	116482.63020383	123.947630747446	0	0	0	77070.8763110919	0	19535.2244112822	13706.691862028	21928.5513682752	105123.159175281	6511.74147042741	584553.792468051	25432.0179745714	74282.3540096868	18816.0886406171	2506.4965328928	349079.640404198	23294.9692106214	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	175.730846292899	0	131.05351248962	13042.8029816374	46684.8353355068	0	5161.72129873889	0	20536.6811049075	31732.8209560093	0	0	4366.46475704051	126141.984260179	1596.47006123719	0	0	399.117515309297	0	0	38523.7756941078	0	43670.6045482456	0	0	91528.9645183185	1659.01832856178	14561.8323309489	0
02-2020-20-OR	0	0	1652.05604171345	10051.1673415198	0	0	38902.2368548703	0	790.217067004092	31723.7529489413	0	11947.2809739446	32741.0555906128	12168.2566228362	11721.8926008816	1661.89981101891	0	0	3034.93590897061	2365.89903651998	0	10550.1446132106	3047.15576052222	0	0	0	0	204767.034129361	3107.91557795939	272.910017985949	17989.9975662156	0	254587.708345594	237.268784293754	7636.04945847253	121015.226557516	0	12652.6379607292	5783.04474679928
02-2020-22-OR	6121.47085989835	0	0	118809.192495877	0	0	0	0	0	0	1032.58681843715	0	0	0	0	1546.82328180227	11523.0106710855	60712.8138107391	0	0	0	0	0	0	0	0	6105.01529307067	0	16871.0698900828	8491.07248308481	0	35058.5851263802	36996.22812034	0	0	16122.3415994231	648345.219119032	14768.8712278462	6421.78495450358
02-2020-26-OR	73.5191783925458	829.227942334528	0	8948.82278387406	42548.7970576022	1572.96846793354	0	1793.52600311117	0	17925.0015411035	94094.2898524503	2540.6860253796	0	133.360370107409	0	38358.2038892271	0	88111.8804292987	0	0	0	0	0	0	0	0	0	2314.99924519784	0	0	0	0	42776.1935861187	0	0	0	0	0	0
02-2020-28-OR	0	2352.99351031526	0	60981.2068104978	16217.4552713718	0	0	0	0	0	0	0	1004.24723023124	1057.87208233096	5718.35922845263	646.748216233062	0	0	0	0	1350.3712756022	0	0	0	0	0	0	22535.4378460304	0	0	0	17169.7026450215	65420.6945661479	682.49811763288	0	0	12624.5901806901	0	0
02-2020-29-OR	0	7867.62402081007	50295.6784952838	162087.333638163	74075.6077952059	25941.7410544605	8535.8723042473	828.170949558955	0	0	19210.7102678727	38264.3536315187	39061.1112002323	6296.95497854309	82097.4429583477	0	291.28771329315	0	0	2841.48308555572	17879.9252247883	3489.74103572773	0	0	0	0	148.499618541606	28968.8486631932	0	29491.4530899839	1887.65861261541	29020.2523773038	10794.7799632167	6739.59807227287	3655.37522563952	0	0	8615.83363730816	66299.3681550369
