feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1522	br_m_prior_treatment	Y	1.31927399048223	0.00974757411070004	29	10	0	0
X1545	br_m_prior_treatment	Y	-0.598866349713456	0.00326781121320984	29	10	0	0
X1543	br_m_prior_treatment	Y	2.53795825866872	0.00547979021899895	29	9	0	0
X1564	br_m_prior_treatment	Y	2.2575836992442	0.0143674047968961	29	9	0	0
X1536	br_m_prior_treatment	Y	1.55920896895791	0.0210600870195467	29	8	0	0
X2492	br_m_prior_treatment	Y	-2.51026984284322	0.00628240780989021	29	15	0	0
X2502	br_m_prior_treatment	Y	-1.07338603615836	0.00579807506038753	29	12	0	0
X2497	br_m_prior_treatment	Y	-1.01875177017899	0.00573425574489878	29	11	0	0
X9434	br_m_prior_treatment	Y	-2.87184736142566	0.0139938071068722	29	8	0	0
X9467	br_m_prior_treatment	Y	0.39486483550398	0.00458998561507699	29	16	0	0
X9450	br_m_prior_treatment	Y	-1.00602632422445	0.00385426781135897	29	13	0	0
X9463	br_m_prior_treatment	Y	-0.581381961074355	0.00382879525947893	29	8	0	0
X8007	br_m_prior_treatment	Y	1.49863438431358	0.00729193984589704	29	14	0	0
X8095	br_m_prior_treatment	Y	0.758519412103082	0.00800799913801088	29	12	0	0
X8163	br_m_prior_treatment	Y	0.922980016880903	0.0055639150475324	29	14	0	0
X8130	br_m_prior_treatment	Y	1.86640526413866	0.00928971234511241	29	9	0	0
X8047	br_m_prior_treatment	Y	2.32704872361789	0.0111011954721785	29	13	0	0
X8071	br_m_prior_treatment	Y	1.95483687671249	0.00882212188169278	29	11	0	0
X8059	br_m_prior_treatment	Y	0.996781789086599	0.0121219055494762	29	8	0	0
X8255	br_m_prior_treatment	Y	2.57431012481368	0.0210790453658891	29	12	0	0
X4482	br_m_prior_treatment	Y	2.5261637548055	0.0185346693599554	29	9	0	0
X6956	br_m_prior_treatment	Y	1.85558344437179	0.00606278126628091	29	14	0	0
X5868	br_m_prior_treatment	Y	1.9041111522413	0.0116423077796748	29	11	0	0
X969	br_m_prior_treatment	Y	1.62815559836141	0.0167754818976916	29	10	0	0
X15878	br_m_prior_treatment	Y	0.266530876740821	0.00348725592903302	29	14	0	0
X16971	br_m_prior_treatment	Y	3.05770283470021	0.00494015121564298	29	21	0	0
X9712	br_m_prior_treatment	Y	1.61894675024058	0.929866260965303	29	23	0.0816742308867924	0.1179738890587
X6952	br_m_prior_treatment	Y	2.1737619697956	1.44069134114347	29	17	0.131341583854774	0.182940063226293
X2043	br_m_prior_treatment	Y	-0.0109885453435054	0.00766852765402048	29	8	0.151874786277227	0.204245402234891
X16988	br_m_prior_treatment	Y	-1.32866680859908	0.960843955597765	29	22	0.166722436606786	0.216739167588822
