feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1520	br_m_prior_treatment	Y	-0.736831163902201	0.0032186103800352	29	19	0	0
X1568	br_m_prior_treatment	Y	0.596937930082721	0.00365019610515883	29	24	0	0
X1545	br_m_prior_treatment	Y	0.600221933499113	0.000842395143156638	29	14	0	0
X1540	br_m_prior_treatment	Y	-0.438359390361256	0.0028114220842197	29	19	0	0
X1542	br_m_prior_treatment	Y	-0.171520285531465	0.0033309329002586	29	10	0	0
X1564	br_m_prior_treatment	Y	0.227535749211628	0.00208725186921889	29	20	0	0
X1561	br_m_prior_treatment	Y	-0.378124261808873	0.00391616065959081	29	21	0	0
X3323	br_m_prior_treatment	Y	-0.868675857675526	0.0165721238448463	29	8	0	0
X1458	br_m_prior_treatment	Y	-1.08674629661174	0.00543530063301174	29	10	0	0
X1528	br_m_prior_treatment	Y	-1.75305584849641	0.00870618191600011	29	11	0	0
X1468	br_m_prior_treatment	Y	-0.379215875870879	0.00338019535167052	29	17	0	0
X2036	br_m_prior_treatment	Y	0.430356150213227	0.00889153117802417	29	9	0	0
X9418	br_m_prior_treatment	Y	-0.961386017375901	0.00476054771173219	29	14	0	0
X9434	br_m_prior_treatment	Y	-2.05051351838238	0.00355421262883279	29	18	0	0
X9467	br_m_prior_treatment	Y	0.374518262044857	0.00175437047426953	29	19	0	0
X9463	br_m_prior_treatment	Y	0.125882171657021	0.00232708478123623	29	11	0	0
X9447	br_m_prior_treatment	Y	0.983877624678051	0.00487997410300955	29	15	0	0
X19351	br_m_prior_treatment	Y	-0.519516456628319	0.00308671813582025	29	25	0	0
X19300	br_m_prior_treatment	Y	-2.33369705845793	0.0145283360831573	29	15	0	0
X5989	br_m_prior_treatment	Y	2.45473899439976	0.0106790699332842	29	14	0	0
X8095	br_m_prior_treatment	Y	1.86607053990144	0.00475010860839786	29	18	0	0
X8163	br_m_prior_treatment	Y	0.934831078027219	0.00334022662108268	29	16	0	0
X8130	br_m_prior_treatment	Y	1.43351518447445	0.00336912563076597	29	15	0	0
X8047	br_m_prior_treatment	Y	1.2307905759548	0.00408349944915884	29	21	0	0
X8053	br_m_prior_treatment	Y	-2.11268160658374	0.00422417985856584	29	14	0	0
X8026	br_m_prior_treatment	Y	-0.624810633734881	0.00813596141180203	29	8	0	0
X8071	br_m_prior_treatment	Y	-0.670481106834438	0.00132996893944217	29	21	0	0
X8059	br_m_prior_treatment	Y	0.686766333119494	0.00325563738743842	29	13	0	0
X8249	br_m_prior_treatment	Y	0.728262220514003	0.00584076093882708	29	16	0	0
X8235	br_m_prior_treatment	Y	0.338077706054555	0.00418249824930884	29	18	0	0
X8236	br_m_prior_treatment	Y	2.70831685517704	0.00717733539822704	29	11	0	0
X6833	br_m_prior_treatment	Y	-0.763801596064276	0.0122386468681052	29	14	0	0
X6602	br_m_prior_treatment	Y	-0.758904240499021	0.00463537701795284	29	15	0	0
X7298	br_m_prior_treatment	Y	2.68690521760665	0.0116887494358229	29	16	0	0
X4482	br_m_prior_treatment	Y	0.617789940982069	0.00277748618468544	29	20	0	0
X4481	br_m_prior_treatment	Y	-2.14445361329454	0.00815828508967942	29	10	0	0
X5266	br_m_prior_treatment	Y	4.96660554932364	0.0240644580543823	29	15	0	0
X4799	br_m_prior_treatment	Y	-0.797697051874699	0.00308430625533525	29	17	0	0
X5286	br_m_prior_treatment	Y	2.85228590578266	0.0210633656044171	29	8	0	0
