feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1963	br_m_prior_treatment	Y	-0.497681561901214	0.00233414700178359	29	8	0	0
X1877	br_m_prior_treatment	Y	-0.28935218907832	0.000643588605178971	29	20	0	0
X1867	br_m_prior_treatment	Y	0.541322947795095	0.00119537368571217	29	20	0	0
X1862	br_m_prior_treatment	Y	0.376150402454851	0.00151848371915143	29	8	0	0
X1855	br_m_prior_treatment	Y	1.17238874943246	0.00174536866826448	29	8	0	0
X1844	br_m_prior_treatment	Y	0.188514247419034	0.00100859222215428	29	13	0	0
X1836	br_m_prior_treatment	Y	0.784290389903251	0.000477260288547524	29	23	0	0
X1815	br_m_prior_treatment	Y	3.16111960338211	0.00161676750590783	29	10	0	0
X1814	br_m_prior_treatment	Y	0.161709050314345	0.000308136646635182	29	24	0	0
X1812	br_m_prior_treatment	Y	-0.719813517356397	0.000565630896005232	29	12	0	0
X1949	br_m_prior_treatment	Y	-0.627120747230092	0.000660061438577277	29	18	0	0
X1941	br_m_prior_treatment	Y	-0.892269620017801	0.0012537562373849	29	11	0	0
X1934	br_m_prior_treatment	Y	-0.237466806097529	0.000389569973606269	29	23	0	0
X1790	br_m_prior_treatment	Y	0.198835824866993	0.00117064493994175	29	19	0	0
X2295	br_m_prior_treatment	Y	0.355507459897234	0.00102419072098281	29	16	0	0
X2301	br_m_prior_treatment	Y	2.01048931632158	0.00143216893766655	29	16	0	0
X2303	br_m_prior_treatment	Y	-0.67154799065003	0.000377555192174937	29	19	0	0
X2318	br_m_prior_treatment	Y	1.61046104654321	0.00113290880148587	29	19	0	0
X2290	br_m_prior_treatment	Y	2.07037866066487	0.00387932873818868	29	9	0	0
X2325	br_m_prior_treatment	Y	0.94654520998629	0.00566393438345389	29	8	0	0
X2328	br_m_prior_treatment	Y	1.05606455900053	0.00305104513426599	29	8	0	0
X9712	br_m_prior_treatment	Y	2.35471476038986	0.0157906079544468	29	11	0	0
X9262	br_m_prior_treatment	Y	-1.10340665669966	0.00151564977748271	29	13	0	0
X15452	br_m_prior_treatment	Y	-1.77387361702332	0.00202970258668526	29	14	0	0
X7967	br_m_prior_treatment	Y	0.218064118939462	0.00206547256227954	29	8	0	0
X7985	br_m_prior_treatment	Y	2.79116910520479	0.011649496887936	29	12	0	0
X8028	br_m_prior_treatment	Y	-1.68622187080288	0.00519835700307071	29	11	0	0
X8059	br_m_prior_treatment	Y	-1.46023124306464	0.00750383328247532	29	9	0	0
X4046	br_m_prior_treatment	Y	-0.609322618067303	0.0075872264784172	29	14	0	0
X4041	br_m_prior_treatment	Y	0.251122273236745	0.00131785699519512	29	18	0	0
X6768	br_m_prior_treatment	Y	-2.40121893199258	0.00186353584901998	29	14	0	0
X4285	br_m_prior_treatment	Y	0.404891572847734	0.000870424035320305	29	17	0	0
X14853	br_m_prior_treatment	Y	-0.206615894551749	0.0021460789662768	29	24	0	0
X4121	br_m_prior_treatment	Y	0.844347266391037	0.00823606004092901	29	16	0	0
X14844	br_m_prior_treatment	Y	-0.160919959982246	0.00278855848749538	29	12	0	0
X14851	br_m_prior_treatment	Y	-1.06755396756168	0.00228670225473336	29	12	0	0
X15316	br_m_prior_treatment	Y	0.972544393294517	0.000644974640655904	29	23	0	0
X15300	br_m_prior_treatment	Y	0.0545158050128694	0.00134798799028564	29	16	0	0
X15286	br_m_prior_treatment	Y	0.665448887464976	0.001327378489867	29	17	0	0
X14965	br_m_prior_treatment	Y	1.23436802923834	0.0060429555842471	29	8	0	0
X14963	br_m_prior_treatment	Y	-0.866400620768009	0.00241941428065596	29	22	0	0
X14837	br_m_prior_treatment	Y	-1.07434186545276	0.0086304739970145	29	15	0	0
X15350	br_m_prior_treatment	Y	1.75421996356428	0.0165705645460357	29	10	0	0
X4198	br_m_prior_treatment	Y	1.66056919707973	0.00180461806898088	29	16	0	0
X15254	br_m_prior_treatment	Y	-0.764161436627015	0.00134024987863625	29	11	0	0
X15131	br_m_prior_treatment	Y	7.4251311668486	0.140946972656245	29	10	0	0
X15120	br_m_prior_treatment	Y	-0.534436548949498	0.00162540795202142	29	17	0	0
X15234	br_m_prior_treatment	Y	2.40487928770709	0.00397184216836357	29	9	0	0
X15265	br_m_prior_treatment	Y	-1.39312001528648	0.00261786920563213	29	12	0	0
X14987	br_m_prior_treatment	Y	-1.33792405026322	0.00334595703437879	29	17	0	0
X14995	br_m_prior_treatment	Y	1.76586176782095	0.0200225879465131	29	15	0	0
X3813	br_m_prior_treatment	Y	0.855600149160121	0.0106015583944592	29	20	0	0
X5090	br_m_prior_treatment	Y	1.25329707637921	0.00229527320066943	29	15	0	0
X4815	br_m_prior_treatment	Y	-0.898712475008065	0.00291096068261672	29	15	0	0
X4811	br_m_prior_treatment	Y	-0.935941765318252	0.000806639120847827	29	21	0	0
X4826	br_m_prior_treatment	Y	0.433046504912685	0.00130080486064705	29	15	0	0
X4805	br_m_prior_treatment	Y	1.27215784016858	0.00888339997556506	29	11	0	0
X48013	br_m_prior_treatment	Y	1.74804798362996	0.0175967818576488	29	8	0	0
X4868	br_m_prior_treatment	Y	0.465755892795667	0.00186512669010717	29	13	0	0
X4774	br_m_prior_treatment	Y	-0.907030820231136	0.00645759616007458	29	8	0	0
X4626	br_m_prior_treatment	Y	-0.879968459204284	0.00220354292833506	29	8	0	0
X4552	br_m_prior_treatment	Y	1.26876084063753	0.00607874508703577	29	12	0	0
X4628	br_m_prior_treatment	Y	-2.58940915587152	0.00383440370030997	29	9	0	0
X4575	br_m_prior_treatment	Y	-0.131115393622769	0.00231462738428569	29	18	0	0
X4577	br_m_prior_treatment	Y	-0.55606243018412	0.00113843284479396	29	17	0	0
X4571	br_m_prior_treatment	Y	-0.143784065783714	0.00289545414745869	29	8	0	0
X4617	br_m_prior_treatment	Y	0.816693454181838	0.00178192366952841	29	15	0	0
X4557	br_m_prior_treatment	Y	-0.272680125156816	0.0026782607579449	29	8	0	0
X4608	br_m_prior_treatment	Y	0.150113724909519	0.000750453587245899	29	26	0	0
X4606	br_m_prior_treatment	Y	-0.920965753230057	0.00825696966434387	29	11	0	0
X4760	br_m_prior_treatment	Y	2.4741005891511	0.00295913803446273	29	11	0	0
X4749	br_m_prior_treatment	Y	0.365752053971697	0.000754739825852374	29	12	0	0
X4716	br_m_prior_treatment	Y	-1.06012275333805	0.0028543386995449	29	13	0	0
X29380	br_m_prior_treatment	Y	1.81129639965647	0.0212621348317041	29	9	0	0
X4652	br_m_prior_treatment	Y	-0.298220369766877	0.00280887913585503	29	11	0	0
X4670	br_m_prior_treatment	Y	-0.747398868233197	0.00208551766799615	29	10	0	0
X4540	br_m_prior_treatment	Y	-1.32753991608414	0.00108400136544025	29	21	0	0
X4529	br_m_prior_treatment	Y	-2.05839834285308	0.0101700645378496	29	10	0	0
X5075	br_m_prior_treatment	Y	2.33601174947151	0.00476758812571157	29	11	0	0
X5082	br_m_prior_treatment	Y	1.63852078360837	0.0038383795245714	29	17	0	0
X5087	br_m_prior_treatment	Y	-0.615302589820185	0.00221276916344883	29	9	0	0
X4940	br_m_prior_treatment	Y	-0.539084013845158	0.00363815185880422	29	15	0	0
X4925	br_m_prior_treatment	Y	1.5844406750927	0.00154348193614207	29	17	0	0
X4933	br_m_prior_treatment	Y	0.204170218374484	0.000803851528841805	29	18	0	0
X4938	br_m_prior_treatment	Y	2.8387702627822	0.00743966191503051	29	10	0	0
X4959	br_m_prior_treatment	Y	0.214893725536794	0.00304061940576197	29	10	0	0
X4910	br_m_prior_treatment	Y	-0.91724599925039	0.00190218230645059	29	11	0	0
X4914	br_m_prior_treatment	Y	0.479918854732465	0.00172580924841004	29	19	0	0
X4993	br_m_prior_treatment	Y	0.314128543941177	0.00387042586813372	29	14	0	0
X4988	br_m_prior_treatment	Y	1.56251827311045	0.00334008986848025	29	14	0	0
X5190	br_m_prior_treatment	Y	0.781902795015151	0.00600365456056797	29	8	0	0
X3958	br_m_prior_treatment	Y	-0.507007728478082	0.00371435874456306	29	11	0	0
X6140	br_m_prior_treatment	Y	-1.97537456746253	0.00449689255052671	29	12	0	0
X6148	br_m_prior_treatment	Y	-0.182660163580842	0.00422002032884764	29	15	0	0
X6952	br_m_prior_treatment	Y	-1.65880566104913	0.00749809687579513	29	9	0	0
X6939	br_m_prior_treatment	Y	-0.614249602023832	0.00322080436008565	29	14	0	0
X49188	br_m_prior_treatment	Y	1.09636291280151	0.0122695682423728	29	9	0	0
X14341	br_m_prior_treatment	Y	-0.452258378032831	0.00500147335235134	29	8	0	0
X14809	br_m_prior_treatment	Y	-0.35805597539964	0.00222002865908153	29	25	0	0
X14807	br_m_prior_treatment	Y	1.18872149271581	0.0095372659360215	29	9	0	0
X63101	br_m_prior_treatment	Y	0.437790914439826	0.00591491562117264	29	14	0	0
X14797	br_m_prior_treatment	Y	0.552067292216778	0.00440070314200998	29	20	0	0
X15878	br_m_prior_treatment	Y	-0.697978652217994	0.0156655672214516	29	9	0	0
X17154	br_m_prior_treatment	Y	-0.78180375385868	0.00851966419281702	29	8	0	0
X17248	br_m_prior_treatment	Y	0.645341749585988	0.00107342163286284	29	14	0	0
X17234	br_m_prior_treatment	Y	-1.89136743462375	0.0025138316102978	29	13	0	0
X17300	br_m_prior_treatment	Y	-0.325166489144019	0.00604919018671378	29	9	0	0
X4874	br_m_prior_treatment	Y	-0.0351339121428977	0.000941970179432863	29	20	1.74682158826487e-304	2.91136931377479e-304
