feature	X1963	X1877	X1867	X1871	X1862	X1861	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X10115	X9712	X9262	X15452	X7106	X7038	X7967	X7985	X8007	X8002	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6768	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14844	X14851	X14890	X14941	X15316	X15346	X15300	X15286	X15271	X25416	X14965	X14963	X63327	X14837	X15350	X4198	X4181	X4262	X29305	X7253	X29347	X15091	X15254	X15078	X15124	X15132	X79840	X15131	X15127	X15126	X15158	X15154	X15120	X15234	X15265	X14987	X14995	X14993	X14027	X3813	X5090	X4799	X4791	X4862	X4815	X4811	X4837	X4826	X4820	X4805	X4677	X48013	X4868	X25431	X4874	X4774	X4630	X4626	X4552	X4628	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4705	X4699	X4716	X4721	X29380	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X5087	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X5190	X3958	X6140	X6148	X5792	X6952	X6939	X49188	X714	X14546	X14341	X14809	X14807	X63101	X14797	X15878	X17154	X17248	X17234	X17300	X16971
02-2020-08	241342	413731	25039	685360	0	133058	0	0	1025050	405670	0	337829	16358	361687	417789	286496	255406	2023759	1699899	651981	2631893	97472	0	463680	1573585	772917	76034	8738	4715	24836	0	0	0	140741	555506	5978	8812	128044	8533	7633	30858	292	0	0	72191	0	1759663	995243	1291567	17954	0	0	27700	0	13259	2037161	0	6000	318128	28432	9991	242463	45301	5468	0	3213	2368	195944	305971	0	0	836	4339130	0	0	7921	0	0	1793	0	1833	9448	18203	0	1331324	0	85	0	0	28423	6114	0	44316	0	0	44250	172669	383438	385578	408960	7171	0	0	240602	15136	1274486	0	0	0	45786	0	0	80718	473074	94349	16688	8245	0	0	1033841	0	13698	4030	29576	110	9869	2777	44506	0	0	0	371760	8785	8386	0	24057	0	9671	9618	0	390883	4990	0	66435	215733	24097	14784	276	23845	0	1957395	0	1012006	0	0	4501	31777	42977	142713	0	0	0	15683	401162	2798	16002	35718	19965	102429	0	690	22768	715	30589	2875	159	386345	104812	0	27534
02-2020-10	15149	0	44212	326789	0	2273792	0	1070499	0	0	403762	1313549	528043	51045	2198946	131186	270905	543337	230685	0	423454	15919	60314	0	938547	20341	0	0	120457	54126	2528	0	0	0	0	0	0	20030	0	7802	1582699	338838	22530	1697	172485	25982	352819	5860565	205196	47796	2162	336563	432566	43260	79628	3246	0	0	0	258012	28384	17171	0	4469	0	492	390945	1385000	0	0	8148	1710	5395826	0	384676	10651	39258	0	91	11493	69042	51571	3195	471397	0	0	143741	1134	0	0	4499	0	332376	224299	175315	0	994	261283	0	8085	0	0	1723	0	64722	0	84264	9623	714370	0	723237	240635	0	221877	0	74696	27870	2431136	0	2314524	37700	278	0	29977	0	1379	1145	60520	0	0	0	2515531	0	124482	0	78402	2971	0	0	0	0	2231074	0	0	0	0	26724	0	0	0	0	1118	659923	0	0	2374	0	35919	21250	0	0	0	5224	224078	0	0	12610	44953	0	89954	274414	22179	19817	44288	3307	3114	6814	7290	0	0
02-2020-13	0	287610	633762	1759778	1060459	553011	0	0	3538418	15222321	7052515	0	0	322986	43308	2123741	169157	0	832590	2963817	613270	0	0	0	0	51515	907	0	307680	0	0	0	0	5091	4287	29446	0	5536	6329	0	69842	37603	238	3870	25576	0	51823	684910	691582	29496	11633	125063	10265	15293	8032	767630	0	166161	755343	88918	6850	0	61835	2949	4220	19333	209316	657464	0	462	1463	2162	734231	0	931791	79578	111156	0	17610	3537	108046	162004	252042	0	0	1837	0	8830	20490	0	5757	0	114448	17070	955744	26195	115959	546321	187210	327620	0	129242	0	0	6605	0	6639	493	0	52884	0	85463	457	16261	0	16907	527	0	0	482358	12421	0	69751	115593	33430	966	4100	744837	69568	18247	2861	47942	23883	0	5396	142132	0	0	0	17527	65835	16794	0	0	5285	0	98766	0	0	0	15204	0	143755	4340	128743	26593	5957	14080	158239	5419	0	0	0	160707	0	0	0	0	7773	0	55680	0	28815	57115	0	0	0	0	0	0
02-2020-16	0	0	0	680418	0	180185	0	0	1200569	61007	0	581153	0	36511	0	75023	11664	0	0	0	119347	0	0	0	0	0	0	0	0	0	0	0	0	0	6704	2522	0	200	0	0	4883	2344	0	0	9958	0	17561	86865	191654	4318	0	0	7479	1913	0	198778	0	88693	220934	16798	0	0	1148	0	0	0	0	7232	0	0	35	0	58152	15570	12542	2153	1316	0	0	0	0	1935	5220	23556	9434	1021	1482	79	0	0	1167	0	513	0	7826	4150	64670	63642	171925	58818	419	30181	4457	75427	2276	191149	0	706	0	12490	0	0	11554	73885	57261	14329	112	1075	0	165484	0	630	9835	0	1017	312	4368	16577	17129	22872	0	22315	86685	11760	0	46160	0	16141	0	16782	173367	0	0	0	0	0	7558	0	0	365736	0	0	88337	55576	0	4507	5902	3574	13526	5025	12318	0	0	23427	0	0	0	0	10044	0	3686	2986	0	5912	0	0	14884	0	0	0
02-2020-18	0	5683	29151	0	0	17328	19642	507350	220415	84667	0	187635	0	177161	16217	0	6987	78922	25421	0	140798	29600	0	0	13869	879	0	0	0	0	0	0	0	0	0	7096	0	0	0	0	10611	0	0	26754	77965	0	33016	2609527	0	0	0	656	0	0	0	2599265	12099	96802	0	19189	0	0	0	0	0	0	205650	139467	8597	221	33604	0	76932	0	111312	2204	36223	198	2509	609	277400	19325	48422	0	0	0	0	0	0	4996	1251	0	296127	2735	8456	0	167	2482	0	931	0	6795	0	6693	18919	0	1673	0	36254	0	569	0	0	0	0	0	0	0	0	1036	0	0	0	340618	0	318309	0	840081	0	3601	2576291	9811	0	0	0	24791	0	0	0	0	0	2158	0	3844	166	0	0	0	0	0	0	0	21216	0	0	0	0	0	0	0	0	0	946	0	0	0	2323	0	423	0	0	0	0	7337	0	0	0	0	0	0
02-2020-20	0	318851	506780	0	0	0	0	0	1458919	1670041	0	4316528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7159	0	0	0	0	0	0	0	24758	18812	0	0	0	0	350596	886512	535	13931	8370	0	5886	169048	0	0	0	3365	0	0	0	99431	0	0	574311	108058	0	0	839	0	0	9423	0	39459	0	0	0	0	36267	0	262651	14163	238602	0	0	2035	13945	0	16192	41275	0	0	3339	0	0	0	0	0	212909	48008	13911	0	0	578616	0	80617	0	247175	3799	0	0	17967	0	166844	27811	0	0	87864	4446	0	0	368319	3192	428046	34111	272474	0	0	0	1675103	0	466732	0	5044395	1122953	0	0	662277	18584	14805	0	548	0	0	0	0	0	32615	0	0	0	0	310	1203	93608	999	37568	0	29240	0	0	0	0	0	720660	0	0	0	0	0	0	0	0	0	0	0	95974	0	0	0	0	0	0	0	0	267
02-2020-22	0	62621	5003	56026	0	0	185200	359424	988072	60758	502412	493282	0	0	507870	2295910	450083	604443	71276	380981	2260729	528490	67437	16219	19277	10837	0	0	40071	124939	0	1592	0	21008	29765	326871	46868	0	0	8353	572150	189054	5857	5766	785430	40252	72900	3183330	1276973	33214	25848	96488	8332	13461	0	223949	37154	27509	25469	142335	9175	0	47912	14549	0	1702	2633	137537	394098	0	1721	0	1118902	3650	80670	3203	122618	0	23166	145120	119500	12134	6592	236126	491202	177954	0	0	0	0	13054	90979	12284	0	0	19206	229692	694905	143748	252418	28271	214154	0	30210	6885	209284	31441	922	210	0	0	42378	11801	0	35029	63531	30184	7462	0	202242	0	0	0	29428	30822	55867	9527	24030	0	0	0	1846291	0	126239	0	1868	1176	3511	915	0	526970	57751	0	164490	108208	11412	4506	12985	11436	2124	264087	0	236925	0	847	1526	0	574341	0	0	0	0	65182	19363	0	103	7020	48688	176668	0	90893	19191	28260	6597	8277	0	395336	37510	652	0
02-2020-26	0	337420	0	84361	166537	165220	0	366857	1425088	235280	40430	2194649	0	327214	0	654331	76455	399948	0	100420	237337	0	0	56821	1507	157582	1691662	0	0	28453	140606	920112	0	0	317048	0	16827	29707	0	0	59525	0	0	0	452286	0	241883	307256	170882	102769	1825	0	62648	0	0	581241	0	229413	0	10933	983	15034	7687	195	1104	2858	75117	136701	0	299	0	446	315989	0	192575	7201	45537	0	0	0	15487	151564	17334	58245	0	0	31106	923	0	2532	0	51455	122192	5411	10552	0	28379	2136141	0	138562	0	58215	0	0	5310	42010	0	7815	0	0	0	0	0	0	0	258647	6439	58344	1632	135127	250	0	0	7860	12722	0	1276	61021	1406	5850	0	36273	8744	739	27351	26778	559	0	23021	45238	84381	2331	320	0	7456	0	18263	0	96847	22019	57866	0	43447	0	0	30958	21624	22879	946	0	0	0	0	43437	0	8304	0	2018	0	7160	7972	0	11268	7677	1307	0	387507	5016	21548	2707
02-2020-28	0	1186735	11899	527945	0	117007	0	0	302265	1066342	0	1422560	0	1382247	0	3590110	0	0	0	1500222	0	0	17163	0	17165	0	0	0	2762	0	0	0	4201	0	0	0	0	0	0	0	114292	26361	0	161094	21727	0	76752	403681	0	19184	0	73927	0	2248	247	0	0	0	0	1075634	0	0	0	0	0	0	0	6712	0	0	5911	0	565313	0	95872	0	222208	0	0	0	57476	16810	12979	0	0	0	5697	346	0	274588	0	0	1096860	145973	18404	0	0	0	0	0	0	0	2203	0	8265	0	6653	1530	1856	0	3525	0	0	0	0	202522	30199	0	0	1207368	2167	0	100672	0	33578	71533	59489	4117149	0	206017	0	1940369	0	54388	0	21819	30357	0	0	0	0	7392	3691	0	0	0	0	0	0	0	0	0	8015	0	0	0	0	2681	888138	0	0	2959	0	38448	0	0	0	0	0	8758	47578	34072	0	0	0	0	3353374	0	0	0
02-2020-29	0	512797	62066	3057499	0	512994	328051	0	0	0	0	1911634	0	1141777	0	2196072	229687	0	0	5324016	0	0	0	0	1815454	113119	77230	1754	0	113591	415	2359	0	0	294359	11907	7478	32786	0	1015	44391	416911	3285	13975	6448	6954	9388	198039	554624	73727	11085	0	0	3362	0	0	0	133420	241478	163951	0	0	31623	2563	2289	0	0	47167	259158	176	0	0	72747	0	65489	18751	58365	0	0	0	11459	8440	0	0	0	0	0	772	0	0	6104	2199	28991	2002	4864	0	168572	824654	97378	55946	0	92670	2226	0	13362	121827	0	63921	0	0	0	3701	0	191000	99679	0	2423	0	0	147036	6628	0	0	0	40436	6089	16002	210645	0	2227	0	112464	82253	55657	10245	57915	0	0	140	0	163658	0	30659	0	20719	0	4269	7935	12536	42137	152883	0	29506	0	1826	8235	12492	0	115635	2459	41607	12117	2976	0	0	0	0	0	0	0	99729	0	7646	0	70	274	0	44529	0	0
