feature	X1963	X1877	X1867	X1871	X1862	X1861	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X10115	X9712	X9262	X15452	X7106	X7038	X7967	X7985	X8007	X8002	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6768	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14844	X14851	X14890	X14941	X15316	X15346	X15300	X15286	X15271	X25416	X14965	X14963	X63327	X14837	X15350	X4198	X4181	X4262	X29305	X7253	X29347	X15091	X15254	X15078	X15124	X15132	X79840	X15131	X15127	X15126	X15158	X15154	X15120	X15234	X15265	X14987	X14995	X14993	X14027	X3813	X5090	X4799	X4791	X4862	X4815	X4811	X4837	X4826	X4820	X4805	X4677	X48013	X4868	X25431	X4874	X4774	X4630	X4626	X4552	X4628	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4705	X4699	X4716	X4721	X29380	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X5087	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X5190	X3958	X6140	X6148	X5792	X6952	X6939	X49188	X714	X14546	X14341	X14809	X14807	X63101	X14797	X15878	X17154	X17248	X17234	X17300	X16971
02-2020-08	197726.518157184	338961.266931118	20513.9357763577	561501.298921065	0	109011.672452199	0	0	839802.303109369	332357.056048366	0	276776.325308166	13401.7716933448	296322.692165961	342285.902554764	234720.258164599	209248.863009562	1658023.96872183	1392692.1567273	534154.573321838	2156255.60015358	79856.7973159128	0	379883.451447005	1289205.70424697	633234.941429574	62293.0864978467	7158.86300626279	3862.90216005139	20347.6220672399	0	0	0	115306.195738662	455114.597523119	4897.6519857449	7219.48967855203	104903.805764925	6990.91073843447	6253.55931870037	25281.3223446163	239.22957173595	0	0	59144.5959355822	0	1441655.56811506	815382.043367131	1058154.17903523	14709.3415443399	0	0	22694.0381407049	0	10862.8249713937	1669003.95064103	0	4915.67613156062	260635.702730186	23293.7506287553	8185.4200384037	198644.930314431	37114.174072638	4479.81951456225	0	2632.34456845071	1940.05351325593	160532.873987086	250675.723608289	0	0	684.917540997447	3554959.62878977	0	0	6489.51177301528	0	0	1468.96788398137	0	1501.73905819177	7740.55134849746	14913.3421037997	0	1090726.2683623	0	69.6387451971088	0	0	23286.3771145579	5009.07397806028	0	36307.1839077068	0	0	36253.1114702596	141464.146993407	314142.837422224	315896.09524248	335052.485127172	5875.0522565702	0	0	197120.251434292	12400.6123212169	1044160.06836803	0	0	0	37511.5245599391	0	0	66130.590997885	387579.761710318	77298.1878894355	13672.1338805806	6754.95828411956	0	0	847004.587921461	0	11222.4886083529	3301.69580169822	24231.0062111728	90.1207290786114	8085.46795706196	2275.13876955731	36462.8469852062	0	0	0	304575.293111496	7197.36913596001	6870.47667321123	0	19709.4034494923	0	7923.25064472046	7879.82883889168	0	320242.372222135	4088.20398274792	0	54428.823966705	176745.593148328	19742.1746237027	12112.2259881654	226.121102051789	19535.7162261772	0	1603653.31358935	0	829115.623199357	0	0	3687.57637802573	26034.2400721003	35210.1688510135	116921.814627235	0	0	0	12848.7581285442	328663.744714854	2292.34363601777	13110.1082428722	29263.0200111804	16356.912327768	83917.9650799372	0	565.302755129472	18653.352360562	585.784739010974	25060.9361980513	2355.4281463728	130.265417486357	316524.482507965	85870.307783522	0	22558.0377677317
02-2020-10	8381.65527024606	0	24461.6636615037	180806.174936196	0	1258046.12187229	0	592286.856237583	0	0	223393.880469014	726761.825769123	292156.207925707	28242.2333665397	1216635.24522322	72582.7334003895	149886.614363061	300618.088954366	127633.648822808	0	234289.091742476	8807.68171146921	33370.5958128999	0	519280.30952034	11254.2907024936	0	0	66646.5805589828	29946.8924125248	1398.69460183392	0	0	0	0	0	0	11082.2202827268	0	4316.69908366623	875677.43181485	187472.6588197	12465.4230139708	938.918013968418	95432.6892394476	14375.3493452725	195208.081773909	3242539.80585317	113531.067056136	26444.623097015	1196.1937219798	186213.944334268	239330.589057315	23934.9400614459	44056.6668333985	1795.95042624719	0	0	0	142753.161237489	15704.3305294517	9500.3896392762	0	2472.61320237175	0	272.214297508817	216302.476706472	766294.313109169	0	0	4508.1343416704	946.110668170887	2985408.50420693	0	212833.957537605	5892.99691619188	21720.7091292706	0	50.3485794172811	6358.85959607486	38199.6331882189	28533.2592211935	1767.73309052981	260815.047160089	0	0	79529.1775166968	627.420758892272	0	0	2489.21163514668	0	183897.356399981	124100.395766118	96998.4747312158	0	549.961405942609	144562.943691049	0	4473.27763284305	0	0	953.303322373356	0	35809.4588686293	0	46621.6779782173	5324.22395310435	395247.414047507	0	400153.357494683	133138.795693159	0	122760.348960089	0	41327.8844852003	15419.944047908	1345101.58209023	0	1280582.3673319	20858.6971871593	153.812143714331	0	16585.7073098004	0	762.974626554183	633.506850909746	33484.5717179544	0	0	0	1391795.73989157	0	68873.5369562856	0	43378.3442139964	1643.79812581035	0	0	0	0	1234411.06016298	0	0	0	0	14785.8839159057	0	0	0	0	618.568261412311	365122.91840429	0	0	1313.48931358929	0	19873.3035614211	11757.2232155739	0	0	0	2890.34042720743	123978.120644676	0	0	6976.87457639467	24871.6449510444	0	49769.8473945286	151828.077716635	12271.2213505042	10964.3714100248	24503.7130245335	1829.70057288955	1722.91732203751	3770.05736427861	4033.41916430747	0	0
02-2020-13	0	257251.708278347	566866.093466506	1574026.96947482	948523.658110455	494638.658067234	0	0	3164924.98558066	13615549.1158561	6308096.14202798	0	0	288893.641563194	38736.6815552959	1899572.3382037	151301.857436252	0	744707.0678887	2650975.23130074	548537.099321519	0	0	0	0	46077.4025658324	811.262819124721	0	275203.246073092	0	0	0	0	4553.62625376401	3834.49140638112	26337.8665622343	0	4951.65486954185	5660.95080732123	0	62469.9204115863	33633.8652563913	212.878225966575	3461.50728777582	22876.3592744585	0	46352.8920347303	612615.234230113	618582.980127798	26382.5888786139	10405.094128862	111862.14106747	9181.49155271804	13678.7676878438	7184.19290320811	686603.834448412	0	148622.09623879	675613.772421305	79532.3785567055	6126.95734399596	0	55308.0886665679	2637.72222006483	3774.56350243255	17292.3308513101	187221.927505965	588066.26032306	0	413.234203346881	1308.57497726512	1933.79296025099	656730.221553212	0	833437.038032021	71178.2498570089	99423.0759896665	0	15751.1998288714	3163.65666068813	96641.3479108595	144903.882854996	225438.041298603	0	0	1643.09790378403	0	7897.96107262545	18327.2052523324	0	5149.32750793938	0	102367.593300095	15268.1988119724	854861.7109168	23430.0215512371	103719.101701084	488654.812135652	167449.296988246	293038.505845249	0	115600.032270471	0	0	5907.81799373625	0	5938.22916887434	440.962039502191	0	47301.899588304	0	76442.0664948798	408.761971708928	14544.5917329516	0	15122.4040605751	471.373214640273	0	0	431443.341683971	11109.9178350035	0	62388.5257957755	103391.734345186	29901.3407313555	864.035152452569	3667.22994312167	666216.719303638	62224.8421178264	16320.9621395466	2559.01094323685	42881.545837351	21362.0616418475	0	4826.43238367916	127129.445433114	0	0	0	15676.9607836813	58885.8739769305	15021.3316255574	0	0	4727.14884131659	0	88340.8859908183	0	0	0	13599.1619646883	0	128581.131822794	3881.89706174343	115153.703553003	23786.0111896182	5328.21677345751	12593.8042924764	141536.292431617	4847.00464921374	0	0	0	143743.785968111	0	0	0	0	6952.53130436213	0	49802.7715202475	0	25773.4709295246	51086.3020003401	0	0	0	0	0	0
02-2020-16	0	0	0	2499595.79181872	0	661930.85389989	0	0	4410431.85246129	224116.411487475	0	2134934.1040402	0	134127.465697693	0	275605.840953084	42849.0800004902	0	0	0	438435.283849323	0	0	0	0	0	0	0	0	0	0	0	0	0	24627.9348699662	9264.86451999625	0	734.72359397274	0	0	17938.2765468444	8610.96052136051	0	0	36581.8877439027	0	64512.4051687764	319108.82495221	704063.578396257	15862.6823938714	0	0	27474.9887966106	7027.63117634925	0	730234.432813566	0	325824.198601121	811627.112553866	61709.4346577704	0	0	4217.31342940353	0	0	0	0	26567.6051580543	0	0	128.576628945229	0	213628.232183514	57198.2317907778	46074.5165780305	7909.29948911654	4834.48124834063	0	0	0	0	7108.45077168626	19176.2858026885	86535.7448981093	34656.9119276941	3750.76394723084	5444.301831338	290.215819619232	0	0	4287.11217083094	0	1884.56601854008	0	28749.7342321533	15245.5145749343	237572.874111085	233796.394838065	631586.769468816	216074.861751443	1539.24592937289	110873.463948456	16373.3152916825	277089.982612909	8361.15449940978	702208.401321476	0	2593.57428672377	0	45883.4884435976	0	0	42444.9820238052	271425.263703379	210355.038572365	52639.2718901769	411.445212624734	3949.13931760348	0	607924.996124924	0	2314.37932101413	36130.0327336095	0	3736.06947535138	1146.16880659747	16046.3632923646	60897.5650864305	62925.4022057953	84022.9902067225	0	81976.7849975084	318447.573717635	43201.7473255971	0	169574.205488908	0	59295.86765157	0	61650.6567702526	636884.12658136	0	0	0	0	0	27765.2046162298	0	0	1343574.34182607	0	0	324516.39060385	204164.992293145	0	16556.9961901757	21681.6932581355	13129.5106242929	49689.3566603764	18459.9302985651	45251.626152781	0	0	86061.8481799968	0	0	0	0	36897.818889311	0	13540.9558369176	10969.423258013	0	21718.4294378342	0	0	54678.1298634513	0	0	0
02-2020-18	0	13461.0091808253	69048.3685782578	0	0	41043.8794800882	46524.9238658756	1201732.00913105	522084.873938345	200546.060938402	0	444440.692881253	0	419631.505804011	38412.3149543277	0	16549.7221795577	186938.19577144	60213.322960718	0	333500.469935218	70111.8901552753	0	0	32850.7366406592	2082.03890021916	0	0	0	0	0	0	0	0	0	16807.9044777647	0	0	0	0	25133.6914337036	0	0	63370.7266626431	184671.402566082	0	78203.1812623841	6181042.91828463	0	0	0	1553.83107911691	0	0	0	6156735.88393418	28658.2351009688	229289.567257127	0	45451.9277091074	0	0	0	0	0	0	487111.831433526	330347.803523168	20363.2405292197	523.470531226887	79595.9444857389	0	182224.592345461	0	263658.605302838	5220.4934426428	85799.4255775182	468.991697660288	5942.93014863466	1442.50476704604	657062.105711938	45774.0634206316	114694.525172255	0	0	0	0	0	0	11833.7501086404	2963.17481703545	0	701419.719459838	6478.24390454993	20029.261593007	0	395.563704592263	5878.97673531734	0	2205.20843697842	0	16094.9423515235	0	15853.3405678803	44812.3935759343	0	3962.74298073566	0	85872.8535705862	0	1347.75896953891	0	0	0	0	0	0	0	0	2453.91615543464	0	0	0	806803.10138208	0	753961.001467417	0	1989853.60788966	0	8529.49042057927	6102318.63513596	23238.775483561	0	0	0	58721.0766499808	0	0	0	0	0	5111.5357755096	0	9105.07114043508	393.195059654585	0	0	0	0	0	0	0	50253.1709977811	0	0	0	0	0	0	0	0	0	2240.7381110436	0	0	0	5502.36219022651	0	1001.93680863789	0	0	0	0	17378.7479077451	0	0	0	0	0	0
02-2020-20	0	279130.833598002	443648.98918553	0	0	0	0	0	1277177.35438171	1461999.29268794	0	3778805.95917565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6267.18322265916	0	0	0	0	0	0	0	21673.8262643659	16468.5362180003	0	0	0	0	306921.269609081	776076.705278114	468.353544366902	12195.5761244398	7327.32554458125	0	5152.76441522165	147989.214893712	0	0	0	2945.81247998995	0	0	0	87044.6005045709	0	0	502767.462465233	94596.9108358854	0	0	734.48340882959	0	0	8249.1503711576	0	34543.4813218198	0	0	0	0	31749.1177449616	0	229931.825759834	12398.6752315298	208878.677370152	0	0	1781.49432296569	12207.8321050401	0	14174.9169913811	36133.25709111	0	0	2923.05137316091	0	0	0	0	0	186386.326687127	42027.5083326472	12178.0675807252	0	0	506536.176499812	0	70574.3134321991	0	216383.714633437	3325.74787859787	0	0	15728.8002460563	0	146059.773376358	24346.5054624073	0	0	76918.5342472028	3892.14926776681	0	0	322436.465621819	2794.36357685823	374723.105144065	29861.6967325222	238531.147005285	0	0	0	1466430.70510211	0	408589.881251314	0	4416000.51857323	983063.584499898	0	0	579775.290285381	16268.9388196533	12960.6994847701	0	479.734097781425	0	0	0	0	0	28552.0576626664	0	0	0	0	271.382427577083	1053.13890443623	81946.9880020504	874.551758546794	32888.0485135996	0	25597.4909108191	0	0	0	0	0	630885.355670003	0	0	0	0	0	0	0	0	0	0	0	84018.2487234935	0	0	0	0	0	0	0	0	233.739058590585
02-2020-22	0	48655.4647654596	3887.24693348228	43531.2605827061	0	0	143897.288043358	279266.408518876	767715.341207217	47207.9450698614	390365.681859824	383271.825273238	0	0	394606.456147841	1783883.49131547	349706.928155608	469642.05441032	55380.2543335765	296015.835291828	1756548.44546961	410627.849665411	52397.4158411443	12601.8904685487	14977.905084297	8420.16690348741	0	0	31134.4936781069	97075.5036222953	0	1236.9572492712	0	16322.8629979204	23126.9048521088	253973.274514149	36415.6484666096	0	0	6490.14064268989	444550.936036756	146891.781283742	4550.79058353103	4480.0851126242	610265.912245651	31275.1276367238	56642.0750451446	2473393.91980055	992186.563739691	25806.7198977974	20083.4616703278	74969.5546907533	6473.82399555755	10458.9708118339	0	174004.609935324	28868.0336931043	21374.0307601767	19788.9850387488	110591.903313452	7128.82083044173	0	37226.8189240462	11304.3285299288	0	1322.42540091682	2045.7967571175	106863.937935309	306207.52388397	0	1337.18808165561	0	869368.052841734	2835.98866824112	62679.2344841127	2488.67717928118	95272.1256225726	0	17999.5927365682	112755.80151648	92849.4920150176	9427.91410970898	5121.87323316315	183465.934322494	381655.700223939	138267.267799502	0	0	0	0	10142.7386507451	70689.1542597011	9544.46158922574	0	0	14922.7392773258	178466.824434422	539929.508357287	111689.7805705	196124.544564408	21966.0919561219	166394.059522879	0	23472.6623746752	5349.52930981921	162610.151354569	24429.1286899094	716.378507429676	163.166471323462	0	0	32926.9939130746	9169.17870518178	0	27216.9443999502	49362.5194745279	23452.4608115589	5797.84861436035	0	157138.635682855	0	0	0	22865.0615147945	23948.1760911035	43407.7202544183	7402.31891570772	18670.9062185847	0	0	0	1434537.08336317	0	98085.5817781072	0	1451.40461158203	913.732239411387	2727.98800388893	710.939625052227	0	409446.835206308	44871.5565971488	0	127805.966038077	84075.797756996	8866.93224163499	3501.08628468343	10089.1268101674	8885.57983835767	1650.3123099573	205191.161487615	0	184086.74389672	0	658.104767671296	1185.67635828382	0	446253.306220897	0	0	0	0	50645.318732409	15044.72563922	0	80.0292692681742	5454.4220413843	37829.7578847463	137268.067408445	0	70622.3337047782	14911.0845293741	21957.5451409573	5125.75814914704	6431.08991973473	0	307169.429081582	29144.6397111574	506.59304429951	0
02-2020-26	0	426203.4786135	0	106558.44840055	210356.969704986	208693.434700144	0	463386.075377016	1800063.6089454	297187.93920984	51068.1247120616	2772114.98469456	0	413312.029669367	0	826501.53625941	96572.1858733778	505184.129169913	0	126842.965213585	299786.186366227	0	0	71771.998868762	1903.52866537415	199045.689546774	2136779.76716932	0	0	35939.6822268684	177602.887540542	1162216.03673174	0	0	400471.105706399	0	21254.596451394	37523.6403863768	0	0	75187.4875954851	0	0	0	571293.540774659	0	305528.350475577	388102.590317319	215845.245783985	129810.044732472	2305.20226563226	0	79132.2254999068	0	0	734179.7644265	0	289777.187597531	0	13809.7404767986	1241.65141211864	18989.8141706934	9709.638255296	246.309283177146	1394.48948014138	3610.00990420658	94882.1252534239	172670.386254354	0	377.674234204957	0	563.353539984651	399133.456830067	0	243246.206194045	9095.7597341468	57518.9016822445	0	0	0	19562.0095823818	191444.206130569	21895.0005876546	73570.6881982198	0	0	39290.7516026067	1165.86394037182	0	3198.23130771555	0	64994.0726455386	154343.712461445	6834.76682703352	13328.4900312064	0	35846.211011714	2698212.09474519	0	175021.061003034	0	73532.7944623464	0	0	6707.19124959305	53063.861468061	0	9871.31819502254	0	0	0	0	0	0	0	326703.370081637	8133.25884296226	73695.737526602	2061.41923151334	170682.228245529	315.781132278392	0	0	9928.15879883265	16069.4702593828	0	1611.74689914891	77077.121891039	1775.95308793368	7389.27849531437	0	45817.3160445365	11044.760882569	933.449027014927	34547.7189957852	33823.9486406031	706.086611774485	0	29078.3897847235	57141.2274480396	106583.710891132	2944.34327736373	404.199849316342	0	9417.85648907076	0	23068.4432752011	0	122329.821271062	27812.7390065517	73091.9640016857	0	54878.9714163972	0	0	39103.8091722978	27313.8048175518	28899.0261015893	1194.91580454144	0	0	0	0	54866.3401711061	0	10488.9860897591	0	2548.98529975118	0	9043.97162845315	10069.6287460934	0	14232.8871940517	9697.00701000486	1650.90375955143	0	489469.596903211	6335.83263803366	27217.8073533392	3419.27810031043
02-2020-28	0	1037585.67476335	10403.528963087	461592.663115974	0	102301.513856956	0	0	264276.214978359	932323.714728643	0	1243772.09527936	0	1208525.64909994	0	3138903.55203532	0	0	0	1311673.50433316	0	0	15005.9473563713	0	15007.6959955785	0	0	0	2414.87074510852	0	0	0	3673.01665467086	0	0	0	0	0	0	0	99927.7361332163	23047.9390701686	0	140847.642220316	18996.3420271444	0	67105.7782145436	352946.211895783	0	16772.9472752215	0	64635.825334409	0	1965.47046886458	215.956942086099	0	0	0	0	940447.892485178	0	0	0	0	0	0	0	5868.43317927893	0	0	5168.10317680539	0	494264.238062829	0	83822.7690351355	0	194280.810473959	0	0	0	50252.393535792	14697.312536305	11347.7941349614	0	0	0	4980.99878163767	302.514582841256	0	240077.671309869	0	0	959006.200390925	127627.05549447	16090.9779844233	0	0	0	0	0	0	0	1926.12608670314	0	7226.25152365023	0	5816.84832266727	1337.70899348879	1622.7371842583	0	3081.97660264574	0	0	0	0	177068.954757737	26403.5777087373	0	0	1055625.51114417	1894.65058097399	0	88019.5031323553	0	29357.9036492592	62542.7042034207	52012.3988978135	3599704.08159045	0	180124.701772275	0	1696502.65489337	0	47552.494599914	0	19076.7794306745	26541.7202061041	0	0	0	0	6462.97050971839	3227.11365684126	0	0	0	0	0	0	0	0	0	7007.67162275337	0	0	0	0	2344.05085721794	776516.464090946	0	0	2587.11170701525	0	33615.8401187301	0	0	0	0	0	7657.29108821884	41598.3780994835	29789.8175334314	0	0	0	0	2931920.62636044	0	0	0
02-2020-29	0	573751.559267866	69443.5893297336	3420934.24631958	0	573971.976035468	367045.385931241	0	0	0	0	2138863.893996	0	1277496.42467913	0	2457112.14040742	256989.168020793	0	0	5956864.96131426	0	0	0	0	2031251.28126546	126565.098143752	86410.0861008495	1962.49243844219	0	127093.203292524	464.329738856047	2639.40687701546	0	0	329348.524337174	13322.3474712264	8366.88623413378	36683.1682364684	0	1135.64984322624	49667.6179218284	466467.893388466	3675.47757142678	15636.1640976223	7214.45338829829	7780.60000965049	10503.9218997122	221579.270248946	620550.402610352	82490.6955581682	12402.6389282392	0	0	3761.63031815429	0	0	0	149279.213875118	270181.726938507	183439.337385995	0	0	35381.9261008308	2867.65571250132	2561.08619817227	0	0	52773.5922713811	289963.292680616	196.920563948589	0	0	81394.2060543635	0	73273.4705251655	20979.872128409	65302.6631526101	0	0	0	12821.09512663	9443.23613480732	0	0	0	0	0	863.765200956309	0	0	6829.56319512605	2460.38818251674	32437.0685763269	2239.9714149152	5442.168312761	0	188609.621056486	922678.015582156	108953.0152056	62596.1242651576	0	103685.390119976	2490.5975872134	0	14950.2987243241	136308.190591845	0	71519.087319078	0	0	0	4140.92617712345	0	213703.566557843	111527.52780586	0	2711.01435481495	0	0	164513.704776958	7415.84941960935	0	0	0	45242.4995671882	6812.7801925168	17904.1071835529	235683.705641764	0	2491.71645405402	0	125832.240363148	92030.1542412686	62272.7717482193	11462.790782121	64799.1730743325	0	0	156.641357686377	0	183111.509401694	0	34303.338466476	0	23181.8020707432	0	4776.44254259389	8878.20838029575	14026.1147139745	47145.6920630777	171055.719194046	0	33013.2849992446	0	2043.05085096661	9213.86843248084	13976.8845729873	0	129380.167114745	2751.29356107716	46552.6926375507	13557.309507756	3329.74771767614	0	0	0	0	0	0	0	111583.471147891	0	8554.85586335744	0	78.3206788431887	306.569514329053	0	49822.0215458336	0	0
