feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X2043	X2048	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8255	X8235	X8236	X4482	X4494	X5273	X749	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X15877	X15892	X16971	X16988	X16987
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	20437	3742	477	0	100452	0	0	0	2207	0	0	0	0	0	0	0	0	0	968	40422	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	2658	12802
02-2020-13-OR	0	0	0	0	1639	0	0	0	0	0	3463	0	0	2039	0	22	23819	0	0	209	0	0	0	3928	856	0	16934	0	0	13106	0	4815	0	0	0	0	0	0	2452	0	67588	0	0	0	0	71	0	0	0	380	0
02-2020-16-OR	1872	27532	3358	2386	280536	57430	1572286	4014	116154	973	13119	439	11808	0	56768	6311	3431	6479	0	15729	37060	0	194533	207	0	0	0	0	128713	0	32625	22891	0	36622	0	36071	20870	175562	10875	976240	42473	124056	31424	537195	11592	4186	10371	9385	582984	38904	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	44	4379	15674	0	1733	0	6895	10654	0	0	1466	42351	0	536	0	0	134	0	0	0	0	0	0	12934	0	14662	0	0	0	3404	30730	0	467	557	4889	0
02-2020-20-OR	0	0	15095	4867	29611	0	0	114607	0	0	2328	93459	14506	0	35197	96456	35848	34533	4896	0	0	8941	6970	0	31081	8977	0	56108	0	0	0	603249	23055	9156	22784	0	325	804	52999	0	750022	699	22496	0	4196	356514	33315	13638	0	37275	17037
02-2020-22-OR	1488	0	0	0	28880	0	0	0	0	0	0	0	0	251	0	0	0	0	376	2801	14758	0	0	0	0	0	0	0	0	0	1484	0	0	4101	0	0	0	2064	0	8522	8993	0	0	0	0	3919	0	0	157599	3590	1561
02-2020-26-OR	43	485	0	0	5234	24886	920	0	1049	70	0	10484	1289	55034	1486	0	78	0	22435	0	51535	0	0	0	0	0	0	0	0	0	0	1354	0	0	0	0	0	0	0	0	25019	0	0	0	0	0	0	0	0	0	0
02-2020-28-OR	0	1448	0	0	37527	9980	0	0	0	339	0	0	0	0	0	618	651	3519	398	0	0	0	0	831	0	0	0	0	0	0	0	13868	5676	0	74	0	0	0	0	10566	40259	420	0	0	0	0	0	0	7769	0	0
02-2020-29-OR	0	2755	361	17612	56758	25939	9084	2989	290	0	0	0	0	6727	13399	13678	2205	28748	0	102	0	0	995	6261	1222	0	0	0	0	0	52	10144	61709	0	0	0	0	10327	661	10162	3780	2360	1280	2956	1891	0	2030	0	0	3017	23216
02-2020-34-OR	388	0	0	42	0	0	0	1500	0	36	0	0	0	0	0	0	1675	10733	0	5871	0	34243	0	0	19533	0	4278	248	0	0	0	0	0	0	0	0	0	239	0	0	5402	0	0	0	0	4767	0	0	34271	6478	4646
