feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X2043	X2048	X2492	X2502	X2497	X9712	X13165	X9434	X9467	X9450	X9463	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8255	X8235	X8236	X4482	X4494	X5273	X749	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X15877	X15892	X16971	X16988	X16987
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	4875.94387553214	892.781816423217	113.804630260255	0	23966.2530794615	0	0	0	526.555176067889	0	0	0	0	0	0	0	0	0	230.949438347855	9644.04772406715	0	0	0	0	0	0	0	38.4120450144676	0	0	0	0	0	0	0	0	634.156618934503	3054.35403897649
02-2020-13-OR	0	0	0	0	1956.59013142587	0	0	0	0	0	4134.02783717375	0	0	2434.09840023023	0	26.2629547842398	28434.4236366276	0	0	249.498070450278	0	0	0	4689.13119965882	1021.86769524133	0	20215.3125598326	0	0	15645.5584273749	0	5748.00578573248	0	0	0	0	0	0	2927.12568777073	0	80684.5721798727	0	0	0	0	84.7577177127739	0	0	0	453.632855364142	0
02-2020-16-OR	595.494501499986	8758.09541415471	1068.20007266931	759.001004582781	89240.1952311966	18268.8297121497	500153.668688786	1276.87763302401	36949.2886363405	309.517174123657	4173.23310105679	139.648550298341	3756.19608638453	0	18058.2435155722	2007.56720030257	1091.42181337951	2061.00901453975	0	5003.48985795581	11789.0097358918	0	61882.121720244	65.8479496850946	0	0	0	0	40944.3823566067	0	10378.2094612377	7281.76529585266	0	11649.6792916306	0	11474.4028651741	6638.87299482089	55847.3320899255	3459.40315374591	310547.837683946	13510.9177148552	39462.9625417106	9996.16411064934	170884.972613934	3687.4851823653	1331.59187140969	3299.07771103438	2985.42515842808	185450.729947899	12375.5972683523	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	324.792818702815	0	242.218373269896	24106.2331033835	86284.7905143715	0	9540.10092901657	0	37956.7200839984	58649.8761094879	0	0	8070.27580031061	233140.689235303	0	2950.66018346964	0	0	737.66504586741	0	0	0	0	0	0	71201.1918152916	0	80713.7679291639	0	0	0	18738.8941502437	169167.513876907	0	2570.81773447821	3066.26440707572	26913.7642481027	0
02-2020-20-OR	0	0	4801.72196591381	1548.19349507138	9419.26393724239	0	0	36456.5054221586	0	0	740.537180301249	29729.3231674289	4614.36096969498	0	11196.1714497693	30682.6693570177	11403.2546561165	10984.9529412985	1557.41839980881	0	0	2844.13356059857	2217.15813861671	0	9886.87117738106	2855.58516647951	0	17847.9639657828	0	0	0	191893.605446541	7333.79926625657	2912.52509572089	7247.5941219861	0	103.382553091884	255.752531341153	16858.9905578977	0	238582.120723326	222.35201418839	7155.98127493853	0	1334.74828545706	113407.16164	10597.5069423265	4338.25002789881	0	11857.1835892307	5419.47248315824
02-2020-22-OR	2125.84588685561	0	0	0	41259.6970513374	0	0	0	0	0	0	0	0	358.593627419865	0	0	0	0	537.176111194698	4001.67629642646	21084.1623643919	0	0	0	0	0	0	0	0	0	2120.13124737482	0	0	5858.93412768472	0	0	0	2948.75397209004	0	12175.039413833	12847.9382126966	0	0	0	0	5598.91803130856	0	0	225155.366883439	5128.8889340132	2230.13805738011
02-2020-26-OR	428.44084836834	4832.41421996849	0	0	52150.2186130208	247957.650058012	9166.64140695054	0	10451.9639520556	697.461846181019	0	104459.857076597	12843.2617103905	548344.503467517	14806.1186203571	0	777.17177145885	0	223536.521701017	0	513481.374899126	0	0	0	0	0	0	0	0	0	0	13490.9048532729	0	0	0	0	0	0	0	0	249282.827565756	0	0	0	0	0	0	0	0	0	0
02-2020-28-OR	0	21712.494846422	0	0	562710.493164143	149648.272491224	0	0	0	5083.24292329908	0	0	0	0	0	9266.79683362487	9761.62579076018	52766.7606108834	5967.93711938948	0	0	0	0	12460.69282968	0	0	0	0	0	0	0	207948.120531893	85110.5806272731	0	1109.61644933372	0	0	0	0	158435.235184596	603676.332888194	6297.82309081302	0	0	0	0	0	0	116494.732363158	0	0
02-2020-29-OR	0	20381.985845157	2670.74297281368	130296.745809403	419905.899310135	191901.39050364	67205.0669391674	22113.1599604988	2145.47219422705	0	0	0	0	49767.5567260875	99128.2135532699	101192.305767716	16312.9868561057	212682.878067722	0	754.614357969515	0	0	7361.18908019282	46320.0048553641	9040.57593567399	0	0	0	0	0	384.705358964851	75047.1377180663	456534.288391576	0	0	0	0	76401.0046544233	4890.19696684166	75180.304957708	27965.1203247526	17459.7047530201	9469.6703745194	21869.0200211557	13989.9583423564	0	15018.3053595894	0	0	22320.3089999414	171756.146417846
02-2020-34-OR	2018.19075584057	0	0	218.463947797175	0	0	0	7802.28384989911	0	187.254812397579	0	0	0	0	0	0	8712.55029905401	55827.9417073114	0	30538.1389885051	0	178115.737248063	0	0	101601.340293386	0	22252.1135399123	1289.97759651665	0	0	0	0	0	0	0	0	0	1243.16389341726	0	0	28098.62490477	0	0	0	0	24795.6580749794	0	0	178261.379879928	33695.463186431	24166.2738444208
