feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X3323	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2036	X2043	X2048	X1343	X1341	X2532	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19317	X19300	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X5286	X5285	X5273	X7282	X3934	X3922	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5878	X5898	X19882	X19831	X19850	X19800	X14348	X14386	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15887	X15878	X15873	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X15494	X16971	X16988	X16987
02-2020-08-SL	1494	11499	3791	9712	4854	193308	0	15240	1315	4045	26551	5110	0	21593	1376	1482	1714	1955	0	0	830	0	13465	0	0	2196	100302	17504	65404	63645	2966	8679	16072	3045	2795	302471	2899	558	15804	105884	15514	22	1182	0	542	0	314	0	0	0	3265	0	1088	1252	354	0	0	0	12243	39929	1615	164865	0	0	0	608	6955	24962	1440	2983	0	0	0	0	59	2194	0	1942	6777	180519	74102	44826	0	0	0	789	0	0	2729	2277	343	0	538	11747	0	0	130	1011	1970	0	1794	0	41212	0	5343	0	0	5635	204	0	0	0	2473	70	0	883	2675	0	0	105365	8437	149559
02-2020-13-SL	0	3931	16359	0	4744	35468	0	42101	0	641	77055	144	0	342361	2532	3960	0	0	111150	6195	1449	51667	11611	0	0	2634	90438	157	3114	1332	4195	5478	213727	0	0	17469	678	668	2599	12643	0	3699	1375	0	0	12961	1644	0	15329	0	64412	2543	0	39777	0	0	2680	106743	0	3143	10840	0	1171	6986	9029	0	0	4809	8529	0	8367	3132	207	8760	0	0	7209	11315	637	288317	1736	150726	0	3495	0	52	0	588	0	0	0	0	0	0	0	821	51	1271	275	0	365	2857	0	0	4449	0	0	0	0	5527	31346	0	0	0	721	0	0	0	0	39277	5231	0
02-2020-16-SL	31803	8253	95102	44444	28097	150565	149376	978398	36102	98516	202210	5896	0	39183	0	54403	1319	2322	0	751	0	7010	59545	430	0	0	0	313939	46621	0	0	0	3465	0	1472	21926	395	0	140002	99117	0	0	28199	0	3037	0	0	846	587	132003	1340	0	0	1816	0	0	24394	0	3001	18871	43200	0	5192	7371	0	48924	0	0	0	15538	41693	0	270	31283	0	58571	9767	5449	186680	36397	286525	237360	0	93397	1631	81062	17275	21865	4761	572	808	3483	0	0	0	19408	7150	1786	4956	0	39930	60793	24086	77611	4529	9188	55184	39027	0	0	110308	0	32145	3655	22440	17770	74	11831	15927	176308	55014	0
02-2020-18-SL	0	5416	59552	29845	871	402121	0	7183	3303	0	33729	0	3222	39912	213	0	0	23951	13286	0	5754	5253	0	1933	4890	1758	70597	14828	9227	0	38137	22171	469680	549	1309	108508	6970	2164	287290	27088	381088	0	61573	805	644	801	1139	0	0	436077	695414	0	27421	543616	22086	8988	804116	13885	120848	143234	36128	281238	1523	35970	13169	6874	0	8921	80582	0	35910	4264	0	45445	0	100887	41867	58712	401794	436338	316497	24799	0	132628	3522	0	919	0	63	480	65	32021	1248	13878	1636	48451	0	87	0	0	3615	972037	14477	1106	10394	0	0	3229	537459	869495	0	0	3181	111072	41231	162	1709	0	0	4658746	35649	29304
02-2020-20-SL	655	681	355	10723	16602	73451	0	0	19245	0	11673	2251	716	15369	0	5185	0	16	27477	2516	11251	139192	24687	1823	947	875	0	79294	3185	0	0	2620	54786	16797	0	157069	1943	1615	0	2086	72318	0	0	1069	0	0	868	0	209	29259	0	51650	53568	0	7820	0	151	5484	447	1388	29184	111413	13	0	1451	0	0	7614	744	381	143	238	0	90	194	1240	0	5435	1925	72803	0	135240	0	2424	0	1083	0	7181	837	0	1092	7	0	0	0	4226	520	5499	0	0	18237	5235	978	0	5709	0	0	253	0	0	1639	0	0	29	0	0	0	0	94	25040	17	6272
02-2020-22-SL	0	61151	3952	1457	14499	101027	0	0	18336	0	0	11594	0	0	0	273	3078	954	0	0	0	0	0	0	0	0	9250	0	6529	7780	999	5714	0	1233	0	0	4527	150	66383	22505	2655	56180	269	0	449	0	0	0	0	0	0	0	0	1179	218	5615	0	0	19186	102	151	0	0	0	0	8046	1309	0	0	0	0	0	0	0	528	0	0	0	265	0	17916	33744	0	0	0	143	339	0	1804	0	0	0	1593	23172	2320	0	0	0	0	0	2420	0	1367	253	9855	0	628	3915	0	0	0	0	725	0	0	0	0	0	6104	68375	12203	8592
02-2020-26-SL	0	29989	37316	2361	15095	124258	359303	34803	40670	0	26738	20009	1633	9767	0	174	9516	15648	0	7634	0	217657	58066	0	742	3522	613167	21106	0	0	0	553899	14639	0	0	0	315455	0	0	427818	0	0	16089	0	1147	0	12749	0	0	0	0	0	0	0	1363	428	4142	0	0	4064	23303	0	0	0	0	9951	25402	2329	0	3983	0	0	0	15139	271	0	0	0	661	465	13272	397667	9508	5335	3536	0	0	38	0	0	0	0	598	2328	1503	0	307	0	0	4667	1534	0	0	0	1723	0	0	3696	0	0	0	0	0	0	487	0	925	464	10860	0	966	0
02-2020-28-SL	0	0	253865	3262	0	1800996	2232530	0	0	0	40884	18124	0	0	0	0	0	963	0	0	0	0	13463	122	3988	381	34686	13299	24561	4831	1976	38149	15029	2165	0	99984	28945	0	0	0	0	0	15341	0	322	0	0	0	0	4040	59229	0	0	0	0	0	0	0	0	44379	57182	44011	0	2083	0	77358	0	28392	15288	0	0	0	0	0	0	316	0	687	14775	0	1368518	319266	450	341783	0	0	3095	0	0	0	0	104	241	845	0	33275	0	0	0	0	5290	775	7349	0	0	0	0	0	0	1024	0	0	0	35566	77400	0	657	0	6279	710600	457	5078
02-2020-29-SL	0	0	43383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23969	0	7978	0	0	0	0	0	0	0	0	0	0	0	496826	0	0	0	25954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89337	15187	494998	461788	0	64192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-34-SL	0	4640	12576	502	5756	48648	0	5824	15756	4853	26392	8764	0	1199	0	0	612	4621	0	1123	0	2683	0	0	0	66	0	2557	0	0	0	0	9699	0	0	28322	0	0	7410	3147	53911	258	402	0	0	2062	1821	698	0	6692	0	9426	446	17139	0	0	2275	2736	0	755	0	720	68	2443	966	258	0	123	0	0	100	0	0	923	0	1111	0	525	22277	6560	12825	15428	1154	1578	0	581	129	0	0	0	245	154	0	9886	1050	703	349	66	1330	0	0	0	146	0	4279	0	233	0	0	0	0	0	0	0	0	0	2742	571	0	56543	9712	15949
