feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X3323	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2036	X2043	X2048	X1343	X1341	X2532	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19317	X19300	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X5286	X5285	X5273	X7282	X3934	X3922	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5878	X5898	X19882	X19831	X19850	X19800	X14348	X14386	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15887	X15878	X15873	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X15494	X16971	X16988	X16987
02-2020-08-SL	3778.01968566718	29078.6133637797	9586.6617325062	24559.656751807	12274.7707859628	488836.298123795	0	38538.8353477696	3325.36538597881	10228.975654969	67142.035257128	12922.1422983663	0	54604.2697942512	3479.6218791687	3747.67414602326	4334.35457913891	4943.7941669875	0	0	2098.89982537065	0	34050.2242754408	0	0	5553.23375483609	253643.193113647	44264.0271605878	165393.306239207	160945.155886404	7500.40588198718	21947.4115474601	40642.7927630809	7700.18068464294	7067.98194206141	764887.143469502	7330.97661897533	1411.06759344196	39965.0757110335	267758.926638008	39231.7251696389	55.6334893471739	2989.03565492544	0	1370.60687391674	0	794.041620682392	0	0	0	8256.51557811468	0	2751.32892771478	3166.05130284826	895.193419495435	0	0	0	30960.0368217023	100972.25437015	4084.00387707663	416909.78278281	0	0	0	1537.50734195826	17587.7690186179	63123.7800492798	3641.46475726957	7543.39539648272	0	0	0	0	149.198903249239	5548.17616489544	0	4910.91983237326	17137.6435138999	456495.539248295	187388.764891104	113355.763339837	0	0	0	1995.21923158728	0	0	6901.08147401989	5758.0661474325	867.376674821848	0	1360.49169403544	29705.7545164206	0	0	328.743346142391	2556.61171499967	4981.72609154239	0	4536.658176765	0	104216.698317079	0	13511.3515264523	0	0	14249.7596577875	515.874173946522	0	0	0	6253.70996161642	177.015647922826	0	2232.92595879794	6764.52654562228	0	0	266446.482048408	21335.4431646412	378204.046966999
02-2020-13-SL	0	7301.6207448283	30385.9612731229	0	8811.72445013113	65879.8994092013	0	78200.3396026498	0	1190.62297060161	143125.511700011	267.472243005667	0	635917.115192104	4703.05360618297	7355.48668265583	0	0	206455.137569999	11506.8787876396	2691.43944524452	95968.6693012068	21566.8070384639	0	0	4892.51311164532	167983.713284351	291.619042721456	5784.08725499754	2474.11824780242	7791.98652367202	10175.0899110072	396986.389450501	0	0	32447.7264796249	1259.34847748501	1240.77401616518	4827.50249702589	23483.6914466711	0	6870.69324220806	2553.98843147772	0	0	24074.359316642	3053.64144098136	0	28472.7917571796	0	119641.82025334	4723.48551363479	0	73883.6347919195	0	0	4977.95563371657	198269.372466346	0	5837.95319282507	20134.7160707043	0	2175.06942055302	12976.1186780388	16770.8811256817	0	0	8932.45844871007	15842.1580596898	0	15541.2517863084	5817.52128537325	384.491349320646	16271.2281161781	0	0	13390.3291654712	21017.0029833966	1183.19318607368	535533.296435172	3224.52648512387	279965.42568939	0	6491.77423128337	0	96.5871988631574	0	1092.17832560647	0	0	0	0	0	0	0	1524.9632743587	94.7297527311736	2360.8140337514	510.797686295544	0	677.967838174085	5306.72359907771	0	0	8263.77784119591	0	0	0	0	10266.1047714744	58223.5064531641	0	0	0	1339.21866116032	0	0	0	0	72954.9117259276	9716.30071640724	0
02-2020-16-SL	17789.4432814445	4616.42849422261	53196.6051929673	24860.3596264667	15716.4414639734	84220.5932670093	83555.509845268	547280.310903964	20194.1477642584	55106.2728143505	113108.930790834	3298.00828812996	0	21917.5472784593	0	30431.0625676957	737.800700821474	1298.84247710952	0	420.082127609497	0	3921.1394334788	33307.3106371605	240.526384649912	0	0	0	175606.07597816	26078.0943692176	0	0	0	1938.1951693301	0	823.383344662024	12264.6081624046	220.94865566678	0	78312.0346599	55442.4503891752	0	0	15773.4965598671	0	1698.78751205066	0	0	473.221677706571	328.346483231392	73837.6845417264	749.547338211354	0	0	1015.80445238195	0	0	13645.117737558	0	1678.65041938229	10555.7521040197	24164.5112020377	0	2904.21625372638	4123.06972384768	0	27366.3089363077	0	0	0	8691.39294114031	23321.5501283925	0	151.028195012735	17498.5741651237	0	32762.4904077442	5463.3051136644	3047.97272083109	104422.012759176	20359.160051402	160271.6799112	132770.564326751	0	52242.8901096461	912.322170613969	45343.139052305	9663.00766238891	12230.4869776054	2663.13050539123	319.956027952906	451.965857667742	1948.26371566429	0	0	0	10856.1304029895	3999.45034941133	999.023541824983	2772.20642401154	0	22335.3919513279	34005.3965163305	13472.8337225065	43412.7749745682	2533.35813041733	5139.43353991486	30867.9256058622	21830.2865435631	0	0	61702.2893906105	0	17980.745661794	2044.47426952425	12552.121096614	9939.89268657892	41.3929127071942	6617.83175998397	8908.9854146957	98620.2926159458	30772.8337793727	0
02-2020-18-SL	0	3369.43799865978	37048.8869453817	18567.370212334	541.872322162605	250170.195247243	0	4468.73580952238	2054.88436291973	0	20983.7101655827	0	2004.49210333859	24830.3193136095	132.512978898547	0	0	14900.5556694794	8265.57482462958	0	3579.71681024527	3268.03135283601	0	1202.57083667086	3042.19937471313	1093.69867090914	43920.2759215998	9224.89413665569	5740.36270561924	0	23726.044489455	13793.1702120174	292200.45037122	341.547537161045	814.363799897646	67505.7197855568	4336.22283062383	1346.28209547632	178730.76858105	16852.1670065909	237085.005176008	0	38306.2049282642	500.8119625039	400.64957000312	498.323455857918	708.602267443406	0	0	271295.128164985	432635.590177251	0	17059.3351848689	338198.007215553	13740.2894457902	5591.67443352181	500262.002535138	8638.22869486541	75182.7627884116	89109.6902326505	22476.1920265104	174965.658025679	947.498905457689	22377.8960139941	8192.78600523461	4276.49867112026	0	5549.99194720161	50132.2106366326	0	22340.5684143044	2652.74808461693	0	28272.5461316643	0	62764.4924982993	26046.5769368333	36526.3005497254	249966.759828934	271457.503223636	196901.22198335	15428.1190784276	0	82511.4148608289	2191.13010178725	0	571.73440191439	0	39.1939796742183	298.620797517853	40.4382329972093	19921.1178277483	776.414073546419	8633.87380823494	1017.79921820668	30142.6588761198	0	54.1250195501109	0	0	2248.98788130633	604730.133660129	9006.52767847076	688.072087614054	6466.38451958452	0	0	2008.84698996906	334367.573360725	540936.021537054	0	0	1978.98491021727	69100.8525456313	25650.9043801221	100.784519162276	1063.21446449586	0	0	2898330.09573565	22178.1933556541	18230.799688465
02-2020-20-SL	1821.32048882422	1893.61717998366	987.127898523053	29816.8238193315	46164.2179472668	204240.933167371	0	0	53513.4546678202	0	32458.4336886186	6259.22506922646	1990.93964885213	42735.686401129	0	14417.6286023719	0	44.4902714827291	76403.6993456843	6996.09519065916	31285.0027782616	387043.116764002	68645.7082558834	5069.11030706345	2633.26794338403	2433.06172171175	0	220488.22418447	8856.34466703077	0	0	7285.2819552969	152340.2508408	46706.4431309626	0	436752.653220049	5402.78734318392	4490.73677778797	0	5800.41914456081	201090.465818	0	0	2972.50626343984	0	0	2413.59722793806	0	581.15417124315	81358.8033320733	0	143620.157630185	148953.428924177	0	21744.6201871839	0	419.876937118256	15249.0405507054	1242.94695954875	3859.53105112675	81150.255184498	309799.663544081	36.1483455797174	0	4034.71149509	0	0	21171.8079418437	2068.79762394691	1059.42458968249	397.631801376892	661.792788305596	0	250.257777090351	539.444541728091	3447.99603991151	0	15112.7890942896	5352.73578776585	202439.077172321	0	376054.019707768	0	6740.27612963346	0	3011.43525098723	0	19967.7899698424	2327.39732694027	0	3036.46102869626	19.464493773694	0	0	0	11750.9929553758	1445.9338231887	15290.7501802205	0	0	50710.5675644082	14556.6607007554	2719.46784438182	0	15874.6849934313	0	0	703.502417820655	0	0	4557.47218501207	0	0	80.6386170624466	0	0	0	0	261.380344961034	69627.2748704711	47.2709134503997	17440.1864212298
02-2020-22-SL	0	114206.437421449	7380.80882879373	2721.11297154668	27078.529151994	188679.39614032	0	0	34244.5624202333	0	0	21653.111731031	0	0	0	509.85850462062	5748.51456857973	1781.70334581711	0	0	0	0	0	0	0	0	17275.4255228598	0	12193.648998784	14530.0335749026	1865.74595646886	10671.5439392023	0	2302.76753185796	0	0	8454.6866315661	280.142035505835	123977.791619892	42030.6433937254	4958.51402845328	104922.530364785	502.388050340464	0	838.558492947466	0	0	0	0	0	0	0	0	2201.91639907586	407.13975826848	10486.6501957684	0	0	35832.0339547663	190.496584143968	282.009649075874	0	0	0	0	15026.818784533	2444.70616318092	0	0	0	0	0	0	0	986.099964980539	0	0	0	494.917596060308	0	33460.1647208169	63020.7523073926	0	0	0	267.068740515563	633.121000243187	0	3369.17488035018	0	0	0	2975.10841707197	43276.3416449414	4332.86348249025	0	0	0	0	0	4519.62483949414	0	2553.02775024318	472.506233219842	18405.3317327334	0	1172.86132198443	7311.70712670229	0	0	0	0	1354.0198382782	0	0	0	0	0	11399.9132315174	127698.07785141	22790.4883951847	16046.5357937742
02-2020-26-SL	0	24449.8667485278	30423.5295471027	1924.91031355744	12306.8704714738	101306.863931394	292937.759590059	28374.6944696059	33158.0272987637	0	21799.3443303256	16313.227642512	1331.37591784807	7962.98137760082	0	141.861242930536	7758.34245820102	12757.728329753	0	6223.95820995235	0	177454.554899607	47340.8904138189	0	604.948518703779	2871.46722759395	499911.682436711	17207.6057085741	0	0	0	451590.808034372	11935.0961796558	0	0	0	257188.726371564	0	0	348797.662230206	0	0	13117.2732040769	0	935.142791042095	0	10394.1895754103	0	0	0	0	0	0	0	1111.24640295586	348.946045829134	3376.94981734643	0	0	3313.35684637757	18998.807724197	0	0	0	0	8112.99556552736	20710.110878859	1898.82088957022	0	3247.31799190991	0	0	0	12342.7434294562	220.944809391811	0	0	0	538.909664236115	379.111942314363	10820.5885987016	324215.717772743	7751.82010220421	4349.59615537016	2882.88135058836	0	0	30.9811909848296	0	0	0	0	487.546110761266	1898.00559507062	1225.38763289997	0	250.295411377439	0	0	3804.97942963684	1250.6617623876	0	0	0	1404.75242281214	0	0	3013.32847052448	0	0	0	0	0	0	397.04842130558	0	754.147412130721	378.296647814762	8854.09826566447	0	787.574486614353	0
02-2020-28-SL	0	0	176622.6213495	2269.48571422634	0	1253014.92746131	1553247.98944872	0	0	0	28444.4064808184	12609.490829135	0	0	0	0	0	669.992257142847	0	0	0	0	9366.67264580908	84.8796005933825	2774.58891120008	265.074818246547	24132.2444769022	9252.57219910978	17087.9333620825	3361.09303661173	1374.77123584036	26541.5728117783	10456.1927649012	1506.26504331699	0	69562.3113584324	20138.0331079955	0	0	0	0	0	10673.2619074023	0	224.026486812042	0	0	0	0	2810.76710161693	41207.654619225	0	0	0	0	0	0	0	0	30875.9983174895	39783.486238777	30619.9680468472	0	1449.21481996734	0	53820.6241205154	0	19753.2919676009	10636.3879825544	0	0	0	0	0	0	219.852080225482	0	477.969554161096	10279.4762194035	0	952125.092170939	222124.348877433	313.080493991984	237790.201062361	0	0	2153.29806423376	0	0	0	0	72.3563808337031	167.671997893485	587.895594273838	0	23150.5631946295	0	0	0	0	3680.43514048355	539.194184097307	5112.95233410465	0	0	0	0	0	0	712.432057439538	0	0	0	24744.4907762643	53849.8449666213	0	457.097521228297	0	4368.51649283482	494388.886734898	317.950635009638	3532.93944109177
02-2020-29-SL	0	0	20487.3001863801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11319.1825868968	0	3767.55136544131	0	0	0	0	0	0	0	0	0	0	0	234622.395924636	0	0	0	12256.5841236731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42188.7360659852	7171.94818086703	233759.136474144	218075.960133418	0	30314.1961958396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-34-SL	0	40521.4257537945	109827.036698216	4383.9990793976	50267.5272928537	424846.189670387	0	50861.3757737283	137598.186244997	42381.5687894752	230483.075106497	76536.5895056585	0	10470.946008362	0	0	5344.63632787118	40355.4975017855	0	9807.2330003257	0	23430.8157968601	0	0	0	576.382349084146	0	22330.4494940631	0	0	0	0	84702.0061176839	0	0	247337.89228426	0	0	64712.0182835383	27482.9583722395	470808.3154769	2253.1310009653	3510.69248987616	0	0	18007.581875932	15902.9129951853	6095.67999485961	0	58441.6769707744	0	82317.8791282904	3894.94738926559	149676.016378079	0	0	19867.7249116126	23893.6682893064	0	6593.46475088683	0	6287.80744455432	593.848480874575	21334.8799820086	8436.14165477705	2253.1310009653	0	1074.16710511136	0	0	873.306589521434	0	0	8060.61982128283	0	9702.43620958313	0	4584.85959498753	194546.50894769	57288.9122726061	112001.570106124	134733.740631367	10077.9580430773	13780.7779826482	0	5073.91128511953	1126.56550048265	0	0	0	2139.60114432751	1344.89214786301	0	86335.089440089	9169.71918997506	6139.34532433568	3047.8399974298	576.382349084146	11614.9776406351	0	0	0	1275.02762070129	0	37368.7889656222	0	2034.80435358494	0	0	0	0	0	0	0	0	0	23946.0666846777	4986.58062616739	0	493793.744913104	84815.5359743217	139283.667962773
