feature	X1965	X1877	X1867	X1871	X1861	X1857	X1855	X1844	X1836	X1830	X1815	X1814	X1812	X1949	X1941	X1934	X1790	X2295	X2301	X2303	X2318	X2325	X2328	X9226	X10068	X10115	X9712	X9262	X15452	X7144	X7038	X7967	X7985	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6768	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14844	X14851	X14890	X14941	X15316	X15346	X15300	X15286	X15271	X7263	X25416	X14963	X63327	X14837	X15350	X4198	X4181	X4262	X29305	X7253	X29347	X15091	X15254	X15078	X15124	X15132	X79840	X15131	X15127	X15126	X15149	X15158	X15154	X15120	X15234	X15265	X14974	X14987	X14995	X14993	X14027	X3813	X5090	X4799	X4791	X4862	X4815	X4811	X4837	X4826	X4828	X4816	X4820	X4805	X4677	X48013	X4868	X25431	X4874	X4774	X4775	X4871	X4630	X4626	X4552	X4628	X4581	X4575	X4577	X4571	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X25493	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X29433	X4705	X4699	X4716	X4721	X59817	X29380	X4652	X4644	X4670	X4532	X4540	X4529	X5075	X5082	X5087	X4936	X4940	X4951	X4925	X4933	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X5190	X3922	X3958	X6140	X6148	X6179	X5792	X6939	X49188	X714	X14546	X14809	X14808	X14807	X63101	X14797	X15878	X17154	X17248	X17234	X17300	X16971
02-2020-08	0	310351.863363756	18782.494680759	514108.81242881	99810.7423312603	0	0	0	768920.331183832	304305.068778445	0	253415.527597193	12270.6197527	271312.119237976	313395.889220001	214909.125606403	191587.596806339	1518081.49896713	1275144.53154389	489070.237008503	1974260.80405874	0	347820.086008799	1180392.66313439	579787.908509452	57035.3528717931	6554.6323144084	3536.86099364106	18630.2183749882	0	0	0	105573.987933412	416701.485288138	4484.27465959412	33061.9614622969	6610.14190370414	96049.592591681	6400.85574946748	5725.73912289761	23147.4987363257	219.03783884267	0	0	0	54152.6048763397	0	1319975.27606647	746561.218641423	968842.617809969	13467.8265704839	0	0	20778.5895066506	0	9945.9681685444	1528134.73566635	0	4500.77751046583	238637.224641579	21327.6843629274	0	7494.54468451068	33981.6203336021	4101.70857120452	0	2410.16635685445	1776.30685746385	146983.391418453	229517.89927579	0	0	627.108333124905	3254909.78649793	0	0	5941.77644339997	0	0	1344.9823460442	0	1374.98752944731	47657.2327991525	7087.22431981352	13654.6088371682	0	998665.519723901	0	18.0031100418633	63.7610147315992	0	0	21320.9331966617	4586.29228316468	0	33242.7426923006	0	0	33193.2341396855	129524.125325771	287628.187842999	289233.465155065	0	0	306772.995113351	5379.17925459174	0	0	180482.67842885	11353.9613997351	956029.654367258	0	0	0	0	0	34345.4331823647	0	0	60548.9598482967	354866.803331018	70773.97622249	12518.1625157756	6184.81842896512	0	0	775514.72036625	0	0	10275.2750563935	3023.02222786288	22185.8326082562	82.5142543585401	7403.02887513121	2083.1098577606	33385.2673134653	0	0	0	278868.174548463	0	6589.88840490705	6290.58670046107	0	18045.8674282127	0	0	7254.50321728583	7214.74634927672	0	293212.902603902	3743.14662953741	0	49834.8589846329	161827.705777554	18075.8726116158	11089.9157857878	207.035765481428	17886.8399561763	0	1468299.89918304	759135.64087608	0	0	3376.33326243445	23836.8678250121	32238.3191778816	107053.243475185	0	1894.07720232103	0	0	11764.2822827726	14518.0079895926	300923.484608915	12003.5736204124	26793.1285198031	14976.337166075	76835.0232699174	517.58941370357	0	17078.9503930477	536.342653330511	22945.7138779399	2156.62255709821	119.270604027344	289808.81454682	78622.5820711574	0	20654.0679955277
02-2020-13	476230.143068339	233549.802627075	514637.842955879	1429003.8752737	449065.087794588	0	0	0	2873324.38201763	12361079.4655123	5726899.22559885	0	0	262276.403989112	35167.6744625478	1724555.09676655	137361.649327173	0	676093.425712863	2406727.4273244	497997.592076445	0	0	0	41832.0575860845	736.517057761403	0	249847.37412572	0	0	0	0	4134.07755354278	3481.20024986013	23911.2252291535	0	0	4495.43377262087	5139.37867538249	0	56714.2495569701	30535.006530322	193.264674473224	0	3142.5810513083	20768.6441778452	0	42082.1648118734	556171.88316578	561589.790342609	23951.8270515219	9446.41999221433	101555.714216995	8335.55413221698	12418.4733895757	6522.27674524762	623343.538091936	0	134928.788130863	613366.046263144	72204.6568269332	206.257257631087	5562.44966446043	50212.2737229067	2394.69548328377	3426.79380788657	15699.1006369363	169972.221016963	533884.730831359	0	375.160838683317	1188.00932249717	1755.62279920634	596222.332786342	0	756648.253328065	64620.2364085302	90262.7233434691	0	14299.9618381238	2872.17291433526	87737.2899921593	103236.629663043	131553.15261916	204667.290267144	0	0	1491.71095381223	0	0	7170.28183024607	16638.6268065393	0	4674.89382748886	0	92935.9473281996	13861.4621565459	776098.962351835	21271.2947387651	94162.9344001703	443632.563961706	152021.34331148	0	0	266039.380886208	0	104949.214530539	0	0	5363.50073485564	0	5391.1099740661	6020.43822077513	0	400.333968551678	0	42943.7354825292	0	69399.070901282	371.100656446484	13204.5246706264	0	13729.1002156252	427.943207762138	0	0	391692.276678803	1288.70184197061	10086.3047127391	0	56640.3542402598	93865.7290604342	27146.3784354616	784.427208156025	3329.34943420259	604834.791347111	56491.7515703917	14817.2290550963	2323.23627591552	38930.6513596441	5102.837035251	19393.8664724538	0	4381.74866998956	115416.364337093	0	0	0	0	14232.5628129924	53460.4195123726	13637.3400970728	0	0	4291.61262433188	0	80201.5917605984	0	0	0	12346.2021457601	116734.299491169	3524.23818157055	104544.008343304	21594.485244817	4837.30111696216	11433.4731789201	128495.835394825	4400.42550827899	594.410679472268	0	0	0	0	130499.941346926	0	0	0	6311.9593053797	45214.1893893659	0	0	23398.8302308653	46379.4616913368	0	0	0	0	0	0
02-2020-16	0	0	0	2346129.81183457	621290.736202469	533940.744692537	0	0	4139647.57261627	210356.488850371	0	2003857.00927532	0	125892.533060401	0	258684.656892182	40218.304226576	0	0	0	411516.971410251	0	0	0	0	0	0	0	0	0	0	0	0	23115.8703305012	8696.03594473806	0	0	689.614270003018	0	0	16836.9324021237	8082.27924443537	0	0	0	34335.8945034503	0	60551.580977615	299516.717819061	660836.666515792	14888.7720893652	0	0	25788.1256267629	6596.16049257887	0	685400.7268133	0	305819.792246888	761796.195644234	57920.7025375535	0	0	3958.38590981732	0	0	0	0	24936.4520033091	0	0	120.682497250528	0	200512.245146077	53686.470919735	43245.7108718893	7423.69761658249	4537.66189661986	0	0	0	0	0	6672.0180622792	17998.9324470788	81222.7687209555	32529.1051160424	3520.48084836541	0	5110.04174072236	272.397636651192	0	0	4023.89926546761	0	1768.86060255774	0	26984.6063852181	14309.4961025626	222986.774205476	219442.15685766	592809.666851344	0	0	202808.660665188	1444.74189565632	104066.241414805	15368.0540070173	260077.677717588	7847.81039263434	659095.390484034	0	0	274049.262827849	2434.33837311065	0	43066.4111616885	0	0	39839.0163780743	254760.751695865	197440.013573214	49407.4143743662	386.18399120169	3706.67670126622	0	570600.639285897	0	0	2172.28495050951	33911.7817273984	0	3506.68856296535	1075.79826120471	15061.1756568659	57158.6787692001	59062.0141544085	78864.2879175451	0	76943.7121755867	0	298896.064976058	40549.3190761775	0	159162.973516697	0	0	55655.3196605936	0	57865.5333959532	597781.785738066	0	0	0	0	0	26060.523263414	0	0	1261083.82326912	0	304592.278846283	191630.013348439	0	15540.457574518	20350.5171077891	12323.4070049539	46638.6130803041	17326.5585338258	0	42473.3428894859	0	0	0	80777.9675168035	0	0	0	34632.4286395516	12709.5909961556	0	10295.9410511451	0	20384.9978212892	0	0	51321.0939736246	0	0	0
02-2020-18	0	34454.3694820266	176734.000487517	0	105054.603974055	0	119083.710252677	3075914.89648182	1336311.78064066	513311.297014736	0	1137576.21287349	0	1074075.40943257	98318.9354020808	0	42360.1406952173	478481.039637604	154120.099701319	0	853617.158953084	0	0	84083.6970519491	5329.12031932102	0	0	0	0	1339.85846481222	0	0	0	0	43020.975865645	0	0	0	0	0	64331.3944349435	0	0	0	162201.689446092	472679.028095408	0	200166.366851767	15820800.1814753	0	0	0	3977.13643853764	0	0	0	15758584.6721274	73352.7039174801	586882.258419697	0	116337.303535212	0	0	0	0	0	0	1246795.89723364	845547.694624283	52121.1005519941	1339.85846481222	203731.239147285	0	466416.250746308	0	674852.1512904	13362.2084002088	219609.471361508	1200.41618114398	15211.3343358094	3692.18916321559	1681795.19519869	0	117161.83182125	293568.446077545	0	0	0	0	0	0	0	30289.2890959361	7584.44768995517	0	1795331.52764457	16581.5063405495	51266.2587260279	0	1012.47223359114	15047.6412201988	0	0	0	5644.38113457096	0	41196.1007619867	0	40577.704547458	114700.372379106	0	10142.9104598681	775923.556117932	0	0	219797.415309061	0	3449.68084379256	0	0	0	0	0	0	0	0	6280.9654730564	0	0	0	0	2065067.46863082	0	1929814.51618061	0	5093165.7872304	0	21831.811456058	15619300.0188667	59481.228046483	0	0	0	0	150300.593670407	55989.1082467914	0	0	0	0	0	13083.3238328723	0	23305.0494965529	1006.40952560556	0	0	0	0	0	0	128626.412621974	0	0	0	0	0	0	0	0	0	0	5735.32175435459	15217.397043795	0	0	14083.6706504923	0	2564.52547789851	0	0	0	0	44482.0884901687	0	0	0	0	0	0
02-2020-20	0	304062.215611933	483274.788624829	0	0	0	0	0	1391252.16335638	1592582.01047752	0	4116321.00081525	0	0	0	0	0	0	0	0	0	0	0	0	0	6826.95491488446	0	0	0	0	0	0	0	23609.6870767858	17939.4714148354	0	0	0	0	0	334334.83521984	845394.252759332	510.185902984102	12343.6379966845	13284.8594663019	7981.78693079801	0	5612.99855133537	161207.301920853	0	0	0	3208.92628699347	0	0	0	94819.2420927332	0	0	547673.600240566	103046.108980666	0	0	800.085930100302	0	0	8985.94722209195	0	37628.8327959807	0	0	0	0	34584.8825112606	0	250468.855335846	13506.0989606801	227535.283782828	0	0	1940.61366836009	13298.2101254454	0	0	15440.9909179787	39360.6040105959	0	0	3950.84148796848	3184.13220572695	0	0	0	0	0	203033.963398957	45781.3174401136	13265.7870960969	0	0	551778.927927195	0	0	0	76877.8634408773	0	235710.655271206	3622.79672044225	0	0	17133.6637736736	0	0	0	159105.526724261	26521.0843885811	0	0	83788.7367846639	4239.78789657443	0	0	351235.816077012	3043.9502847201	408192.588838753	32528.8810031602	259836.249962038	0	0	0	0	1597409.22737641	0	445084.27452631	0	4810428.44501587	1070868.76694151	0	0	631559.606113275	0	17722.0463944982	14118.322044261	0	522.582943617361	0	0	0	0	0	0	31102.2677118252	0	0	0	0	295.621738177704	1147.20306783154	89266.3215075436	952.664891740408	35825.5401930967	27883.8052397292	0	0	0	0	0	687234.71559724	0	448.200699817809	0	0	0	0	0	0	0	0	0	91522.5829027967	0	0	0	0	0	0	0	0	0	254.616142236926
02-2020-22	551634.746263733	42032.5678276608	3358.12166592336	37605.86137418	0	21928.8096793357	124310.240361584	241253.152439104	663215.26897706	40782.0819864425	337229.78661201	331101.53340196	0	0	340893.314106036	1541064.38417152	302105.431493861	405715.19770452	47841.9907776042	255722.676475145	1517450.13705402	45265.1710543422	10886.5431340418	12939.1387875284	7274.02848163332	0	0	26896.5207425975	83861.7555104535	23745.1353295432	1068.58478755746	0	14101.0233775171	19978.9109306834	219402.875686995	1988.82960146531	31458.8139593236	0	0	5606.71402667556	384039.438568469	126897.12840885	3931.34491251512	0	3870.26374689469	527197.581464359	27018.0118522381	48932.0546563688	2136719.85664278	857131.860503529	22293.9542298578	17349.7359226039	64764.8297624652	5592.61837307085	9035.3139606225	0	150319.406148685	24938.5673347425	18464.6350005768	17095.3429361188	95538.3264679596	806.13714186967	6158.45818206013	32159.569309958	9765.6030616668	0	1142.41916358216	1767.32647339121	92317.8052300823	264527.09020529	0	1155.17237398643	0	751031.190934436	2449.95884081956	54147.4464901135	2149.92278551919	82303.8501763324	0	15549.5195908016	97407.6786245849	80210.9812268323	0	8144.60289712454	4424.69278868015	158492.871574619	329705.392473493	119446.568646357	336.953243312718	0	0	0	0	8762.12676933112	61067.0699668282	8245.28613715822	0	0	12891.4820539125	154174.231798775	466435.246104032	96486.7625890769	31291.6797808677	0	169428.413885477	18976.1058599479	143744.790574486	0	20277.6045427833	4621.36071754594	140475.941381392	21103.8783326597	1336.40220604705	8195.61573874161	618.866315407024	140.956536047153	0	0	28445.0289743155	7921.08610424977	0	23512.2214342653	42643.3794838651	20260.1527811775	5008.6555808755	0	135749.198872611	5798.01218273956	0	0	0	19752.7092514077	20688.3921621207	37499.1371397443	6394.72818533917	16129.4550533956	0	0	0	1239270.39950016	0	0	84734.3435907454	0	1253.84194921944	1279.34837002797	789.356601864057	2356.65903838835	614.167764205452	0	353713.646670325	38763.7186345673	0	110409.241020934	72631.5469170968	7659.98090176242	3024.52453061177	8715.81247891562	7676.09022016782	1425.67467887692	177260.898738498	159029.177633199	0	568.524695390184	1024.28416194264	0	385510.085094561	0	0	0	0	0	43751.5663458358	0	12996.8638451477	69.1358248231274	4711.97563357626	32680.4372717323	118583.377668469	61009.3449092089	1440.44155408186	12881.4137299091	18968.7224223454	4428.04889668128	5555.7011850585	0	265358.062546368	25177.5222244224	437.636483346399	0
02-2020-26	0	643715.140755998	0	160940.231726978	315199.500787464	826770.083856468	0	699873.763832385	2718720.65233147	448856.909243884	77130.588408408	4186855.52114579	0	624244.579655424	0	1248304.10694687	145857.510184636	763003.328537372	0	191576.890625088	452781.164014007	0	108400.622407968	2874.98878880709	300628.057941473	3227278.88815593	0	0	54281.3908479949	4271.46642212281	1755349.49200191	0	0	604850.328808037	0	18509.0519104223	32101.8157592946	56673.7172853964	0	0	113559.195523386	0	0	0	0	862851.479319446	0	461453.82428867	586169.578827945	326001.217126034	196058.210243475	3481.65530164097	0	119517.118540934	0	0	1108866.19681156	0	437664.102857732	0	20857.4999522415	2571.65553239015	1875.32447206196	14664.9229061447	372.012484284926	2106.16298795158	5452.36759018625	143304.932215542	260792.198021711	0	570.41914257022	0	850.859323031164	602830.01485492	0	367386.175185485	13737.7533299269	86873.4999840137	0	0	0	29545.4222775418	0	289147.180349541	33069.0482184354	111117.267421413	0	0	0	59342.6683905995	1760.85909228198	0	4830.43902671504	0	98163.6019429788	233112.561434583	10322.8694998243	20130.6447906387	0	54140.2168795995	4075236.51380967	0	81070.1052291689	0	264342.53255122	0	111060.034731523	0	0	10130.186110528	80144.8434092807	0	0	0	14909.115716342	0	0	0	0	0	0	0	493435.451399196	12284.0430067212	111306.13529805	3113.45833001538	257789.389558816	0	476.939082416572	0	0	14994.964751177	24270.4760260145	0	2434.29707665418	116413.198992566	2682.3053995108	11160.3745285478	0	69200.0453459852	919.53855089915	16681.421346602	1409.83192762339	52179.0433727026	51085.8989958038	0	1066.43578828345	0	43918.4584652476	86303.0808414435	160978.386853571	4446.98000445211	610.482025493212	0	14224.2311939918	0	34841.3538486954	0	184760.477259191	42006.886622922	110394.227772469	82886.2892550112	0	0	59060.3204538089	41253.3228727038	43647.557066435	1804.73748786431	0	6265.07178662409	0	0	0	0	82867.2116917145	15842.0085615488	0	3849.85227326657	0	15208.6334600996	0	0	21496.5983226797	14645.8453428481	2493.43752287384	0	739268.932039994	9569.30574960609	41108.3333916491	5164.29638440664
02-2020-28	0	1498322.84259174	15023.1884152731	666561.661307785	147728.229843336	0	0	0	381627.36753866	1346319.58829474	0	1796065.79645608	0	1745168.25930296	0	4532725.35184099	0	0	0	1894118.64616672	0	21669.2984932626	0	21671.8236110734	0	0	0	3487.18769669587	0	0	0	5304.00996155661	0	0	0	0	0	0	0	0	144300.382415194	33282.3153050688	0	0	203390.664305404	27431.6173374769	0	96903.9211067349	509671.041488011	0	24220.9300410621	0	93337.1921989992	0	2838.2324193238	311.852049632107	0	0	0	0	1358051.28564365	0	0	0	0	0	0	0	8474.29537299881	0	0	7462.9856897789	0	713740.962484516	0	121044.047377852	0	280550.689249601	0	0	0	72566.8356463765	0	21223.6151996588	16386.7520330977	0	0	0	0	7192.79808402476	436.845381266029	0	346683.524714094	0	0	1384850.36096953	184299.511096954	23236.1340948555	0	0	0	0	0	0	0	0	0	2781.4172685811	0	10435.0493530744	0	8399.80439758061	68675.6290999549	0	1931.71512525152	2343.30932840968	0	4450.52014151084	0	0	0	0	255695.954638031	38128.0163839677	0	0	1524373.22048671	0	2735.96514798695	0	127104.330123739	0	42394.2029252911	90314.626179488	75108.366722933	5198143.13478049	0	260108.59801238	0	2449830.1606988	0	0	68668.0537465225	0	27547.7727567731	2627.38508212314	38327.5006910198	0	0	0	0	9332.83542866615	4660.10491980611	0	0	0	0	0	0	0	0	10119.4096267261	0	0	0	0	3384.92042535903	1121326.54111806	0	0	0	3735.91180105832	0	0	48542.8647945557	0	0	0	0	60070.0276007952	0	43017.9070245553	0	0	0	0	4233832.20681384	0	0	0
02-2020-29	0	524360.456200826	63465.5742419719	3126444.90992258	524561.898506205	0	335448.47574603	0	0	0	0	1954740.91371246	0	1167523.81273605	0	2245592.92618689	234866.389825602	0	0	5444071.35490359	0	0	0	1856392.07649736	115669.807828402	78971.5190073066	1793.55230271676	0	116152.451321494	0	2412.19491568349	0	0	300996.728777311	12175.5001530493	6716.10691233963	7646.62720622347	33525.3168739292	0	1037.88802010121	45392.0069953819	426312.248619127	3359.07600594331	0	14290.1330846447	6593.40093951978	7110.81112491014	9599.69727360603	202504.734593914	567130.645576957	75389.5271507405	11334.9642392334	0	0	3437.81233850271	0	0	0	136428.5907802	246923.274204925	167648.05791489	0	0	32336.0914873502	2620.79506947723	2340.61643153858	0	0	48230.6051666144	265001.954200383	179.968760135776	0	0	74387.4283727118	0	66965.762116658	19173.8308028746	59681.1175302531	0	0	0	11717.3978545219	0	8630.32008832924	0	0	0	0	0	0	789.408425141016	0	0	6241.64381743622	2248.5869519237	29644.7404835016	2047.14464654445	4973.6820982978	0	172373.260418227	843249.760914818	99573.8518437589	0	8467.73467434294	57207.5696281597	0	94759.6875101269	2276.19579580816	0	13663.31007349	124574.171256029	0	0	0	65362.404071812	0	0	0	3784.45671171878	0	195307.006738257	101926.738872579	0	2477.63810118741	0	0	150351.628496159	303.697282729121	6777.45989874955	0	0	0	41347.8226411945	6226.30557083374	16362.8414755266	215394.997038639	0	2277.21834558166	0	115000.037726761	0	84107.7865195907	56912.0527436186	10476.0224294944	59220.9701321787	0	0	0	143.156968289822	0	167348.450831254	0	31350.3535056974	0	21186.2087571201	0	4365.26498306606	8113.93245271239	12818.68396058	43087.1798059158	156330.477021806	30171.3536168534	0	1867.17588640867	8420.697384762	12773.6917705461	0	118242.543058525	2514.44989303337	1188.20283680552	42545.2284259615	12390.2356054841	3043.10812593221	4565.68473867181	0	0	0	0	0	101977.866361254	5229.31954167248	0	7818.41556817126	0	71.5784841449108	280.178637938651	0	45533.1188641247	0	0
02-2020-34	0	634782.241306877	699655.769977018	1672024.40085433	433923.174726218	0	223940.151670681	441687.418734711	2976752.21837201	0	0	796089.191354132	0	0	90527.7232873869	3704842.85620834	0	0	0	1450549.83390122	753839.427064599	0	0	21393.3539005164	0	0	13186.0804547782	0	92602.6798990002	0	14046.9594687797	0	0	27736.6371333295	11240.4258294576	0	6361.6577256021	4737.21645570348	4132.21926720752	0	12395.2967280826	200591.615630065	2548.61020350662	0	0	16961.6984545257	0	4153.9964438463	227971.651495934	873802.40726314	32937.9796661469	2477.8343794306	0	0	12003.9880853547	689.383747971215	0	0	0	0	207526.285315975	0	2181.12034772729	36551.6299146436	0	2717.38332245712	0	284147.920245964	0	0	0	0	0	146952.387958452	0	491600.707590783	9632.99797880805	175357.992736654	0	0	8953.1417456163	17020.9051535124	0	15048.0290573934	35925.5360862788	29744.2206047166	0	0	0	16535.6824365297	7640.38631636015	978.611875204943	0	1618.31643896895	0	11714.7599581209	38233.236273219	111837.371165198	0	0	1265696.99215006	0	0	0	201773.027462718	0	16953.5320132862	0	0	12702.8993481053	19600.1395116673	0	0	0	7733.61985384491	0	0	0	0	2865.74033830877	0	0	63851.3624416577	0	7171.49648185653	0	151916.903695323	0	927.571617457815	0	17632.707709708	2469.66793819106	4754.22987495253	87186.2877468749	5814.50616255288	422578.626770956	203797.624353354	7129.30320211891	1338679.1164343	13844.8400481011	643.787784383781	9624.15100079855	16466.9482227636	0	155843.600858002	0	3491.83416667355	0	0	0	87250.2582032513	1829.96337442705	0	85254.2438569536	149592.190089134	0	0	0	0	100729.650005883	0	32959.0763060157	0	0	0	0	52094.4092037992	0	0	0	0	404.238841357258	3105.96981810526	0	85759.8826770352	658.079056552977	0	0	12442.25376521	39616.0869897812	2514.58336500853	930.293764537662	680.536769961713	15146.7068890379	0	0	305687.589552022	46387.4278509003	4739.25806601337	1159.63465601476
