feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1877	br_m_progression_overall	Y	0.597110677534323	0.000938540309747041	23	17	0	0
X1867	br_m_progression_overall	Y	1.76619631289504	0.00229514033545217	23	15	0	0
X1871	br_m_progression_overall	Y	1.39359014227776	0.00111381668790546	23	16	0	0
X1861	br_m_progression_overall	Y	0.529182500315937	0.00121775730176808	23	17	0	0
X1857	br_m_progression_overall	Y	-0.963359414400696	0.00129218926355206	23	6	0	0
X1855	br_m_progression_overall	Y	0.556270193675341	0.00218263833335874	23	7	0	0
X1844	br_m_progression_overall	Y	-1.88811411359897	0.000852162580551	23	8	0	0
X1836	br_m_progression_overall	Y	0.751744124791456	0.00056727328458873	23	19	0	0
X1815	br_m_progression_overall	Y	3.11154663305036	0.00173267009295278	23	9	0	0
X1814	br_m_progression_overall	Y	0.400578586898152	0.000476480750063423	23	19	0	0
X1812	br_m_progression_overall	Y	0.379849727028655	0.00119540434792617	23	8	0	0
X1949	br_m_progression_overall	Y	0.568197314028157	0.000927684861491485	23	14	0	0
X1941	br_m_progression_overall	Y	-1.90142409461232	0.00195003328520621	23	7	0	0
X1934	br_m_progression_overall	Y	0.756498239082883	0.000643613760091067	23	17	0	0
X1790	br_m_progression_overall	Y	-0.325100185456347	0.00129053234281485	23	13	0	0
X2295	br_m_progression_overall	Y	-2.11338906586253	0.00103204014302135	23	10	0	0
X2301	br_m_progression_overall	Y	-0.091617326334811	0.000862768569502659	23	13	0	0
X2303	br_m_progression_overall	Y	1.20259576890356	0.00074088429449538	23	17	0	0
X2318	br_m_progression_overall	Y	-0.983363822905949	0.000567477835720688	23	16	0	0
X2325	br_m_progression_overall	Y	-0.588714400063921	0.00402240699646348	23	6	0	0
X2328	br_m_progression_overall	Y	-1.28793137656947	0.00200234919557077	23	6	0	0
X10115	br_m_progression_overall	Y	2.88288139452733	0.00421979323310166	23	8	0	0
X9262	br_m_progression_overall	Y	2.57801355759003	0.00579251085606231	23	10	0	0
X15452	br_m_progression_overall	Y	0.466900684760324	0.00338514682998844	23	10	0	0
X7144	br_m_progression_overall	Y	-1.71243087511863	0.0100185579132436	23	6	0	0
X7967	br_m_progression_overall	Y	-0.820840163022013	0.00172613830283048	23	6	0	0
X7985	br_m_progression_overall	Y	-3.43569653943974	0.00569107893354132	23	10	0	0
X8053	br_m_progression_overall	Y	-0.391120433087204	0.00634521387876606	23	7	0	0
X8028	br_m_progression_overall	Y	-0.245547473916281	0.00596723373879706	23	8	0	0
X4046	br_m_progression_overall	Y	-1.41855108522286	0.00784492214052877	23	9	0	0
X4041	br_m_progression_overall	Y	-0.441249291485141	0.00126849682598115	23	15	0	0
X6747	br_m_progression_overall	Y	-1.30039325780739	0.00662128181282733	23	6	0	0
X6846	br_m_progression_overall	Y	0.49211125017376	0.00574777094330581	23	8	0	0
X4285	br_m_progression_overall	Y	-0.639289319012347	0.000837272230122975	23	14	0	0
X4121	br_m_progression_overall	Y	-0.794209084877113	0.00615198774889333	23	13	0	0
X14844	br_m_progression_overall	Y	0.295139781377892	0.00388560929311708	23	10	0	0
X15316	br_m_progression_overall	Y	-1.66294699095121	0.000363230017919736	23	17	0	0
