Tumor	TaxID	Taxa Name	Other Sample	Tumor Total Genome Length	Other Sample Genome Match	Percent of Length Matching
BTM-T-098	1351	Enterococcus faecalis	Saliva_EXT-PTC_L007_R1_001.fastq.gz	220	94	0.427272727272727273
BTM-T-098	537011	Segatella copri DSM 18205	02-2020-52-SL	590	590	1
BTM-T-098	165179	Segatella copri	02-2020-52-SL	374	151	0.40374331550802139
BTM-T-098	423477	Veillonella rogosae	GBM-BM-260-SL	570	273	0.478947368421052632
BTM-T-098	423477	Veillonella rogosae	01-2020-108-SL	570	273	0.478947368421052632
BTM-T-098	423477	Veillonella rogosae	02-2020-043_SL	570	273	0.478947368421052632
BTM-T-098	423477	Veillonella rogosae	02-2020-50-SL	570	273	0.478947368421052632
BTM-T-098	423477	Veillonella rogosae	01-2020-043_SL	570	273	0.478947368421052632
BTM-T-098	423477	Veillonella rogosae	01-2020-056_SL	570	273	0.478947368421052632
BTM-T-098	40214	Acinetobacter johnsonii	01-2020-056_SL	1947	127	0.0652285567539804828
BTM-T-098	2715960	Bradyrhizobium sp. PSBB068	01-2020-016_SL	26435	80	0.00302629090221297522
BTM-T-098	388919	Streptococcus sanguinis SK36	GBM-BM-Kit-275-SL	69	69	1
BTM-T-255	729	Haemophilus parainfluenzae	02-2020-59-SL	657	302	0.459665144596651446
BTM-T-255	729	Haemophilus parainfluenzae	GBM-BM-257-SL	657	204	0.310502283105022831
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-049_SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	GBM-BM-307-SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	02-2020-50-SL	657	204	0.310502283105022831
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-046_SL	657	53	0.0806697108066971081
BTM-T-255	729	Haemophilus parainfluenzae	GBM-BM-260-SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	02-2020-043_SL	657	302	0.459665144596651446
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-044_SL	657	53	0.0806697108066971081
BTM-T-255	729	Haemophilus parainfluenzae	GBM-BM-293-SL	657	355	0.540334855403348554
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-016_SL	657	302	0.459665144596651446
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-056_SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-108-SL	657	53	0.0806697108066971081
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-058-SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	GBM-BM-Kit-275-SL	657	151	0.229832572298325723
BTM-T-255	729	Haemophilus parainfluenzae	01-2020-043_SL	657	53	0.0806697108066971081
BTM-T-255	617123	Lachnoanaerobaculum umeaense	GBM-BM-299-SL	302	302	1
BTM-T-255	617123	Lachnoanaerobaculum umeaense	GBM-BM-257-SL	302	302	1
BTM-T-255	617123	Lachnoanaerobaculum umeaense	02-2020-59-SL	302	151	0.5
BTM-T-255	617123	Lachnoanaerobaculum umeaense	GBM-BM-307-SL	302	151	0.5
BTM-T-255	617123	Lachnoanaerobaculum umeaense	01-2020-049_SL	302	151	0.5
BTM-T-255	617123	Lachnoanaerobaculum umeaense	01-2020-108-SL	302	302	1
BTM-T-255	617123	Lachnoanaerobaculum umeaense	01-2020-041_SL	302	151	0.5
BTM-T-255	617123	Lachnoanaerobaculum umeaense	01-2020-043_SL	302	151	0.5
BTM-T-255	548	Klebsiella aerogenes	01-2020-056_SL	220	220	1
BTM-T-255	537011	Segatella copri DSM 18205	02-2020-52-SL	738	436	0.590785907859078591
BTM-T-255	1156431	Streptococcus ilei	01-2020-056_SL	302	302	1
BTM-T-255	2598457	Streptococcus sp. KS 6	01-2020-044_SL	302	151	0.5
BTM-T-255	29391	Gemella morbillorum	01-2020-016_SL	150	150	1
T-132	1351	Enterococcus faecalis	Saliva_EXT-PTC_L007_R1_001.fastq.gz	647	554	0.856259659969088099
T-132	1351	Enterococcus faecalis	DNA_EXT-PTC_L005_R1_001.fastq.gz	647	554	0.856259659969088099
T-132	2715960	Bradyrhizobium sp. PSBB068	GBM-BM-276-SL	30956	151	0.00487789120041349012
T-132	165179	Segatella copri	02-2020-52-SL	1329	344	0.258841234010534236
T-132	287	Pseudomonas aeruginosa	DNA_EXT-PTC_L005_R1_001.fastq.gz	181	181	1
T-132	423477	Veillonella rogosae	GBM-BM-257-SL	1264	914	0.72310126582278481
T-132	423477	Veillonella rogosae	02-2020-50-SL	1264	705	0.557753164556962025
T-132	423477	Veillonella rogosae	01-2020-049_SL	1264	465	0.367879746835443038
T-132	423477	Veillonella rogosae	01-2020-056_SL	1264	914	0.72310126582278481
T-132	423477	Veillonella rogosae	01-2020-044_SL	1264	594	0.469936708860759494
T-132	423477	Veillonella rogosae	GBM-BM-284-SL	1264	705	0.557753164556962025
T-132	423477	Veillonella rogosae	01-2020-108-SL	1264	914	0.72310126582278481
T-132	423477	Veillonella rogosae	GBM-BM-260-SL	1264	385	0.304588607594936709
T-132	423477	Veillonella rogosae	02-2020-043_SL	1264	680	0.537974683544303797
T-132	423477	Veillonella rogosae	01-2020-043_SL	1264	320	0.253164556962025316
T-132	423477	Veillonella rogosae	GBM-BM-Kit-275-SL	1264	471	0.372626582278481013
T-132	1308	Streptococcus thermophilus	02-2020-043_SL	3825	2493	0.651764705882352941
T-132	1308	Streptococcus thermophilus	01-2020-058-SL	3825	2741	0.716601307189542484
T-132	1308	Streptococcus thermophilus	GBM-BM-260-SL	3825	2467	0.644967320261437908
T-132	1308	Streptococcus thermophilus	02-2020-52-SL	3825	3390	0.886274509803921569
T-132	1308	Streptococcus thermophilus	01-2020-041_SL	3825	2723	0.711895424836601307
BTM-T-292	28132	Prevotella melaninogenica	02-2020-043_SL	92	92	1
BTM-T-292	28132	Prevotella melaninogenica	GBM-BM-284-SL	92	92	1
BTM-T-292	114527	Mogibacterium diversum	GBM-BM-284-SL	603	603	1
BTM-T-292	114527	Mogibacterium diversum	01-2020-058-SL	603	603	1
BTM-T-292	114527	Mogibacterium diversum	GBM-BM-Kit-275-SL	603	301	0.499170812603648425
BTM-T-292	114527	Mogibacterium diversum	GBM-BM-257-SL	603	151	0.250414593698175788
BTM-T-292	114527	Mogibacterium diversum	GBM-BM-299-SL	603	151	0.250414593698175788
BTM-T-292	114527	Mogibacterium diversum	02-2020-50-SL	603	452	0.749585406301824212
