Taxa	1231195-3-4	1333504-1-6	1578331-1-6	196947-4-2	37595-18	42022-5-2	727917-3	824353-7	944293-7-2
superkingdom=Bacteria;phylum=Actinomycetota;class=Actinomycetes;order=Micrococcales;family=Dermabacteraceae;genus=Brachybacterium;species=Brachybacterium.sp..Z12;taxId=0	0	0	0	0	0	0	0	4	0
superkingdom=Bacteria;phylum=Actinomycetota;class=Actinomycetes;order=Mycobacteriales;family=Corynebacteriaceae;genus=Corynebacterium;species=Corynebacterium.coyleae;taxId=1	0	5	0	0	0	0	0	0	0
superkingdom=Bacteria;phylum=Actinomycetota;class=Actinomycetes;order=Mycobacteriales;family=Corynebacteriaceae;genus=Corynebacterium;species=Corynebacterium.tuberculostearicum;taxId=2	0	0	0	0	0	0	2	0	0
superkingdom=Bacteria;phylum=Actinomycetota;class=Actinomycetes;order=Propionibacteriales;family=Propionibacteriaceae;genus=Cutibacterium;species=Cutibacterium.granulosum;taxId=3	0	4	0	0	0	0	0	0	0
superkingdom=Bacteria;phylum=Actinomycetota;class=Actinomycetes;order=Propionibacteriales;family=Propionibacteriaceae;genus=Microlunatus;species=Microlunatus.sagamiharensis;taxId=4	0	0	0	0	0	0	0	0	6
superkingdom=Bacteria;phylum=Bacillota;class=Bacilli;order=Bacillales;family=Staphylococcaceae;genus=Nosocomiicoccus;species=Nosocomiicoccus.massiliensis;taxId=5	0	0	0	0	4	0	0	0	0
superkingdom=Bacteria;phylum=Bacillota;class=Bacilli;order=Bacillales;family=Staphylococcaceae;genus=Staphylococcus;species=Staphylococcus.epidermidis;taxId=6	0	2	0	4	0	0	0	0	0
superkingdom=Bacteria;phylum=Bacillota;class=Bacilli;order=Lactobacillales;family=Streptococcaceae;genus=Streptococcus;species=Streptococcus.parasanguinis;taxId=7	0	0	0	0	0	0	0	4	0
superkingdom=Bacteria;phylum=Bacillota;class=Bacilli;order=Lactobacillales;family=Streptococcaceae;genus=Streptococcus;species=Streptococcus.salivarius;taxId=8	0	0	0	0	2	0	0	0	0
superkingdom=Bacteria;phylum=Bacillota;class=Bacilli;order=Lactobacillales;family=Streptococcaceae;genus=Streptococcus;species=Streptococcus.sanguinis;taxId=9	0	0	0	0	4	0	0	0	0
superkingdom=Bacteria;phylum=Bacillota;class=Clostridia;order=Eubacteriales;family=Desulfitobacteriaceae;genus=Desulfitobacterium;species=Desulfitobacterium.hafniense;taxId=10	0	0	0	4	0	0	0	0	0
superkingdom=Bacteria;phylum=Bacteroidota;class=Flavobacteriia;order=Flavobacteriales;family=Weeksellaceae;genus=Chryseobacterium;species=Chryseobacterium.manosquense;taxId=11	0	0	8	0	0	0	0	0	0
superkingdom=Bacteria;phylum=Pseudomonadota;class=Alphaproteobacteria;order=Hyphomicrobiales;family=Devosiaceae;genus=Paradevosia;species=Paradevosia.shaoguanensis;taxId=12	0	0	0	0	0	4	0	0	0
superkingdom=Bacteria;phylum=Pseudomonadota;class=Alphaproteobacteria;order=Hyphomicrobiales;family=Methylobacteriaceae;genus=Methylobacterium;species=Methylobacterium.sp..391_Methyba4;taxId=13	0	0	0	0	0	10	0	0	0
superkingdom=Bacteria;phylum=Pseudomonadota;class=Betaproteobacteria;order=Burkholderiales;family=Burkholderiaceae;genus=Burkholderia;species=Burkholderia.multivorans;taxId=14	2	0	0	0	0	0	0	0	0
superkingdom=Bacteria;phylum=Pseudomonadota;class=Betaproteobacteria;order=Burkholderiales;genus=Tepidimonas;species=Tepidimonas.taiwanensis;taxId=15	0	0	0	0	0	0	0	0	4
superkingdom=Bacteria;phylum=Pseudomonadota;class=Gammaproteobacteria;order=Moraxellales;family=Moraxellaceae;genus=Acinetobacter;species=Acinetobacter.johnsonii;taxId=16	0	4	0	0	2	0	0	0	0
superkingdom=Bacteria;phylum=Pseudomonadota;class=Gammaproteobacteria;order=Pasteurellales;family=Pasteurellaceae;genus=Haemophilus;species=Haemophilus.parainfluenzae;taxId=17	0	0	0	2	0	0	0	0	0
