Name	TaxaId	Approx Genome completion	Max Coverage in completed segments	Reads	Total Letters In Reads
Acinetobacter baumannii	470	0.000778254773586831601	6	30	4167
Acinetobacter indicus	756892	0.000890865541481195409	4	45	4918
Acinetobacter nosocomialis	106654	2.46150660445060695e-05	2	2	186
Acinetobacter radioresistens	40216	0.000118700558265505183	4	9	1175
Actinomyces pacaensis	1852377	0.000223508083542354782	2	4	544
Aeromonas hydrophila	644	0.000608300603798282764	2	24	3327
Bacteroides caccae	47678	8.87947054464601772e-05	2	4	590
Bacteroides eggerthii	28111	0.00049688036700563005	2	20	2850
Bifidobacterium catenulatum	1686	0.00088574140358524893	2	22	3187
Bifidobacterium pseudolongum	1694	0.000299184698681884274	2	10	1292
Campylobacter concisus	199	9.79527867567832305e-05	2	3	251
Candidatus Methylopumilus rimovensis	2588535	8.33397590624199218e-05	2	2	210
Capnocytophaga sp. FDAARGOS_737	2545799	0.000422585279481166305	2	8	1204
Clostridium perfringens	1502	0.000162766666492311546	2	4	603
Corynebacterium aquatimens	1190508	0.000179448724012616077	4	6	906
Corynebacterium glaucum	187491	0.000179857471886847813	1	3	453
Corynebacterium tuberculostearicum	38304	0.00119407027812289965	2	27	3734
Cupriavidus gilardii	82541	0.000160076102129700658	2	8	1111
Dermacoccus nishinomiyaensis	1274	0.000129414666049085794	2	4	482
Dietzia kunjamensis	322509	0.000107625307090425539	2	6	794
Dolosigranulum pigrum	29394	0.000220436942843138962	6	12	1100
Enterocloster bolteae	208479	0.000206592443526839563	2	15	1912
Enterococcus cecorum	44008	0.000171454498694227629	2	4	575
Faecalibaculum rodentium	1702221	0.000125467652158043617	2	4	588
Fusobacterium nucleatum	851	0.0022686166258473614	2	47	6751
Gardnerella vaginalis	2702	0.000569667997356446703	2	8	1140
Granulicatella adiacens	46124	0.000181553730672733502	2	3	453
Heyndrickxia coagulans	1398	0.00045918511161229137	2	18	2351
Janibacter sp. CX7	2963431	0.000466658099397865511	6	30	3708
Jeotgalibaca porci	1868793	0.000393351147266927479	2	10	1507
