	RawReads	TrimmedReads	InputReads
01-2020-016_SL	173514184	160006740	37502776
01-2020-041_SL	238347040	230457392	54996250
01-2020-043_SL	194684718	188662066	57881850
01-2020-044_SL	279087458	270968322	31652814
01-2020-046_SL	311395486	300204262	10097136
01-2020-049_SL	221469420	214281810	74840258
01-2020-056_SL	244827966	236337038	234924914
01-2020-058-SL	235944432	227856788	193608998
01-2020-108-SL	183372430	174828908	165707314
02-2020-043_SL	281288436	272577112	21730286
02-2020-50-SL	301357580	291137676	38676370
02-2020-52-SL	225748616	219401092	217822558
02-2020-59-SL	116144348	111704998	7871676
BM-02-2020-43	241908882	240067910	239598424
BM-02-2020-52	338231366	335674308	335227076
BTM-T-002	122788818	107317994	62642
BTM-T-005	87456596	78378100	44188
BTM-T-007	156503506	150907958	82738
BTM-T-012	99891732	90547738	53000
BTM-T-021	136709422	129929112	68038
BTM-T-044	42540158	41146798	17828
BTM-T-061	140938790	133110784	76516
BTM-T-071	124307236	118762900	55538
BTM-T-079	74793040	70177322	41298
BTM-T-088	77425246	73489912	38786
BTM-T-098	64355676	61042046	31202
BTM-T-169	67363364	63984912	27886
BTM-T-251	283120252	273517956	98778
BTM-T-254	275290836	266527590	101098
BTM-T-255	236060546	229467078	69850
BTM-T-257	232772870	223864620	90040
BTM-T-273	291941644	282971660	114234
BTM-T-289	242981480	233720256	194748
BTM-T-292	282614216	271479598	112154
BTM-T-335	275720398	267446722	87228
BTM-T-343	198968520	193008294	64366
BTM-T-406	281374900	275600796	195424
BTM-T-420	263929320	258275796	172312
BTM-T-421	216175206	211812498	118126
BTM-T-431	203915618	200007850	136296
BTM-T-433	185265844	181249810	114678
BTM-T-442	194583684	190593780	123804
BTM-T-448	180171874	176608382	110162
BTM-T-453	195654474	191648774	124840
BTM-T-462	198515304	194584752	130200
BTM-T-463	226173912	221269670	166238
BTM-T-481	214252892	210147264	129618
BTM-T-485	192663844	189043928	88372
BTM-T-486	189181896	185416320	103178
BTM-T-488	232820394	228258464	158432
DNA_EXT-NTC	16544	13524	12828
DNA_EXT-PTC	2534896	2468056	2450052
DNA_LP-NTC	246	106	40
EB-ctrl	22754	1774	882
Ext-ctrl	24952	5004	3814
GBM-01-2020-046	289208454	287207686	278957372
GBM-01-2020-049	276781990	274406786	273786842
GBM-01-2020-056	247754144	246120474	245321106
GBM-01-2020-058	239324656	237472578	236341806
GBM-01-2020-108	303643398	301527678	298674876
GBM-01-2020-41	327477056	324905586	315836630
GBM-01-2020-43	273192060	271138726	270318232
GBM-01-2020-44	279214060	277222060	276577002
GBM-BM-257	394236174	391533266	363876076
GBM-BM-257-SL	238550328	230553236	126093500
GBM-BM-260-SL	253869230	245345244	14055356
GBM-BM-276-SL	81070758	77768384	2057390
GBM-BM-284	238894090	236689790	225522732
GBM-BM-284-SL	284005930	277991776	143561520
GBM-BM-293-SL	98288316	94810686	18307562
GBM-BM-299-SL	122270158	117729036	38707850
GBM-BM-307-SL	84261282	80820156	16025704
GBM-BM-346	353834580	350871540	350205380
GBM-BM-346-SL	273266390	270601372	234837980
GBM-BM-379-SL	280760304	275619920	29243162
GBM-BM-382-SL-PreOp	335365180	329714188	61617006
GBM-BM-394-SL	318103144	314067062	231757496
GBM-BM-396	286654886	284538114	282237614
GBM-BM-396-SL	430628688	424830172	231145174
GBM-BM-418-SL	198995186	195475364	43558948
GBM-BM-423-SL-PreOp	297912154	292018174	32856798
GBM-BM-430	293290056	291379766	290584084
GBM-BM-430-SL	307106688	302344660	75236036
GBM-BM-438	469405540	465880834	449939796
GBM-BM-440-SL-PreOp	331307976	325503038	71045952
GBM-BM-457-SL-PreOp	324912412	321438262	230367702
GBM-BM-458-SL-PreOp	246912242	243532444	156414744
GBM-BM-462-SL-PreOp	374577070	368819234	27698606
GBM-BM-464-SL-PreOp	328373610	322674754	96446906
GBM-BM-Kit-275-SL	103890908	99795366	12247146
NFW-ctrl	24330	1666	856
Saliva_EXT-NTC	65358	0	0
Saliva_EXT-PTC	1211944	1118808	1114468
Saliva_LP-NTC	73242	6	0
T-052	278710412	269954866	94910
T-073	157263960	141273540	98898
T-074	62109188	59129944	33046
T-090	63566664	60349728	32956
T-132	82314684	78052088	36314
T-170	48529504	44372964	28322
T-Cu-1	226687854	222651320	140410
T-Cu-2	200268200	196202696	138480
T-Cu-3	230395416	225372948	209978
T-Cu-4	204506222	200108670	144412
T-Cu-5	195545624	191816294	147882
