Species,Abundance
Cutibacterium.acnes,1485
Cutibacterium.acnes,199
Cutibacterium.acnes,172
Cutibacterium.acnes,133
Cutibacterium.acnes,122
Cutibacterium.acnes,119
Cutibacterium.acnes,115
Enterococcus.faecalis,112
Streptococcus.thermophilus,111
Cutibacterium.acnes,106
Cutibacterium.acnes,101
Cutibacterium.acnes,91
Cutibacterium.acnes,87
Schlegelella.aquatica,83
Cutibacterium.acnes,75
Cutibacterium.acnes,74
Enterococcus.faecalis,72
Enterococcus.faecalis,70
Cutibacterium.acnes,70
Escherichia.coli,69
Cutibacterium.acnes,69
Streptococcus.thermophilus,66
Cutibacterium.acnes,65
Enterococcus.faecalis,62
Cutibacterium.acnes,61
Cutibacterium.acnes,59
Streptococcus.thermophilus,58
Streptococcus.thermophilus,55
Enterococcus.faecalis,54
Cutibacterium.acnes,54
Enterococcus.faecalis,52
Streptococcus.thermophilus,52
Acidovorax.temperans,52
Cutibacterium.acnes,52
Cutibacterium.acnes,51
Enterococcus.faecalis,50
Enterococcus.faecalis,48
Streptococcus.thermophilus,48
Cutibacterium.acnes,48
Enterococcus.faecalis,47
Streptococcus.thermophilus,47
Escherichia.coli,47
Streptococcus.thermophilus,46
Escherichia.coli,46
Cutibacterium.acnes,46
Streptococcus.thermophilus,45
Acinetobacter.johnsonii,45
Enterococcus.faecalis,44
Escherichia.coli,44
Streptococcus.thermophilus,43
Acinetobacter.johnsonii,42
Enterococcus.faecalis,41
Escherichia.coli,41
Enterococcus.faecalis,40
Acinetobacter.johnsonii,40
Streptococcus.thermophilus,39
Streptococcus.thermophilus,38
Staphylococcus.hominis,37
Streptococcus.thermophilus,37
Escherichia.coli,37
Acinetobacter.johnsonii,36
Cutibacterium.acnes,36
Escherichia.coli,35
Cutibacterium.acnes,35
Cutibacterium.acnes,32
Escherichia.coli,30
Acinetobacter.johnsonii,30
Roseburia.hominis,29
Staphylococcus.aureus,29
Escherichia.coli,28
Escherichia.coli,27
Acinetobacter.johnsonii,27
Staphylococcus.saprophyticus,26
Enterococcus.faecalis,26
Veillonella.rogosae,26
Prevotella.intermedia,26
Escherichia.coli,26
Acinetobacter.johnsonii,26
Escherichia.coli,25
Staphylococcus.saprophyticus,24
Veillonella.rogosae,24
Paraburkholderia.fungorum,24
Veillonella.rogosae,23
Escherichia.coli,23
Acinetobacter.johnsonii,23
Enterococcus.faecalis,22
Limosilactobacillus.fermentum,22
Alcaligenes.faecalis,22
Escherichia.coli,22
Acinetobacter.johnsonii,22
Sphingomonas.sp..AAP5,21
Escherichia.coli,21
Salmonella.enterica,21
Faecalibacterium.prausnitzii,20
Bacteroides.fragilis,20
Schlegelella.aquatica,20
Escherichia.coli,20
Acinetobacter.johnsonii,20
Psychrobacter.sp..van23A,19
Staphylococcus.epidermidis,19
Roseburia.hominis,18
Veillonella.rogosae,18
Escherichia.coli,18
Corynebacterium.coyleae,18
Acinetobacter.johnsonii,17
Listeria.monocytogenes,17
Bacteroides.fragilis,16
Escherichia.coli,16
Klebsiella.aerogenes,16
Acinetobacter.johnsonii,16
Pseudomonas.aeruginosa,16
Limosilactobacillus.fermentum,15
Bacteroides.fragilis,15
Escherichia.coli,15
Acinetobacter.johnsonii,15
Listeria.monocytogenes,15
Staphylococcus.hominis,14
Limosilactobacillus.fermentum,14
Roseburia.hominis,14
Veillonella.rogosae,14
Paraburkholderia.fungorum,14
Acinetobacter.baumannii,14
Bifidobacterium.adolescentis,14
Staphylococcus.hominis,13
Limosilactobacillus.fermentum,13
Blautia.wexlerae,13
Bacteroides.fragilis,13
Escherichia.coli,13
Bacillus.spizizenii,13
Lactobacillus.crispatus,12
Ligilactobacillus.murinus,12
Limosilactobacillus.fermentum,12
Roseburia.hominis,12
Bacteroides.fragilis,12
Phocaeicola.vulgatus,12
Janibacter.sp..CX7,12
Bradyrhizobium.sp..CB1015,12
Klebsiella.aerogenes,12
Salmonella.enterica,12
Acinetobacter.lwoffii,12
Treponema.medium,12
Cutibacterium.acnes,12
Bacillus.spizizenii,12
Staphylococcus.aureus,12
Staphylococcus.epidermidis,12
Veillonella.rogosae,11
Bacteroides.uniformis,11
Escherichia.coli,11
Klebsiella.aerogenes,11
Serratia.liquefaciens,11
Corynebacterium.tuberculostearicum,11
Listeria.monocytogenes,11
Staphylococcus.hominis,10
Staphylococcus.pasteuri,10
Jeotgalibaca.porci,10
Ligilactobacillus.murinus,10
Limosilactobacillus.fermentum,10
Faecalibacterium.prausnitzii,10
Roseburia.hominis,10
Romboutsia.ilealis,10
Veillonella.rogosae,10
Bacteroides.fragilis,10
Prevotella.corporis,10
Bradyrhizobium.sp..BTAi1,10
Sphingobium.yanoikuyae,10
Ralstonia.pickettii,10
Escherichia.coli,10
Salmonella.enterica,10
Serratia.liquefaciens,10
Acinetobacter.johnsonii,10
Aggregatibacter.sp..2125159857,10
Stenotrophomonas.maltophilia,10
Bifidobacterium.adolescentis,10
Corynebacterium.ureicelerivorans,10
Cutibacterium.granulosum,10
Bacillus.spizizenii,10
Caldibacillus.thermoamylovorans,10
Listeria.monocytogenes,10
Staphylococcus.aureus,10
Limosilactobacillus.fermentum,9
Bacteroides.fragilis,9
Janibacter.indicus,9
Prevotella.corporis,9
Prevotella.melaninogenica,9
Segatella.copri,9
Paraburkholderia.fungorum,9
Ralstonia.pickettii,9
Escherichia.coli,9
Klebsiella.aerogenes,9
Staphylococcus.aureus,9
Staphylococcus.hominis,8
Staphylococcus.pasteuri,8
Ligilactobacillus.murinus,8
Limosilactobacillus.fermentum,8
Streptococcus.mitis,8
Faecalibacterium.prausnitzii,8
Roseburia.hominis,8
Turicibacter.sp..TC023,8
Megamonas.funiformis,8
Veillonella.rogosae,8
Bacteroides.eggerthii,8
Bacteroides.fragilis,8
Meiothermus.ruber,8
Fusobacterium.nucleatum,8
Methylobacterium.sp..C1,8
Sphingobium.sp..PAMC28499,8
Sphingobium.yanoikuyae,8
Paraburkholderia.fungorum,8
Ralstonia.pickettii,8
Neisseria.macacae,8
Escherichia.coli,8
Klebsiella.aerogenes,8
Salmonella.enterica,8
Glutamicibacter.halophytocola,8
Haemophilus.parainfluenzae,8
Pseudomonas.oleovorans,8
Cutibacterium.acnes,8
Cutibacterium.modestum,8
Bacillus.spizizenii,8
Listeria.monocytogenes,8
Staphylococcus.arlettae,8
Staphylococcus.capitis,8
Staphylococcus.epidermidis,8
Clostridioides.difficile,7
Turicibacter.sp..TC023,7
Veillonella.parvula,7
Veillonella.rogosae,7
Segatella.copri,7
Fusobacterium.nucleatum,7
Klebsiella.aerogenes,7
Acinetobacter.indicus,7
Acinetobacter.johnsonii,7
Pseudomonas.aeruginosa,7
Rothia.mucilaginosa,7
Bifidobacterium.catenulatum,7
Bacillus.spizizenii,7
Staphylococcus.aureus,7
Staphylococcus.hominis,6
Staphylococcus.nepalensis,6
Dolosigranulum.pigrum,6
Lactobacillus.crispatus,6
Lactobacillus.johnsonii,6
Ligilactobacillus.murinus,6
Faecalibacterium.prausnitzii,6
Roseburia.hominis,6
Clostridioides.difficile,6
Romboutsia.ilealis,6
Turicibacter.sp..TC023,6
Veillonella.rogosae,6
Bacteroides.eggerthii,6
Bacteroides.fragilis,6
Phocaeicola.vulgatus,6
Prevotella.corporis,6
Prevotella.melaninogenica,6
Segatella.copri,6
Fusobacterium.nucleatum,6
Bradyrhizobium.betae,6
Bradyrhizobium.sp..sBnM-33,6
Sphingobium.yanoikuyae,6
Sphingomonas.melonis,6
Cupriavidus.gilardii,6
Paraburkholderia.fungorum,6
Ralstonia.pickettii,6
Comamonas.terrigena,6
Limnohabitans.sp..103DPR2,6
Schlegelella.aquatica,6
LKT g  Tepidimonas.taiwanensis,6
Escherichia.coli,6
Klebsiella.aerogenes,6
Salmonella.enterica,6
Acinetobacter.baumannii,6
Acinetobacter.indicus,6
Acinetobacter.sp..TTH0-4,6
Kocuria.rosea,6
Pseudomonas.aeruginosa,6
Pseudomonas.fluorescens,6
Pseudomonas.sp..DY-1,6
Methylophaga.nitratireducenticrescens,6
Stenotrophomonas.sp..DFS-20110405,6
Bifidobacterium.adolescentis,6
Corynebacterium.pseudodiphtheriticum,6
Corynebacterium.simulans,6
Corynebacterium.ureicelerivorans,6
Cutibacterium.acnes,6
Cutibacterium.modestum,6
Bacillus.spizizenii,6
Caldibacillus.thermoamylovorans,6
Peribacillus.psychrosaccharolyticus,6
Gardnerella.vaginalis,6
Listeria.monocytogenes,6
Jeotgalicoccus.sp..ATCC.8456,6
Staphylococcus.aureus,6
Staphylococcus.epidermidis,6
Staphylococcus.equorum,6
Staphylococcus.hominis,5
Faecalibacterium.prausnitzii,5
Anaerostipes.hadrus,5
Roseburia.hominis,5
Turicibacter.sp..TC023,5
Veillonella.nakazawae,5
Veillonella.parvula,5
Veillonella.sp..S12025-13,5
Bacteroides.fragilis,5
Phocaeicola.vulgatus,5
Prevotella.corporis,5
Prevotella.melaninogenica,5
Segatella.copri,5
Microcystis.sp..MC19,5
Fusobacterium.polymorphum,5
Bradyrhizobium.betae,5
Sphingobium.yanoikuyae,5
Paraburkholderia.fungorum,5
Ralstonia.pickettii,5
Neisseria.subflava,5
Aeromonas.hydrophila,5
Escherichia.coli,5
Acinetobacter.baumannii,5
Pseudomonas.aeruginosa,5
Listeria.monocytogenes,5
Staphylococcus.aureus,5
Staphylococcus.epidermidis,5
Candidatus.Nanopelagicus.limnes,4
Staphylococcus.hominis,4
Staphylococcus.saprophyticus,4
Dolosigranulum.pigrum,4
Lactobacillus.crispatus,4
Lactobacillus.iners,4
Lactobacillus.johnsonii,4
Ligilactobacillus.murinus,4
Limosilactobacillus.fermentum,4
Streptococcus.constellatus,4
Streptococcus.lactarius,4
Streptococcus.oralis,4
Faecalibacterium.prausnitzii,4
Pusillibacter.faecalis,4
Agathobacter.rectalis,4
Anaerobutyricum.hallii,4
Anaerostipes.hadrus,4
Blautia.wexlerae,4
Enterocloster.bolteae,4
Mediterraneibacter.gnavus,4
Roseburia.hominis,4
Clostridioides.difficile,4
Romboutsia.ilealis,4
Turicibacter.sp..TC023,4
Megamonas.funiformis,4
Dermacoccus.sp..PAMC28757,4
Bacteroides.eggerthii,4
Bacteroides.fragilis,4
Bacteroides.uniformis,4
Phocaeicola.coprophilus,4
Phocaeicola.vulgatus,4
Prevotella.corporis,4
Prevotella.melaninogenica,4
Segatella.copri,4
Capnocytophaga.sp..FDAARGOS 737,4
Janibacter.sp..CX7,4
Campylobacter.showae,4
Anabaena.sp..WA102,4
Thermus.sp..NEB1569,4
Thermus.thermophilus,4
Fusobacterium.nucleatum,4
Brevundimonas.fontaquae,4
Caulobacter.sp..FWC26,4
Pseudochrobactrum.algeriensis,4
Methylobacterium.sp..C1,4
Methylorubrum.populi,4
Bradyrhizobium.betae,4
Bradyrhizobium.sp..CB1015,4
Haematobacter.massiliensis,4
Agrococcus.sp..SL85,4
Sphingobium.sp..AntQ-1,4
Sphingobium.yanoikuyae,4
Sphingomonas.melonis,4
Sphingomonas.sp..AAP5,4
Cupriavidus.metallidurans,4
Paraburkholderia.fungorum,4
Ralstonia.insidiosa,4
Limnohabitans.sp..103DPR2,4
Caldimonas.thermodepolymerans,4
Microbacterium.lemovicicum,4
Eikenella.corrodens,4
Neisseria.subflava,4
Aeromonas.hydrophila,4
Escherichia.coli,4
Salmonella.enterica,4
Serratia.liquefaciens,4
Acinetobacter.indicus,4
Acinetobacter.johnsonii,4
Acinetobacter.lwoffii,4
