Species,Abundance
Jeotgalibaca.porci,10
Prevotella.corporis,10
Bifidobacterium.catenulatum,9
Prevotella.corporis,9
Bacteroides.eggerthii,8
Fusobacterium.nucleatum,8
Fusobacterium.nucleatum,7
Gardnerella.vaginalis,6
Bacteroides.eggerthii,6
Prevotella.corporis,6
Fusobacterium.nucleatum,6
Veillonella.nakazawae,5
Veillonella.sp..S12025-13,5
Prevotella.corporis,5
Bifidobacterium.catenulatum,4
Mycolicibacterium.fortuitum,4
Bacteroides.eggerthii,4
Phocaeicola.coprophilus,4
Prevotella.corporis,4
Capnocytophaga.sp..FDAARGOS 737,4
Fusobacterium.nucleatum,4
Pseudomonas.fragi,4
Streptococcus.koreensis,3
Bifidobacterium.catenulatum,2
Corynebacterium.glaucum,2
Mycolicibacterium.thermoresistibile,2
Enterococcus.cecorum,2
Lactobacillus.gasseri,2
Gardnerella.vaginalis,2
Lactococcus.raffinolactis,2
Streptococcus.koreensis,2
Streptomyces.albus,2
Clostridium.perfringens,2
Lachnoanaerobaculum.umeaense,2
Faecalibaculum.rodentium,2
Phascolarctobacterium.faecium,2
Veillonella.nakazawae,2
Veillonella.sp..S12025-13,2
Peptoniphilus.harei,2
Bacteroides.caccae,2
Bacteroides.eggerthii,2
Phocaeicola.coprophilus,2
Prevotella.corporis,2
Prevotella.denticola,2
Prevotella.jejuni,2
Capnocytophaga.sp..FDAARGOS 737,2
Sphingobacterium.sp..UDSM-2020,2
Fusobacterium.nucleatum,2
Sphingomonas.koreensis,2
Neisseria.sp..Marseille-Q5346,2
Pseudomonas.fragi,2
Bifidobacterium.catenulatum,1
Granulicatella.adiacens,1
Lactococcus.raffinolactis,1
Streptococcus.koreensis,1
Veillonella.nakazawae,1
Veillonella.sp..S12025-13,1
Peptoniphilus.harei,1
Bacteroides.eggerthii,1
Prevotella.jejuni,1
Fusobacterium.nucleatum,1
Neisseria.sp..Marseille-Q5346,1
Neisseria.sp..RH3002v2g,1
