Species,Abundance
Corynebacterium.tuberculostearicum,10
Jeotgalibaca.porci,10
Prevotella.corporis,10
Bifidobacterium.catenulatum,9
Prevotella.corporis,9
Prevotella.melaninogenica,9
Staphylococcus.arlettae,8
Bacteroides.eggerthii,8
Fusobacterium.nucleatum,8
Fusobacterium.nucleatum,7
Heyndrickxia.coagulans,6
Jeotgalicoccus.sp..ATCC.8456,6
Staphylococcus.equorum,6
Staphylococcus.nepalensis,6
Gardnerella.vaginalis,6
Lactobacillus.johnsonii,6
Bacteroides.eggerthii,6
Prevotella.corporis,6
Prevotella.melaninogenica,6
Fusobacterium.nucleatum,6
Cupriavidus.gilardii,6
Micrococcus.sp..KBS0714,6
Veillonella.nakazawae,5
Veillonella.sp..S12025-13,5
Prevotella.corporis,5
Prevotella.melaninogenica,5
Neisseria.subflava,5
Aeromonas.hydrophila,5
Micrococcus.sp..KBS0714,5
Bifidobacterium.catenulatum,4
Corynebacterium.tuberculostearicum,4
Dietzia.kunjamensis,4
Mycolicibacterium.fortuitum,4
Heyndrickxia.coagulans,4
Lactobacillus.johnsonii,4
Streptococcus.gordonii,4
Enterocloster.bolteae,4
Bacteroides.eggerthii,4
Phocaeicola.coprophilus,4
Prevotella.corporis,4
Prevotella.melaninogenica,4
Capnocytophaga.sp..FDAARGOS 737,4
Fusobacterium.nucleatum,4
Pseudochrobactrum.algeriensis,4
Ralstonia.pickettii,4
Neisseria.subflava,4
Aeromonas.hydrophila,4
Micrococcus.sp..KBS0714,4
Pseudoxanthomonas.mexicana,4
Stenotrophomonas.acidaminiphila,4
Pseudomonas.fragi,4
Corynebacterium.tuberculostearicum,3
Streptococcus.koreensis,3
Streptococcus.sanguinis,3
Prevotella.melaninogenica,3
Ralstonia.pickettii,3
Neisseria.subflava,3
Aeromonas.hydrophila,3
Micrococcus.sp..KBS0714,3
Moraxella.osloensis,3
Actinomyces.pacaensis,2
Bifidobacterium.catenulatum,2
Corynebacterium.glaucum,2
Corynebacterium.tuberculostearicum,2
Dietzia.kunjamensis,2
Mycolicibacterium.thermoresistibile,2
Heyndrickxia.coagulans,2
Bifidobacterium.pseudolongum,2
Staphylococcus.nepalensis,2
Enterococcus.cecorum,2
Lactobacillus.gasseri,2
Gardnerella.vaginalis,2
Lactobacillus.johnsonii,2
Lactococcus.raffinolactis,2
Streptococcus.gordonii,2
Streptococcus.koreensis,2
Streptococcus.sanguinis,2
Streptococcus.sp..oral.taxon.064,2
Streptomyces.albus,2
Clostridium.perfringens,2
Enterocloster.bolteae,2
Lachnoanaerobaculum.umeaense,2
Lachnospira.eligens,2
Faecalibaculum.rodentium,2
Phascolarctobacterium.faecium,2
Megasphaera.stantonii,2
Veillonella.nakazawae,2
Dermacoccus.nishinomiyaensis,2
Veillonella.sp..S12025-13,2
Peptoniphilus.harei,2
Bacteroides.caccae,2
Bacteroides.eggerthii,2
Phocaeicola.coprophilus,2
Prevotella.corporis,2
Prevotella.denticola,2
Prevotella.histicola,2
Prevotella.jejuni,2
Prevotella.melaninogenica,2
Capnocytophaga.sp..FDAARGOS 737,2
Sphingobacterium.sp..UDSM-2020,2
Campylobacter.concisus,2
Fusobacterium.nucleatum,2
Paracoccus.yeei,2
Sphingomonas.koreensis,2
Cupriavidus.gilardii,2
Ralstonia.pickettii,2
Neisseria.sp..Marseille-Q5346,2
Neisseria.subflava,2
Candidatus.Methylopumilus.rimovensis,2
Aeromonas.hydrophila,2
Micrococcus.sp..KBS0714,2
Pseudoxanthomonas.mexicana,2
Stenotrophomonas.acidaminiphila,2
Acinetobacter.nosocomialis,2
Moraxella.osloensis,2
Pseudomonas.fragi,2
Bifidobacterium.catenulatum,1
Corynebacterium.tuberculostearicum,1
Granulicatella.adiacens,1
Lactobacillus.johnsonii,1
Lactococcus.raffinolactis,1
Streptococcus.koreensis,1
Streptococcus.sp..oral.taxon.064,1
Megasphaera.stantonii,1
Veillonella.nakazawae,1
Veillonella.sp..S12025-13,1
Peptoniphilus.harei,1
Bacteroides.eggerthii,1
Prevotella.histicola,1
Prevotella.jejuni,1
Prevotella.melaninogenica,1
Campylobacter.concisus,1
Fusobacterium.nucleatum,1
Neisseria.sp..Marseille-Q5346,1
Neisseria.sp..RH3002v2g,1
Neisseria.subflava,1
Aeromonas.hydrophila,1
