Species,Abundance
Streptococcus.thermophilus,110
Streptococcus.thermophilus,66
Streptococcus.thermophilus,58
Streptococcus.thermophilus,55
Streptococcus.thermophilus,54
Streptococcus.thermophilus,52
Streptococcus.thermophilus,49
Streptococcus.thermophilus,48
Streptococcus.thermophilus,45
Streptococcus.thermophilus,39
Streptococcus.thermophilus,37
Staphylococcus.saprophyticus,26
Veillonella.rogosae,26
Prevotella.intermedia,26
Veillonella.rogosae,24
Veillonella.rogosae,23
Staphylococcus.saprophyticus,22
Sphingomonas.sp..AAP5,21
Staphylococcus.epidermidis,19
Veillonella.rogosae,18
Klebsiella.aerogenes,16
Veillonella.rogosae,14
Acinetobacter.baumannii,14
Staphylococcus.epidermidis,12
Ligilactobacillus.murinus,12
Janibacter.sp..CX7,12
Klebsiella.aerogenes,12
Leclercia.adecarboxylata,12
Veillonella.rogosae,11
Klebsiella.aerogenes,11
Serratia.liquefaciens,11
Corynebacterium.tuberculostearicum,10
Jeotgalibaca.porci,10
Ligilactobacillus.murinus,10
Streptococcus.mitis,10
Veillonella.rogosae,10
Prevotella.corporis,10
Klebsiella.aerogenes,10
Leclercia.adecarboxylata,10
Serratia.liquefaciens,10
Bifidobacterium.catenulatum,9
Prevotella.corporis,9
Prevotella.melaninogenica,9
Klebsiella.aerogenes,9
Staphylococcus.arlettae,8
Staphylococcus.epidermidis,8
Ligilactobacillus.murinus,8
Streptococcus.mitis,8
Veillonella.rogosae,8
Bacteroides.eggerthii,8
Meiothermus.ruber,8
Fusobacterium.nucleatum,8
Klebsiella.aerogenes,8
Leclercia.adecarboxylata,8
Veillonella.rogosae,7
Fusobacterium.nucleatum,7
Klebsiella.aerogenes,7
Acinetobacter.indicus,7
Heyndrickxia.coagulans,6
Peribacillus.psychrosaccharolyticus,6
Jeotgalicoccus.sp..ATCC.8456,6
Staphylococcus.epidermidis,6
Staphylococcus.equorum,6
Staphylococcus.nepalensis,6
Dolosigranulum.pigrum,6
Gardnerella.vaginalis,6
Lactobacillus.johnsonii,6
Ligilactobacillus.murinus,6
Veillonella.rogosae,6
Bacteroides.eggerthii,6
Prevotella.corporis,6
Prevotella.melaninogenica,6
Fusobacterium.nucleatum,6
Kocuria.rosea,6
Cupriavidus.gilardii,6
Limnohabitans.sp..103DPR2,6
Neisseria.sicca,6
Micrococcus.sp..KBS0714,6
Klebsiella.aerogenes,6
Leclercia.adecarboxylata,6
Proteus.mirabilis,6
Acinetobacter.baumannii,6
Acinetobacter.indicus,6
Pseudomonas.fluorescens,6
Pseudomonas.sp..DY-1,6
Staphylococcus.epidermidis,5
Veillonella.nakazawae,5
Veillonella.sp..S12025-13,5
Prevotella.corporis,5
Prevotella.melaninogenica,5
Neisseria.subflava,5
Aeromonas.hydrophila,5
Micrococcus.sp..KBS0714,5
Klebsiella.aerogenes,5
Leclercia.adecarboxylata,5
Proteus.mirabilis,5
Pseudomonas.fluorescens,5
Bifidobacterium.catenulatum,4
Corynebacterium.aquatimens,4
Corynebacterium.tuberculostearicum,4
Dietzia.kunjamensis,4
Mycolicibacterium.fortuitum,4
Mycolicibacterium.litorale,4
Heyndrickxia.coagulans,4
Staphylococcus.epidermidis,4
Staphylococcus.saprophyticus,4
Dolosigranulum.pigrum,4
Lactobacillus.johnsonii,4
Ligilactobacillus.murinus,4
Streptococcus.gordonii,4
Streptococcus.mitis,4
Enterocloster.bolteae,4
Veillonella.rogosae,4
Bacteroides.eggerthii,4
Phocaeicola.coprophilus,4
Prevotella.corporis,4
Janibacter.sp..CX7,4
Prevotella.melaninogenica,4
Capnocytophaga.sp..FDAARGOS 737,4
Thermus.sp..NEB1569,4
Fusobacterium.nucleatum,4
Pseudochrobactrum.algeriensis,4
Sphingomonas.sp..AAP5,4
Ralstonia.pickettii,4
Limnohabitans.sp..103DPR2,4
Neisseria.subflava,4
Aeromonas.hydrophila,4
Micrococcus.sp..KBS0714,4
Klebsiella.aerogenes,4
Leclercia.adecarboxylata,4
Proteus.mirabilis,4
Serratia.liquefaciens,4
Pseudoxanthomonas.mexicana,4
Stenotrophomonas.acidaminiphila,4
Acinetobacter.baumannii,4
Acinetobacter.indicus,4
Acinetobacter.radioresistens,4
Rothia.mucilaginosa,4
Pseudomonas.fluorescens,4
Pseudomonas.fragi,4
Corynebacterium.tuberculostearicum,3
Ligilactobacillus.murinus,3
Streptococcus.koreensis,3
Streptococcus.sanguinis,3
Veillonella.rogosae,3
Janibacter.sp..CX7,3
Prevotella.melaninogenica,3
Ralstonia.pickettii,3
Neisseria.subflava,3
Aeromonas.hydrophila,3
Micrococcus.sp..KBS0714,3
Klebsiella.aerogenes,3
Leclercia.adecarboxylata,3
Proteus.mirabilis,3
Serratia.liquefaciens,3
Acinetobacter.baumannii,3
Acinetobacter.radioresistens,3
Moraxella.osloensis,3
Pseudomonas.fluorescens,3
Actinomyces.pacaensis,2
