Species,Abundance,filter_step
Achromobacter.xylosoxidans,2,Before any filtering
Acidovorax.temperans,54,Before any filtering
Acinetobacter.baumannii,28,Before any filtering
Acinetobacter.guillouiae,3,Before any filtering
Acinetobacter.indicus,20,Before any filtering
Acinetobacter.johnsonii,382,Before any filtering
Acinetobacter.junii,2,Before any filtering
Acinetobacter.lwoffii,22,Before any filtering
Acinetobacter.nosocomialis,2,Before any filtering
Acinetobacter.radioresistens,6,Before any filtering
Acinetobacter.schindleri,3,Before any filtering
Acinetobacter.seifertii,2,Before any filtering
Acinetobacter.soli,5,Before any filtering
Acinetobacter.sp..Colony158,2,Before any filtering
Acinetobacter.sp..TAC-1,3,Before any filtering
Acinetobacter.sp..TTH0-4,8,Before any filtering
Acinetobacter.sp..Tol.5,2,Before any filtering
Acinetobacter.ursingii,9,Before any filtering
Actinomyces.oris,3,Before any filtering
Actinomyces.pacaensis,2,Before any filtering
Actinomyces.viscosus,2,Before any filtering
Aeromonas.hydrophila,14,Before any filtering
Agathobacter.rectalis,6,Before any filtering
Aggregatibacter.sp..2125159857,11,Before any filtering
Agrobacterium.tumefaciens,2,Before any filtering
Agrococcus.sp..Marseille-Q4369,2,Before any filtering
Agrococcus.sp..SL85,4,Before any filtering
Akkermansia.muciniphila,2,Before any filtering
Alcaligenes.faecalis,24,Before any filtering
Alistipes.dispar,2,Before any filtering
Alistipes.finegoldii,1,Before any filtering
Anabaena.sp..WA102,7,Before any filtering
Anaerobutyricum.hallii,6,Before any filtering
Anaerostipes.hadrus,11,Before any filtering
Arachnia.propionica,4,Before any filtering
Bacillus.spizizenii,65,Before any filtering
Bacteroides.caccae,2,Before any filtering
Bacteroides.eggerthii,18,Before any filtering
Bacteroides.fragilis,120,Before any filtering
Bacteroides.intestinalis,2,Before any filtering
Bacteroides.ovatus,3,Before any filtering
Bacteroides.salyersiae,2,Before any filtering
Bacteroides.stercoris,2,Before any filtering
Bacteroides.thetaiotaomicron,2,Before any filtering
Bacteroides.uniformis,17,Before any filtering
Bacteroides.xylanisolvens,2,Before any filtering
Bifidobacterium.adolescentis,37,Before any filtering
Bifidobacterium.catenulatum,10,Before any filtering
Bifidobacterium.longum,6,Before any filtering
Bifidobacterium.pseudolongum,2,Before any filtering
Blautia.coccoides,2,Before any filtering
Blautia.pseudococcoides,2,Before any filtering
Blautia.wexlerae,23,Before any filtering
Brachybacterium.sp..GU-2,2,Before any filtering
Bradyrhizobium.betae,19,Before any filtering
Bradyrhizobium.sp..BTAi1,13,Before any filtering
Bradyrhizobium.sp..CB1015,19,Before any filtering
Bradyrhizobium.sp..sBnM-33,12,Before any filtering
Brevibacterium.sp..CS2,2,Before any filtering
Brevundimonas.fontaquae,4,Before any filtering
Brevundimonas.pondensis,2,Before any filtering
Brucella.intermedia,2,Before any filtering
Burkholderia.anthina,1,Before any filtering
Burkholderia.contaminans,2,Before any filtering
Butyrivibrio.crossotus,2,Before any filtering
Caldibacillus.thermoamylovorans,25,Before any filtering
Caldimonas.thermodepolymerans,4,Before any filtering
Campylobacter.concisus,3,Before any filtering
Campylobacter.rectus,2,Before any filtering
Campylobacter.showae,4,Before any filtering
Candidatus.Methylopumilus.rimovensis,2,Before any filtering
Candidatus.Nanopelagicus.limnes,6,Before any filtering
Candidatus.Nanosynbacter.sp..HMT-352,2,Before any filtering
Candidatus.Planktophila.versatilis,1,Before any filtering
Capnocytophaga.gingivalis,3,Before any filtering
Capnocytophaga.sp..FDAARGOS 737,6,Before any filtering
Caulobacter.flavus,2,Before any filtering
Caulobacter.sp..FWC26,4,Before any filtering
Citricoccus.muralis,2,Before any filtering
Clavibacter.californiensis,2,Before any filtering
Cloacibacterium.caeni,2,Before any filtering
Clostridioides.difficile,22,Before any filtering
Clostridium.perfringens,2,Before any filtering
Collinsella.aerofaciens,4,Before any filtering
Comamonas.terrigena,6,Before any filtering
Comamonas.testosteroni,2,Before any filtering
Coprococcus.catus,3,Before any filtering
Corynebacterium.accolens,2,Before any filtering
Corynebacterium.afermentans,6,Before any filtering
Corynebacterium.aquatimens,2,Before any filtering
Corynebacterium.aurimucosum,2,Before any filtering
Corynebacterium.coyleae,20,Before any filtering
Corynebacterium.doosanense,1,Before any filtering
Corynebacterium.freneyi,2,Before any filtering
Corynebacterium.glaucum,2,Before any filtering
Corynebacterium.gottingense,2,Before any filtering
Corynebacterium.hadale,2,Before any filtering
Corynebacterium.jeikeium,2,Before any filtering
Corynebacterium.kefirresidentii,6,Before any filtering
Corynebacterium.matruchotii,6,Before any filtering
Corynebacterium.propinquum,3,Before any filtering
Corynebacterium.pseudodiphtheriticum,9,Before any filtering
Corynebacterium.pyruviciproducens,2,Before any filtering
Corynebacterium.riegelii,5,Before any filtering
Corynebacterium.simulans,6,Before any filtering
Corynebacterium.singulare,6,Before any filtering
Corynebacterium.sp..ATCC.6931,2,Before any filtering
Corynebacterium.sp..SCR221107,4,Before any filtering
Corynebacterium.sp..Z-1,2,Before any filtering
