ProbeName,TargetName,Target_Name,HUGOSymbol,Accessions,AnalyteType,CodeClass,TargetGroup
DPROT_01220.1,Ms IgG1,Ms IgG1,,,Protein,Negative,"All Targets, Background"
DPROT_00020.1,GAPDH,GAPDH,GAPDH,"P04406,V9HVZ4",Protein,Control,"All Targets, Normalization"
DPROT_00540.1,Calreticulin,Calreticulin,CALR,"V9HW88,P27797",Protein,Control,"All Targets, ER Control"
DPROT_01222.1,Hmr IgG,Hmr IgG,,,Protein,Negative,"All Targets, Background"
DPROT_00640.1,Rt IgG2a,Rt IgG2a,,,Protein,Negative,"All Targets, Background"
DPROT_01219.1,Rb IgG,Rb IgG,,,Protein,Negative,"All Targets, Background"
DPROT_01221.1,Ms IgG2b,Ms IgG2b,,,Protein,Negative,"All Targets, Background"
DPROT_01225.1,TOMM20,TOMM20,TOMM20,"Q15388,A0A024R3W2",Protein,Control,"All Targets, Mitochondrial Control"
DPROT_01224.1,RPS6,RPS6,RPS6,"P62753,A2A3R6",Protein,Control,"All Targets, Normalization"
DPROT_01223.1,Histone H3,Histone H3,"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Control,"All Targets, Normalization"
DPROT_00820.1,Carbonic Anhydrase 3/CA3,Carbonic Anhydrase 3/CA3,CA3,"V9HWA3,P07451",Protein,Endogenous,"All Targets, Oxidative Stress"
DPROT_01128.1,Cyclin E2,Cyclin E2,CCNE2,"A0A024R9B0,O96020",Protein,Endogenous,"All Targets, p53 Signaling, PI3K-Akt Signaling, Senescence, Cell Cycle"
DPROT_01105.1,Cytokeratin 17,Cytokeratin 17,KRT17,"Q14666,Q04695",Protein,Endogenous,"All Targets, Estrogen Signaling, Differentiation"
DPROT_00821.1,AKT3 + AKT2 + AKT1,AKT3 + AKT2 + AKT1,"AKT1,AKT2,AKT3","P31749,P31751,B3KVH4,B0LPE5,B4DG79,Q9Y243",Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, Notch Signaling, VEGF Signaling, ERBB2 Signaling, Cell Adhesion & Motility, Apoptosis, Myeloid Inflammation, Oxidative Stress, p53 Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Other Interleukin Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, HIF1 Signaling, TLR Signaling, JAK-STAT Signaling, Senescence, Wnt Signaling, Cell Cycle, AMPK Signaling, EMT"
DPROT_01199.1,Hsp90,Hsp90,"HSP90AB1,HSP90AA1","A0A024RD80,P08238,B4DGL0,Q6PK50,K9JA46,Q86SX1,P07900",Protein,Endogenous,"All Targets, VEGF Signaling, TH17 Differentiation, ERBB2 Signaling, Proteotoxic Stress, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, Other Interleukin Signaling, Autophagy, Cell Cycle"
DPROT_00739.1,HLA-DPB1,HLA-DPB1,HLA-DPB1,"P04440,I4EC15",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Type II Interferon Signaling, TCR Signaling, MHC Class II Antigen Presentation"
DPROT_00516.1,EGFR (phospho Y1068),EGFR (phospho Y1068),EGFR,"P00533,B7Z2I3,E7BSV0,E9PFD7,Q504U8,F2YGG7",Protein,Endogenous,"All Targets, Notch Signaling, ERBB2 Signaling, Cell Adhesion & Motility, Oxidative Stress, Endocytosis, EGFR Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, HIF1 Signaling, JAK-STAT Signaling, NO Signaling, EMT"
DPROT_00778.1,IL-1 beta,IL-1 beta,IL1B,P01584,Protein,Endogenous,"All Targets, TNF Signaling, TH17 Differentiation, NF-kB Signaling, MAPK Signaling, Other Interleukin Signaling, TLR Signaling, IL-1 Signaling, EMT"
DPROT_01186.1,Lactate Dehydrogenase,Lactate Dehydrogenase,"LDHA,LDHB","P00338,Q5U077,P07195,V9HWB9",Protein,Endogenous,"All Targets, Glycolysis & Glucose Transport, Myc, Oxidative Stress, mTOR Signaling, HIF1 Signaling, Mitochondrial Metabolism / TCA"
DPROT_00919.1,BRG1,BRG1,SMARCA4,"B3KNW7,Q9HBD4,A7E2E1,P51532",Protein,Endogenous,"All Targets, Androgen Signaling, Epigenetic Modification, Differentiation, Other Interleukin Signaling, Wnt Signaling"
DPROT_00831.1,FABP4,FABP4,FABP4,"E7DVW4,P15090",Protein,Endogenous,"All Targets, Lipid Metabolism, Differentiation, PPAR Signaling"
DPROT_01059.1,GNLY/Granulysin,GNLY/Granulysin,GNLY,"P22749,B4E3H9",Protein,Endogenous,All Targets
DPROT_00541.1,c-Maf,c-Maf,MAF,"H3BP11,O75444",Protein,Endogenous,"All Targets, Androgen Signaling, Epigenetic Modification, TH2 Differentiation"
DPROT_01185.1,EMR1/ADGRE1,EMR1/ADGRE1,ADGRE1,"Q14246,A8K653,A8K2Y6",Protein,Endogenous,All Targets
DPROT_01085.1,IKK beta,IKK beta,IKBKB,O14920,Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, NF-kB Signaling, Apoptosis, Myeloid Inflammation, MHC Class I Antigen Presentation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, mTOR Signaling, Chemokine Signaling, TCR Signaling, IL-17 Signaling, TLR Signaling, IL-1 Signaling"
DPROT_00745.1,ST2,ST2,IL1RL1,Q01638,Protein,Endogenous,"All Targets, IL-1 Signaling"
DPROT_01100.1,HDAC6,HDAC6,HDAC6,"Q9UBN7,Q9NSW6,Q9BRX7,B4DZH6,A0A024QZ26",Protein,Endogenous,"All Targets, Notch Signaling, Androgen Signaling, Oxidative Stress, Autophagy"
