SampleID,Sample_ID,FileVersion,SoftwareVersion,Date,Plate_ID,Well,SeqSetId,Raw,Trimmed,Stitched,Aligned,umiQ30,rtsQ30,DeduplicatedReads,roi
DSP-1001660022407-Y-A04,DSP-1001660022407-Y-A04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A04,A00728:1032:HNTG7DMXY,40224860,40190941,39933171,37855662,0.9942,0.9944,2358582,3
DSP-1001660022407-Y-A05,DSP-1001660022407-Y-A05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A05,A00728:1032:HNTG7DMXY,25835913,25775968,25597072,24281375,0.994,0.9937,1798425,4
DSP-1001660022407-Y-A06,DSP-1001660022407-Y-A06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A06,A00728:1032:HNTG7DMXY,39839686,39805713,39549881,37483284,0.9944,0.994,2113594,5
DSP-1001660022407-Y-A07,DSP-1001660022407-Y-A07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A07,A00728:1032:HNTG7DMXY,29420961,29386590,29199264,27619935,0.9944,0.9935,2049772,6
DSP-1001660022407-Y-A08,DSP-1001660022407-Y-A08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A08,A00728:1032:HNTG7DMXY,10785948,10762625,10692137,10126521,0.9943,0.9934,998795,7
DSP-1001660022407-Y-A09,DSP-1001660022407-Y-A09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A09,A00728:1032:HNTG7DMXY,23774891,23748610,23595146,22281041,0.9946,0.9939,1517006,8
DSP-1001660022407-Y-A10,DSP-1001660022407-Y-A10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A10,A00728:1032:HNTG7DMXY,34170689,34116440,33886891,31974638,0.9944,0.9936,2590841,9
DSP-1001660022407-Y-A11,DSP-1001660022407-Y-A11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A11,A00728:1032:HNTG7DMXY,41172292,41124247,40858681,38552571,0.9945,0.9939,3168218,10
DSP-1001660022407-Y-A12,DSP-1001660022407-Y-A12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,A12,A00728:1032:HNTG7DMXY,31002248,30971840,30770555,29133152,0.9943,0.9939,1825852,11
DSP-1001660022407-Y-B01,DSP-1001660022407-Y-B01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,B01,A00728:1032:HNTG7DMXY,28982344,28955257,28774488,27265035,0.9942,0.9937,1602914,12
