Algorithm Name,ROI,Total Cells,DAPI Positive Cells,CD56,CD8,CD4,Foxp3,GZMB,CD16,CD8+ GZMB - Cells,CD8+ GZMB+ Cells,CD8- CD4+ Cells,CD4+ FOXP3- Cells,CD4+ FOXP3+ Cells,CD8- CD16+ GZMB- Cells,CD8- CD16+ GZMB+ Cells,CD16+ CD56+ Cells,CD16+ CD56- Cells,CD16+ CD56+ GZMB+ Cells,CD16+ CD56- GZMB- Cells,DAPI Avg Cell Intensity,CD56 Avg Cell Intensity,CD8 Avg Cell Intensity,CD4 Avg Cell Intensity,Foxp3 Avg Cell Intensity,GZMB Avg Cell Intensity,CD16 Avg Cell Intensity
Lymphoid-BM-041924 - HighPlex FL v4.2.3,3,463,463,0,11,0,0,3,1,11,0,0,0,0,0,0,0,1,0,1,112.611626,1.288503,2.747013,2.864229,0.000816,0.593036,1.600302
Lymphoid-BM-041924 - HighPlex FL v4.2.3,4,412,412,0,2,1,0,2,1,1,1,0,1,0,1,0,0,1,0,1,91.03476,0.103162,0.437043,0.256553,0,0.302391,1.99734
Lymphoid-BM-041924 - HighPlex FL v4.2.3,5,442,442,0,5,1,0,8,1,5,0,0,1,0,1,0,0,1,0,1,105.526405,0.663238,1.546533,1.090473,0.001601,1.770437,1.859656
Lymphoid-BM-041924 - HighPlex FL v4.2.3,6,394,394,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,77.667946,0.003887,0.034196,0.018895,0,0.647807,0.612529
Lymphoid-BM-041924 - HighPlex FL v4.2.3,7,545,545,4,141,52,1,0,0,141,0,0,51,1,0,0,0,0,0,0,137.421021,13.61591,21.446218,19.511673,0.892306,0.006002,0.185329
Lymphoid-BM-041924 - HighPlex FL v4.2.3,8,364,364,8,44,21,7,0,0,44,0,0,14,7,0,0,0,0,0,0,84.034843,11.343602,15.10033,13.420209,2.406051,0.03248,0.385285
Lymphoid-BM-041924 - HighPlex FL v4.2.3,9,343,343,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,77.626411,1.754892,0.403356,0.50923,0,0.30877,0.106602
Lymphoid-BM-041924 - HighPlex FL v4.2.3,10,402,402,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,77.297798,0.188727,0.377086,0.509612,0.162814,0.142344,0.517456
Lymphoid-BM-041924 - HighPlex FL v4.2.3,11,448,448,0,0,0,0,4,13,0,0,0,0,0,13,0,0,13,0,13,90.984497,0.100371,0.009112,0.008217,0,0.561508,2.379745
Lymphoid-BM-041924 - HighPlex FL v4.2.3,12,428,428,0,7,2,0,3,0,7,0,0,2,0,0,0,0,0,0,0,86.474876,0.764546,0.900087,1.197107,0,0.34748,0.101168
Lymphoid-BM-041924 - HighPlex FL v4.2.3,13,413,413,3,12,6,0,1,2,12,0,0,6,0,2,0,0,2,0,2,128.471451,2.240523,3.782816,3.439111,0.292247,0.18807,1.662629
Lymphoid-BM-041924 - HighPlex FL v4.2.3,14,362,362,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,84.151787,2.495309,0.372927,0.394805,0.004233,0.056529,0.402441
Lymphoid-BM-041924 - HighPlex FL v4.2.3,16,486,486,0,1,3,6,10,11,0,1,3,0,3,11,0,0,11,0,11,93.394508,0.731552,0.33486,1.117245,2.291092,2.384263,3.09395
Lymphoid-BM-041924 - HighPlex FL v4.2.3,17,394,394,51,197,83,4,8,58,190,7,2,79,4,17,0,21,37,0,36,81.001602,72.161201,28.407902,28.004812,2.061162,4.693829,10.772512
Lymphoid-BM-041924 - HighPlex FL v4.2.3,18,517,517,0,1,0,0,3,8,1,0,0,0,0,6,2,0,8,0,6,88.393753,0.283529,0.237726,0.235668,0.000901,1.143445,4.468437
Lymphoid-BM-041924 - HighPlex FL v4.2.3,19,505,505,0,70,48,8,5,1,68,2,0,43,5,1,0,0,1,0,1,92.897583,9.550249,16.751326,16.495819,1.682811,1.159854,2.463636
Lymphoid-BM-041924 - HighPlex FL v4.2.3,20,302,302,33,97,45,10,8,43,92,5,1,37,8,15,0,18,25,2,24,60.808083,60.2565,27.639673,23.058657,3.99164,3.331903,11.690084
Lymphoid-BM-041924 - HighPlex FL v4.2.3,22,177,177,30,20,0,0,81,1,14,6,0,0,0,0,1,0,1,0,0,82.578239,72.07531,4.50748,1.478384,0,22.438307,4.729803
Lymphoid-BM-041924 - HighPlex FL v4.2.3,24,426,426,6,20,6,1,13,0,12,8,3,5,1,0,0,0,0,0,0,94.071396,6.581132,4.0427,4.28987,0.448794,2.166136,1.436687
Lymphoid-BM-041924 - HighPlex FL v4.2.3,26,460,460,0,7,3,2,12,0,1,6,1,2,1,0,0,0,0,0,0,84.273132,0.370869,0.955028,2.035166,0.673371,2.343282,0.398925
Lymphoid-BM-041924 - HighPlex FL v4.2.3,27,479,479,0,22,11,2,62,0,2,20,6,10,1,0,0,0,0,0,0,81.720856,0.035726,2.204895,6.886315,0.949398,12.367358,1.010178
Lymphoid-BM-041924 - HighPlex FL v4.2.3,28,451,451,0,18,54,2,20,0,6,12,44,53,1,0,0,0,0,0,0,78.931534,0.71995,3.20939,14.102531,0.743938,5.673048,1.427638
Lymphoid-BM-041924 - HighPlex FL v4.2.3,29,398,398,0,20,2,0,1,0,20,0,1,2,0,0,0,0,0,0,0,53.530083,3.823064,4.129804,6.526923,0.000802,0.393238,0.102405
Lymphoid-BM-041924 - HighPlex FL v4.2.3,30,382,382,5,94,57,2,2,13,92,2,8,55,2,5,0,2,11,0,11,57.037537,25.572323,23.99135,27.309793,0.897294,0.56733,2.712802
Lymphoid-BM-041924 - HighPlex FL v4.2.3,31,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.840134,0.086884,0.189031,0.198241,0,0.012646,0.000429
Lymphoid-BM-041924 - HighPlex FL v4.2.3,32,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.27739,0.017268,0.021422,0.023218,0,0.006942,0.002476
Lymphoid-BM-041924 - HighPlex FL v4.2.3,33,406,406,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,93.852074,0.096469,0.297632,0.322597,0,0.014515,0.018397
Lymphoid-BM-041924 - HighPlex FL v4.2.3,34,440,440,0,7,5,0,1,1,7,0,0,5,0,1,0,0,1,0,1,108.39109,0.804456,2.445284,2.74743,0.189586,0.12442,0.529813
Lymphoid-BM-041924 - HighPlex FL v4.2.3,35,417,417,2,17,1,0,21,0,3,14,1,1,0,0,0,0,0,0,0,83.76091,2.167516,2.183929,1.571503,0.205508,5.762612,1.0297
Lymphoid-BM-041924 - HighPlex FL v4.2.3,36,480,480,0,18,2,3,60,0,1,17,0,2,0,0,0,0,0,0,0,84.304283,0.162261,1.808331,3.592239,0.913381,12.65158,0.388959
Lymphoid-BM-041924 - HighPlex FL v4.2.3,37,434,434,2,20,25,1,18,0,4,16,13,24,1,0,0,0,0,0,0,75.502937,1.932799,2.761816,9.011966,0.419192,4.6747,0.524506
Lymphoid-BM-041924 - HighPlex FL v4.2.3,38,428,428,1,12,33,0,5,0,9,3,28,33,0,0,0,0,0,0,0,89.100197,9.446465,2.69616,13.950534,0.031862,1.468755,0.267952
