Algorithm Name,ROI,Total Cells,DAPI Positive Cells,IBA1,CD163,CD206,ARG1,CD11b,CD11c,IBA1+ CD163+ Cells,IBA1+ CD206+ Cells,IBA1+ ARG1+ Cells,IBA1+ CD11b+ Cells,IBA1+ CD11c+ Cells,IBA1+ CD163+ CD206+ ARG1+ Cells,IBA1+ CD163+ CD206+ ARG1- Cells,CD11b+ CD11c+ Cells,CD11b+ CD11c+ CD206+ Cells,CD11b+ CD11c- Cells,CD11b+ ARG1+ Cells,IBA1+ CD163- CD206- ARG1- Cells,CD11b+ CD163- CD206- Cells,IBA1+ CD11b+ CD163+ CD206+ Cells,DAPI Avg Cell Intensity,IBA1 Avg Cell Intensity,CD163 Avg Cell Intensity,CD206 Avg Cell Intensity,ARG1 Avg Cell Intensity,CD11b Avg Cell Intensity,CD11c Avg Cell Intensity
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,95,267,263,17,134,81,3,167,20,17,17,1,17,3,1,16,13,7,154,3,0,0,17,42.524891,7.047266,73.964844,26.258833,1.545545,15.117818,5.309007
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,94,672,671,57,113,43,11,218,14,54,21,6,56,9,6,15,13,6,205,10,3,2,21,72.113419,6.233972,29.322485,7.722208,0.24781,5.70435,1.341969
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,93,546,517,203,119,15,3,61,99,107,12,0,46,84,0,10,19,1,42,3,94,5,7,30.271564,23.165579,31.165241,2.09884,0.749465,1.014398,9.882876
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,92,577,549,123,122,35,0,296,203,45,11,0,74,98,0,11,114,25,182,0,78,35,11,32.851295,12.17118,34.661823,4.697907,0.022675,6.60669,19.219217
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,90,274,270,36,152,86,1,38,179,31,19,0,15,33,0,17,34,27,4,1,3,1,11,42.91473,9.496297,85.521149,18.695152,0.357524,2.500622,31.702721
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,9,258,255,21,77,15,1,31,10,21,8,0,13,4,0,8,7,2,24,1,0,0,7,61.108696,6.379734,45.718849,4.700274,0.765668,1.598083,3.265773
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,89,295,294,0,254,241,1,70,192,0,0,0,0,0,0,0,59,57,11,1,0,0,0,46.39872,0.695608,125.222153,87.090988,0.286102,2.52916,33.056675
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,88,270,268,30,201,198,6,157,133,30,28,5,29,25,5,23,101,97,56,6,0,0,27,46.580025,7.993412,103.182266,75.517624,0.573248,9.5883,21.525417
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,87,418,412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.889366,0.036109,0.320153,0.099766,0,0.000951,0.014203
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,86,437,430,0,95,97,10,68,105,0,0,0,0,0,0,0,63,59,5,2,0,0,0,60.176674,1.037601,36.0149,19.489651,0.71047,1.968531,18.048237
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,85,493,489,5,94,27,10,11,60,5,3,0,1,1,0,3,4,2,7,1,0,0,1,74.41156,1.317683,30.314962,6.179862,0.29042,0.161226,6.440789
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,84,467,463,2,1,0,4,2,4,1,0,0,0,0,0,0,0,0,2,2,1,0,0,75.058167,0.157022,0.291155,0.021376,0.76408,0.058702,0.339549
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,83,391,386,42,36,27,0,1,40,20,14,0,0,6,0,11,0,0,1,0,19,0,0,45.770725,9.248375,16.951416,5.647978,0.047504,0.071156,7.792406
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,82,416,411,37,7,3,1,1,23,1,0,0,0,5,0,0,0,0,1,1,36,0,0,48.891827,8.266855,4.804521,0.614108,0.162344,0.045992,3.496068
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,81,291,289,3,13,2,0,0,18,2,0,0,0,1,0,0,0,0,0,0,1,0,0,61.355301,0.43412,8.905325,0.766764,0.000412,0.001478,3.228825
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,80,546,546,37,18,166,1,9,4,14,6,0,7,2,0,2,2,0,7,0,19,3,0,76.936218,5.977072,6.991108,17.806725,0.092053,0.160773,0.557582
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,8,264,258,20,44,25,1,34,0,19,18,0,17,0,0,18,0,0,34,1,1,0,16,61.218948,5.64156,28.265886,8.141745,0.163482,1.949444,0.325484
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,79,578,577,39,13,98,6,2,3,11,3,3,2,3,1,1,0,0,2,0,25,0,1,74.692474,5.399573,4.964467,10.853429,0.759076,0.082105,0.522506
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,78,684,658,0,489,5,2,109,22,0,0,0,0,0,0,0,4,0,105,0,0,0,0,62.934242,0.000724,89.03614,1.146471,0.03535,2.512521,2.19596
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,77,627,620,3,53,6,21,42,187,2,2,0,1,2,0,1,22,1,20,9,0,0,1,102.881538,0.594425,17.354689,1.130424,1.456864,0.859203,21.988693
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,76,296,282,11,53,6,75,150,79,6,3,5,11,7,1,2,69,3,81,70,3,5,3,67.201195,2.870988,31.988045,2.117976,21.224625,16.084278,22.405396
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,75,453,443,0,443,14,40,423,111,0,0,0,0,0,0,0,107,6,316,40,0,0,0,70.198463,0.077967,125.112328,6.779768,2.327885,14.384457,14.355787
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,74,358,355,1,43,7,13,193,65,1,0,0,1,0,0,0,36,4,157,12,0,0,0,87.964447,0.305089,27.889929,1.432223,0.976395,4.247429,15.14445
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,72,249,236,5,5,0,7,8,38,2,0,0,1,2,0,0,5,0,3,4,3,0,0,44.615177,2.661619,6.186958,0.060947,2.532675,0.921121,12.355915
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,71,6,6,1,2,0,0,4,2,1,0,0,1,1,0,0,2,0,2,0,0,0,0,24.862856,16.196314,56.298626,1.337037,0,7.169332,14.58285
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,70,554,526,162,179,2,0,43,227,105,1,0,22,109,0,1,21,0,22,0,57,1,0,27.624115,13.96923,42.068737,0.344337,0.00254,0.758874,22.12953
