Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
IGHA1,0.002905083,1,0.003228559,0.004831723,0.005207927,0.003493953,0.005916432,0.001235645,0.002735722,0.005244092,0.004916352,0.01256195,0.003724316,0.007038238,0.000609354,0.000591192,0.00187986,0.000742655,0.000982625,0.000608675,0.000635777,0.000372688
JCHAIN,0.005854213,1,0.01735876,0.00636421,0.004609804,0.02812025,0.005938505,0.007883732,0.006689336,0.006199927,0.013271445,0.004154226,0.007112218,0.005986834,0.003810217,0.001071693,0.0033283,0.001796555,0.003203738,0.001944739,0.00293964,0.001114709
IGLL5,0.004189043,1,0.011213028,0.0079435,0.014966857,0.004938708,0.015021022,0.002529346,0.009980645,0.007294772,0.019396772,0.021116402,0.011331446,0.011127676,0.003375413,0.001428979,0.002249269,0.001109378,0.00248625,0.00090757,0.001235101,0.000965649
IGKC,0.004270987,1,0.027925053,0.01672543,0.010159147,0.033156608,0.020881298,0.010554983,0.007378347,0.010328881,0.030658268,0.066412037,0.013635194,0.013436074,0.003699221,0.002069217,0.005151731,0.00150948,0.008038248,0.002155286,0.00290708,0.001945109
IGLC1/2,0.005384045,1,0.015385798,0.021120572,0.017072332,0.008387424,0.024444429,0.006913227,0.01793047,0.009488118,0.0170693,0.009086334,0.01773427,0.016289825,0.006948672,0.003786736,0.008024714,0.003901057,0.006624989,0.002201149,0.002823513,0.001666476
TTR,0.014275846,0.004646271,0.028774943,0.030879347,0.028124409,0.067134648,0.011345252,0.015289633,0.016853033,0.039259773,0,0,0.041395531,0.007984692,0.033331419,0.00781682,0.020741284,1,0.01619865,0.009088043,0.010732904,0.005110256
PSCA,0.009236127,0.009496875,0.011596335,0.029951347,0.018098463,0.017443587,0.009606024,0.007172431,0.020341979,0.042146132,0.011338834,0,0.010033451,0.1092747,0.011360275,0.005895362,0.016343549,1,0.009602274,0.004455205,0.007308292,0.006288839
SCG2,0.037355477,0.012675319,0.039214465,0.05051492,0.02549941,0.052526759,0.05446039,0.030493128,0.036546483,0.038387851,0,0,0.040893195,0.013335738,0.034064961,0.009022012,0.026868751,1,0.022250949,0.014311811,0.019864068,0.011000348
CPE,0.029461359,0.018479213,0.0158062,0.017734132,0.023889631,0.013547237,0.048234876,0.042428748,0.009271506,0.096642717,0.030749483,0,0,0.008276365,0.012495206,0.018540314,0.017257055,1,0.010486461,0.047301593,0.007110739,0.010725308
SCG5,0.031909514,0.023066765,0.060761856,0.037146139,0.039772446,0.111850798,0.03732088,0.006704436,0.0613589,0.061021597,0.04044039,0,0.033059296,0.071119672,0.054804203,0.024601497,0.019266339,1,0.029188175,0.014377692,0.033390603,0.011189911
CPA3,0.017865081,0.012010433,0.027003987,0,0.012200399,1,0.0165124,0,0.02355403,0.027685723,0.045057142,0,0,0.013443694,0.073491246,0.009960426,0.035031274,0.012797586,0.013361771,0.018568958,0.019424148,0.006358989
KIT,0.047092524,0.023058417,0.011437674,0.032738383,0.026399872,1,0.041425033,0.046390518,0.041235733,0.030676167,0.028266733,0,0.00885279,0.027803625,0.050569014,0.024989584,0.031527308,0.025710567,0.040975196,0.023611568,0.028802883,0.010788228
IL1RL1,0.031684356,0.020340304,0.043984903,0.047080264,0.032299898,1,0.022421714,0.058288493,0.038218313,0.03890977,0,0,0.03209731,0.025196685,0.049030306,0.030965653,0.056527282,0.018220965,0.051673567,0.026855769,0.041107911,0.032157296
CTSG,0.059099203,0.01678156,0.106219877,0.106842081,0.056672371,1,0.059235871,0.099984974,0.158313271,0.046915165,0.055561705,0.039518051,0.199518804,0.034632439,0.094489624,0.039496947,0.115030159,0.046878013,0.063692632,0.050930488,0.068377606,0.028614662
RGS2,0.079522858,0.132535342,0.205307503,0.092334936,0.246539087,1,0.126163355,0.603026977,0.088300551,0.110224557,0.073205179,0,0.102850118,0.074596739,0.302449835,0.054377081,0.121560451,0.068117654,0.172396701,0.176587218,0.127860476,0.031649116
CCL5,0.017510155,0.04221539,0.021821463,0.013160322,0.037414996,0.020803482,0.03352056,0.00723285,0.204578971,0.023475085,0.075089157,1,0.0145671,0.017104066,0.019019974,0.016586107,0.010816493,0.011119381,0.029338339,0.013225185,0.018324075,0.013873398
CD2,0.045590604,0.084292808,0.109489585,0.049880676,0.052906922,0.011698959,0.055833501,0.017636785,0.268663523,0.035334259,0.436165156,1,0.26555913,0.032676547,0.048930488,0.038535815,0.063391119,0.035896805,0.045489053,0.028487922,0.029528272,0.021348528
CORO1A,0.140012173,0.432729808,0.229842008,0.092241332,0.349452692,0.144146153,0.140097703,0.198063522,0.325399698,0.111619612,0.430348613,1,0.238781083,0.066318218,0.108327462,0.113290085,0.103183882,0.071794884,0.102513126,0.053217168,0.085429151,0.100282004
COX2,0.702021102,0.177836751,0.357385246,0.303267539,0.328990195,0.390448986,0.30342167,0.346102651,0.385546088,0.264485468,0.433380961,0.371739523,0.409353304,0.947041092,0.452087832,0.335385347,0.434654053,0.275625817,0.63208202,1,0.943513153,0.492517751
