contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.624461132,0.131100934,Inf,1,6.011778677,1.83E-09,1.624461132,4.059607945,2.499048986,tumor16SProximity_v3,A1BG,28362,0.748025276,6330,972,0.45398773,326,2.27E-06,0.699961225,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.855520526,1.32872708,Inf,1,2.254915098,0.024138658,2.855520526,0.06832874,0.023928646,tumor16SProximity_v3,A2M,418,0.036176935,6330,8,0.018404908,326,0.541711705,1.513753755,P < 0.05
Within30micronTumor / Within30um16StumorHigh,1.561807131,0.656926385,Inf,1,1.059969091,0.289158661,1.561807131,0.032613223,0.020881722,tumor16SProximity_v3,AAAS,200,0.030015798,6330,6,0.018404908,326,0.828455666,0.643216304,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.545385513,0.163252054,Inf,1,-2.025375528,0.042828818,0.545385513,0.023785169,0.043611663,tumor16SProximity_v3,AAK1,146,0.02164297,6330,13,0.039877301,326,0.579360515,-0.874651716,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.020477423,0.160836187,Inf,1,0.128613276,0.897663661,1.020477423,0.159055248,0.155863564,tumor16SProximity_v3,AAMP,979,0.123696682,6330,45,0.125766871,326,0.993571467,0.029244265,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.808250732,0.125645271,Inf,1,-1.369433199,0.170863903,0.808250732,0.142359805,0.176133221,tumor16SProximity_v3,AARS1,887,0.109004739,6330,52,0.125766871,326,0.757733605,-0.307125186,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.637744733,0.214781348,Inf,1,-1.335630582,0.181670049,0.637744733,0.023794372,0.037310182,tumor16SProximity_v3,AASS,141,0.021484992,6330,11,0.033742331,326,0.772143759,-0.648949015,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.135881039,0.407452802,Inf,1,0.355184716,0.722451214,1.135881039,0.034781863,0.030621044,tumor16SProximity_v3,AATK,208,0.030173776,6330,9,0.027607362,326,0.957485229,0.183811749,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.897673567,0.31325931,Inf,1,-0.309337251,0.757064997,0.897673567,0.03296396,0.036721545,tumor16SProximity_v3,ABAT,191,0.02764613,6330,10,0.030674847,326,0.966464761,-0.155737182,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.822618358,0.338751947,Inf,1,-0.474172483,0.635376914,0.822618358,0.019420025,0.023607576,tumor16SProximity_v3,ABCA1,118,0.017693523,6330,7,0.021472393,326,0.936899655,-0.281704827,NS or |log2FC| < 1
