contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,msg,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,3.261239799,0.324528807,Inf,1,11.87917904,1.52E-32,3.261239799,2.57859379,0.79067899,tumor16SProximity_v3,A1BG,NA,4531,0.735612536,1755,226,0.494699647,283,9.38E-29,1.705420526,P-adjust < 0.001
Within30micronTumor / Within30um16StumorHigh,1.638928126,0.627175799,Inf,1,1.291025678,0.196694774,1.638928126,0.048524017,0.029607166,tumor16SProximity_v3,A2M,NA,60,0.027920228,1755,12,0.028268551,283,0.561164251,0.712752588,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.091878444,0.305737987,Inf,1,0.313914642,0.753585869,1.091878444,0.051095673,0.046796119,tumor16SProximity_v3,AAAS,NA,61,0.031339031,1755,18,0.056537102,283,0.915894392,0.126812254,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.199143549,0.400644441,Inf,1,0.543558206,0.586745527,1.199143549,0.037866344,0.031577824,tumor16SProximity_v3,AAK1,NA,45,0.024501425,1755,12,0.042402827,283,0.831400834,0.262004374,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.802190985,0.152851669,Inf,1,-1.156740808,0.247378272,0.802190985,0.085827265,0.106991062,tumor16SProximity_v3,AAMP,NA,104,0.054131054,1755,43,0.127208481,283,0.604094834,-0.317982341,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.759754304,0.166199745,Inf,1,-1.25602016,0.209108661,0.759754304,0.06234233,0.08205591,tumor16SProximity_v3,AARS1,NA,75,0.041025641,1755,32,0.106007067,283,0.570769522,-0.396395152,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.310666953,0.611376705,Inf,1,0.579974285,0.561931959,1.310666953,0.022538625,0.017196302,tumor16SProximity_v3,AASS,NA,27,0.014245014,1755,6,0.021201413,283,0.816982959,0.390301136,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.042581929,0.375772715,Inf,1,0.115697432,0.907892341,1.042581929,0.031489034,0.030202935,tumor16SProximity_v3,AATK,NA,37,0.021082621,1755,11,0.03180212,283,0.975324849,0.060160759,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.846993272,0.103457176,Inf,1,-1.359536851,0.173976533,0.846993272,0.220847005,0.260742337,tumor16SProximity_v3,ABAT,NA,272,0.116239316,1755,106,0.272084806,283,0.538560941,-0.239577585,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.345523727,1.58612909,Inf,1,2.547164834,0.010860212,3.345523727,0.043026875,0.012861028,tumor16SProximity_v3,ABCA1,NA,51,0.027350427,1755,5,0.017667845,283,0.327874635,1.742232076,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.94256363,0.238979289,Inf,1,-0.233302151,0.815526788,0.94256363,0.051966003,0.055132621,tumor16SProximity_v3,ABCA2,NA,62,0.034188034,1755,21,0.070671378,283,0.940313496,-0.08533808,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.664666052,0.103837866,Inf,1,-2.614619446,0.008932692,0.664666052,0.121014763,0.182068519,tumor16SProximity_v3,ABCA5,NA,153,0.07008547,1755,69,0.190812721,283,0.301612591,-0.589298425,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.044096608,0.246234093,Inf,1,0.182975797,0.854817009,1.044096608,0.070793257,0.067803359,tumor16SProximity_v3,ABCB1,NA,86,0.045014245,1755,26,0.081272085,283,0.956348778,0.062255208,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.880369667,0.23915747,Inf,1,-0.469025192,0.639051629,0.880369667,0.045486437,0.051667428,tumor16SProximity_v3,ABCB10,NA,54,0.02962963,1755,20,0.060070671,283,0.861907675,-0.183818657,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.593744241,0.780820153,Inf,1,0.95133567,0.341434005,1.593744241,0.020867522,0.013093394,tumor16SProximity_v3,ABCB7,NA,25,0.014245014,1755,5,0.017667845,283,0.680335607,0.672420129,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.658761787,0.487374661,Inf,1,1.722395494,0.084997899,1.658761787,0.060958713,0.036749528,tumor16SProximity_v3,ABCB8,NA,73,0.038176638,1755,14,0.045936396,283,0.447262698,0.730106717,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.814311411,2.339946102,Inf,1,2.182293056,0.029087911,3.814311411,0.029303295,0.00768246,tumor16SProximity_v3,ABCB9,NA,35,0.019373219,1755,3,0.010600707,283,0.400383286,1.931422634,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.820072716,0.258335893,Inf,1,-0.629689817,0.528897546,0.820072716,0.030237838,0.036872142,tumor16SProximity_v3,ABCC1,NA,36,0.020512821,1755,14,0.049469965,283,0.798837643,-0.286176255,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.803486259,0.753045919,Inf,1,1.412337255,0.157850682,1.803486259,0.034085689,0.018899888,tumor16SProximity_v3,ABCC3,NA,40,0.022222222,1755,7,0.021201413,283,0.523823503,0.850788431,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.467860196,0.724381572,Inf,1,0.777729748,0.436728351,1.467860196,0.016958446,0.011553175,tumor16SProximity_v3,ABCC4,NA,23,0.013105413,1755,5,0.017667845,283,0.743919772,0.553714568,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.769523398,0.181395255,Inf,1,-1.111400383,0.266396048,0.769523398,0.056347494,0.073223886,tumor16SProximity_v3,ABCC8,NA,67,0.035897436,1755,28,0.088339223,283,0.621859153,-0.377962901,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.722535655,0.150993683,Inf,1,-1.555136497,0.119913564,0.722535655,0.066346685,0.091824791,tumor16SProximity_v3,ABCC9,NA,80,0.041595442,1755,35,0.109540636,283,0.482700921,-0.468859313,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.330927653,0.427427846,Inf,1,0.890163149,0.373378289,1.330927653,0.045875356,0.034468707,tumor16SProximity_v3,ABCD1,NA,55,0.029059829,1755,13,0.045936396,283,0.697575057,0.412432151,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.896616933,0.290657164,Inf,1,-0.336632759,0.736393758,0.896616933,0.036898452,0.041152973,tumor16SProximity_v3,ABCE1,NA,44,0.023361823,1755,16,0.053003534,283,0.909622394,-0.157436349,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.007993288,0.234334419,Inf,1,0.03424657,0.972680531,1.007993288,0.066099542,0.065575379,tumor16SProximity_v3,ABCG1,NA,79,0.042165242,1755,25,0.074204947,283,0.99999345,0.011486033,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.524719229,0.563302423,Inf,1,1.141735273,0.253564074,1.524719229,0.040307883,0.026436266,tumor16SProximity_v3,ABHD12,NA,47,0.024501425,1755,10,0.035335689,283,0.6093096,0.6085436,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.949412771,0.137327715,Inf,1,-0.358890093,0.719677311,0.949412771,0.163974773,0.172711784,tumor16SProximity_v3,ABHD2,NA,196,0.095726496,1755,66,0.208480565,283,0.901456742,-0.074892639,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.705971066,0.148555146,Inf,1,-1.654642982,0.097996939,0.705971066,0.062764484,0.088905178,tumor16SProximity_v3,ABHD3,NA,75,0.039316239,1755,34,0.109540636,283,0.46233651,-0.502319038,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.966701961,0.261729263,Inf,1,-0.125081165,0.900459294,0.966701961,0.05048414,0.052223065,tumor16SProximity_v3,ABHD5,NA,62,0.033618234,1755,20,0.06360424,283,0.974333545,-0.048856926,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.834072099,0.276767411,Inf,1,-0.546777634,0.584531511,0.834072099,0.0324117,0.03885959,tumor16SProximity_v3,ABHD6,NA,39,0.01994302,1755,15,0.042402827,283,0.830112665,-0.261755995,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.123025475,0.260199089,Inf,1,0.500772537,0.616531215,1.123025475,0.07400856,0.065901052,tumor16SProximity_v3,ABI1,NA,89,0.047293447,1755,25,0.081272085,283,0.85129528,0.167390654,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.786839332,0.207098728,Inf,1,-0.910821336,0.362389518,0.786839332,0.042262525,0.05371176,tumor16SProximity_v3,ABI2,NA,51,0.027920228,1755,21,0.070671378,283,0.692142503,-0.34585902,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,2.544848062,1.268711147,Inf,1,1.873609014,0.060984335,2.544848062,0.032467876,0.012758277,tumor16SProximity_v3,ABI3BP,NA,38,0.021082621,1755,5,0.017667845,283,0.42440569,1.347579524,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.843945195,0.177996645,Inf,1,-0.804454815,0.421134355,0.843945195,0.084071141,0.099616826,tumor16SProximity_v3,ABL1,NA,102,0.051851852,1755,38,0.113074205,283,0.732884553,-0.24477878,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,6.111987229,4.452156232,Inf,1,2.485141199,0.012950006,6.111987229,0.031846071,0.005210428,tumor16SProximity_v3,ABL2,NA,38,0.021082621,1755,2,0.007067138,283,0.330479581,2.611641529,P < 0.05
Within30micronTumor / Within30um16StumorHigh,0.544982801,0.131226515,Inf,1,-2.520871098,0.011706473,0.544982801,0.040786842,0.074840605,tumor16SProximity_v3,ABLIM1,NA,49,0.026780627,1755,29,0.084805654,283,0.330479581,-0.875717395,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.80102934,0.474903935,Inf,1,2.231294762,0.02566161,1.80102934,0.08458909,0.046967081,tumor16SProximity_v3,ABR,NA,101,0.052991453,1755,18,0.060070671,283,0.392482898,0.848821684,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,5.968555809,4.365375907,Inf,1,2.442597147,0.014582004,5.968555809,0.031119887,0.005213973,tumor16SProximity_v3,ABRAXAS1,NA,37,0.01994302,1755,2,0.007067138,283,0.35196174,2.57738189,P < 0.05
Within30micronTumor / Within30um16StumorHigh,1.975897755,1.073183018,Inf,1,1.25386957,0.209889417,1.975897755,0.020220089,0.010233368,tumor16SProximity_v3,ABRAXAS2,NA,24,0.013105413,1755,4,0.014134276,283,0.571298825,0.982508295,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.958807059,0.319306465,Inf,1,-0.126313184,0.899484021,0.958807059,0.032053477,0.033430581,tumor16SProximity_v3,ACAA1,NA,38,0.020512821,1755,13,0.042402827,283,0.974333545,-0.060687565,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.129734499,0.520950412,Inf,1,0.264531907,0.791370082,1.129734499,0.017623973,0.015600102,tumor16SProximity_v3,ACAA2,NA,22,0.011965812,1755,6,0.021201413,283,0.93209133,0.175983762,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.822352625,0.215129146,Inf,1,-0.747646967,0.454673127,0.822352625,0.045925051,0.055845935,tumor16SProximity_v3,ACACA,NA,55,0.03019943,1755,22,0.077738516,283,0.753601194,-0.282170941,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.741340204,0.146842921,Inf,1,-1.511001638,0.130788034,0.741340204,0.078225083,0.105518468,tumor16SProximity_v3,ACACB,NA,94,0.050712251,1755,40,0.123674912,283,0.496400036,-0.431792342,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.907493822,0.275341687,Inf,1,-0.319926429,0.749024102,0.907493822,0.036471555,0.040189315,tumor16SProximity_v3,ACAD9,NA,44,0.025071225,1755,15,0.049469965,283,0.914136636,-0.140040274,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.776457493,0.243227163,Inf,1,-0.807698169,0.419264358,0.776457493,0.030931559,0.039836771,tumor16SProximity_v3,ACADM,NA,37,0.01994302,1755,16,0.045936396,283,0.732884553,-0.365021149,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.991810305,0.257666476,Inf,1,-0.031653583,0.974748312,0.991810305,0.05691105,0.057380983,tumor16SProximity_v3,ACADS,NA,67,0.036467236,1755,22,0.067137809,283,0.99999345,-0.011863879,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.744573849,0.06766982,Inf,1,-3.245272751,0.001173382,0.744573849,0.4601612,0.618019557,tumor16SProximity_v3,ACADVL,NA,590,0.183475783,1755,238,0.487632509,283,0.083203051,-0.425513148,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.058004901,0.405509253,Inf,1,0.147112722,0.883043048,1.058004901,0.028090474,0.02655042,tumor16SProximity_v3,ACAP2,NA,33,0.017094017,1755,10,0.035335689,283,0.968896158,0.08134631,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.801360816,0.198086901,Inf,1,-0.895851895,0.370331869,0.801360816,0.053417032,0.066657904,tumor16SProximity_v3,ACAP3,NA,64,0.033048433,1755,25,0.081272085,283,0.6962837,-0.319476127,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.705039415,0.71825893,Inf,1,1.266658752,0.205277335,1.705039415,0.030866913,0.018103343,tumor16SProximity_v3,ACAT1,NA,37,0.01994302,1755,7,0.024734982,283,0.566424245,0.76980509,NS or |log2FC| < 1
