contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16Spos_tumor / 16Sneg_tumor,0.176760665,1.16491034,1198,164,129176,39686,A1BG
16Spos_tumor / 16Sneg_tumor,0.677897173,1.116771201,17,164,1809,39686,AAAS
16Spos_tumor / 16Sneg_tumor,0.795463155,0.885409435,5,164,744,39686,AAK1
16Spos_tumor / 16Sneg_tumor,0.853208174,0.963623891,28,164,4044,39686,AAMP
16Spos_tumor / 16Sneg_tumor,0.22266822,1.202677961,55,164,5433,39686,AARS1
16Spos_tumor / 16Sneg_tumor,0.521535108,1.274450643,8,164,784,39686,AASS
16Spos_tumor / 16Sneg_tumor,0.87049667,0.952186687,14,164,1364,39686,AATK
16Spos_tumor / 16Sneg_tumor,0.627690323,0.823190898,7,164,1116,39686,ABAT
16Spos_tumor / 16Sneg_tumor,0.013692457,1.891102447,19,164,1341,39686,ABCA2
16Spos_tumor / 16Sneg_tumor,0.444849506,1.167073854,37,164,1948,39686,ABCA5
16Spos_tumor / 16Sneg_tumor,0.114156316,1.505628496,23,164,1696,39686,ABCB1
16Spos_tumor / 16Sneg_tumor,0.630745259,1.123821077,21,164,2081,39686,ABCB10
16Spos_tumor / 16Sneg_tumor,0.151820042,0.482346375,4,164,903,39686,ABCB7
16Spos_tumor / 16Sneg_tumor,0.474146072,1.226549531,14,164,1332,39686,ABCB8
16Spos_tumor / 16Sneg_tumor,0.379356403,1.388880949,8,164,752,39686,ABCB9
16Spos_tumor / 16Sneg_tumor,0.896268241,1.032158794,21,164,1545,39686,ABCC1
16Spos_tumor / 16Sneg_tumor,0.148722849,1.311943043,48,164,5598,39686,ABCC3
16Spos_tumor / 16Sneg_tumor,0.401569183,1.293544494,13,164,1357,39686,ABCC4
16Spos_tumor / 16Sneg_tumor,0.059769816,0.148502686,1,164,839,39686,ABCC8
16Spos_tumor / 16Sneg_tumor,0.885176528,0.964057477,19,164,2780,39686,ABCD1
16Spos_tumor / 16Sneg_tumor,0.801172109,1.0629344,22,164,2361,39686,ABCE1
16Spos_tumor / 16Sneg_tumor,0.044628396,0.517629013,10,164,2411,39686,ABHD12
16Spos_tumor / 16Sneg_tumor,0.008752794,0.553618366,23,164,8100,39686,ABHD2
16Spos_tumor / 16Sneg_tumor,0.567725307,0.845811189,13,164,2138,39686,ABHD3
16Spos_tumor / 16Sneg_tumor,0.99852792,0.999475544,14,164,1672,39686,ABHD5
16Spos_tumor / 16Sneg_tumor,0.361001958,1.35147538,11,164,1075,39686,ABHD6
16Spos_tumor / 16Sneg_tumor,0.715932364,0.925847607,25,164,3146,39686,ABI1
16Spos_tumor / 16Sneg_tumor,0.528424644,1.154585871,25,164,2237,39686,ABI2
16Spos_tumor / 16Sneg_tumor,0.921419642,0.975257203,20,164,2581,39686,ABL1
