contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16S+ Neighborhood / 16S- Neighborhood,4.89E-26,1.631123776,12238,2093,18416,8134,A1BG
16S+ Neighborhood / 16S- Neighborhood,0.002069898,0.605572013,79,2093,352,8134,A2M
16S+ Neighborhood / 16S- Neighborhood,0.605321881,0.934597132,115,2093,224,8134,AAAS
16S+ Neighborhood / 16S- Neighborhood,0.517155486,1.129516237,52,2093,121,8134,AAK1
16S+ Neighborhood / 16S- Neighborhood,0.054489264,1.182995705,255,2093,628,8134,AAMP
16S+ Neighborhood / 16S- Neighborhood,0.152784754,1.111857233,379,2093,701,8134,AARS1
16S+ Neighborhood / 16S- Neighborhood,0.523131257,0.885553567,45,2093,125,8134,AASS
16S+ Neighborhood / 16S- Neighborhood,0.430522235,0.898662952,87,2093,202,8134,AATK
16S+ Neighborhood / 16S- Neighborhood,0.969842233,1.005720702,80,2093,160,8134,ABAT
16S+ Neighborhood / 16S- Neighborhood,0.430048922,0.847427891,35,2093,104,8134,ABCA1
16S+ Neighborhood / 16S- Neighborhood,0.672902146,1.06545266,81,2093,204,8134,ABCA2
16S+ Neighborhood / 16S- Neighborhood,0.705064855,0.934997946,57,2093,154,8134,ABCA5
16S+ Neighborhood / 16S- Neighborhood,0.03742605,0.773668828,132,2093,350,8134,ABCB1
16S+ Neighborhood / 16S- Neighborhood,0.754607923,1.040667678,125,2093,253,8134,ABCB10
16S+ Neighborhood / 16S- Neighborhood,0.902412538,1.021063,52,2093,106,8134,ABCB7
16S+ Neighborhood / 16S- Neighborhood,0.069039656,0.769528511,78,2093,206,8134,ABCB8
16S+ Neighborhood / 16S- Neighborhood,0.760618174,1.060337891,41,2093,81,8134,ABCB9
16S+ Neighborhood / 16S- Neighborhood,0.058137671,1.354844398,72,2093,105,8134,ABCC1
16S+ Neighborhood / 16S- Neighborhood,0.000289599,0.738779058,276,2093,1069,8134,ABCC3
16S+ Neighborhood / 16S- Neighborhood,0.675787769,1.065127218,79,2093,256,8134,ABCC4
16S+ Neighborhood / 16S- Neighborhood,0.254188857,0.815251381,54,2093,156,8134,ABCC8
16S+ Neighborhood / 16S- Neighborhood,0.006652278,0.553516868,32,2093,132,8134,ABCC9
16S+ Neighborhood / 16S- Neighborhood,0.245463966,0.882611815,147,2093,535,8134,ABCD1
16S+ Neighborhood / 16S- Neighborhood,0.528375595,1.069466215,160,2093,317,8134,ABCE1
16S+ Neighborhood / 16S- Neighborhood,0.107270292,0.794975598,78,2093,205,8134,ABCG1
16S+ Neighborhood / 16S- Neighborhood,0.736328584,1.036748173,171,2093,339,8134,ABHD12
16S+ Neighborhood / 16S- Neighborhood,0.475326329,0.953559808,417,2093,1646,8134,ABHD2
16S+ Neighborhood / 16S- Neighborhood,0.718020792,0.955094225,109,2093,360,8134,ABHD3
16S+ Neighborhood / 16S- Neighborhood,0.141897137,0.82496857,92,2093,237,8134,ABHD5
16S+ Neighborhood / 16S- Neighborhood,0.328321136,0.854174611,66,2093,216,8134,ABHD6
16S+ Neighborhood / 16S- Neighborhood,0.425984485,1.081720354,218,2093,357,8134,ABI1
16S+ Neighborhood / 16S- Neighborhood,0.358711995,0.890797595,118,2093,263,8134,ABI2
16S+ Neighborhood / 16S- Neighborhood,0.001398941,0.512361424,34,2093,162,8134,ABI3BP
16S+ Neighborhood / 16S- Neighborhood,0.943234308,1.007232311,189,2093,396,8134,ABL1
16S+ Neighborhood / 16S- Neighborhood,0.934021875,0.988841522,95,2093,230,8134,ABL2
16S+ Neighborhood / 16S- Neighborhood,0.162453764,1.13045845,271,2093,520,8134,ABLIM1
16S+ Neighborhood / 16S- Neighborhood,2.63E-05,1.311313606,648,2093,694,8134,ABR
16S+ Neighborhood / 16S- Neighborhood,0.168059787,0.797517082,67,2093,172,8134,ABRAXAS1
16S+ Neighborhood / 16S- Neighborhood,0.779146443,0.956914055,66,2093,149,8134,ABRAXAS2
16S+ Neighborhood / 16S- Neighborhood,0.905087986,1.01557385,106,2093,232,8134,ACAA1
16S+ Neighborhood / 16S- Neighborhood,0.759763085,0.921209465,21,2093,77,8134,ACAA2
16S+ Neighborhood / 16S- Neighborhood,0.501698008,1.067971976,235,2093,524,8134,ACACA
16S+ Neighborhood / 16S- Neighborhood,0.833729285,1.039258541,56,2093,114,8134,ACACB
16S+ Neighborhood / 16S- Neighborhood,0.000201668,1.412809493,285,2093,369,8134,ACAD9
16S+ Neighborhood / 16S- Neighborhood,0.52451757,1.078816032,160,2093,237,8134,ACADM
16S+ Neighborhood / 16S- Neighborhood,0.098956626,0.791197826,87,2093,221,8134,ACADS
16S+ Neighborhood / 16S- Neighborhood,0.016374926,1.173203099,539,2093,975,8134,ACADVL
16S+ Neighborhood / 16S- Neighborhood,0.169116921,1.16624093,164,2093,262,8134,ACAP2
16S+ Neighborhood / 16S- Neighborhood,0.097011318,0.813218921,124,2093,304,8134,ACAP3
16S+ Neighborhood / 16S- Neighborhood,0.957478642,0.992420236,90,2093,221,8134,ACAT1
16S+ Neighborhood / 16S- Neighborhood,0.102283749,1.275779515,92,2093,137,8134,ACAT2
16S+ Neighborhood / 16S- Neighborhood,0.56362869,1.083139659,86,2093,162,8134,ACBD5
16S+ Neighborhood / 16S- Neighborhood,0.233269868,1.140799248,159,2093,292,8134,ACBD6
16S+ Neighborhood / 16S- Neighborhood,0.596744329,0.942345893,152,2093,313,8134,ACD
16S+ Neighborhood / 16S- Neighborhood,0.920442051,0.985761943,93,2093,212,8134,ACE
16S+ Neighborhood / 16S- Neighborhood,0.019717476,0.716592753,81,2093,241,8134,ACE2
16S+ Neighborhood / 16S- Neighborhood,0.00074779,0.508386154,34,2093,154,8134,ACER2
16S+ Neighborhood / 16S- Neighborhood,0.763341281,1.041129079,101,2093,206,8134,ACER3
16S+ Neighborhood / 16S- Neighborhood,0.053031569,0.622861222,26,2093,88,8134,ACHE
16S+ Neighborhood / 16S- Neighborhood,0.072176509,1.071257317,2491,2093,2976,8134,ACIN1
16S+ Neighborhood / 16S- Neighborhood,0.574106642,0.875555637,35,2093,82,8134,ACKR1
16S+ Neighborhood / 16S- Neighborhood,0.004030024,0.617851491,60,2093,213,8134,ACKR3
16S+ Neighborhood / 16S- Neighborhood,0.585760106,0.890412488,40,2093,75,8134,ACKR4
16S+ Neighborhood / 16S- Neighborhood,0.024620962,1.162832599,562,2093,799,8134,ACLY
16S+ Neighborhood / 16S- Neighborhood,0.982958323,0.997761464,154,2093,331,8134,ACO2
16S+ Neighborhood / 16S- Neighborhood,0.096398043,0.754085902,56,2093,185,8134,ACOT11
16S+ Neighborhood / 16S- Neighborhood,0.138841459,0.713700323,34,2093,105,8134,ACOT12
16S+ Neighborhood / 16S- Neighborhood,0.194570083,0.873892666,181,2093,366,8134,ACOT13
16S+ Neighborhood / 16S- Neighborhood,0.630114159,1.04114955,341,2093,492,8134,ACOT7
16S+ Neighborhood / 16S- Neighborhood,0.197446595,1.249650357,63,2093,133,8134,ACOT8
16S+ Neighborhood / 16S- Neighborhood,0.302294916,0.754904448,22,2093,70,8134,ACOT9
16S+ Neighborhood / 16S- Neighborhood,0.907034811,0.987079599,165,2093,244,8134,ACOX1
16S+ Neighborhood / 16S- Neighborhood,0.040469225,0.697799319,59,2093,179,8134,ACOX2
16S+ Neighborhood / 16S- Neighborhood,0.213568211,1.196461317,100,2093,155,8134,ACOX3
16S+ Neighborhood / 16S- Neighborhood,0.035578513,0.610223002,33,2093,90,8134,ACP3
16S+ Neighborhood / 16S- Neighborhood,0.1380547,0.805706734,84,2093,275,8134,ACP5
16S+ Neighborhood / 16S- Neighborhood,0.879093659,0.969086649,43,2093,117,8134,ACSBG1
16S+ Neighborhood / 16S- Neighborhood,0.062560407,1.250251521,138,2093,234,8134,ACSF3
16S+ Neighborhood / 16S- Neighborhood,0.010557046,0.691112296,73,2093,226,8134,ACSL1
16S+ Neighborhood / 16S- Neighborhood,0.8865542,1.011780125,290,2093,594,8134,ACSL3
16S+ Neighborhood / 16S- Neighborhood,0.727014955,1.050905002,87,2093,198,8134,ACSL4
16S+ Neighborhood / 16S- Neighborhood,0.006812171,1.361802712,131,2093,451,8134,ACSL5
16S+ Neighborhood / 16S- Neighborhood,0.003432152,0.511407951,28,2093,133,8134,ACSM2A
16S+ Neighborhood / 16S- Neighborhood,0.341939927,0.885289968,112,2093,299,8134,ACSM3
16S+ Neighborhood / 16S- Neighborhood,0.483644724,1.080430793,158,2093,401,8134,ACSS1
16S+ Neighborhood / 16S- Neighborhood,0.021710055,0.727264702,84,2093,266,8134,ACSS2
16S+ Neighborhood / 16S- Neighborhood,0.470809941,1.181501722,34,2093,63,8134,ACSS3
16S+ Neighborhood / 16S- Neighborhood,0.008046207,0.71194367,141,2093,640,8134,ACTA2
16S+ Neighborhood / 16S- Neighborhood,0.135803663,0.745834855,44,2093,131,8134,ACTG2
16S+ Neighborhood / 16S- Neighborhood,0.169359534,1.139722824,230,2093,369,8134,ACTL6A
16S+ Neighborhood / 16S- Neighborhood,0.12422372,0.847237301,152,2093,529,8134,ACTN1
16S+ Neighborhood / 16S- Neighborhood,0.204098228,1.081800142,653,2093,974,8134,ACTN4
16S+ Neighborhood / 16S- Neighborhood,0.036173199,1.286164788,121,2093,202,8134,ACTR10
16S+ Neighborhood / 16S- Neighborhood,0.672543381,1.046627137,170,2093,328,8134,ACTR1A
16S+ Neighborhood / 16S- Neighborhood,0.605017877,1.040403675,325,2093,826,8134,ACTR1B
16S+ Neighborhood / 16S- Neighborhood,0.304689663,1.079145792,392,2093,703,8134,ACTR2
16S+ Neighborhood / 16S- Neighborhood,0.021354617,1.210945825,307,2093,472,8134,ACTR3
16S+ Neighborhood / 16S- Neighborhood,0.57064906,0.908871933,60,2093,142,8134,ACTR3B
16S+ Neighborhood / 16S- Neighborhood,0.000617063,0.694151027,174,2093,531,8134,ACVR1
16S+ Neighborhood / 16S- Neighborhood,0.113809613,1.107186308,698,2093,717,8134,ACVR1B
16S+ Neighborhood / 16S- Neighborhood,0.505676521,0.903818415,80,2093,199,8134,ACVR1C
16S+ Neighborhood / 16S- Neighborhood,0.744169224,0.953115627,79,2093,172,8134,ACVR2A
16S+ Neighborhood / 16S- Neighborhood,0.492949023,0.87875123,58,2093,143,8134,ACVR2B
16S+ Neighborhood / 16S- Neighborhood,0.012460334,0.656270849,66,2093,187,8134,ACVRL1
16S+ Neighborhood / 16S- Neighborhood,0.943123212,1.009305999,105,2093,276,8134,ACY1
16S+ Neighborhood / 16S- Neighborhood,0.115922334,0.685672886,26,2093,78,8134,ADA
16S+ Neighborhood / 16S- Neighborhood,0.060302448,0.712854437,59,2093,178,8134,ADA2
16S+ Neighborhood / 16S- Neighborhood,0.698288017,0.958385775,158,2093,394,8134,ADAM10
16S+ Neighborhood / 16S- Neighborhood,0.82003957,0.952391157,37,2093,84,8134,ADAM12
16S+ Neighborhood / 16S- Neighborhood,0.414899437,1.088759602,190,2093,310,8134,ADAM15
16S+ Neighborhood / 16S- Neighborhood,0.847654198,1.028176535,91,2093,205,8134,ADAM17
16S+ Neighborhood / 16S- Neighborhood,0.037074013,0.528924595,15,2093,64,8134,ADAM19
16S+ Neighborhood / 16S- Neighborhood,0.110562851,0.715110494,37,2093,132,8134,ADAM22
16S+ Neighborhood / 16S- Neighborhood,0.000126754,0.530941046,53,2093,278,8134,ADAM28
16S+ Neighborhood / 16S- Neighborhood,0.254211356,0.881331243,148,2093,602,8134,ADAM8
16S+ Neighborhood / 16S- Neighborhood,0.06436044,1.166200052,278,2093,718,8134,ADAM9
16S+ Neighborhood / 16S- Neighborhood,0.642580833,0.942383503,136,2093,322,8134,ADAMTS17
16S+ Neighborhood / 16S- Neighborhood,0.004359953,0.600253529,50,2093,190,8134,ADAMTS5
16S+ Neighborhood / 16S- Neighborhood,0.00313573,0.542199776,36,2093,161,8134,ADAMTS9
16S+ Neighborhood / 16S- Neighborhood,0.884355333,0.97908395,82,2093,180,8134,ADAR
16S+ Neighborhood / 16S- Neighborhood,0.132419526,0.730381959,35,2093,146,8134,ADCY1
16S+ Neighborhood / 16S- Neighborhood,0.011490746,0.57671486,33,2093,120,8134,ADCY2
16S+ Neighborhood / 16S- Neighborhood,0.016160562,0.676667688,63,2093,262,8134,ADCY3
16S+ Neighborhood / 16S- Neighborhood,0.894115773,0.971630711,33,2093,140,8134,ADCY5
16S+ Neighborhood / 16S- Neighborhood,0.818133182,0.964740998,72,2093,260,8134,ADCY7
16S+ Neighborhood / 16S- Neighborhood,0.114186748,0.624102556,15,2093,54,8134,ADCY8
16S+ Neighborhood / 16S- Neighborhood,0.71962608,0.938705028,62,2093,126,8134,ADCY9
16S+ Neighborhood / 16S- Neighborhood,0.126126704,1.148178983,275,2093,427,8134,ADD1
16S+ Neighborhood / 16S- Neighborhood,0.001660554,0.500036517,27,2093,108,8134,ADD2
16S+ Neighborhood / 16S- Neighborhood,0.486841964,0.911725408,95,2093,327,8134,ADD3
16S+ Neighborhood / 16S- Neighborhood,0.176994756,0.681102548,18,2093,64,8134,ADGRA2
16S+ Neighborhood / 16S- Neighborhood,0.118752035,1.204589423,146,2093,289,8134,ADGRA3
16S+ Neighborhood / 16S- Neighborhood,0.04035637,0.660540395,36,2093,109,8134,ADGRE1
16S+ Neighborhood / 16S- Neighborhood,0.501336393,0.912933668,94,2093,320,8134,ADGRE2
16S+ Neighborhood / 16S- Neighborhood,0.036888838,0.754169948,79,2093,392,8134,ADGRE5
16S+ Neighborhood / 16S- Neighborhood,0.972038041,0.99285847,44,2093,104,8134,ADGRF1
16S+ Neighborhood / 16S- Neighborhood,0.070121075,0.734660117,60,2093,172,8134,ADGRF3
16S+ Neighborhood / 16S- Neighborhood,0.008502317,0.585473934,34,2093,129,8134,ADGRF5
16S+ Neighborhood / 16S- Neighborhood,0.004756625,1.230228948,418,2093,733,8134,ADGRG1
16S+ Neighborhood / 16S- Neighborhood,0.000666491,0.56539849,51,2093,196,8134,ADGRG3
16S+ Neighborhood / 16S- Neighborhood,0.056391743,0.677093191,38,2093,154,8134,ADGRG5
16S+ Neighborhood / 16S- Neighborhood,0.03253607,0.801895922,156,2093,553,8134,ADGRG6
16S+ Neighborhood / 16S- Neighborhood,0.301422895,0.861467195,76,2093,318,8134,ADGRL1
16S+ Neighborhood / 16S- Neighborhood,0.000266437,1.424692078,327,2093,312,8134,ADGRL2
16S+ Neighborhood / 16S- Neighborhood,0.026175947,0.676608897,49,2093,151,8134,ADGRL3
16S+ Neighborhood / 16S- Neighborhood,0.079455378,0.604019746,17,2093,60,8134,ADGRL4
16S+ Neighborhood / 16S- Neighborhood,0.112728412,0.768526407,56,2093,153,8134,ADGRV1
16S+ Neighborhood / 16S- Neighborhood,0.265303968,0.801531981,38,2093,98,8134,ADH1A
16S+ Neighborhood / 16S- Neighborhood,0.394290247,0.843173526,35,2093,91,8134,ADH1B
16S+ Neighborhood / 16S- Neighborhood,0.011075181,0.685073751,70,2093,215,8134,ADH1C
16S+ Neighborhood / 16S- Neighborhood,0.290902821,0.712532614,13,2093,39,8134,ADH4
16S+ Neighborhood / 16S- Neighborhood,0.027397216,1.200133624,412,2093,401,8134,ADH5
16S+ Neighborhood / 16S- Neighborhood,0.003822982,0.428936666,15,2093,74,8134,ADH6
16S+ Neighborhood / 16S- Neighborhood,0.337610128,0.78564551,29,2093,76,8134,ADIPOQ
16S+ Neighborhood / 16S- Neighborhood,0.001325331,1.49760513,139,2093,173,8134,ADIPOR1
16S+ Neighborhood / 16S- Neighborhood,0.249731959,0.825280319,62,2093,162,8134,ADIPOR2
16S+ Neighborhood / 16S- Neighborhood,0.81121067,0.985618052,802,2093,865,8134,ADIRF
