Gene,Category
NOD1,Anti-microbial and immune response
NLRC4,Anti-microbial and immune response
AZI2,Anti-microbial and immune response
IKBKE,Anti-microbial and immune response
LRRFIP1,Anti-microbial and immune response
TRIM14,Anti-microbial and immune response
TRIM21,Anti-microbial and immune response
TRIM27,Anti-microbial and immune response
ISG20,Anti-microbial and immune response
STAT5A,Anti-microbial and immune response
STAT5B,Anti-microbial and immune response
IL12RB2,Anti-microbial and immune response
IRAK2,Anti-microbial and immune response
IRAK4,Anti-microbial and immune response
TRAF6,Anti-microbial and immune response
MAP3K14,Anti-microbial and immune response
LRRFIP1,Anti-microbial and immune response
EIF2AK3,"Stress response, apoptosis/autophagy"
ATF6B,"Stress response, apoptosis/autophagy"
ATF7,"Stress response, apoptosis/autophagy"
NEAT1,"Stress response, apoptosis/autophagy"
DUSP2,"Stress response, apoptosis/autophagy"
DUSP6,"Stress response, apoptosis/autophagy"
FOSB,"Stress response, apoptosis/autophagy"
SETD7,"Stress response, apoptosis/autophagy"
TXNRD1,"Stress response, apoptosis/autophagy"
GDF15,"Stress response, apoptosis/autophagy"
H2AX,"Stress response, apoptosis/autophagy"
RAD9A,"Stress response, apoptosis/autophagy"
ERCC3,"Stress response, apoptosis/autophagy"
ERCC8,"Stress response, apoptosis/autophagy"
BID,"Stress response, apoptosis/autophagy"
FADD,"Stress response, apoptosis/autophagy"
CASP8,"Stress response, apoptosis/autophagy"
IER3,"Stress response, apoptosis/autophagy"
DDIT3,"Stress response, apoptosis/autophagy"
ATG4D,"Stress response, apoptosis/autophagy"
ATG16L2,"Stress response, apoptosis/autophagy"
MAP1LC3B,"Stress response, apoptosis/autophagy"
RUBCN,"Stress response, apoptosis/autophagy"
WIPI2,"Stress response, apoptosis/autophagy"
GABARAPL1,"Stress response, apoptosis/autophagy"
SESN2,"Stress response, apoptosis/autophagy"
SESN3,"Stress response, apoptosis/autophagy"
GSK3B,"Stress response, apoptosis/autophagy"
API5,"Stress response, apoptosis/autophagy"
UBE3C,"Stress response, apoptosis/autophagy"
PHLPP1,"Stress response, apoptosis/autophagy"
RIPK3,"Stress response, apoptosis/autophagy"
P4HB,"Stress response, apoptosis/autophagy"
HSPA1A,"Stress response, apoptosis/autophagy"
LIG1,"Stress response, apoptosis/autophagy"
EDEM2,"Stress response, apoptosis/autophagy"
UBE3D,"Stress response, apoptosis/autophagy"
PRDX1,"Stress response, apoptosis/autophagy"
ATG16L1,"Stress response, apoptosis/autophagy"
PDCD10,"Stress response, apoptosis/autophagy"
ERN1,"Stress response, apoptosis/autophagy"
ARL6IP5,"Stress response, apoptosis/autophagy"
RB1CC1,"Stress response, apoptosis/autophagy"
LDLR,Metabolism and lipid homeostasis
HCAR2,Metabolism and lipid homeostasis
OSBPL3,Metabolism and lipid homeostasis
CHKA,Metabolism and lipid homeostasis
PPARD,Metabolism and lipid homeostasis
HMGCS1,Metabolism and lipid homeostasis
ACSS1,Metabolism and lipid homeostasis
ACADVL,Metabolism and lipid homeostasis
FASN,Metabolism and lipid homeostasis
SLC25A10,Metabolism and lipid homeostasis
ENO1,Metabolism and lipid homeostasis
PGAM1,Metabolism and lipid homeostasis
GPT,Metabolism and lipid homeostasis
GLS,Metabolism and lipid homeostasis
GLUD1,Metabolism and lipid homeostasis
PDK3,Metabolism and lipid homeostasis
MTOR,Metabolism and lipid homeostasis
SDHB,Metabolism and lipid homeostasis
UQCR11,Metabolism and lipid homeostasis
ATP5MJ,Metabolism and lipid homeostasis
G6PD,Metabolism and lipid homeostasis
PFKL,Metabolism and lipid homeostasis
STARD10,Metabolism and lipid homeostasis
APOM,Metabolism and lipid homeostasis
MGST1,Metabolism and lipid homeostasis
AGPS,Metabolism and lipid homeostasis
SCARB1,Metabolism and lipid homeostasis
