"","16S- Neighborhood","16S+ Neighborhood","16S+ Tumor"
"Microbe-Host interactions",-1.05438357940966,0.119507536141544,0.934876043268117
"Immune recruitment",-1.10460368566744,0.260946349994753,0.843657335672684
"Lipid metabolism",-1.02802834067772,0.0586370759735764,0.96939126470414
"Stress response",-1.00519923395937,0.0104808558705101,0.994718378088856
"Angiogenesis",-0.98882957849837,-0.0219785187197048,1.01080809721807
"IFN II",1.10219468510509,-0.25297797536121,-0.849216709743883
"IL-1",0.298397151345377,0.816834216240568,-1.11523136758595
"IL-6",1.0986012711101,-0.241394098865019,-0.857207172245083
"IL-10",1.12508767297566,-0.337525401490483,-0.78756227148518
"Myeloid inflammation",0.987990115917203,0.0236019359830502,-1.01159205190025
"T cell activation",0.963455833237621,0.0694659177537293,-1.03292175099135
"T cell exhaustion",1.1445985076058,-0.704286724003398,-0.440311783602405
