Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T-P2,T-P3,T-P4,T-P6,T-P7,T-P8,T-P10,T-P12,T-P13,T-P16,T-P17,T-P18,T-P21,T-P22,T-P25,T-P26,T-P27,T-P32
COL1A1,1,0.02382384,0.041342119,0.029539849,0.17911166,0.147821273,0.007420911,0.006587541,0.01058484,0.004081992,0.002381259,0.005008527,0.006374522,0.005004895,0.005278056,0.004184618,0.005439624,0.005877203,0.003308883,0.005300481,0.005167502,0.00610667,0.004779311
COL6A2,1,0.045950572,0.039969918,0.032516365,0.31049745,0.112332018,0.014994812,0.014453026,0.01864312,0.022959873,0.049095026,0.013887517,0.01476524,0.016128414,0.011208894,0.010988155,0.008232378,0.024405004,0.012845825,0.014568277,0.008293487,0.012581462,0.015932257
COL1A2,1,0.032238298,0.081548024,0.044007367,0.383418197,0.247812924,0.007847491,0.010508122,0.028507055,0.00771426,0.006412858,0.006173312,0.009092641,0.019355763,0.009577289,0.01175713,0.012659164,0.018834871,0.009326643,0.010045558,0.008713333,0.012938465,0.011277972
COL3A1,1,0.063672009,0.09264899,0.043582555,0.431304619,0.207163642,0.022510976,0.014312113,0.057359505,0.020426847,0.006428627,0.043110172,0.015192789,0.031720336,0.021951168,0.014109165,0.014196508,0.02281047,0.024658386,0.013021481,0.024025041,0.019709558,0.026236517
COL6A3,1,0.028139392,0.01758893,0.045532371,0.220536214,0.141523689,0.032796079,0.040195054,0.033464565,0.02741057,0.020550313,0.057227272,0.037733373,0.036633616,0.034036769,0.023015732,0.034841828,0.056560343,0.043861594,0.033098756,0.032713965,0.054689382,0.033327141
SLC35E3,0.011355547,0.011937253,0.118364433,0.033277931,0.012008609,0.037557421,0.011386802,0.019067777,0.028012696,0.011368417,0.013709898,0.019247685,0.009136808,0.021825271,0.016035722,0.009225663,1,0.015901396,0.011497698,0.014284645,0.014159338,0.018204209,0.02700394
CDK4,0.021254435,0.030777264,0.201214299,0.048261866,0.052528321,0.019446497,0.024358907,0.028933896,0.047309786,0.045530665,0.035677157,0.041554068,0.039456643,0.035530945,0.038307058,0.032531392,1,0.037576995,0.024683613,0.020123861,0.038971276,0.029068447,0.047644459
MDM2,0.039210028,0.060162891,0.139670099,0.055753693,0.059144069,0.103980169,0.033265783,0.037082542,0.036632036,0.055596035,0.020452759,0.035675055,0.023160325,0.046049017,0.027089049,0.032304222,1,0.030832896,0.047825705,0.026679596,0.059672312,0.037931407,0.031948582
LANCL2,0.035221673,0.037027594,0.166939054,0.043200748,0.029895158,0.050301317,0.020713424,0.056840732,0.047900278,0.075595192,0.047648278,0.03647195,0.045272032,0.052861315,0.044877053,0.06676731,1,0.062737719,0.031432424,0.04956275,0.036436947,0.045211024,0.060511882
SEC61G,0.03995996,0.048769767,0.266405829,0.053915147,0.059425828,0.026848566,0.019379643,0.03710024,0.036880045,0.029504914,0.547746122,0.016327455,0.028019926,0.026519037,0.031226124,0.042589104,1,0.031103454,0.022188092,0.027093276,0.028594162,0.025044968,0.039846155
VWF,0.031538685,1,0.21156367,0.023097175,0.137663522,0.03938212,0.019162496,0.035314181,0.021287382,0.065282991,0.006698424,0.085127798,0.035292919,0.034523991,0.030709485,0.011082751,0.021867866,0.032146953,0.063873899,0.032082784,0.048206713,0.038604668,0.037270681
CCN2,0.223174981,1,0.116767434,0.019421455,0.237758829,0.096415421,0.033331798,0.036163337,0.035256584,0.013327948,0.068735428,0.022255857,0.032433314,0.020376232,0.038217595,0.021877702,0.011332585,0.039715101,0.031631866,0.031820667,0.026473605,0.021074272,0.022391956
EDN1,0.038259522,1,0.133507566,0.058453472,0.061880559,0.017293896,0.017808648,0.041406012,0.046024629,0,0.020076534,0.065210322,0.044968464,0.024435174,0.073972061,0.04673784,0.021604073,0.045764479,0.052490351,0.088530037,0.030032753,0.040619007,0.028805011
ANGPT2,0.059427228,1,0.209674047,0.042093993,0.14609337,0.020126857,0.041187552,0.056631129,0.040193838,0.081752975,0.039677468,0.068235408,0.031460759,0.040018153,0.048721103,0.011702289,0.037925131,0.047866206,0.080481254,0.029712941,0.034972703,0.056132046,0.061434761
IGFBP3,0.044314044,1,0.152563612,0.028927542,0.117177259,0.067617856,0.047653651,0.058665632,0.014538468,0.0418967,0.036691449,0.021087337,0.083091464,0.060048038,0.088907538,0.028427048,0.030924376,0.071314029,0.047248329,0.073661538,0.090387069,0.04277216,0.043196204
CD163,0.124704095,0.034104723,0.042384261,1,0.085859122,0.102430929,0.047496842,0.039681216,0.031326467,0.056129555,0.032819682,0.041837638,0.032133415,0.01359352,0.01936948,0.046275352,0.045861775,0.032819432,0.05130484,0.037277336,0.020065913,0.023021177,0.066163118
CD74,0.150884055,0.048526942,0.123885927,1,0.102239545,0.136797016,0.079025215,0.026412302,0.097689438,0.072930736,0.028243333,0.060210686,0.012965699,0.015042508,0.01357631,0.016723913,0.082121009,0.008414302,0.058525313,0.030749099,0.014183244,0.015797468,0.096414204
HLA-DRA,0.171144321,0.01913597,0.106396558,1,0.102611852,0.123719447,0.126755336,0.018126447,0.186167546,0.075860939,0.033650746,0.024956555,0.010530383,0.02203433,0.010558413,0.017221441,0.073390084,0.012506638,0.069089991,0.028404198,0.011404719,0.015675029,0.067849415
HLA-DRB,0.244650802,0.056043386,0.148793569,1,0.086776091,0.181042296,0.081671187,0.039560127,0.112312771,0.092299419,0.030681393,0.033804986,0.025766142,0.029487052,0.027341385,0.028970746,0.097956182,0.028470507,0.067971395,0.033707246,0.024753678,0.022751044,0.077640561
C1QC,0.152584029,0.020226169,0.158630184,1,0.123231225,0.101191266,0.051262045,0.065059406,0.069221668,0.033836954,0.023884099,0.072956075,0.021277172,0.030389589,0.023962507,0.070915876,0.145091113,0.027491293,0.078277554,0.049506112,0.020449709,0.035603038,0.105394265
COL4A1,0.286420951,0.519006185,0.466199487,0.027017165,1,0.084467052,0.031660203,0.037361295,0.04408595,0.028601466,0.037200382,0.036819752,0.01181087,0.02720673,0.018254623,0.014360457,0.073284729,0.032421478,0.021283027,0.013991817,0.016080478,0.020701396,0.028134583
COL4A2,0.230433348,0.672194023,0.486257773,0.045125277,1,0.111056946,0.051489204,0.028727462,0.059969817,0.031458679,0.063819428,0.013934753,0.035490203,0.034110495,0.028190324,0.024481274,0.097315461,0.042655874,0.02790657,0.021178224,0.012164482,0.028854937,0.043960276
NOTCH3,0.131452898,0.078405143,0.243552961,0.040835016,1,0.06878679,0.046027383,0.096159661,0.063575726,0.069679642,0.05872537,0.045495302,0.064579026,0.056478806,0.046253623,0.052256155,0.059339288,0.063716836,0.09050666,0.057150911,0.052671748,0.068386854,0.03876922
BGN,0.253075856,0.239350234,0.609676713,0.044352415,1,0.079894639,0.030863139,0.038790451,0.065376462,0.078584434,0.215185842,0.065885143,0.031345396,0.022843384,0.046553192,0.024169437,0.051634824,0.025758267,0.053457041,0.030778495,0.042532394,0.026143349,0.016534123
DCN,0.347484564,0.097510564,0.260900388,0.044285815,1,0.175104782,0.023607522,0.049002092,0.040201517,0.055591776,0.013048882,0.050180339,0.040040821,0.02746811,0.050407545,0.052575084,0.190223067,0.036828049,0.079427501,0.05314724,0.035446219,0.055138521,0.039078177
