Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
A1BG,1,0.180589793,0.125659806,0.294540112,0.230190321,0.790973325,0.213086631,0.191541597,0.138421466,0.463286656,0.132411443,0.199822837,0.252084016,0.210592409,0.105183233,0.53362857,0.082631664,0.366873557,0.383770387,0.121517035,0.217099618,0.192870784,0.130568759
A2M,0.07063306,1,0.509969895,0.306223806,0.379624601,0.060729276,0.096919214,0.048659222,0.194575136,0.053514872,0.045682864,0.035612794,0.043318538,0.038889864,0.062285892,0.033734849,0.036628736,0.032283714,0.127165089,0.058726796,0.078544888,0.056652251,0.04770536
AAAS,0.621281312,0.614669759,0.334046549,0.486309931,0.577652005,0.922662711,0.388089209,0.494105797,0.848537237,0.289973189,0.7186529,0.481751031,0.863888767,0.612316009,0.755480286,0.793196401,0.806017865,0.588405076,0.715298289,0.552739462,0.619861803,0.792713321,1
AAK1,0.538612135,0.579362311,0.574210041,0.642128599,0.551756,0.861369684,0.567796207,1,0.400865712,0.910751027,0.844449552,0.500503115,0.450582936,0.805626786,0.55532522,0.750722886,0.462584448,0.353519644,0.348695991,0.475245156,0.371758344,0.641938186,0.639672407
AAMP,0.518990882,0.829372793,0.538531157,0.530493281,0.735954681,0.142976552,0.460547635,0.365469149,0.591934249,1,0.555189792,0.923482991,0.472412092,0.648361525,0.721020749,0.708798145,0.585251889,0.665437133,0.493100143,0.775538835,0.605570803,0.500831979,0.703819694
AARS1,0.54666244,0.47639541,0.674635296,0.499724701,0.507565899,0.648435864,0.535985073,0.497529944,0.645285244,0.636842381,0.427440598,0.518060691,0.71697914,0.730516812,0.537643152,0.823495008,0.741256243,0.522625709,0.804546145,0.777266071,0.805839605,1,0.695546249
AASS,0.526666512,0.171761055,0.487828275,0.362625121,0.481473859,0.640665737,0.582789777,0.977217958,0.657659442,0.158576316,1,0.956268279,0.521082761,0.744622246,0.649247924,0.805571508,0.944729025,0.534258265,0.423328746,0.74679531,0.62744278,0.5784486,0.707113258
AATK,0.099683746,0.176758295,0.123523421,0.13194002,0.151025378,0.51223768,1,0.23282572,0.239735495,0.632770551,0.346166545,0.77105731,0.549211723,0.381958986,0.328812902,0.967229544,0.213247483,0.312818234,0.641118763,0.373154174,0.447816011,0.327181945,0.303768503
ABAT,0.219392451,0.136825642,0.274692776,0.269253142,0.214767291,0.154494743,0.413920883,0.236183688,0.35807306,0.598593864,0.674419506,0.446678153,1,0.645747048,0.853186492,0.376637021,0.350921521,0.539503525,0.653958298,0.859237383,0.628547735,0.730116947,0.540622463
ABCA1,0.155596005,0.475314599,0.856627075,0.465293894,0.678177561,0.253994735,0.222339091,0.705493526,0.345737746,1,0.554931027,0.928007742,0.31429698,0.733137517,0.462744605,0.509277659,0.424751357,0.34941445,0.386496083,0.385491475,0.415017806,0.460491026,0.372081142
ABCA2,0.164959539,0.090239175,0.088917787,0.096866675,0.114879309,0.253811871,0.721683261,0.234154783,0.208421177,0.401321216,0.246683128,0.486860294,0.328690115,0.172185412,0.247162533,1,0.143371349,0.354888201,0.469005154,0.277233228,0.226592443,0.143611888,0.119933147
ABCA5,0.188151221,0.409184917,0.119236023,0.625444612,0.525070984,0.511571767,0.831442377,0.582555298,0.305785741,0.763488103,0.337267087,0.737426642,0.494166206,0.949190142,0.489301395,0.898825777,0.451759043,0.894163557,1,0.854902946,0.803521456,0.714112627,0.5981309
ABCB1,0.017044143,1,0.744809448,0.050368004,0.190106194,0.148342617,0.139102609,0.056237503,0.082946524,0.11486064,0.024886759,0.067601384,0.131899238,0.114572332,0.122227718,0.080634334,0.072580215,0.094176257,0.091355139,0.085626072,0.097673131,0.095062792,0.086412867
ABCB10,0.551638995,0.41334607,0.605932736,0.412452351,0.594762322,0.677566123,0.501142459,0.585293406,1,0.47449006,0.39800452,0.756330406,0.62613695,0.655581262,0.643911305,0.499704195,0.617246367,0.47572917,0.492328789,0.568246057,0.559628315,0.688325667,0.929186564
ABCB7,0.652162985,0.336852629,0.107068182,0.280823716,0.394624742,0.473758029,1,0.150534214,0.453208876,0.303737568,0.816251569,0.785036407,0.4770276,0.675914063,0.438172444,0.731191369,0.580770369,0.945563729,0.694255944,0.478365764,0.560023658,0.807918839,0.631961028
