"","contrast","ratio","SE","df","null","z.ratio","p.value","fold_change","modelest_cpc_1","modelest_cpc_2","counts_1","propnz_1","ncells_1","counts_2","propnz_2","ncells_2","term","target","msg"
"1","16Spos_tumor / 16Sneg_tumor",0.63224593786449,0.136409005599468,Inf,1,-2.1250071043854,0.0335860200974551,0.63224593786449,0.365303986202247,0.577787794787766,30,0.264705882352941,68,2333,0.252934898612593,6559,"DE_tumor_bg","A1BG",NA
"2","16Spos_tumor / 16Sneg_tumor",0.546865662608494,0.396710142894636,Inf,1,-0.831997676051267,0.405410256261688,0.546865662608494,0.0318880250136747,0.0583105270526076,2,0.0294117647058824,68,208,0.0300350663210855,6559,"DE_tumor_bg","AAAS",NA
"3","16Spos_tumor / 16Sneg_tumor",1.41665188734069,0.569289694466621,Inf,1,0.866719635636258,0.386095644091552,1.41665188734069,0.0410550634992445,0.0289803471594649,7,0.102941176470588,68,272,0.0387254154596737,6559,"DE_tumor_bg","AARS1",NA
"4","16Spos_tumor / 16Sneg_tumor",1.08420829543861,0.487976358300614,Inf,1,0.179636331766672,0.857438079998629,1.08420829543861,0.0453570849296721,0.0418342906252375,6,0.0735294117647059,68,297,0.0408598871779235,6559,"DE_tumor_bg","AASS",NA
"5","16Spos_tumor / 16Sneg_tumor",0.590000610194972,0.249472585571762,Inf,1,-1.24784464344524,0.212087956117389,0.590000610194972,0.0852108385586111,0.144425000730851,6,0.0588235294117647,68,543,0.075468821466687,6559,"DE_tumor_bg","ABAT",NA
"6","16Spos_tumor / 16Sneg_tumor",3.00667799226839e-07,0.000244616272465946,Inf,1,-0.0184583242178088,0.985273224352365,3.00667799226839e-07,0.0133186264731607,44296.8169767739,0,0,68,102,0.0153986888245159,6559,"DE_tumor_bg","ABCA1",NA
"7","16Spos_tumor / 16Sneg_tumor",1.03223984373534,0.754465711351123,Inf,1,0.0434135710533589,0.965371859764895,1.03223984373534,0.0168421081081993,0.016316080231173,2,0.0294117647058824,68,110,0.0161610001524623,6559,"DE_tumor_bg","ABCA5",NA
"8","16Spos_tumor / 16Sneg_tumor",2.91983044023704,0.889001141787068,Inf,1,3.5193125859716,0.000432666604564012,2.91983044023704,0.0475084651779696,0.0162709671504462,15,0.161764705882353,68,307,0.0432992834273517,6559,"DE_tumor_bg","ABCB10",NA
"9","16Spos_tumor / 16Sneg_tumor",2.62768879254134e-07,0.000269265570101622,Inf,1,-0.0147864121137127,0.988202579960387,2.62768879254134e-07,0.00979690660697352,37283.3595621441,0,0,68,74,0.0109772831224272,6559,"DE_tumor_bg","ABCB7",NA
"10","16Spos_tumor / 16Sneg_tumor",1.27966348182986,0.510487614594047,Inf,1,0.618156726821766,0.536472031886991,1.27966348182986,0.0478944282726372,0.0374273619218628,7,0.102941176470588,68,313,0.0445189815520659,6559,"DE_tumor_bg","ABCB8",NA
"11","16Spos_tumor / 16Sneg_tumor",0.4940726930115,0.496961351683134,Inf,1,-0.700974285696603,0.483319062894356,0.4940726930115,0.0161727937611996,0.0327336320949499,1,0.0147058823529412,68,105,0.0157036133556945,6559,"DE_tumor_bg","ABCC1",NA
"12","16Spos_tumor / 16Sneg_tumor",0.890368872544689,0.535261538664805,Inf,1,-0.193156291174597,0.846836568644382,0.890368872544689,0.0297888652242805,0.0334567684729851,3,0.0441176470588235,68,189,0.0272907455404787,6559,"DE_tumor_bg","ABCC3",NA
"13","16Spos_tumor / 16Sneg_tumor",0.716814333657977,0.37722022298412,Inf,1,-0.632667650633416,0.526950699128345,0.716814333657977,0.0491076491399102,0.0685081852218397,4,0.0441176470588235,68,319,0.0446714438176551,6559,"DE_tumor_bg","ABCC8",NA
"14","16Spos_tumor / 16Sneg_tumor",9.05541072978791e-08,0.000112905252292702,Inf,1,-0.0130068774576548,0.989622305907519,9.05541072978791e-08,0.017495676281397,193206.877119828,0,0,68,135,0.0196676322610154,6559,"DE_tumor_bg","ABCC9",NA
"15","16Spos_tumor / 16Sneg_tumor",0.893917343648774,0.257746657251828,Inf,1,-0.388930930863101,0.697327240512954,0.893917343648774,0.141607719366495,0.158412542694924,14,0.176470588235294,68,1000,0.126696142704681,6559,"DE_tumor_bg","ABHD2",NA
"16","16Spos_tumor / 16Sneg_tumor",1.38726057649268,0.833258428041471,Inf,1,0.544961045130526,0.585780309804779,1.38726057649268,0.0190086435120304,0.0137022876841845,3,0.0441176470588235,68,124,0.018295471870712,6559,"DE_tumor_bg","ABHD3",NA
"17","16Spos_tumor / 16Sneg_tumor",1.53862860153477,0.619338746970596,Inf,1,1.07046748025851,0.2844089391843,1.53862860153477,0.0387355744316747,0.0251753895599213,7,0.0882352941176471,68,251,0.0362860192102455,6559,"DE_tumor_bg","ABHD6",NA
"18","16Spos_tumor / 16Sneg_tumor",0.891144425061165,0.438549960443025,Inf,1,-0.234188369431013,0.81483874384175,0.891144425061165,0.0511595603897984,0.0574088317797499,5,0.0588235294117647,68,337,0.04573867967678,6559,"DE_tumor_bg","ABI1",NA
"19","16Spos_tumor / 16Sneg_tumor",1.4315476457984,0.753468117280569,Inf,1,0.68161675306814,0.495481318763449,1.4315476457984,0.0226822286712881,0.0158445502934259,4,0.0588235294117647,68,154,0.0222594907760329,6559,"DE_tumor_bg","ABI2",NA
"20","16Spos_tumor / 16Sneg_tumor",4.27091124826676,2.01182067900439,Inf,1,3.08209634839969,0.00205548295062445,4.27091124826676,0.0151038729070173,0.00353645206585521,7,0.0882352941176471,68,98,0.0140265284342125,6559,"DE_tumor_bg","ABI3BP",NA
"21","16Spos_tumor / 16Sneg_tumor",0.424718352136759,0.430085691828525,Inf,1,-0.845642302619244,0.397752319102906,0.424718352136759,0.0204625518832478,0.04817910923863,1,0.0147058823529412,68,137,0.0201250190577832,6559,"DE_tumor_bg","ABL1",NA
"22","16Spos_tumor / 16Sneg_tumor",1.58239142575832,0.886296242278327,Inf,1,0.81938561382834,0.412566440184632,1.58239142575832,0.0211487448674994,0.0133650527443704,4,0.0588235294117647,68,136,0.0195151699954261,6559,"DE_tumor_bg","ABL2",NA
"23","16Spos_tumor / 16Sneg_tumor",1.47912215622907,0.558006826581052,Inf,1,1.03762270862,0.299445741422609,1.47912215622907,0.0539925229447053,0.0365030857778211,9,0.117647058823529,68,351,0.048025613660619,6559,"DE_tumor_bg","ACACA",NA
"24","16Spos_tumor / 16Sneg_tumor",1.40010521994703,0.729202852065653,Inf,1,0.64618748737304,0.518157941970793,1.40010521994703,0.0244320509362989,0.0174501534514836,4,0.0588235294117647,68,157,0.0230218021039793,6559,"DE_tumor_bg","ACACB",NA
"25","16Spos_tumor / 16Sneg_tumor",1.82220930794357,0.740061197193456,Inf,1,1.47746713206094,0.139550462477512,1.82220930794357,0.0337734836624131,0.01853436019407,7,0.102941176470588,68,218,0.0317121512425675,6559,"DE_tumor_bg","ACAD9",NA
"26","16Spos_tumor / 16Sneg_tumor",1.00732308078297,0.72337096398618,Inf,1,0.0101605257751214,0.991893212840395,1.00732308078297,0.01740132021679,0.0172748153484822,2,0.0294117647058824,68,115,0.0172282360115871,6559,"DE_tumor_bg","ACADM",NA
"27","16Spos_tumor / 16Sneg_tumor",1.22443553296544,0.766385977965666,Inf,1,0.323497102821842,0.746318801294935,1.22443553296544,0.0205528937169856,0.0167856070520993,3,0.0294117647058824,68,134,0.0192102454642476,6559,"DE_tumor_bg","ACADS",NA
"28","16Spos_tumor / 16Sneg_tumor",1.08805779011426,0.509730637341341,Inf,1,0.180145803494364,0.857038104776862,1.08805779011426,0.0393125969651108,0.0361309824921913,5,0.0735294117647059,68,253,0.0362860192102455,6559,"DE_tumor_bg","ACADVL",NA
"29","16Spos_tumor / 16Sneg_tumor",1.46743151315177,0.564980441890458,Inf,1,0.996105182419036,0.319199042117566,1.46743151315177,0.0531668478855092,0.0362312294706802,9,0.102941176470588,68,337,0.0461960664735478,6559,"DE_tumor_bg","ACAP3",NA
"30","16Spos_tumor / 16Sneg_tumor",0.914323653027202,0.46779660294155,Inf,1,-0.175068771866265,0.861025595726935,0.914323653027202,0.0375125193728529,0.0410276156026961,4,0.0588235294117647,68,245,0.0358286324134777,6559,"DE_tumor_bg","ACAT1",NA
"31","16Spos_tumor / 16Sneg_tumor",0.419584717867889,0.430493727339217,Inf,1,-0.846481689660624,0.397284084199109,0.419584717867889,0.0204064111927109,0.0486347817823433,1,0.0147058823529412,68,134,0.0195151699954261,6559,"DE_tumor_bg","ACAT2",NA
