"","contrast","ratio","SE","df","null","z.ratio","p.value","fold_change","modelest_cpc_1","modelest_cpc_2","counts_1","propnz_1","ncells_1","counts_2","propnz_2","ncells_2","term","target","msg"
"1","16S+ Neighborhood / 16S- Neighborhood",0.699534870825901,0.0856323464380177,Inf,1,-2.91912514184768,0.00351015279601828,0.699534870825901,0.388685230511077,0.555633817156503,286,0.25718194254446,731,181,0.24390243902439,492,"neighborhood_intra_label","A1BG",NA
"2","16S+ Neighborhood / 16S- Neighborhood",0.79096895550483,0.221064072371433,Inf,1,-0.839030496715476,0.401452196331147,0.79096895550483,0.0828686741482411,0.104768554532397,72,0.0560875512995896,731,43,0.0630081300813008,492,"neighborhood_intra_label","A2M",NA
"3","16S+ Neighborhood / 16S- Neighborhood",1.26016157111587,0.458437992888342,Inf,1,0.635635997425137,0.525013701186341,1.26016157111587,0.0338494320329968,0.0268611841599194,29,0.0383036935704514,731,12,0.0223577235772358,492,"neighborhood_intra_label","AAAS",NA
"4","16S+ Neighborhood / 16S- Neighborhood",0.670900752547987,0.260672872074674,Inf,1,-1.02726202735105,0.30429709772034,0.670900752547987,0.0229810472763644,0.0342540192257731,16,0.0218878248974008,731,12,0.0223577235772358,492,"neighborhood_intra_label","AAK1",NA
"5","16S+ Neighborhood / 16S- Neighborhood",0.756596836968185,0.247997830713768,Inf,1,-0.850949304723238,0.394797514473689,0.756596836968185,0.0301195129387271,0.0398091975369883,23,0.0300957592339261,731,16,0.032520325203252,492,"neighborhood_intra_label","AAMP",NA
"6","16S+ Neighborhood / 16S- Neighborhood",0.888341934625979,0.26757474284372,Inf,1,-0.393080432759716,0.694260075703285,0.888341934625979,0.0418599189152442,0.0471214036888494,35,0.0410396716826265,731,18,0.0365853658536585,492,"neighborhood_intra_label","AARS1",NA
"7","16S+ Neighborhood / 16S- Neighborhood",1.11720438377577,0.362799178298971,Inf,1,0.341288479055003,0.732886420212799,1.11720438377577,0.039193220051292,0.035081512944688,33,0.0410396716826265,731,16,0.0304878048780488,492,"neighborhood_intra_label","AASS",NA
"8","16S+ Neighborhood / 16S- Neighborhood",0.917853237671204,0.271288204907045,Inf,1,-0.290010158991607,0.771808465689068,0.917853237671204,0.0475123177399676,0.0517646131101709,38,0.0492476060191518,731,19,0.032520325203252,492,"neighborhood_intra_label","AATK",NA
"9","16S+ Neighborhood / 16S- Neighborhood",1.34166950846899,0.337173280517528,Inf,1,1.1695364607872,0.242187560163239,1.34166950846899,0.0801644019897845,0.0597497382803773,73,0.0861833105335157,731,26,0.0426829268292683,492,"neighborhood_intra_label","ABAT",NA
"10","16S+ Neighborhood / 16S- Neighborhood",1.77541344431777,0.921197073799392,Inf,1,1.10632839234083,0.268584407003581,1.77541344431777,0.0174727367189132,0.00984150298897133,18,0.0232558139534884,731,5,0.0101626016260163,492,"neighborhood_intra_label","ABCA1",NA
"11","16S+ Neighborhood / 16S- Neighborhood",0.528991965204179,0.162096905804893,Inf,1,-2.07809383466678,0.0377007174097923,0.528991965204179,0.0387806435622648,0.073310458595144,25,0.0314637482900137,731,24,0.040650406504065,492,"neighborhood_intra_label","ABCA2",NA
"12","16S+ Neighborhood / 16S- Neighborhood",1.32891611399431,0.730818441720124,Inf,1,0.517085264827918,0.605096639314788,1.32891611399431,0.0141816029494232,0.0106715561652704,13,0.0164158686730506,731,5,0.0101626016260163,492,"neighborhood_intra_label","ABCA5",NA
"13","16S+ Neighborhood / 16S- Neighborhood",1.73952306869312,0.718799094333498,Inf,1,1.33976110086533,0.180323025885362,1.73952306869312,0.0266903750473543,0.0153435016342763,28,0.0328317373461012,731,9,0.016260162601626,492,"neighborhood_intra_label","ABCB1",NA
"14","16S+ Neighborhood / 16S- Neighborhood",1.07659948494613,0.333030125068446,Inf,1,0.238600220562237,0.811415594082944,1.07659948494613,0.0443128993873076,0.0411600599915993,38,0.0437756497948016,731,17,0.0345528455284553,492,"neighborhood_intra_label","ABCB10",NA
"15","16S+ Neighborhood / 16S- Neighborhood",1.40785657946547,1.00062575738242,Inf,1,0.481282069612932,0.630316038829186,1.40785657946547,0.0032507905878482,0.00230903533446742,9,0.0109439124487004,731,3,0.00609756097560976,492,"neighborhood_intra_label","ABCB7",NA
"16","16S+ Neighborhood / 16S- Neighborhood",0.670506843451249,0.17951163988514,Inf,1,-1.49302805161533,0.135429844180618,0.670506843451249,0.051106728162212,0.0762210388474996,36,0.0437756497948016,731,27,0.0508130081300813,492,"neighborhood_intra_label","ABCB8",NA
"17","16S+ Neighborhood / 16S- Neighborhood",1.31360192218225,0.601529532740808,Inf,1,0.595673223807425,0.551393549260773,1.31360192218225,0.0199718061482367,0.0152038496678339,18,0.0232558139534884,731,7,0.0142276422764228,492,"neighborhood_intra_label","ABCB9",NA
"18","16S+ Neighborhood / 16S- Neighborhood",1.31795761009084,0.630976792771472,Inf,1,0.576671052226651,0.564161691110171,1.31795761009084,0.0171307282789633,0.0129979357058249,16,0.0218878248974008,731,6,0.0121951219512195,492,"neighborhood_intra_label","ABCC1",NA
"19","16S+ Neighborhood / 16S- Neighborhood",1.14224715360655,0.455993116285753,Inf,1,0.333154210629938,0.739017880206912,1.14224715360655,0.0291299124808506,0.0255022850255091,25,0.0300957592339261,731,11,0.0203252032520325,492,"neighborhood_intra_label","ABCC3",NA
"20","16S+ Neighborhood / 16S- Neighborhood",1.84943073413164,0.728707411711397,Inf,1,1.56053586333724,0.118633301784941,1.84943073413164,0.031083871424334,0.0168072644466616,34,0.0424076607387141,731,9,0.016260162601626,492,"neighborhood_intra_label","ABCC4",NA
"21","16S+ Neighborhood / 16S- Neighborhood",1.19263485075279,0.373488926141248,Inf,1,0.56253486346446,0.573751657133137,1.19263485075279,0.0424525864391639,0.035595627959696,37,0.0465116279069767,731,16,0.0304878048780488,492,"neighborhood_intra_label","ABCC8",NA
