target,Category
AMOT,Angiogenesis
PDGFRB,Angiogenesis
ATG3,Cell stress
BAG1,Cell stress
HSPB6,Cell stress
IER5,Cell stress
KLHL20,Cell stress
PMAIP1,Cell stress
CCL14,Anti-microbial and immune signatures
CSF2RB,Anti-microbial and immune signatures
CTLA4,Anti-microbial and immune signatures
CXCR6,Anti-microbial and immune signatures
FCN1,Anti-microbial and immune signatures
IL9,Anti-microbial and immune signatures
NCR3,Anti-microbial and immune signatures
NFKB2,Anti-microbial and immune signatures
RIGI,Anti-microbial and immune signatures
SLAMF7,Anti-microbial and immune signatures
TNIP1,Anti-microbial and immune signatures
ACAA1,Metabolism and lipid homeostasis
CPT1A,Metabolism and lipid homeostasis
GPCPD1,Metabolism and lipid homeostasis
NPC2,Metabolism and lipid homeostasis
PAFAH1B2,Metabolism and lipid homeostasis
SCARB2,Metabolism and lipid homeostasis
STAR,Metabolism and lipid homeostasis
PDK4,Metabolism and lipid homeostasis
PDPR,Metabolism and lipid homeostasis
SIRT1,Metabolism and lipid homeostasis
